UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL501001,..,190056,190056,228914,19008,247920,118499,5376,123871,122607,1801,124404,47193,568,47760,20934,263,21196,538147,217069,755215
UCL511001,..,7338,7338,9284,633,9918,4046,107,4155,4096,28,4131,1682,6,1688,747,15,758,19856,8126,27979
UCL512001,..,3703,3703,4123,238,4361,1550,50,1599,1406,13,1422,589,4,591,325,0,325,7982,4008,11993
UCL512002,..,2843,2843,3809,216,4026,1364,39,1401,1392,6,1401,562,0,566,214,0,213,7333,3109,10445
UCL512003,..,3514,3514,3943,301,4246,1694,44,1737,1502,4,1505,673,0,673,358,0,360,8167,3867,12033
UCL512004,..,2713,2713,2826,282,3116,1518,62,1580,1497,12,1512,701,9,700,353,5,354,6890,3083,9972
UCL513001,..,1102,1102,1266,149,1411,658,59,711,755,15,771,343,4,344,183,6,181,3201,1333,4532
UCL513002,..,1211,1211,1272,100,1373,491,15,505,450,4,452,191,0,193,97,0,97,2498,1327,3828
UCL513003,..,1102,1102,1294,134,1428,802,38,840,1042,7,1048,469,0,468,171,7,177,3774,1288,5062
UCL513004,..,1241,1241,1288,135,1418,746,20,766,737,6,739,375,0,377,222,0,222,3367,1401,4766
UCL513005,..,740,740,1127,58,1180,669,4,677,661,0,664,313,7,317,153,0,153,2926,809,3737
UCL514001,..,935,935,936,62,997,336,3,345,333,0,333,138,0,139,64,0,64,1813,1002,2819
UCL514002,..,518,518,866,63,932,376,17,391,442,10,453,159,0,159,37,0,37,1880,604,2480
UCL514003,..,617,617,778,80,855,422,38,457,424,24,453,162,4,168,44,4,47,1833,757,2596
UCL514004,..,794,794,826,59,880,298,14,316,267,3,272,136,0,136,86,0,86,1617,870,2484
UCL515001,..,223,223,231,5,232,46,0,46,31,0,31,13,0,13,5,0,5,316,231,547
UCL515002,..,124,124,207,15,221,44,0,44,77,0,77,30,0,31,4,0,9,359,141,498
UCL515003,..,306,306,384,12,397,100,0,96,79,0,80,40,0,40,22,0,22,622,326,947
UCL515004,..,135,135,220,11,238,125,0,125,136,0,136,52,0,52,25,0,25,568,151,718
UCL515005,..,216,216,318,29,344,133,3,136,125,0,125,58,0,58,28,0,28,654,240,902
UCL515006,..,491,491,451,38,488,166,7,177,168,0,170,60,0,63,42,0,42,889,545,1440
UCL515007,..,94,94,196,12,208,111,4,119,166,0,169,47,0,47,13,0,13,539,111,648
UCL515008,..,61,61,110,4,121,64,0,64,93,0,93,37,0,37,13,0,13,317,67,388
UCL515009,..,435,435,411,32,441,114,9,119,111,0,111,44,0,44,16,0,16,697,464,1167
UCL515010,..,287,287,231,23,246,90,0,94,83,0,83,47,0,47,64,0,64,512,306,819
UCL515011,..,294,294,391,18,413,130,3,127,122,0,121,58,0,58,29,0,29,725,313,1044
UCL515012,..,118,118,243,11,255,143,3,153,144,0,144,66,0,66,20,0,20,615,135,750
UCL515013,..,241,241,315,35,352,132,16,144,162,12,174,59,9,72,16,0,18,684,313,992
UCL515014,..,110,110,84,11,94,34,0,34,37,0,37,24,0,24,23,0,23,199,123,326
UCL515015,..,333,333,356,17,371,142,7,147,132,0,135,74,0,74,30,0,30,724,360,1084
UCL515016,..,193,193,272,9,279,65,0,63,64,0,63,24,0,24,6,0,6,433,207,639
UCL515017,..,160,160,202,8,208,46,0,46,45,0,45,8,0,8,5,0,5,310,167,479
UCL515018,..,161,161,187,17,204,95,0,95,73,0,73,31,0,31,17,0,17,407,182,580
UCL515019,..,386,386,428,35,457,170,13,185,142,0,139,61,0,58,73,0,76,870,440,1313
UCL515020,..,353,353,370,48,411,210,14,223,175,7,173,93,4,96,74,0,74,921,420,1336
UCL515021,..,176,176,246,3,252,75,0,75,81,0,81,51,0,51,12,0,12,465,179,645
UCL515022,..,596,596,561,31,585,186,4,187,177,0,179,82,0,82,42,0,42,1046,634,1677
UCL515023,..,312,312,304,18,323,122,3,123,86,0,86,45,0,45,19,0,19,575,335,909
UCL515024,..,194,194,183,8,193,63,6,65,68,0,68,26,0,26,10,0,10,358,208,572
UCL515025,..,234,234,234,15,251,95,0,93,62,0,67,40,0,40,19,0,19,455,248,706
UCL515026,..,113,113,252,7,257,137,3,136,127,0,127,75,0,75,32,0,32,623,122,748
UCL515027,..,562,562,456,32,478,178,6,183,135,3,140,68,0,68,32,0,32,863,603,1465
UCL515028,..,318,318,341,33,369,204,7,214,229,3,237,104,0,104,63,0,60,942,360,1305
UCL515029,..,99,99,103,4,102,50,0,51,49,0,49,23,0,29,5,0,5,232,105,338
UCL515030,..,385,385,495,23,516,185,4,189,177,0,179,79,0,81,49,0,49,986,417,1406
UCL515031,..,387,387,445,15,463,131,0,131,105,0,109,51,0,53,10,0,10,746,398,1147
UCL515032,..,63,63,163,3,166,66,0,66,102,0,102,43,0,43,31,0,31,405,66,468
UCL515033,..,162,162,198,10,208,112,0,112,175,0,175,99,0,100,38,0,38,620,175,797
UCL515034,..,301,301,340,19,358,138,4,135,158,0,160,75,0,75,39,0,39,745,322,1072
UCL515035,..,216,216,206,14,222,45,0,45,38,0,38,12,0,12,13,0,14,313,230,550
UCL515036,..,282,282,328,19,348,106,0,112,105,0,105,51,0,51,27,0,27,620,302,925
UCL515037,..,111,111,113,10,119,94,0,94,98,0,98,69,0,69,20,0,20,397,115,509
UCL515038,..,351,351,400,23,423,100,0,100,83,0,83,35,0,35,15,0,15,633,378,1004
UCL521001,..,41,41,66,4,68,26,0,28,25,0,25,16,0,16,10,0,10,137,48,186
UCL521002,..,56,56,115,3,115,38,0,38,46,0,46,15,0,15,14,0,14,218,62,284
UCL521003,..,159,159,146,9,152,34,0,34,22,0,24,10,0,10,4,0,4,216,167,387
UCL521004,..,22,22,35,3,34,15,0,15,25,0,25,19,0,19,30,0,30,126,25,151
UCL521005,..,116,116,137,6,146,60,0,60,50,0,55,30,0,30,10,0,10,292,122,419
UCL521006,..,66,66,131,4,140,49,0,49,40,0,40,24,0,24,7,0,7,255,74,327
UCL521007,..,81,81,89,3,95,23,0,22,15,0,15,0,0,0,4,0,4,134,87,221
UCL521008,..,81,81,63,0,67,18,0,20,13,0,13,6,0,6,9,0,9,114,82,199
UCL521009,..,80,80,69,0,76,16,0,16,20,0,20,14,0,14,7,0,7,122,89,208
UCL521010,..,81,81,114,4,120,43,0,44,42,0,42,19,0,19,7,0,7,217,88,304
UCL521011,..,30,30,64,0,71,34,0,34,53,0,53,16,0,16,4,0,4,177,32,206
UCL521012,..,98,98,97,6,100,26,0,26,18,0,18,11,0,11,4,0,4,150,102,253
UCL521013,..,61,61,98,10,114,54,0,59,50,0,51,30,0,27,7,0,7,242,80,317
UCL521014,..,98,98,104,6,107,34,0,34,21,0,21,9,0,9,9,0,9,175,109,276
UCL521015,..,112,112,106,4,110,19,0,20,11,0,11,10,0,10,7,0,7,156,115,271
UCL521016,..,98,98,79,7,86,30,0,30,28,0,29,12,0,12,8,0,8,157,107,263
UCL521017,..,56,56,67,3,75,34,0,37,32,0,32,16,0,17,15,0,15,164,62,227
UCL521018,..,47,47,75,3,75,34,0,34,30,0,30,13,0,13,6,0,6,155,54,207
UCL521019,..,121,121,108,11,123,21,0,24,21,0,21,7,0,7,4,0,4,161,136,295
UCL521020,..,54,54,116,0,123,43,0,42,31,0,31,18,0,18,9,0,9,218,55,271
UCL521021,..,66,66,106,8,118,39,3,42,53,0,53,21,0,21,11,0,11,237,78,319
UCL521022,..,61,61,65,6,78,37,0,44,46,0,45,13,0,13,4,0,4,168,70,239
UCL521023,..,55,55,63,6,73,15,0,15,33,0,33,11,0,11,12,0,12,134,65,197
UCL521024,..,151,151,95,6,102,76,0,76,47,3,50,24,0,24,66,0,63,297,161,460
UCL521025,..,132,132,118,5,117,29,0,29,29,0,29,16,0,16,4,0,4,199,135,328
UCL521026,..,47,47,101,5,110,47,0,47,44,0,44,15,0,15,15,0,15,225,58,277
UCL521027,..,79,79,77,4,78,23,0,19,24,0,24,11,0,11,4,0,4,139,83,219
UCL521028,..,129,129,112,3,112,36,0,38,28,0,28,7,0,10,7,0,7,189,134,321
UCL521029,..,144,144,102,13,113,36,0,36,42,0,42,10,0,15,11,0,11,207,154,362
UCL521030,..,122,122,111,13,122,21,3,22,17,0,15,8,0,9,0,0,0,158,145,296
UCL521031,..,65,65,49,4,51,18,0,18,9,0,9,12,0,12,11,0,11,100,69,170
UCL521032,..,72,72,55,4,59,36,0,33,12,0,14,11,0,11,14,0,14,133,82,211
UCL521033,..,48,48,40,10,50,10,0,10,11,0,11,5,0,5,0,0,0,70,57,123
UCL521034,..,45,45,96,4,101,51,0,51,42,0,43,19,0,19,10,0,10,216,55,265
UCL521035,..,77,77,88,8,96,24,0,24,21,0,21,7,0,7,3,0,3,136,86,223
UCL521036,..,119,119,66,0,70,23,0,22,19,0,19,5,0,5,0,0,0,114,127,239
UCL521037,..,121,121,124,8,132,64,0,64,49,3,49,19,0,19,7,0,7,263,128,394
UCL521038,..,118,118,114,5,120,29,0,29,16,0,16,11,0,11,9,0,9,180,126,309
UCL521039,..,72,72,119,3,119,37,0,42,42,0,42,15,0,15,8,0,8,227,78,303
UCL521040,..,59,59,92,3,98,42,0,41,41,0,41,12,0,12,0,0,0,193,62,254
UCL521041,..,8,8,7,0,7,7,0,7,9,0,9,4,0,4,4,0,4,36,8,51
UCL521042,..,87,87,83,7,86,30,0,30,20,0,20,14,0,14,8,0,3,141,98,242
UCL521043,..,38,38,92,5,96,13,0,13,26,0,26,10,0,10,3,0,3,149,47,188
UCL521044,..,127,127,118,0,118,27,0,27,27,0,27,13,0,13,8,0,8,188,134,315
UCL521045,..,75,75,86,0,86,15,0,15,13,0,13,5,0,5,7,0,7,122,77,200
UCL521046,..,42,42,59,8,67,31,0,31,32,0,32,19,0,19,14,0,14,152,46,202
UCL521047,..,108,108,78,7,84,15,0,15,21,0,21,10,0,10,4,0,4,122,112,232
UCL521048,..,168,168,149,4,158,39,0,39,29,0,30,15,0,15,3,0,3,245,178,418
UCL521049,..,31,31,22,0,22,15,0,15,14,0,14,18,0,18,27,0,27,99,36,129
UCL521050,..,120,120,93,8,104,34,0,34,24,0,24,16,0,16,10,0,10,172,132,307
UCL521051,..,94,94,108,9,121,48,0,48,40,0,40,22,0,22,10,0,10,223,106,329
UCL521052,..,73,73,52,6,61,33,0,33,26,0,26,14,0,14,19,0,19,148,75,226
