UCL_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
UCL501001,64,14,14,17,60538,60648,1271,75,43,34,63395,64814,41731,1940,2076,122,99090,144955,89219,5396,7760,210,44654,147237,83098,6453,13671,726,26329,130284,73533,5000,16257,1662,15180,111637,61154,3264,12711,3373,6205,86701,33266,1293,5037,4652,1950,46197,9016,265,939,4683,474,15377,392350,23695,58511,15481,317815,807849,67,21,14,17,57784,57892,2865,206,79,34,60354,63540,58155,3642,3515,194,85428,150941,94402,7238,11077,817,37152,150691,82272,7750,19460,2182,21745,133403,71518,5801,23390,5668,11667,118041,55769,3313,18693,12949,4894,95610,24535,1018,7742,18357,1691,53346,4718,170,1757,17294,624,24562,394307,29148,85730,57510,281336,848032,127,27,28,35,118323,118535,4136,280,123,62,123750,128352,99889,5578,5591,315,184521,295897,183626,12632,18836,1030,81804,297929,165369,14204,33131,2909,48075,263686,145055,10797,39651,7332,26847,229678,116925,6574,31400,16319,11103,182320,57797,2306,12780,23014,3638,99540,13732,437,2695,21975,1098,39936,786658,52845,144237,72993,599151,1655875
UCL511001,0,0,0,0,2315,2312,57,3,0,0,1894,1951,1337,88,60,3,3075,4567,2736,228,305,12,1598,4882,2839,277,572,22,1037,4750,2942,218,778,73,541,4551,2642,162,541,170,176,3690,1412,54,193,207,43,1901,353,8,28,172,19,584,14322,1035,2483,663,10691,29199,9,3,0,0,2321,2329,93,5,0,5,1791,1888,1797,163,124,13,2661,4762,2925,318,425,35,1343,5039,2902,338,793,97,916,5044,2900,244,1058,214,410,4828,2383,147,766,550,137,3978,1059,39,260,814,45,2221,172,5,50,693,19,942,14230,1260,3472,2431,9632,31028,8,3,4,0,4634,4649,150,8,0,0,3684,3838,3138,252,185,23,5728,9322,5667,545,730,48,2939,9920,5742,616,1364,124,1950,9801,5840,465,1839,285,950,9377,5024,306,1303,720,319,7670,2468,91,451,1022,87,4119,523,18,79,868,37,1523,28560,2296,5951,3089,20330,60227
UCL512001,0,0,0,0,990,989,39,0,0,0,726,773,562,26,17,0,1194,1812,883,84,77,8,627,1675,999,88,238,12,456,1788,1174,103,307,42,302,1929,1257,65,292,79,120,1803,787,32,105,126,36,1085,272,3,29,128,11,450,5969,402,1074,393,4466,12299,0,0,0,0,938,937,58,6,0,0,644,713,616,45,43,0,951,1658,915,121,159,24,553,1774,1130,138,340,42,440,2087,1211,109,488,110,273,2192,1201,72,381,289,123,2063,621,19,182,496,31,1351,144,11,39,420,11,623,5896,520,1630,1385,3958,13395,6,0,0,0,1924,1929,103,3,0,0,1375,1484,1177,73,63,3,2153,3469,1802,203,236,29,1181,3451,2128,228,576,49,897,3878,2383,208,795,152,582,4117,2451,137,672,365,240,3864,1408,46,288,619,66,2432,413,16,71,551,17,1066,11866,921,2708,1776,8422,25694
UCL512002,0,0,0,0,783,788,4,5,0,0,533,540,380,18,20,0,876,1294,886,64,79,0,504,1536,1010,106,205,7,343,1675,1029,73,244,22,222,1586,1283,49,265,63,97,1755,794,20,105,112,24,1054,184,4,23,105,0,319,5560,339,934,320,3385,10536,3,0,0,0,759,764,13,3,0,0,485,503,488,34,35,4,773,1334,989,110,143,17,476,1734,1069,125,316,39,334,1885,1120,84,422,87,190,1900,1222,47,386,224,93,1968,586,16,137,368,39,1139,113,4,30,408,17,570,5606,420,1470,1143,3167,11800,3,0,0,5,1546,1548,19,3,0,0,1019,1042,869,50,47,4,1649,2622,1877,173,220,15,983,3266,2084,226,523,51,678,3560,2152,158,663,113,412,3486,2504,90,646,286,188,3722,1378,36,245,482,60,2196,293,10,52,507,13,884,11173,753,2399,1458,6553,22335
UCL512003,0,0,0,0,1074,1074,16,4,0,0,856,875,506,29,32,3,1320,1879,965,73,125,8,764,1933,1147,140,204,24,571,2085,1206,125,301,47,438,2117,1014,79,243,96,125,1561,577,29,97,127,43,870,175,4,23,107,13,319,5611,480,1023,406,5193,12707,0,0,0,0,1010,1010,57,3,0,0,859,920,680,55,36,6,1193,1964,1077,142,187,12,693,2109,1229,151,345,53,500,2276,1146,122,421,125,302,2114,953,73,286,285,77,1677,446,23,128,382,29,1002,89,4,17,335,7,449,5672,576,1414,1198,4667,13528,0,0,0,0,2086,2090,76,5,0,0,1712,1795,1181,83,64,6,2513,3846,2047,219,313,17,1456,4050,2376,289,547,70,1067,4359,2354,250,722,173,737,4229,1970,149,528,387,201,3237,1024,50,223,510,64,1863,266,6,42,438,19,762,11285,1055,2436,1603,9863,26236
UCL512004,8,0,0,0,838,849,31,4,0,0,1007,1048,639,43,43,0,1712,2434,1200,107,118,6,828,2255,1089,116,231,16,610,2060,1050,107,296,51,367,1866,532,76,180,57,140,980,180,29,50,44,43,354,31,7,3,23,5,60,4753,494,928,193,5549,11912,0,0,0,0,772,772,39,14,4,5,858,912,808,58,56,5,1387,2308,1202,92,150,14,630,2085,1019,100,254,43,418,1829,915,81,258,83,191,1526,409,35,147,144,54,785,124,11,50,122,15,322,23,3,10,105,0,138,4544,386,925,514,4320,10682,7,0,0,0,1606,1616,68,19,3,4,1869,1961,1444,100,96,10,3104,4745,2405,193,267,19,1459,4344,2111,221,484,51,1027,3886,1961,192,554,137,562,3399,939,109,331,193,191,1770,307,34,103,167,57,669,53,9,13,123,5,202,9293,880,1849,702,9867,22594
UCL513001,0,0,0,0,375,375,12,0,0,0,356,367,241,12,11,0,815,1081,548,31,56,3,464,1106,527,49,105,11,350,1048,372,31,135,28,225,783,237,33,85,18,70,438,67,0,20,14,17,118,15,5,3,5,6,33,2008,166,415,75,2678,5349,0,0,0,0,435,435,12,0,0,0,367,374,326,22,25,5,1050,1424,600,51,65,15,575,1310,481,48,131,7,353,1024,351,60,159,48,172,791,152,18,87,57,58,380,47,4,24,41,15,123,0,4,8,15,0,31,1966,210,501,187,3019,5887,0,0,0,0,804,804,19,0,0,0,725,748,568,35,34,4,1868,2504,1145,85,125,22,1037,2413,1004,97,242,22,710,2075,726,88,294,74,389,1573,388,56,173,74,127,819,109,6,44,49,29,237,17,3,6,19,13,63,3978,381,919,268,5699,11236
UCL513002,0,0,0,0,350,350,3,0,0,0,248,253,170,8,12,0,399,583,285,16,39,3,235,573,331,34,63,3,215,641,410,33,106,14,113,679,351,35,70,26,56,531,221,17,39,54,17,353,53,5,4,36,0,96,1823,136,338,128,1640,4065,0,0,0,0,282,283,10,0,0,0,239,254,224,10,20,0,376,632,322,42,57,3,195,627,332,46,79,11,149,618,409,26,116,44,67,659,341,24,71,93,27,556,166,14,46,178,9,409,30,0,9,118,3,157,1835,163,400,450,1349,4191,0,0,0,0,630,635,18,4,0,0,492,506,390,17,35,0,775,1217,605,58,98,5,426,1197,667,77,146,15,362,1256,817,55,221,61,185,1337,686,60,139,117,83,1090,387,26,84,233,26,760,87,5,18,150,10,255,3660,298,740,576,2986,8258
UCL513003,0,0,0,0,505,506,11,0,0,0,475,485,441,22,17,0,1074,1557,1074,63,82,6,560,1780,778,72,130,8,280,1266,490,50,133,6,105,787,129,23,41,10,20,222,23,5,7,10,4,41,0,0,0,3,0,5,2941,235,413,41,3023,6644,4,0,0,0,410,417,15,0,0,0,393,408,651,40,35,0,907,1633,1006,59,99,13,392,1571,673,64,128,16,201,1092,322,31,105,23,64,544,76,16,40,20,15,164,12,3,5,12,4,37,0,0,0,7,0,8,2759,220,419,86,2384,5868,5,0,0,0,921,924,27,0,0,0,864,890,1098,63,53,0,1977,3195,2080,121,185,14,949,3353,1446,139,257,18,485,2357,816,80,239,25,168,1328,201,40,87,35,32,384,32,9,3,16,6,75,0,0,0,10,0,11,5701,448,831,126,5403,12514
UCL513004,0,0,0,0,422,420,17,0,0,0,396,417,409,20,26,0,1006,1471,768,63,96,3,547,1483,583,60,131,0,307,1087,509,65,149,16,188,933,118,26,45,18,35,242,19,0,11,15,14,57,0,0,3,4,3,10,2430,245,472,61,2916,6121,0,0,0,0,369,377,11,0,0,0,398,413,521,41,27,0,936,1531,739,57,80,6,419,1299,448,62,109,13,239,868,320,43,110,35,121,633,84,12,46,50,22,215,7,0,6,22,3,44,0,0,0,7,3,12,2140,216,380,146,2513,5397,6,0,0,0,788,793,28,0,0,0,796,825,938,64,63,3,1945,3009,1509,115,179,13,967,2783,1029,122,241,14,545,1956,836,112,264,52,309,1568,202,40,87,67,61,455,26,0,23,41,18,103,4,0,3,15,4,25,4566,463,852,206,5430,11520
