UCL_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
UCL501001,6506,24896,90977,103527,88954,60749,12220,835,42,388718,18820,20088,20590,14942,13064,14796,10618,2058,146,115132,861,1314,3983,3887,3520,3801,1242,146,17,18780,395,1153,2790,2014,1429,898,286,97,24,9084,26585,47456,118342,124376,106970,80244,24362,3132,235,531710,1359,2744,4359,3362,3317,2906,519,30,3,18599,4563,2026,1479,712,728,987,571,63,7,11134,5923,4769,5837,4077,4044,3893,1091,92,8,29739,32511,52227,124178,128455,111013,84142,25459,3227,238,561453,26015,9170,11094,9802,11724,21789,57522,40126,13321,200560,2127,3414,9684,8981,7543,5706,3724,2845,1822,45838,60648,64814,144955,147237,130284,111637,86701,46197,15377,807849,2727,18384,59976,52178,53757,33571,5203,202,4,225993,24519,26493,42010,52970,43676,34472,11357,1151,59,236707,936,1690,7871,5345,3097,3645,1031,113,5,23735,440,916,1852,1237,1055,684,227,83,37,6533,28619,47486,111712,111734,101583,72375,17809,1540,99,492968,858,1478,2515,2235,2178,1417,135,13,0,10834,4600,1961,2815,2991,2169,1773,376,27,3,16711,5458,3438,5325,5226,4352,3190,516,37,7,27543
UCL511001,372,1042,2843,3280,3157,2424,448,21,0,13585,709,343,488,418,380,474,353,61,5,3233,51,55,152,151,203,229,67,11,3,925,22,28,79,57,58,27,8,3,3,280,1159,1467,3564,3907,3792,3153,880,90,10,18015,74,98,147,116,110,91,16,0,0,637,112,46,49,17,27,32,16,3,0,308,179,139,195,133,137,126,29,3,0,948,1341,1603,3761,4041,3934,3280,902,90,10,18960,894,230,474,510,492,992,2589,1693,497,8366,90,126,334,331,320,282,199,112,79,1866,2312,1951,4567,4882,4750,4551,3690,1901,584,29199,224,680,1515,1508,1936,1185,119,5,0,7164,994,569,1411,2054,1780,1382,439,31,0,8672,57,69,264,162,143,186,39,7,0,930,21,32,42,50,35,20,13,0,0,214,1292,1357,3234,3767,3893,2777,611,46,3,16983,56,47,68,55,55,56,9,0,0,344,148,56,87,95,81,56,12,4,0,534,207,99,157,151,135,114,18,4,0,879
UCL512001,196,377,1005,999,1104,886,188,13,3,4766,315,152,219,218,203,326,224,39,3,1698,10,13,54,47,70,82,28,4,0,326,10,19,23,19,29,22,9,3,0,131,526,562,1305,1285,1409,1319,441,58,16,6921,24,27,49,26,34,26,6,0,0,197,47,10,26,10,8,19,11,0,0,138,72,42,75,40,48,39,16,0,0,340,600,601,1378,1328,1454,1357,460,62,16,7254,350,133,328,260,236,453,1238,952,392,4347,45,33,101,96,100,111,99,71,39,698,989,773,1812,1675,1788,1929,1803,1085,450,12299,88,263,504,539,799,527,86,4,0,2817,420,210,526,750,736,714,245,21,5,3625,15,22,97,43,64,92,32,7,0,367,9,11,20,11,22,13,9,4,0,91,535,507,1141,1355,1619,1343,365,34,5,6901,12,17,13,16,18,12,0,0,0,95,43,13,26,15,16,28,3,0,0,151,57,35,39,33,31,41,6,0,0,244
UCL512002,129,281,782,996,1081,755,157,13,0,4198,315,114,158,175,189,273,193,26,0,1450,22,22,67,73,80,80,21,6,0,366,3,8,19,18,21,7,0,3,0,90,470,430,1025,1265,1371,1117,372,43,6,6101,15,20,41,21,21,16,0,0,0,141,36,12,18,15,5,12,3,0,0,99,53,33,59,39,29,29,9,0,0,239,520,458,1088,1302,1396,1148,378,47,6,6340,245,59,95,109,165,351,1297,934,278,3541,20,19,116,117,118,93,77,72,30,657,788,540,1294,1536,1675,1586,1755,1054,319,10536,89,185,413,517,696,426,59,4,0,2378,373,182,459,749,764,624,197,17,0,3360,21,18,68,57,70,87,27,0,0,347,10,9,13,18,10,10,5,5,0,61,491,389,951,1335,1539,1141,278,25,0,6154,7,10,11,12,20,5,0,0,0,71,34,8,21,24,24,25,8,0,0,150,43,16,35,40,43,35,9,0,0,223
UCL512003,188,423,1087,1185,1210,1029,227,21,5,5372,294,161,238,184,213,252,165,40,0,1555,16,21,68,59,94,89,36,4,0,383,15,15,47,26,23,14,0,4,0,144,513,620,1436,1453,1534,1391,432,68,7,7456,32,48,61,61,60,52,3,0,0,321,61,13,21,17,23,22,13,0,0,170,94,64,83,83,75,71,19,0,0,489,608,689,1517,1532,1616,1463,451,68,7,7947,356,106,136,167,244,459,994,696,259,3432,117,82,220,236,227,191,114,100,51,1332,1074,875,1879,1933,2085,2117,1561,870,319,12707,102,298,606,695,874,582,103,0,0,3267,467,284,551,707,712,598,207,15,3,3545,21,29,104,65,57,69,21,4,0,366,0,6,20,14,32,15,4,3,3,101,591,619,1285,1488,1677,1267,334,26,3,7279,15,22,28,18,42,17,4,0,0,148,45,21,33,39,35,44,5,0,0,218,60,47,56,56,70,60,6,0,0,364
UCL512004,219,624,1660,1580,1395,1136,255,16,0,6876,210,85,164,136,108,135,79,14,0,939,16,34,53,60,69,88,15,0,0,340,4,32,51,30,28,25,9,0,0,179,451,775,1925,1808,1608,1378,360,28,0,8334,22,35,40,39,46,33,5,0,0,221,37,9,11,6,3,13,6,0,0,88,56,44,51,51,57,41,7,0,0,304,507,818,1976,1855,1659,1422,363,28,0,8642,269,108,195,163,180,243,497,273,56,1970,66,123,260,243,222,198,124,50,8,1298,849,1048,2434,2255,2060,1866,980,354,60,11912,149,432,934,858,934,602,99,3,0,4012,266,167,531,546,396,356,116,10,0,2383,12,20,121,52,54,55,8,0,0,326,4,20,29,16,22,13,3,3,0,104,428,638,1604,1481,1406,1027,225,15,0,6828,20,23,22,23,23,11,0,0,0,118,30,13,24,24,12,13,0,0,0,112,45,31,39,49,32,25,0,0,0,231
UCL513001,39,157,608,687,607,363,104,10,0,2581,104,40,92,92,85,75,58,11,0,559,9,10,34,37,32,29,14,0,0,159,5,11,24,23,11,13,6,0,0,93,160,212,766,836,736,481,174,13,0,3389,14,23,33,17,24,18,0,0,0,125,9,5,6,6,11,10,0,0,0,49,24,27,38,30,29,28,5,0,0,168,181,243,800,866,760,504,181,13,0,3557,126,52,102,91,107,155,202,82,22,956,63,73,176,142,177,121,57,20,10,838,375,367,1081,1106,1048,783,438,118,33,5349,48,134,595,572,505,328,70,0,0,2239,153,76,272,342,203,156,61,15,0,1267,7,11,74,42,16,33,8,0,0,197,13,9,25,15,15,10,3,0,0,84,217,226,972,966,739,521,135,16,0,3794,18,8,18,15,9,3,0,0,0,65,10,10,14,12,10,10,0,0,0,62,25,16,31,27,14,14,0,0,0,130
UCL513002,80,174,362,388,415,347,59,5,0,1828,77,18,61,47,60,79,50,6,0,400,5,6,35,27,23,39,17,0,0,153,11,5,20,14,11,9,3,0,0,61,164,202,482,472,502,473,124,18,5,2443,5,4,3,10,11,5,0,0,0,41,15,0,0,3,4,4,3,0,0,34,20,10,4,12,15,9,5,0,0,81,187,213,487,483,513,486,130,15,5,2522,126,15,34,35,53,132,354,286,83,1116,41,31,63,56,73,61,46,50,13,430,350,253,583,573,641,679,531,353,96,4065,35,89,197,184,242,177,38,3,0,971,95,80,183,232,198,184,64,11,0,1042,5,11,38,19,27,37,9,4,0,151,7,6,8,6,6,4,0,0,0,40,147,188,427,439,472,403,103,19,0,2199,0,6,4,5,5,0,0,0,0,24,9,8,3,10,4,7,3,0,0,39,5,11,8,15,12,7,3,0,0,64
UCL513003,100,279,1023,1220,864,483,88,0,0,4062,147,46,100,104,63,50,11,3,0,519,14,3,71,77,47,43,8,0,0,265,0,12,32,22,13,7,4,0,0,88,260,343,1223,1416,995,584,108,0,0,4935,9,6,18,14,12,13,0,0,0,79,23,3,7,0,0,0,5,0,0,44,40,12,27,15,13,13,3,0,0,121,301,356,1249,1431,1008,601,111,0,0,5061,135,37,48,44,50,63,71,24,4,480,72,94,260,303,201,126,37,5,0,1104,506,485,1557,1780,1266,787,222,41,5,6644,52,203,633,615,515,238,33,0,0,2285,160,54,333,441,253,92,23,0,0,1354,11,17,108,61,24,26,5,0,0,243,10,0,18,5,4,4,0,0,0,48,223,281,1091,1117,794,359,58,0,0,3928,6,8,21,15,16,8,0,0,0,67,15,6,13,10,14,7,0,0,0,68,19,15,36,26,27,6,0,0,0,130
UCL513004,86,200,918,986,700,520,77,3,0,3479,100,30,88,75,55,60,13,0,0,431,3,9,63,65,46,45,7,0,0,244,4,13,35,32,13,18,0,0,0,117,197,252,1105,1157,815,641,103,3,0,4275,15,34,23,16,11,9,0,0,0,114,9,6,6,3,3,4,4,0,0,31,24,37,33,22,9,18,0,5,0,145,225,293,1132,1182,824,655,108,4,0,4422,135,45,70,64,74,99,95,43,10,633,63,82,269,238,186,176,40,11,6,1065,420,417,1471,1483,1087,933,242,57,10,6121,53,171,646,533,397,240,43,0,0,2085,107,53,269,297,129,87,20,0,0,965,10,17,82,57,30,28,9,0,0,239,5,14,33,22,0,7,0,0,0,83,175,258,1031,911,563,362,65,4,0,3369,9,6,8,12,11,13,0,0,0,66,10,5,20,18,3,9,0,0,0,67,21,14,32,26,15,18,0,0,0,129
