UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL501001,582882,1589002,79026,148105,30958,62484,109986,210592,18883,30468,14370,22805,16121,26200,9300,16017,735,1509,59408,96994,851,1188,927,1305,66,126,355,714,2198,3329,744,1425,755215,1901339,70264,..,825485,1901339
UCL511001,23878,61713,2775,4318,438,802,3206,5124,450,682,104,160,15,27,32,53,9,12,610,933,133,185,90,135,12,7,12,20,238,350,50,87,27979,68201,2864,..,30845,68201
UCL512001,10806,26056,910,1319,98,146,1006,1461,45,60,0,0,0,0,0,0,18,39,59,99,27,41,67,96,0,0,3,4,99,142,18,36,11993,27786,1728,..,13723,27786
UCL512002,9111,22350,989,1486,123,233,1110,1722,12,21,0,0,17,26,0,0,20,47,47,85,42,59,100,136,3,6,13,30,152,232,17,42,10445,24428,2153,..,12599,24428
UCL512003,10202,25598,1225,1953,285,571,1512,2522,198,315,15,14,0,3,0,0,9,10,224,342,27,45,16,20,16,24,13,19,74,111,27,60,12033,28635,1781,..,13817,28635
UCL512004,8106,21815,1369,2540,202,447,1569,2985,127,201,0,0,0,0,0,0,3,6,125,205,34,51,101,151,0,0,16,24,148,225,18,37,9972,25265,1686,..,11661,25265
UCL513001,3469,10445,472,984,222,429,695,1407,118,261,0,0,0,0,0,0,3,10,124,268,142,286,4,9,14,30,18,40,182,360,63,111,4532,12592,722,..,5250,12592
UCL513002,3269,7817,373,589,40,67,413,658,89,111,0,0,0,0,0,0,0,0,90,112,21,35,4,8,0,0,4,8,32,48,29,66,3828,8703,772,..,4604,8703
UCL513003,4015,12152,534,1093,142,246,676,1342,91,141,30,46,40,73,137,198,0,0,298,465,41,74,15,22,0,4,7,12,60,113,13,34,5062,14104,1240,..,6307,14104
UCL513004,3347,9715,642,1436,249,604,883,2038,258,395,116,178,75,123,0,0,0,0,453,694,29,56,15,27,4,0,17,46,65,127,18,32,4766,12611,1462,..,6224,12611
UCL513005,3629,9856,77,130,17,27,97,154,0,0,0,0,0,0,0,0,0,11,7,8,0,0,0,0,0,0,0,0,0,0,4,3,3737,10024,428,..,4164,10024
UCL514001,2589,6012,106,159,0,0,106,159,104,149,0,0,0,0,0,0,0,0,104,149,11,21,0,0,0,0,0,4,15,26,6,14,2819,6368,402,..,3215,6368
UCL514002,2214,5539,168,391,70,160,241,553,20,36,0,0,0,3,0,0,0,0,25,39,0,0,0,0,0,0,0,0,0,0,9,20,2480,6150,1672,..,4151,6150
UCL514003,2351,6012,125,202,82,148,207,347,4,4,0,0,0,0,0,0,0,5,3,5,0,0,16,52,0,0,0,0,16,52,17,33,2596,6458,525,..,3124,6458
