UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL522054,14,0,0,0,0,17,22,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,5,7,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,3,0,0,0,0,3,0,0,0,0,0,3,63,0,0,0,0,63
UCL522055,17,0,0,8,0,19,23,0,0,7,0,27,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,3,0,0,4,0,11,0,0,0,0,0,0,18,0,0,5,0,26,8,0,0,5,0,9,3,0,0,0,0,4,73,4,0,14,0,93
UCL522056,30,0,0,0,0,30,39,0,0,0,0,40,11,0,0,0,0,11,10,0,0,0,0,8,0,0,0,0,0,0,17,0,0,0,0,18,6,0,0,3,0,13,0,0,0,0,0,4,43,4,0,3,0,52,3,0,0,0,0,3,7,0,0,0,0,7,117,4,0,3,0,126
UCL522057,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,6,0,20,0,0,0,0,0,0,25,4,0,6,5,33,8,4,0,5,0,16,0,0,0,0,0,6,43,12,0,7,5,61
UCL522058,43,0,0,3,0,48,17,0,0,0,0,17,0,0,0,0,0,0,8,0,0,0,0,11,0,4,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,21,3,0,0,0,25,0,0,0,0,0,0,9,0,0,0,0,9,95,3,0,3,0,104
UCL522059,59,0,0,0,0,57,24,0,0,0,0,24,3,0,0,0,0,3,4,4,0,0,0,9,0,0,0,0,0,0,10,3,0,0,0,8,8,0,0,0,0,9,0,0,0,0,0,0,31,7,0,0,0,39,10,0,0,0,0,10,0,0,0,0,0,0,113,11,0,0,0,122
UCL522060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,4,12,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,0,9,16
UCL522061,80,0,0,0,0,86,27,0,0,0,0,24,17,0,0,0,0,17,8,0,0,0,0,8,0,0,0,0,0,9,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,48,3,0,0,0,0,3,0,0,0,0,0,3,154,0,0,0,0,161
UCL522062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51,4,0,0,0,0,3,0,0,0,0,0,0,57,0,0,0,0,59
UCL522063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,34,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,32,0,4,0,0,0,4,0,0,0,0,0,0,33,4,0,0,4,41
UCL522064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,12,60,3,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,5,0,0,0,76,0,0,0,0,0,0,0,0,0,0,13,14,73,5,0,0,16,94
UCL522065,46,0,0,0,0,42,21,0,0,0,0,21,0,0,0,0,0,0,5,5,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,9,0,0,0,0,0,0,15,5,0,0,0,25,3,0,0,0,0,4,0,0,0,0,0,0,84,5,0,0,0,89
UCL522066,53,0,0,0,0,53,36,0,0,0,0,37,6,0,0,0,0,9,0,4,0,0,0,6,4,0,0,0,0,3,18,0,0,0,0,22,9,0,0,0,0,9,3,0,0,0,0,4,38,9,0,0,0,47,12,0,0,0,0,10,4,0,0,0,0,4,140,12,0,0,0,156
UCL522067,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,10,3,0,0,0,0,3,10,0,0,0,0,8,0,0,0,0,0,0,26,0,0,0,0,26,17,3,0,0,0,20,5,0,0,0,0,4,50,5,0,0,0,55
UCL522068,47,0,0,0,0,47,84,0,0,0,0,84,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,0,5,150,0,0,0,0,150
UCL522069,67,0,0,0,0,67,27,0,0,0,0,27,0,0,0,0,0,4,4,6,0,0,0,3,6,0,0,0,0,6,18,0,0,0,0,18,11,0,0,0,0,11,0,0,0,0,0,0,35,6,0,0,0,45,6,0,0,0,0,6,4,0,0,0,0,4,138,6,0,0,0,141
UCL522070,41,0,0,4,0,46,43,0,0,0,0,43,38,4,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,0,0,47,0,0,0,0,0,0,5,0,0,0,0,5,138,4,0,4,0,139
UCL522071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,78,5,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,89,0,0,0,0,89,3,0,0,0,0,3,4,0,0,0,0,4,96,0,0,0,0,96
UCL531001,21009,117,42,800,215,22187,16966,105,25,139,99,17338,1333,15,4,25,5,1389,469,18,3,5,6,505,481,19,10,13,10,535,3071,23,17,64,48,3237,1099,10,12,204,66,1394,51,5,0,4,5,59,6505,99,52,321,144,7116,2817,27,33,115,112,3105,802,8,7,111,64,990,48095,357,163,1485,635,50741
UCL579997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL599994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
