UCL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL522006,58,0,0,0,0,65,68,0,3,0,0,72,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,136,0,5,0,0,142
UCL522007,36,0,0,0,0,40,21,0,0,0,0,21,4,0,0,0,0,4,3,3,0,0,0,8,0,3,0,0,0,3,10,0,0,0,0,10,7,0,0,5,0,7,0,0,0,0,0,0,27,4,0,5,0,37,5,0,0,0,0,5,0,0,0,0,0,0,84,4,0,7,0,94
UCL522008,41,0,0,0,0,41,22,0,0,0,0,22,3,0,0,0,0,3,4,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17,6,0,0,0,0,6,0,0,0,0,0,0,83,0,0,0,0,83
UCL522009,23,0,0,3,0,28,81,0,0,0,0,83,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,6,0,0,0,0,6,119,0,0,3,0,123
UCL522010,40,0,0,0,0,43,56,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,108
UCL522011,53,0,0,0,0,53,20,0,0,0,0,20,3,0,0,0,0,3,4,3,0,0,0,4,0,0,5,0,0,3,12,0,0,0,0,12,13,0,0,0,0,13,0,0,0,0,0,0,34,3,5,0,0,39,11,0,0,0,0,12,0,0,0,4,0,4,124,3,5,4,0,132
UCL522012,108,0,0,4,0,107,41,0,0,0,0,41,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,16,0,0,0,0,0,8,0,0,0,0,0,0,28,0,0,0,0,31,0,0,0,0,0,0,3,0,0,0,0,3,179,0,0,6,0,195
UCL522013,52,0,0,0,0,52,82,0,0,0,0,82,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,4,149,0,0,0,0,154
UCL522014,21,0,0,0,0,21,40,0,0,0,0,35,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,74
UCL522015,0,0,0,16,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,8,17,0,29,0,0,0,5,0,5,6,0,8,21,0,37,3,0,0,3,0,11,0,0,0,0,0,0,9,3,6,42,0,64
UCL522016,34,0,0,0,0,35,18,0,0,0,0,18,11,0,0,0,0,11,4,0,0,0,0,4,5,0,3,0,0,8,10,0,0,0,0,10,12,0,0,0,0,11,0,0,0,0,0,0,49,0,3,0,0,49,3,0,0,0,0,3,0,0,0,0,0,4,106,0,3,3,0,107
UCL522017,78,0,0,0,0,78,53,0,0,0,0,53,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,148,0,0,0,0,151
UCL522018,27,0,0,0,0,30,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,6,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,0,17,6,0,0,0,0,6,3,0,0,9,0,16,55,0,0,10,3,70
UCL522019,28,0,0,0,0,31,16,0,0,0,0,16,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,9,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,68,6,0,0,0,74
UCL522020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,46,8,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,68,0,0,0,0,66,3,0,0,0,0,8,0,0,0,0,0,0,69,0,0,0,0,73
UCL522021,64,0,0,0,0,70,44,0,0,0,0,47,0,0,0,0,0,0,4,3,0,0,0,9,4,0,0,0,0,4,16,0,0,0,0,12,10,0,0,0,0,7,0,0,0,0,0,0,36,3,0,0,0,36,4,0,0,0,0,4,4,0,0,0,0,4,146,5,0,3,0,162
UCL522022,42,0,0,0,0,46,19,0,0,0,0,21,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,17,10,0,0,0,0,10,3,0,0,0,0,3,96,8,0,0,0,100
UCL522023,57,0,0,4,0,60,39,0,0,0,0,39,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,6,0,0,0,0,6,0,0,0,0,0,0,31,0,0,0,0,31,3,0,0,0,0,3,0,0,0,0,0,0,129,0,0,4,0,133
UCL522024,71,0,0,0,0,71,28,0,0,0,0,28,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,3,118,0,0,0,0,118
UCL522025,74,4,0,4,0,84,54,0,0,0,0,54,9,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,0,10,14,0,0,0,0,14,8,0,0,0,0,9,0,0,0,0,0,0,33,12,0,0,0,54,5,0,0,0,0,5,9,0,0,0,0,9,179,19,0,4,0,200
UCL522026,88,4,0,0,0,94,23,0,0,0,0,29,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,22,5,0,0,0,0,5,0,0,0,0,0,0,138,9,0,5,0,145
UCL522027,65,0,0,0,0,65,43,0,0,0,0,43,12,0,0,0,0,12,8,0,0,0,0,8,3,0,0,0,0,3,14,0,0,0,0,14,9,0,0,0,0,9,0,0,0,0,0,0,47,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,158
UCL522028,27,0,0,0,0,27,15,0,0,0,0,15,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,62
UCL522029,49,0,0,0,0,49,66,0,0,0,0,66,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,141
UCL522030,18,0,0,0,0,20,27,0,0,0,0,25,0,0,0,0,0,0,6,4,0,0,0,13,0,0,0,0,0,3,11,0,0,0,0,11,10,0,0,0,0,11,0,0,0,0,0,0,37,6,0,0,0,43,4,0,0,0,0,8,0,0,0,0,0,0,88,6,0,3,4,94
UCL522031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,28,27,0,0,0,0,27,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,53,0,0,0,0,53,5,0,0,0,0,5,0,0,0,0,0,0,58,0,0,0,0,58
UCL522032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,71,0,0,0,0,72,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,72,0,0,0,0,76,7,0,0,0,0,7,0,0,0,0,0,0,84,0,0,0,0,85
UCL522033,92,0,0,7,0,101,56,0,0,0,0,58,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,27,4,0,0,0,0,3,9,0,0,0,0,9,186,0,0,9,0,200
