UCL_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
UCL501001,44,482,804,2113,1136,1011,881,331,86,6889,78,994,2637,5931,3905,2688,1438,549,120,18343,21,252,483,1847,774,430,379,189,49,4433,20,65,58,794,96,39,49,11,0,1144,37,478,627,768,160,62,47,8,3,2200,7,36,44,302,146,118,51,27,6,736,116,464,542,1200,574,618,477,202,44,4229,46,321,518,2095,1629,1462,835,241,99,7245,9,90,205,695,538,540,471,306,87,2939,4,157,617,1693,1115,887,406,133,34,5046,235,2410,3635,14006,5474,4663,3465,2061,590,36550,2049,4506,5053,17532,7384,5785,3883,2766,1617,50572,64683,134500,125463,292188,130284,111637,86701,46197,15377,1007026,10,146,370,1185,304,167,83,35,0,2305,57397,105712,84012,153556,67890,57105,47418,25016,11432,609524,5,120,102,774,132,64,54,11,0,1265,0,8,24,521,254,387,208,70,28,1505,16,94,110,1809,238,108,53,24,4,2461,7,37,47,362,156,118,74,14,10,829,35,162,234,1225,488,411,223,79,33,2896
UCL511001,0,7,4,9,6,12,7,0,0,50,3,53,110,181,154,116,45,22,5,693,0,3,3,14,5,4,0,0,0,32,0,0,0,45,0,0,0,0,0,53,0,11,8,7,3,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,4,6,15,15,15,21,6,0,90,0,0,3,12,10,5,9,0,0,35,0,0,5,10,10,15,17,3,0,60,0,13,21,48,52,50,34,5,3,224,6,39,27,145,72,83,61,30,10,479,80,206,187,623,314,301,209,112,77,2115,2348,5413,4269,9451,4750,4551,3690,1901,584,36962,0,0,0,4,0,0,0,0,0,4,2056,4493,3490,6915,3516,3294,2732,1447,588,28540,0,0,5,14,3,0,0,0,0,24,0,0,0,4,0,0,0,0,0,3,0,0,3,18,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,8,0,0,5,29,7,8,4,0,3,64
UCL512001,0,0,0,0,6,0,0,0,0,12,0,16,19,52,44,26,16,11,5,173,0,0,6,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,21,27,9,0,0,0,0,0,56,0,0,0,7,0,0,0,0,0,8,0,0,7,3,0,13,7,7,3,43,0,0,0,8,6,3,0,0,0,23,0,0,0,0,0,4,8,3,3,32,0,0,4,11,6,10,14,3,0,42,0,14,23,66,30,24,27,25,12,218,25,73,73,197,99,120,103,66,40,800,821,1939,1760,3488,1788,1929,1803,1085,450,15071,0,0,0,0,0,0,0,0,0,0,741,1700,1406,2571,1525,1488,1385,813,383,12013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,6,20,5,10,3,6,0,52
UCL512002,0,0,0,0,0,0,0,0,0,6,0,12,13,33,39,17,18,6,3,149,0,0,0,5,3,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,7,0,8,5,0,3,3,0,37,0,3,3,8,9,0,0,0,0,23,0,0,0,7,4,4,10,6,0,30,0,0,0,5,10,9,5,0,0,31,0,7,5,32,30,20,25,25,6,153,27,62,42,217,117,98,92,70,26,747,667,1835,1327,2822,1675,1586,1755,1054,319,13036,0,0,5,7,5,0,0,0,0,16,636,1588,1092,2245,1411,1319,1371,708,386,10757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,6,0,0,0,31
UCL512003,0,0,0,4,0,0,0,0,0,12,0,15,25,68,44,27,9,3,0,191,0,0,0,4,7,0,0,0,0,16,0,0,0,4,0,0,0,0,0,8,0,12,8,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,8,7,4,8,0,0,39,0,0,0,13,4,3,5,3,0,37,0,0,6,4,5,7,0,0,0,21,0,5,5,12,10,4,5,0,0,42,0,7,14,46,32,32,17,19,4,182,74,214,188,455,231,202,123,94,32,1607,964,2309,1954,3815,2085,2117,1561,870,319,15983,0,0,0,0,0,0,0,0,0,0,864,1885,1624,2937,1635,1541,1220,680,296,12685,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,11,0,0,0,4,0,0,0,0,0,6,6,4,0,13,3,5,0,0,0,30
UCL512004,0,0,0,3,3,3,0,0,0,14,4,21,40,85,57,28,7,4,0,249,0,0,0,19,6,0,4,0,0,24,0,0,0,10,0,0,0,0,0,10,0,12,8,11,0,0,0,0,0,34,0,0,0,5,0,0,0,0,0,4,0,3,0,10,4,5,3,0,0,20,0,0,6,6,4,0,0,0,0,19,0,0,0,0,4,4,0,0,0,10,0,11,16,64,32,27,3,0,0,167,10,24,22,126,59,30,18,12,4,303,93,212,169,457,212,211,121,50,15,1534,1154,2195,1893,4694,2060,1866,980,354,60,15265,0,0,0,3,0,0,0,0,0,7,971,1601,1200,2552,1124,897,508,217,90,9159,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,3,0,15,0,0,0,0,0,27,0,0,4,3,0,0,0,0,0,13,0,0,0,7,3,8,0,0,0,19
UCL513001,0,0,0,0,0,0,0,0,0,10,0,0,3,18,10,11,4,0,0,43,0,0,0,11,3,0,0,0,0,14,0,0,0,7,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,9,3,4,0,0,0,26,0,3,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,11,0,0,3,7,4,6,0,0,0,18,0,0,6,71,14,10,8,0,0,119,70,160,116,298,162,124,59,16,6,1013,552,1211,743,2180,1048,783,438,118,33,7108,0,0,0,0,0,0,0,0,0,0,442,970,626,1693,660,507,249,81,19,5241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,3,0,0,0,20
UCL513002,0,0,0,0,0,0,0,0,0,4,0,4,4,18,10,9,3,3,0,51,0,4,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,6,0,0,0,4,3,0,0,0,0,14,0,4,4,4,8,4,3,9,0,31,26,76,62,133,77,71,54,48,8,557,302,691,606,1156,641,679,531,353,96,5060,0,0,0,0,0,0,0,0,0,0,261,570,453,880,467,456,402,288,124,3894,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,6,0,0,0,10,0,4,0,0,0,15
UCL513003,0,3,0,5,0,0,0,0,0,16,0,6,11,45,29,15,3,0,0,111,0,0,0,8,9,5,0,0,0,23,0,0,0,11,0,0,0,0,0,15,0,9,12,5,0,0,0,0,0,28,0,0,0,3,0,0,0,0,0,3,0,3,0,6,3,0,0,0,0,15,0,0,0,10,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,10,0,0,3,14,6,4,0,0,0,28,0,10,5,77,24,20,7,4,0,148,109,212,163,562,201,131,38,5,0,1425,815,1517,992,3337,1266,787,222,41,5,8976,0,0,0,4,0,0,0,0,0,4,616,1167,580,1840,635,280,87,19,0,5221,0,0,0,4,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,9,0,0,0,15,3,0,0,0,0,19
UCL513004,0,5,0,3,3,0,6,0,0,23,0,3,10,32,30,13,0,0,0,97,0,3,0,18,4,4,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,3,0,0,0,13,0,0,0,0,0,5,0,0,0,9,0,0,0,3,0,3,0,0,0,9,0,0,3,5,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,4,0,0,7,12,26,14,0,0,0,65,0,10,7,46,28,35,12,0,0,140,67,144,139,499,186,175,39,7,0,1265,705,1196,833,2952,1087,933,242,57,10,8028,0,0,0,0,0,0,0,0,0,0,608,955,541,1654,473,353,111,22,9,4724,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,11
