UCL_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
UCL501001,196,2844,17,3061,54902,2686,60648,1353,2024,46,3424,57291,4100,64814,30131,3427,801,34367,99095,11496,144955,73646,2594,2094,78336,58594,10310,147237,43696,3049,1139,47883,74112,8289,130284,7850,8614,207,16682,88790,6170,111637,1379,13590,59,15030,67717,3960,86701,253,3510,22,3782,39397,3019,46197,36,183,0,219,13276,1884,15377,158531,39844,4390,202763,553177,51907,807849,302,4625,46,4981,50305,2613,57892,3349,3967,198,7511,52741,3283,63540,51081,6449,2508,60042,82637,8263,150941,89963,4649,5106,99719,44370,6604,150691,41298,8127,1867,51297,76865,5247,133403,3477,24132,284,27893,85778,4377,118041,955,23479,133,24569,67009,4037,95610,224,4260,26,4509,44870,3961,53346,35,249,0,281,20873,3408,24562,190695,79940,10170,280803,525435,41792,848032,498,7474,72,8041,105206,5293,118535,4706,5987,244,10933,110033,7380,128352,81215,9880,3313,94404,181729,19760,295897,163610,7246,7198,178051,102964,16914,297929,84991,11177,3004,99177,150972,13534,263686,11329,32748,494,44569,174564,10540,229678,2339,37074,191,39597,134722,7999,182320,477,7762,51,8293,84268,6984,99540,69,424,0,497
UCL511001,15,121,0,133,2060,126,2312,123,70,4,192,1596,165,1951,1324,121,50,1489,2541,532,4567,2529,100,114,2742,1618,520,4882,1381,144,40,1564,2760,429,4750,230,405,9,643,3577,338,4551,41,434,0,478,2974,244,3690,10,78,0,84,1687,125,1901,0,4,0,4,485,92,584,5643,1477,213,7332,19296,2567,29199,16,207,0,222,2003,105,2329,249,136,14,397,1381,103,1888,2165,197,167,2525,1946,289,4762,3093,170,244,3497,1320,220,5039,1303,389,79,1778,3052,221,5044,91,1085,16,1197,3418,211,4828,27,698,0,725,3040,206,3978,12,102,0,111,1932,173,2221,6,8,0,10,770,159,942,6963,2988,515,10470,18870,1689,31028,29,329,4,354,4065,226,4649,364,201,21,591,2981,272,3838,3486,317,216,4015,4481,826,9322,5615,272,352,6242,2938,735,9920,2685,538,123,3341,5810,649,9801,325,1494,23,1834,6993,550,9377,75,1129,3,1203,6016,448,7670,26,174,0,200,3616,298,4119,6,10,0,14
UCL512001,0,69,0,72,858,56,989,35,31,0,66,641,63,773,505,48,8,564,1001,251,1812,821,38,36,892,581,204,1675,531,63,23,609,1033,144,1788,103,129,4,233,1563,136,1929,18,161,0,175,1511,114,1803,4,28,0,30,983,77,1085,0,7,0,7,397,47,450,2011,565,77,2650,8563,1083,12299,4,88,3,94,794,49,937,83,61,12,146,521,44,713,740,94,54,887,701,76,1658,1056,75,96,1228,472,80,1774,539,177,33,748,1250,93,2087,45,360,4,411,1669,111,2192,12,273,0,281,1663,120,2063,4,42,0,49,1193,106,1351,0,0,0,0,547,71,623,2479,1171,202,3843,8804,742,13395,4,162,0,166,1655,106,1929,115,90,12,222,1159,105,1484,1238,137,62,1447,1696,323,3469,1876,116,125,2115,1047,282,3451,1066,241,56,1354,2287,232,3878,149,485,8,643,3226,246,4117,31,430,6,463,3172,233,3864,5,73,0,78,2175,181,2432,0,7,0,7
UCL512002,4,40,0,39,720,29,788,23,14,0,39,478,28,540,362,37,15,414,762,113,1294,817,26,33,871,537,122,1536,552,43,21,613,937,125,1675,83,98,0,185,1300,105,1586,11,160,0,172,1499,85,1755,4,29,0,33,946,69,1054,0,0,0,0,279,34,319,1857,449,68,2374,7448,716,10536,0,59,0,57,659,47,764,39,33,5,74,398,28,503,568,58,53,678,569,85,1334,1107,45,77,1231,426,74,1734,566,112,26,705,1115,62,1885,28,332,3,359,1453,88,1900,6,284,4,302,1567,98,1968,0,34,0,37,1014,88,1139,0,0,0,5,515,52,570,2318,955,171,3444,7720,632,11800,5,91,0,99,1375,76,1548,54,54,5,112,877,52,1042,928,94,65,1093,1329,203,2622,1922,75,112,2108,964,193,3266,1122,149,46,1319,2050,193,3560,114,431,3,550,2750,189,3486,22,449,4,473,3071,180,3722,3,66,0,75,1964,164,2196,0,0,0,5
UCL512003,0,43,0,40,903,133,1074,42,29,5,77,712,88,875,526,63,24,608,1035,233,1879,862,40,29,932,754,246,1933,514,55,19,587,1264,235,2085,98,165,3,271,1646,199,2117,17,142,0,162,1285,111,1561,0,37,0,39,735,89,870,0,0,0,0,264,53,319,2073,583,77,2726,8597,1387,12707,10,86,0,97,826,90,1010,127,64,3,193,641,87,920,807,84,71,957,808,200,1964,1129,77,105,1301,592,213,2109,502,178,34,707,1380,186,2276,52,416,6,473,1497,145,2114,10,273,3,285,1260,136,1677,4,44,0,45,847,108,1002,0,6,0,6,363,82,449,2632,1225,214,4070,8203,1250,13528,11,130,0,140,1730,224,2090,166,97,9,270,1356,170,1795,1338,148,90,1572,1839,434,3846,1991,118,133,2240,1348,456,4050,1013,233,54,1297,2648,413,4359,151,582,11,741,3146,347,4229,31,418,3,449,2543,245,3237,3,77,0,80,1579,203,1863,0,6,0,9
UCL512004,0,39,0,47,716,83,849,64,24,0,90,804,157,1048,635,51,19,711,1379,344,2434,972,46,32,1055,903,304,2255,441,56,12,507,1285,271,2060,91,117,0,217,1435,216,1866,7,58,0,58,789,131,980,7,13,0,17,284,49,354,0,0,0,0,53,9,60,2230,400,74,2703,7649,1556,11912,8,75,0,79,609,81,772,126,51,10,187,626,96,912,955,76,74,1107,951,248,2308,1137,70,65,1270,607,208,2085,365,154,16,530,1130,172,1829,38,246,3,284,1096,145,1526,9,105,0,114,587,88,785,0,21,0,26,266,32,322,0,0,0,0,115,23,138,2638,799,162,3601,5998,1088,10682,13,109,0,126,1325,168,1616,188,77,10,277,1428,254,1961,1592,130,94,1820,2335,594,4745,2110,119,97,2327,1511,510,4344,805,211,24,1042,2410,436,3886,131,367,9,503,2540,362,3399,15,157,0,174,1384,215,1770,10,31,0,43,553,80,669,0,0,0,0
UCL513001,0,14,0,18,282,71,375,19,14,0,34,257,83,367,205,33,12,252,632,197,1081,457,24,24,501,411,186,1106,263,25,15,308,539,206,1048,43,48,0,88,554,142,783,6,31,0,43,338,60,438,3,3,0,12,86,18,118,0,0,0,0,23,10,33,996,202,53,1249,3127,966,5349,0,41,0,42,309,84,435,35,27,0,69,243,71,374,339,58,24,433,740,251,1424,584,55,59,705,427,174,1310,232,59,18,312,562,153,1024,23,107,0,128,552,109,791,0,61,0,57,266,58,380,0,13,0,13,92,17,123,0,0,0,0,22,10,31,1226,420,111,1754,3202,933,5887,8,53,0,61,588,163,804,57,47,0,104,497,146,748,545,93,43,681,1379,453,2504,1039,83,90,1211,841,359,2413,497,89,29,610,1101,362,2075,65,150,0,219,1102,250,1573,6,92,0,99,606,115,819,3,17,0,21,174,41,237,0,0,0,0
UCL513002,0,9,0,13,286,53,350,15,6,0,21,201,31,253,160,21,5,195,316,76,583,277,14,8,306,211,61,573,146,17,4,177,390,70,641,24,59,0,88,526,71,679,0,38,0,37,440,52,531,0,5,0,10,289,49,353,0,0,0,0,89,7,96,633,187,25,843,2753,475,4065,3,26,0,32,217,37,283,40,20,0,58,174,24,254,267,38,22,319,253,56,632,337,22,36,396,162,65,627,136,65,9,209,361,52,618,17,127,0,147,464,47,659,3,72,0,75,438,42,556,0,22,0,23,333,54,409,0,3,0,5,144,14,157,806,389,63,1259,2543,391,4191,4,36,0,44,502,87,635,50,27,0,80,373,54,506,425,62,31,519,571,129,1217,614,39,43,698,368,128,1197,288,78,9,381,749,129,1256,43,187,0,234,989,114,1337,5,112,0,113,878,98,1090,3,30,0,30,629,104,760,0,6,0,8
UCL513003,0,24,0,27,408,79,506,19,14,0,29,357,101,485,403,33,9,445,846,272,1557,828,23,17,873,605,308,1780,350,23,5,387,663,214,1266,30,54,0,88,568,127,787,6,17,0,21,161,44,222,0,0,0,0,29,5,41,0,0,0,0,4,0,5,1637,194,34,1866,3632,1148,6644,3,34,0,40,315,59,417,37,23,3,67,268,71,408,599,51,48,694,686,247,1633,837,45,61,947,405,220,1571,281,68,23,363,582,144,1092,9,90,0,96,367,82,544,0,25,0,25,116,25,164,0,0,0,0,29,4,37,0,0,0,0,9,0,8,1761,341,136,2234,2774,855,5868,11,58,0,62,725,135,924,53,40,3,98,629,174,890,1003,85,55,1141,1529,523,3195,1667,67,82,1813,1008,533,3353,629,97,28,752,1246,358,2357,38,144,0,186,933,211,1328,6,44,0,49,268,68,384,0,3,0,3,63,14,75,0,0,0,0
UCL513004,5,27,0,31,314,72,420,32,21,3,51,279,83,417,390,32,17,445,761,271,1471,605,25,15,640,592,250,1483,205,25,9,241,656,193,1087,43,46,0,84,675,174,933,0,13,0,19,177,42,242,0,0,0,0,53,7,57,0,0,0,0,9,6,10,1278,188,46,1512,3517,1092,6121,5,46,0,52,258,60,377,40,27,4,72,266,71,413,578,51,45,671,622,239,1531,617,43,51,713,397,185,1299,146,67,8,215,507,151,868,10,86,0,101,441,90,633,0,28,0,28,157,31,215,0,4,0,6,32,11,44,0,0,0,0,7,3,12,1404,352,115,1870,2695,833,5397,14,74,0,90,573,126,793,67,49,8,124,544,157,825,969,82,60,1115,1387,512,3009,1223,67,64,1357,993,431,2783,349,89,17,454,1157,337,1956,46,130,0,184,1117,268,1568,4,42,0,50,334,67,455,0,8,0,3,81,21,103,0,0,0,0
