UCL_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
UCL501001,6,1293,..,28212,2684,30898,317,31210,..,10591,1355,11947,97,12039,..,2880,446,3325,21,3341,..,603,262,867,6,871,..,2556,886,3440,23,3459,..,2469,420,2893,18,2914,..,4114,264,4371,44,4413,..,3082,549,3627,24,3656,..,2632,273,2906,19,2930,..,3650,429,4076,39,4116,..,1912,226,2141,11,2150,..,337,17,360,0,359,..,2345,406,2751,10,2760,..,5357,157,5515,41,5554,..,5940,616,6551,59,6616,..,7681,294,7975,41,8015,..,4055,304,4362,35,4395,..,23032,1371,24402,174,24573,..,5656,565,6218,64,6286,..,3822,319,4137,36,4174,..,3767,698,4464,21,4490,..,721,213,935,7,944,..,7795,3800,11596,78,11673,..,32257,5385,37649,662,38309,..,197322,30969,228297,2226,230519,..,5059,777,5843,40114,45954,760255,202383,31750,234135,42344,1036733,1504326,..,..,..,..,1504326,..,11170,164,11329,62,11398,..,13246,2047,15291,110,15400,..,1779,48,1828,26,1856,..,15231,3737,18964,151,19118,..,38350,10541,48891,479,49372
UCL511001,0,14,..,271,26,295,3,296,..,220,33,253,7,257,..,42,4,49,0,47,..,4,0,4,0,4,..,44,19,57,0,57,..,5,0,5,0,5,..,102,11,112,0,112,..,19,3,23,0,23,..,58,5,64,0,64,..,34,0,36,0,36,..,50,11,58,0,58,..,5,0,3,0,3,..,10,0,10,0,10,..,174,0,181,5,183,..,65,6,71,0,69,..,251,6,258,0,258,..,110,3,112,3,118,..,605,22,625,13,632,..,75,4,75,0,81,..,30,0,30,0,30,..,82,15,98,0,98,..,6,0,6,0,6,..,44,32,81,0,82,..,495,47,538,16,559,..,3047,350,3399,43,3437,..,134,7,142,1653,1789,33008,3178,357,3539,1696,38239,64393,..,..,..,..,64393,..,642,9,647,4,655,..,146,15,159,0,158,..,106,3,111,0,111,..,76,15,99,3,97,..,355,145,498,4,503
UCL512001,0,7,..,36,0,34,0,36,..,67,4,73,4,73,..,15,0,12,0,12,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,0,0,..,16,0,19,0,19,..,5,0,5,0,5,..,19,0,21,0,21,..,3,0,3,0,3,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,115,6,118,0,118,..,35,3,38,0,38,..,116,7,124,0,124,..,46,0,44,0,44,..,313,17,326,0,332,..,11,0,10,0,10,..,11,0,11,0,11,..,35,4,41,0,41,..,0,0,0,0,0,..,17,0,16,0,16,..,201,63,262,0,263,..,1005,119,1126,4,1133,..,47,6,53,709,762,14160,1058,127,1181,714,16062,27117,..,..,..,..,27117,..,172,3,169,0,171,..,6,0,6,0,6,..,30,0,30,0,30,..,33,11,41,0,41,..,68,20,87,0,87
UCL512002,0,5,..,56,10,60,0,60,..,38,4,36,0,41,..,20,0,20,0,20,..,0,0,0,0,0,..,11,4,16,0,16,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,3,0,3,..,10,0,10,0,10,..,12,3,11,3,15,..,9,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,14,4,15,0,18,..,23,0,23,0,23,..,28,0,33,0,35,..,9,0,9,0,9,..,76,4,82,0,83,..,10,0,10,0,17,..,8,0,8,0,8,..,43,8,46,0,54,..,0,0,0,0,0,..,27,12,42,0,42,..,142,32,171,0,171,..,695,88,775,15,792,..,58,6,61,603,664,12741,751,89,841,611,14197,24377,..,..,..,..,24377,..,144,0,142,0,142,..,18,6,17,0,17,..,34,0,41,0,40,..,21,9,30,0,30,..,33,8,47,0,47
UCL512003,0,0,..,82,12,89,0,89,..,70,11,76,0,76,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,4,0,4,..,64,0,64,0,65,..,0,0,0,0,0,..,9,0,9,0,9,..,10,0,11,0,11,..,9,0,5,0,5,..,4,0,4,0,4,..,0,0,0,0,0,..,82,0,89,0,89,..,39,0,40,0,40,..,105,8,109,0,109,..,142,36,172,0,176,..,369,46,415,4,415,..,16,0,16,0,16,..,7,0,7,0,7,..,69,12,85,0,85,..,0,0,0,0,0,..,49,28,81,0,81,..,223,17,243,6,249,..,1258,157,1413,17,1428,..,78,5,81,1467,1552,13751,1333,168,1501,1478,16731,26891,..,..,..,..,26891,..,224,7,227,4,233,..,29,5,37,0,38,..,123,5,130,5,133,..,21,5,27,0,27,..,82,36,115,0,120
UCL512004,0,23,..,190,23,213,0,216,..,31,4,30,0,30,..,3,0,3,0,3,..,4,0,7,0,7,..,12,8,13,0,15,..,0,0,0,0,0,..,20,0,22,0,25,..,19,3,20,0,20,..,0,0,4,0,4,..,26,8,33,0,33,..,15,3,14,0,14,..,28,0,35,0,35,..,7,0,7,0,7,..,137,0,140,0,140,..,32,4,34,0,38,..,165,7,169,0,168,..,40,0,43,0,43,..,373,9,383,4,383,..,45,4,49,0,49,..,17,0,17,0,17,..,94,20,115,0,115,..,4,0,4,0,4,..,25,10,36,0,36,..,467,25,495,8,500,..,1708,140,1854,23,1871,..,99,14,113,1244,1352,10579,1808,156,1960,1257,13805,22163,..,..,..,..,22163,..,300,3,308,0,308,..,43,0,52,0,52,..,153,6,155,0,157,..,14,7,18,0,18,..,165,31,200,0,199
UCL513001,0,0,..,32,0,33,0,33,..,43,3,48,0,48,..,19,7,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,14,0,14,0,14,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,47,0,47,0,47,..,6,0,4,0,4,..,45,0,45,0,45,..,7,0,7,0,7,..,107,0,111,0,111,..,63,4,67,0,67,..,5,0,5,0,5,..,43,11,58,0,58,..,4,0,4,0,4,..,15,0,16,0,16,..,283,9,290,3,294,..,860,50,904,5,914,..,71,12,80,1000,1077,5565,929,59,988,1001,7553,10859,..,..,..,..,10859,..,23,0,23,0,23,..,9,0,9,0,9,..,370,11,384,7,389,..,33,9,46,0,46,..,80,10,89,0,93
UCL513002,0,0,..,21,3,19,0,19,..,4,0,3,0,3,..,0,0,0,0,0,..,0,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,3,6,0,6,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,25,0,24,0,24,..,8,0,8,0,8,..,6,0,9,0,9,..,0,0,0,0,0,..,38,3,39,0,39,..,9,0,8,0,8,..,0,0,0,0,0,..,23,0,25,0,25,..,0,0,0,0,0,..,7,0,7,0,7,..,45,0,44,0,45,..,233,16,255,4,258,..,23,0,29,432,458,4442,262,19,276,437,5152,8783,..,..,..,..,8783,..,65,0,67,0,68,..,0,0,3,0,3,..,26,0,26,0,26,..,15,3,14,0,13,..,11,4,16,0,12
UCL513003,0,12,..,148,9,154,3,157,..,6,0,6,0,6,..,7,0,7,0,7,..,5,0,7,0,7,..,3,0,3,0,3,..,8,0,11,0,11,..,11,0,14,0,14,..,0,0,0,0,0,..,8,0,8,0,9,..,17,0,17,0,17,..,4,0,4,0,4,..,7,0,7,0,7,..,8,0,8,0,8,..,79,3,83,0,83,..,22,0,23,0,23,..,101,4,106,0,106,..,18,0,19,0,19,..,218,7,227,0,231,..,23,0,23,0,23,..,8,0,9,0,9,..,80,14,90,0,94,..,0,0,0,0,0,..,14,3,17,0,17,..,219,20,245,6,246,..,986,78,1067,13,1081,..,58,4,65,1106,1172,5786,1049,87,1133,1117,8036,12300,..,..,..,..,12300,..,92,4,94,0,98,..,15,3,16,0,16,..,151,8,153,4,155,..,29,0,29,0,30,..,86,25,107,0,112
UCL513004,0,5,..,85,14,100,0,96,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,12,0,12,..,9,0,9,0,9,..,6,0,9,0,9,..,7,0,8,0,8,..,3,0,3,0,3,..,8,0,9,0,9,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,3,0,3,..,76,4,73,0,73,..,46,7,53,0,53,..,104,10,108,6,112,..,134,16,148,0,148,..,361,30,388,8,397,..,7,4,12,0,14,..,4,5,12,0,12,..,62,3,65,0,69,..,0,3,8,0,8,..,23,0,29,0,29,..,250,9,264,4,270,..,1008,89,1097,15,1116,..,88,9,97,982,1076,5078,1097,94,1193,1002,7271,10654,..,..,..,..,10654,..,86,0,88,0,88,..,30,0,30,0,30,..,256,13,267,7,272,..,23,5,23,0,23,..,60,4,70,0,72
