UCL_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
UCL501001,6,25,51,337,170,167,117,63,14,955,53,583,1358,7241,2672,2031,1051,312,175,15468,0,19,21,327,215,431,572,337,220,2138,8,122,132,296,88,126,162,121,59,1112,171,2544,5588,15359,13700,17289,13143,9580,3648,81024,0,19,33,202,97,117,53,26,5,552,12,66,106,934,252,182,116,73,29,1769,9,96,201,1354,664,630,970,636,202,4759,3,12,38,79,55,114,229,286,223,1032,34,165,363,1420,415,447,359,84,36,3322,241,1614,2220,15481,2753,2215,1800,1110,440,27878,62,332,705,3640,1522,798,652,220,65,7990,12,145,265,1581,393,307,191,71,36,2998,7,115,182,789,314,153,79,29,0,1667,39,399,449,3525,914,908,764,508,200,7707,8,95,153,1028,395,788,2081,1893,1379,7826,46,138,200,1364,815,298,156,59,18,3091,33,180,191,2059,519,225,96,26,3,3334,3,23,26,162,100,125,71,23,6,540,65,638,1552,5979,2657,2548,2465,897,250,17056
UCL511001,0,0,0,5,4,0,0,0,0,8,0,4,13,66,32,17,3,0,0,135,0,0,0,0,0,3,3,0,0,11,0,0,0,5,0,0,0,0,0,10,5,43,106,284,321,540,409,305,108,2122,0,0,0,4,0,0,0,0,0,7,0,0,0,14,6,3,0,9,0,33,0,0,8,29,15,23,37,29,12,147,0,0,0,3,0,0,4,4,0,16,0,3,3,17,0,5,0,0,0,29,3,25,13,174,17,13,13,9,3,270,0,3,4,59,15,3,9,0,0,96,0,0,0,13,0,0,0,0,0,16,0,3,3,13,3,0,0,0,0,22,0,8,21,53,24,17,25,6,6,152,0,0,0,8,6,13,56,41,31,155,0,0,0,16,10,0,0,0,0,32,0,0,5,46,3,0,0,0,0,56,0,0,0,6,0,3,3,4,0,21,0,5,3,48,24,13,14,8,0,110
UCL512001,0,0,0,0,0,0,0,0,0,0,0,0,3,22,4,10,0,0,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,5,31,111,140,280,264,260,118,1200,0,0,0,0,5,0,0,0,0,3,0,0,3,9,0,0,0,0,0,12,0,0,0,21,8,10,38,19,10,101,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,10,0,0,0,27,9,0,10,3,0,58,0,0,4,21,6,5,4,0,0,42,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,11,3,27,0,0,0,8,4,3,12,18,14,58,0,0,0,8,3,3,0,0,0,16,0,0,3,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,4,4,5,0,24
UCL512002,0,0,0,0,0,0,0,0,0,5,0,0,0,8,4,5,0,3,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,26,19,122,149,218,288,223,97,1145,0,0,0,0,0,0,0,0,0,5,0,0,0,11,5,0,3,0,0,22,0,0,6,23,10,6,14,13,3,75,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,7,0,0,0,27,6,5,0,3,3,54,0,4,0,18,14,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,18,7,11,9,8,7,62,0,0,0,8,0,3,4,6,7,21,0,0,0,15,4,0,0,0,0,18,0,0,0,19,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,15
UCL512003,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,38,0,0,0,0,0,0,0,3,0,5,4,0,0,5,0,0,0,0,0,12,0,13,33,79,117,132,107,111,35,631,0,0,3,9,0,0,0,0,0,15,0,0,0,3,0,4,0,0,0,11,0,0,7,14,4,18,12,10,5,61,0,0,0,0,0,6,0,0,0,5,0,0,0,5,0,0,0,0,0,6,3,11,3,61,7,7,7,6,0,105,0,3,4,25,12,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,8,3,5,3,0,42,0,0,0,3,0,9,16,17,15,57,0,0,0,0,4,0,0,0,0,3,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,8,3,0,0,30
UCL512004,0,0,0,12,7,5,0,0,0,28,0,0,0,42,13,4,3,0,0,57,0,0,0,0,5,3,0,0,0,15,0,0,0,5,0,0,4,0,0,7,0,11,8,75,53,85,43,16,3,299,0,4,5,26,4,4,0,0,0,49,0,0,0,7,0,0,0,0,0,14,0,0,0,12,8,0,10,0,3,37,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,11,8,105,16,4,4,9,0,161,0,0,3,27,10,4,3,0,0,46,0,0,0,11,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,4,0,5,0,23,0,3,0,4,0,39,0,0,0,0,0,5,0,0,4,15,0,0,0,0,4,0,0,0,0,4,0,0,0,11,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,3,0,0,0,25
UCL513001,0,0,0,14,0,0,0,0,0,14,0,0,8,56,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,81,50,55,22,11,0,232,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,4,0,0,0,28,0,0,5,22,9,9,0,5,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,3,0,16,0,5,5,0,0,30,0,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,25,0,0,0,14,4,3,0,0,0,22,0,0,0,14,7,0,0,0,0,17,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,4,0,0,13
UCL513002,0,0,0,5,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,19,47,35,34,11,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,7,5,6,6,0,31,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,8,0,0,0,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
UCL513003,0,0,0,0,0,4,0,0,0,0,0,0,5,26,4,0,0,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,5,87,36,43,12,5,0,189,0,0,0,3,0,0,3,0,0,11,0,0,6,7,4,0,0,0,0,20,0,0,3,10,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,11,5,77,18,0,0,0,0,112,0,5,4,20,11,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,28,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,0,0,0,13,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,17
UCL513004,0,0,0,0,0,0,0,0,0,0,0,0,9,30,5,0,0,0,0,43,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,8,55,14,47,6,3,0,139,0,0,4,0,7,0,0,0,0,11,0,0,0,4,0,0,0,0,0,7,0,0,0,9,6,0,4,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,5,60,12,4,0,0,0,92,0,8,7,34,11,4,0,0,0,65,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,15,8,0,0,5,0,28
