UCL_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
UCL501001,38,14,8,34,0,47,3,22,19,592,11,787,5,11,0,6,0,13,0,23,6,130,3,203,3,12,3,7,0,20,7,86,6,208,5,358,3,6,0,12,0,33,0,92,11,190,0,345,9,21,0,18,8,68,11,200,18,477,4,823,18,53,3,36,4,137,17,366,43,534,16,1235,38,154,15,110,9,434,17,672,87,1065,18,2623,69,295,12,263,26,1190,40,892,112,1078,30,3995,151,599,27,707,76,2550,91,1272,196,1547,40,7249,434,962,60,2293,175,3773,146,1241,240,1426,52,10796,568,799,69,3264,287,3984,160,1004,268,1151,38,11581,1042,804,75,4265,402,3978,178,768,256,991,52,12814,5087,1617,236,11348,1213,8490,484,1452,554,1659,80,32211,6518,1315,273,13138,1453,3099,548,773,275,937,41,28371,7130,984,232,11041,1452,3924,446,623,274,664,29,26807,6789,615,185,7188,1147,1326,322,330,105,329,31,18367,22575,1740,509,21731,2942,9218,775,1093
UCL511001,0,0,0,0,0,3,0,0,0,8,0,12,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,13,0,21,0,0,0,0,0,3,0,7,0,16,0,36,0,3,0,0,0,12,0,15,3,35,0,77,5,3,0,7,0,29,0,20,3,49,0,118,8,16,0,28,4,77,4,28,9,53,0,228,10,30,6,78,9,131,4,58,10,54,0,386,16,26,3,128,7,157,11,24,12,28,0,417,35,21,3,180,16,155,10,28,10,27,0,496,152,57,14,482,54,339,12,41,24,37,0,1220,235,38,7,569,49,109,31,22,11,16,3,1081,271,35,11,437,44,112,23,15,15,15,0,972,225,12,5,246,22,38,18,7,4,4,6,575,507,27,12,437,66,161,27,15
UCL512001,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,3,0,8,0,8,0,13,3,41,0,0,0,3,0,13,0,16,0,16,0,51,0,12,0,20,0,33,0,17,0,27,0,109,6,19,0,56,3,69,3,19,0,18,0,204,13,13,0,55,5,72,4,17,4,16,0,202,16,11,4,94,7,46,3,11,4,8,0,204,83,36,3,209,29,80,13,20,4,13,5,493,107,19,0,188,16,38,10,10,5,3,0,388,98,11,0,144,12,23,3,6,0,0,0,306,68,9,5,59,6,6,6,0,4,0,0,157,129,7,4,110,15,46,7,3
UCL512002,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,0,0,0,0,3,0,4,0,0,0,15,0,4,0,3,0,6,0,10,0,9,0,26,3,0,0,0,0,4,0,8,0,11,0,38,6,4,0,9,0,25,0,21,3,15,0,84,7,17,0,32,0,62,0,25,0,25,0,166,5,13,0,74,4,35,5,16,3,14,0,166,9,11,5,66,4,44,5,10,3,6,0,161,58,26,3,167,17,79,9,12,4,10,0,384,80,18,6,150,13,32,12,5,6,4,0,334,82,13,0,131,11,25,21,6,7,3,0,297,59,10,4,84,7,6,4,0,0,0,0,182,144,13,9,149,16,29,12,4
UCL512003,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,7,0,5,0,14,0,0,0,0,0,0,0,4,0,15,3,29,0,3,0,0,0,10,0,14,0,22,0,52,5,4,0,6,0,31,0,9,4,25,0,79,5,14,5,27,5,43,8,24,3,23,0,151,10,6,0,54,0,51,5,13,4,16,0,157,15,11,4,52,4,38,0,17,4,17,0,169,78,27,4,183,23,111,11,15,10,14,0,466,103,31,3,214,18,33,15,12,6,6,0,432,108,8,4,124,14,42,6,6,4,3,0,339,103,4,0,77,13,14,10,0,0,0,0,230,203,19,7,137,20,39,12,9
UCL512004,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,3,0,0,0,9,0,13,0,0,0,5,0,4,0,3,0,12,0,33,0,3,0,0,0,16,4,4,0,8,0,43,3,3,0,7,0,27,0,11,0,8,0,60,0,5,0,22,0,42,0,3,5,13,0,90,5,4,0,47,0,46,4,3,11,0,0,124,37,5,4,130,16,168,4,12,5,13,4,398,87,18,0,175,16,51,9,9,4,3,0,376,133,12,3,157,22,94,9,4,3,3,5,445,123,0,3,96,24,30,12,3,5,0,0,294,447,20,13,262,57,132,12,6
UCL513001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,3,0,6,0,4,0,12,0,0,0,5,0,7,0,4,0,10,0,27,0,0,0,3,0,3,0,3,0,11,0,32,0,7,5,4,0,9,0,0,0,3,0,35,4,4,0,20,3,13,0,3,4,0,0,57,35,6,0,56,9,28,0,10,4,10,0,167,54,5,0,76,10,14,3,4,0,0,0,175,76,0,5,85,12,17,7,5,0,0,0,196,62,0,6,33,13,13,3,3,0,0,3,130,153,5,4,91,16,26,0,6
UCL513002,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,4,0,0,0,5,0,11,0,4,0,6,0,8,0,0,0,9,0,28,0,5,0,17,0,25,0,4,3,5,0,57,3,5,0,27,0,16,0,3,0,4,0,49,6,3,0,29,4,19,0,3,4,3,0,66,30,4,5,58,4,30,3,4,7,3,0,159,29,3,3,56,3,10,0,0,0,0,0,112,28,7,5,46,6,13,3,0,0,0,0,106,19,0,0,26,0,6,3,0,0,0,0,57,51,0,0,42,6,11,5,0
UCL513003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,5,0,0,3,3,0,15,0,0,0,6,0,15,0,3,0,3,0,31,3,4,0,11,0,14,0,0,3,0,0,40,5,4,0,20,0,24,0,4,5,3,0,69,31,3,0,45,8,81,5,6,0,3,0,204,50,7,0,102,8,26,4,3,0,0,0,204,71,7,7,85,18,44,0,0,9,0,0,243,75,0,4,75,10,13,10,0,0,0,0,179,306,26,11,290,65,153,22,3
UCL513004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,4,0,3,0,3,3,17,0,0,0,0,0,5,0,5,0,5,0,18,0,6,0,0,0,4,0,3,0,3,0,20,0,0,0,3,0,9,0,0,0,3,0,25,0,0,0,9,3,16,0,0,5,0,0,44,14,4,0,28,12,74,0,9,7,0,0,156,41,11,0,76,7,22,4,0,7,3,0,171,65,4,0,56,18,44,6,4,3,0,0,209,63,4,5,56,19,14,4,0,0,0,0,162,305,5,15,147,39,76,12,9
