UCL_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL501001,109,793,1078,4122,553,282,193,60,14,7203,0,64,205,379,478,218,75,15,3,1429,131,2889,5463,11770,5906,2728,1275,293,40,30488,6,80,104,1390,687,914,1268,361,315,5122,0,13,44,158,105,86,53,20,3,483,46,746,1486,4560,3794,4702,3920,2452,823,22530,74,906,1699,4700,2400,2426,2080,750,203,15238,154,2038,5147,12220,8177,5375,2956,1263,369,37701,43,493,914,3544,1407,898,782,394,111,8590,43,130,110,2479,268,150,146,30,6,3362,88,898,1361,3365,1424,682,341,61,13,8226,13,73,71,587,289,195,88,46,17,1375,208,932,1040,2818,1133,1125,894,354,90,8594,82,599,1200,5799,3656,3019,1845,507,235,16942,19,171,400,1316,1003,1096,905,564,191,5661,30,306,1273,3708,2224,1749,835,257,68,10442,479,4725,7455,31028,11544,9641,7092,4126,1435,77528,3963,8771,9564,30132,12035,9877,7732,6153,4261,92480,125841,262039,246891,593820,263686,229678,182320,99540,39936,2043762
UCL511001,3,20,9,56,0,5,3,0,0,92,0,6,5,16,13,10,3,0,0,44,12,99,143,413,196,69,42,3,0,982,0,0,0,25,7,18,19,9,10,91,0,0,0,7,4,0,0,0,0,11,0,9,18,57,67,126,105,63,18,455,0,7,9,36,14,19,20,7,0,116,3,102,204,403,333,211,105,48,18,1433,0,4,3,32,8,8,6,0,0,67,0,0,5,135,0,0,4,0,0,148,0,23,15,61,40,18,5,0,0,161,0,0,0,0,0,6,0,0,0,7,0,14,10,34,29,32,41,9,0,185,0,7,7,52,25,13,13,0,0,114,0,0,4,21,20,27,23,20,8,126,0,21,50,124,96,86,53,7,6,456,11,73,49,333,180,169,118,72,24,1030,162,378,356,1074,524,510,402,273,189,3881,4533,10441,8488,19244,9801,9377,7670,4119,1523,75196
UCL512001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,64,90,223,128,40,31,8,0,580,0,0,0,6,9,0,3,10,3,36,0,0,0,0,0,3,0,0,0,5,0,5,5,16,20,53,39,50,22,209,0,0,0,3,8,4,0,0,0,27,0,31,47,92,81,51,29,15,5,364,3,0,4,5,5,0,5,0,0,28,0,0,0,7,0,0,0,0,0,15,0,39,42,38,8,3,5,0,0,138,0,0,0,6,0,0,0,0,0,6,0,4,12,21,11,24,21,11,3,101,0,3,0,19,5,3,0,0,0,33,0,0,0,10,11,20,14,11,3,67,0,0,10,24,22,15,13,3,0,82,0,17,28,126,51,73,76,46,18,435,39,162,131,345,195,228,208,142,90,1545,1593,3841,3413,6919,3878,4117,3864,2432,1066,31128
UCL512002,0,3,5,6,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,8,0,9,28,59,17,19,9,0,0,141,0,0,0,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,7,22,20,44,55,32,4,195,0,0,0,6,9,5,8,3,0,32,0,22,32,78,70,46,34,7,5,304,0,4,3,12,8,0,0,0,0,28,0,0,0,17,0,0,0,0,0,17,0,7,7,28,19,11,4,0,0,69,0,0,0,0,0,0,0,0,0,4,0,11,3,23,6,10,14,6,0,84,0,7,8,20,13,3,3,0,0,59,0,0,0,4,9,13,16,7,3,63,0,0,0,13,24,15,8,0,0,61,5,13,13,89,57,58,47,41,26,351,37,133,100,363,169,183,184,160,65,1397,1320,3579,2591,5887,3560,3486,3722,2196,884,27233
UCL512003,0,0,0,33,3,3,0,0,0,41,0,0,0,8,0,3,4,0,0,13,8,39,60,175,90,45,25,9,0,449,0,0,0,0,3,0,4,4,0,17,0,0,0,5,0,0,0,0,0,11,0,7,0,14,22,40,31,28,3,147,0,0,0,12,4,10,0,3,0,37,0,26,45,139,97,51,31,13,0,397,0,6,10,13,12,3,0,0,0,32,0,0,4,26,0,0,0,0,0,35,4,18,12,41,26,15,3,0,0,122,0,0,0,0,0,0,0,0,0,3,0,7,6,28,10,15,17,3,0,76,0,3,3,40,16,16,11,3,0,96,0,0,7,3,15,12,6,0,0,41,0,8,8,28,22,14,7,3,0,91,0,23,23,98,68,58,36,36,14,349,178,426,342,853,411,349,250,185,99,3096,1949,4524,3882,7893,4359,4229,3237,1863,762,32717
UCL512004,0,6,10,37,4,3,3,0,0,62,6,25,38,53,37,10,0,0,0,168,7,80,105,315,129,79,27,8,3,748,0,0,0,6,0,0,4,0,0,9,0,0,3,6,5,4,0,0,0,23,0,0,5,30,11,30,20,18,3,114,0,0,5,9,8,6,0,0,0,23,7,57,81,191,111,53,15,7,0,529,0,0,5,22,8,0,3,0,0,38,0,0,0,18,0,0,0,0,0,18,0,23,16,63,38,23,6,0,0,171,0,0,0,5,0,0,0,0,0,10,0,4,7,23,5,6,5,0,0,52,0,4,3,27,4,0,4,0,0,49,0,0,0,10,5,7,0,0,0,26,0,24,31,132,60,46,12,0,3,316,17,57,43,255,96,64,33,21,10,590,166,393,319,847,356,347,197,81,33,2744,2227,4245,3575,9088,3886,3399,1770,669,202,29068
UCL513001,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,6,0,18,41,92,40,28,8,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,11,3,0,0,52,0,0,0,6,3,4,4,0,0,23,0,6,5,39,19,18,11,0,0,96,0,6,0,10,9,0,0,0,0,24,0,0,0,16,0,0,0,0,0,23,0,3,4,33,14,5,0,0,0,69,0,0,0,4,5,0,0,0,0,6,0,0,3,23,8,7,4,0,3,49,0,4,0,15,0,0,0,0,0,25,0,0,0,3,0,0,0,0,0,10,0,0,3,17,8,4,4,0,0,34,3,9,17,179,33,20,14,5,0,279,126,311,221,681,314,232,110,36,17,2050,1060,2368,1552,4914,2075,1573,819,237,63,14660
UCL513002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,32,11,10,4,0,0,76,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,12,6,19,0,50,0,0,0,3,0,5,0,0,0,6,0,5,15,40,20,16,12,6,0,116,0,4,0,14,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,3,4,12,4,9,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,14,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,8,0,0,6,18,8,0,0,0,0,27,0,5,5,23,11,13,13,8,3,87,43,160,113,268,139,138,98,97,21,1071,592,1365,1140,2410,1256,1337,1090,760,255,10218
UCL513003,0,4,0,33,3,0,0,0,0,39,0,0,0,7,5,0,0,0,0,16,0,37,50,166,101,46,12,0,0,408,0,0,0,6,4,3,0,0,0,13,0,0,0,3,0,0,5,0,0,4,0,0,5,33,21,18,5,0,0,79,0,3,4,9,7,0,0,0,0,26,0,16,25,95,50,22,5,6,0,213,0,0,4,17,9,3,0,0,0,36,0,0,0,29,0,0,0,0,0,32,3,16,18,67,25,12,0,0,0,136,0,0,0,4,0,0,0,0,0,4,0,3,0,23,9,0,0,0,0,36,0,0,6,27,3,5,0,0,0,39,0,0,0,0,0,0,0,4,0,13,0,0,0,34,9,10,0,0,0,53,0,16,17,162,50,25,12,5,0,299,178,423,273,1026,349,211,62,14,4,2538,1508,2990,1816,6546,2357,1328,384,75,11,17013
UCL513004,0,0,0,9,3,0,0,0,0,12,0,0,4,9,3,4,0,0,0,20,0,49,54,218,72,43,15,0,0,451,0,0,0,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,4,19,7,15,6,0,0,59,0,5,0,13,4,8,9,0,0,39,0,11,14,66,61,31,7,0,0,194,0,10,0,30,3,9,3,0,0,47,0,0,0,0,0,0,0,0,0,9,0,13,8,56,13,3,0,0,0,92,0,0,0,0,4,5,0,0,0,13,0,3,0,19,0,9,3,0,0,31,0,7,5,19,6,0,0,0,0,33,0,0,0,0,6,7,4,0,0,10,0,4,18,28,36,22,0,0,0,101,0,8,12,100,38,49,12,0,0,233,136,278,261,906,343,258,64,15,6,2272,1385,2392,1619,5791,1956,1568,455,103,25,15298
