UCL_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
UCL501001,195,51,554,313,800,88,2007,4778,1031,11018,4516,18857,969,41170,1686,389,5114,3615,15243,748,26793,732,182,1680,802,2484,131,6005,1815,454,7180,6267,34933,1485,52125,902,178,2718,1610,5605,307,11320,1558,306,5561,3047,8335,728,19528,848,151,3766,3511,6221,596,15088,1803,429,5094,4535,8523,917,21296,436,117,1538,794,1152,109,4132,1370,582,4412,2043,1143,229,9772,414,128,1822,1160,1778,177,5476,8120,1749,20754,5272,4773,931,41588,790,213,2484,1582,3942,366,9373,3012,1430,7486,5153,7720,692,25495,5182,2358,8152,1750,2620,374,20429,5197,1352,11236,3195,4407,718,26107,479,147,1849,957,1818,192,5450,766,223,2046,1652,9616,373,14666,1792,311,4536,2445,8201,2162,19443,41872,11763,108984,54219,148170,12261,377274,116,47,447,226,345,72,1255,1703,596,4684,1574,2656,269,11482,748,279,2798,1733,2634,370,8569,369,131,956,391,574,61,2494,643,303,3025,2049,3157,380,9565,388,175,1648,928,1539,208,4897,1626,465,7123,4695,9850,1117,24880,927,250,4901,3464
UCL511001,14,0,21,22,91,15,158,42,14,160,189,1221,30,1656,56,14,221,180,1187,44,1709,16,7,38,58,317,9,447,20,11,121,200,1741,62,2162,6,4,20,30,191,4,254,8,0,74,70,394,18,572,8,7,47,46,202,16,332,21,7,63,74,384,36,588,3,0,20,17,33,0,81,12,6,29,48,27,6,127,5,0,17,35,66,4,114,33,21,194,96,169,21,534,5,0,26,21,130,8,194,42,24,133,125,269,14,596,52,85,233,57,108,4,541,124,34,309,86,200,22,773,0,0,11,9,34,3,63,23,9,36,30,409,11,512,4,4,55,45,324,59,492,502,251,1822,1443,7491,399,11897,0,6,26,21,48,8,106,12,6,63,42,152,11,283,17,16,106,61,206,16,415,4,0,18,15,40,3,83,11,4,48,71,201,14,355,0,0,14,19,54,3,87,18,14,143,158,673,49,1056,11,5,114,88
UCL512001,10,3,34,26,140,11,214,5,6,15,24,157,5,208,6,4,39,29,242,17,327,0,0,6,15,74,0,96,4,5,23,65,628,10,726,0,0,13,20,98,0,129,0,3,21,35,242,12,319,3,3,24,44,135,7,214,0,4,24,30,137,7,203,3,0,13,3,12,0,31,0,3,15,19,22,4,55,0,0,11,15,31,0,58,28,11,89,40,41,6,204,0,0,7,18,67,0,90,19,12,63,83,193,19,385,34,44,111,48,66,6,311,63,16,151,65,130,7,435,0,0,7,10,21,5,43,5,8,15,16,178,3,234,0,0,12,13,95,23,141,188,114,690,607,2700,140,4438,4,0,25,19,28,6,76,0,0,0,3,7,0,15,0,3,21,25,50,10,107,0,0,3,8,8,0,20,3,0,11,26,66,3,116,0,6,4,11,19,0,37,8,5,49,59,263,13,402,0,7,65,50
UCL512002,3,3,16,10,71,9,115,9,7,39,60,420,12,543,0,7,46,47,184,4,287,0,0,5,7,53,0,76,0,0,31,66,627,23,759,0,0,0,9,42,0,53,0,4,40,38,190,6,276,11,0,33,46,176,8,270,5,0,7,19,98,4,136,0,0,5,4,8,0,12,8,5,15,24,10,0,55,0,0,8,13,19,3,46,14,6,77,31,35,3,163,0,0,8,17,85,7,111,17,11,50,45,100,4,224,20,28,91,23,32,0,195,38,12,93,43,82,10,275,0,0,8,3,33,0,44,7,4,3,11,127,0,151,0,0,12,16,86,24,135,126,93,589,522,2480,127,3935,0,0,10,6,21,4,40,0,0,15,9,31,4,59,0,4,24,19,43,5,94,0,0,5,0,9,0,16,0,5,18,16,62,4,106,0,0,10,7,22,0,41,8,5,47,65,231,22,374,6,5,69,95
UCL512003,3,0,24,24,142,15,207,10,8,28,56,429,21,541,0,0,13,12,149,8,181,0,0,3,9,70,0,89,4,5,21,68,639,13,743,3,0,15,12,129,5,174,5,0,30,23,210,9,275,8,3,19,30,113,11,181,8,0,37,66,303,13,424,0,0,9,8,16,0,31,0,4,7,20,9,0,44,0,0,6,3,29,0,36,22,10,85,47,78,5,246,0,0,6,16,86,7,115,15,14,66,86,161,10,361,46,29,114,33,72,4,295,55,13,131,43,86,12,332,0,0,11,4,13,0,29,8,0,18,13,223,5,269,5,0,8,16,118,24,179,195,89,636,593,3068,167,4757,0,0,7,9,24,0,51,0,0,7,17,46,0,71,0,0,4,9,37,0,51,3,0,0,0,9,0,12,0,0,15,22,76,4,115,0,3,12,5,31,0,50,5,9,50,52,251,18,387,5,3,45,42
UCL512004,0,0,0,5,4,4,7,133,23,313,154,1403,49,2079,10,0,41,38,228,7,326,4,0,5,6,68,3,86,3,0,36,32,476,15,564,0,0,9,18,168,3,198,7,0,17,14,101,10,144,3,0,29,21,69,4,130,6,0,29,32,167,16,260,0,0,5,0,6,0,16,0,0,3,10,6,0,22,0,0,9,8,71,3,88,20,3,58,20,67,9,173,0,0,3,9,33,6,56,19,12,45,57,111,5,249,36,17,73,13,33,0,168,41,11,69,24,34,11,180,0,0,0,0,7,0,9,3,3,12,20,283,3,324,9,0,10,15,143,33,217,296,83,764,498,3495,178,5309,0,0,0,4,0,0,7,49,11,148,81,217,22,523,5,3,19,21,49,8,102,0,0,0,5,9,0,21,4,0,17,19,54,7,102,0,3,13,10,49,0,69,9,9,34,38,151,19,261,8,0,54,32
UCL513001,3,0,11,10,34,4,63,7,0,6,13,88,0,108,3,0,6,4,40,0,53,3,0,6,5,44,4,61,3,0,15,33,287,10,348,0,0,0,3,24,0,30,9,0,28,17,72,5,142,19,0,46,41,70,8,191,5,8,46,48,119,7,231,0,0,8,7,6,0,22,0,0,7,0,4,0,11,0,0,6,7,10,0,26,8,5,39,12,16,0,80,0,0,11,11,54,0,80,11,17,72,50,85,13,255,16,20,74,19,49,5,182,29,11,89,33,76,17,259,5,0,9,6,11,0,28,7,3,13,8,89,0,126,5,0,19,12,77,25,137,127,75,507,349,1258,117,2435,0,0,11,9,6,0,20,0,0,11,4,4,0,20,0,0,5,10,10,0,26,0,0,8,0,3,0,10,0,0,10,10,26,7,56,0,0,3,4,4,0,15,10,4,37,35,62,13,163,6,3,92,48
UCL513002,0,0,20,21,86,10,128,0,4,6,4,73,6,97,0,0,0,0,45,0,54,3,0,3,6,30,0,36,0,0,3,11,166,16,196,3,0,10,12,79,7,110,0,0,4,11,36,3,61,0,0,6,9,35,0,44,3,0,11,19,158,7,201,0,0,0,0,0,0,3,0,0,6,4,3,0,22,0,0,0,0,4,0,12,4,0,14,7,12,0,41,0,0,0,0,15,0,15,0,6,25,21,42,6,97,10,11,41,9,22,3,96,10,0,20,9,22,3,65,0,0,0,0,3,0,5,0,0,5,4,102,5,109,0,0,4,4,41,13,61,43,24,186,152,972,76,1451,0,6,13,17,21,0,50,0,0,0,5,8,0,12,0,0,9,7,8,0,27,0,0,5,0,3,0,5,0,0,9,4,20,0,27,0,0,3,5,11,0,20,3,0,17,13,79,10,121,4,0,11,17
UCL513003,0,0,0,0,4,0,4,36,18,128,114,827,22,1139,15,0,35,17,103,4,181,11,0,17,8,56,0,91,9,3,30,47,491,14,594,0,0,3,7,53,3,75,4,0,23,8,62,8,106,3,0,18,24,62,0,104,6,6,34,37,116,13,212,0,0,4,3,5,0,13,0,0,0,4,0,0,8,0,0,9,8,34,0,51,5,3,16,24,40,4,96,3,4,3,9,58,6,84,14,5,51,61,78,7,225,19,18,52,11,15,3,120,20,3,24,0,17,0,68,0,0,6,5,5,0,12,3,0,10,4,102,8,136,13,4,28,20,148,19,233,153,72,493,420,2301,107,3551,0,0,0,0,0,0,0,14,10,90,44,131,11,301,3,0,13,4,16,0,34,6,3,13,6,24,0,53,3,0,12,27,54,6,104,0,0,5,4,12,0,30,9,0,54,26,83,11,184,3,0,47,32
UCL513004,0,0,0,0,4,0,3,20,11,66,111,887,19,1116,3,0,13,12,164,4,197,0,0,0,7,44,0,55,3,0,11,25,210,14,270,0,0,0,11,76,0,96,4,0,7,8,44,6,74,4,0,10,15,35,6,63,11,5,50,67,215,8,354,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,6,7,33,0,45,3,0,31,14,19,0,63,3,0,9,7,37,0,53,10,4,29,36,55,0,135,17,13,40,6,29,0,98,18,3,22,18,19,4,79,0,0,0,0,3,0,6,0,0,12,8,76,7,106,0,0,9,7,83,25,121,98,47,309,358,2030,104,2947,0,0,0,0,0,0,5,14,8,62,67,179,10,333,0,0,9,3,17,3,33,0,0,5,6,9,0,20,0,0,5,13,23,0,50,0,0,8,3,22,0,30,3,0,24,22,56,8,117,4,0,23,22
