UCL_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
UCL501001,19,147,409,1760,394,227,89,18,3,3074,60716,111081,86153,153197,65902,53596,41639,19956,6369,598604,7,97,124,756,260,74,64,14,0,1399,6,3,20,514,206,307,195,92,13,1359,13,92,98,1347,148,58,13,14,3,1787,4,37,42,157,127,82,68,18,7,555,33,172,203,708,432,367,226,92,22,2243,3,32,44,310,165,137,108,43,8,851,52,620,1532,5288,1676,1245,864,250,118,11641,0,10,11,345,190,334,552,433,162,2037,5,122,157,344,144,141,175,125,35,1251,211,2805,5833,15774,14293,17835,12945,8867,2768,81324,0,11,48,176,106,79,55,21,0,495,14,69,118,905,246,180,126,52,20,1731,16,75,153,922,608,506,875,643,130,3931,0,16,23,61,63,136,238,284,147,965,31,182,396,1215,348,319,292,94,26,2899,226,1838,2908,16741,3472,1998,1682,975,275,30110,68,349,671,2047,743,385,461,182,39,4940,7,175,262,1554,553,330,198,87,27,3200
UCL511001,0,0,0,3,0,0,0,0,0,4,2229,4795,3515,6892,3244,2984,2471,1224,322,27682,0,0,0,14,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,17,14,8,3,0,0,47,0,0,0,3,0,4,0,0,0,13,0,4,7,42,6,5,0,0,0,68,0,0,0,0,0,0,4,5,0,13,0,0,0,12,0,0,0,0,0,16,0,49,98,247,322,483,391,285,80,1964,0,0,0,11,4,0,0,0,0,14,0,0,0,10,0,5,4,0,5,24,0,0,4,11,7,20,41,20,3,104,0,0,0,0,0,0,3,4,4,12,0,0,0,13,0,0,0,0,0,19,0,31,17,186,43,13,9,9,3,314,0,7,8,18,4,0,0,0,0,39,0,4,0,13,0,0,0,0,0,26
UCL512001,0,0,0,0,0,0,0,0,0,3,790,1738,1484,2674,1300,1361,1242,623,254,11472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,3,6,6,0,0,8,38,0,0,0,0,0,0,0,0,0,0,0,4,0,16,4,6,0,0,0,31,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,17,22,94,93,215,230,208,86,967,0,0,0,7,0,0,0,0,0,10,0,0,0,9,3,3,7,0,0,21,0,0,0,7,10,7,23,15,0,66,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,0,0,0,0,12,0,4,3,36,12,8,3,6,0,66,0,5,0,8,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,5
UCL512002,0,0,6,21,4,9,0,0,0,35,631,1680,1163,2097,1210,1097,1193,643,193,9917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,4,0,0,27,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,12,36,110,113,199,242,218,47,982,0,0,0,5,0,0,0,0,0,4,0,0,0,6,5,4,4,0,0,20,0,0,0,15,4,3,10,14,5,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,5,37,3,5,0,10,3,67,0,3,4,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
UCL512003,0,0,0,0,0,0,0,0,0,0,881,1971,1619,2785,1486,1512,1158,564,225,12201,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,4,0,3,0,3,0,4,3,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,8,8,0,0,0,0,13,0,0,0,0,0,0,0,6,0,4,0,3,0,4,0,0,0,0,0,10,0,7,22,61,88,151,95,78,32,532,0,4,0,6,0,3,0,0,0,12,0,0,0,3,4,0,0,0,0,14,0,0,0,5,3,3,10,9,3,38,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,9,4,13,8,60,19,5,0,3,0,112,0,10,0,9,7,0,3,5,3,29,0,0,0,0,0,0,0,0,0,0
UCL512004,0,0,0,14,0,0,0,0,0,15,1027,1728,1362,2828,1237,1128,630,217,38,10192,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,0,5,0,12,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,5,3,7,0,0,0,16,4,4,11,59,5,0,7,0,0,91,0,0,0,5,0,5,4,0,0,15,0,0,0,0,0,3,0,0,0,8,0,9,13,94,55,110,46,25,4,347,0,4,3,20,12,0,3,0,0,41,0,0,3,11,0,0,0,0,0,16,0,0,0,11,6,4,3,6,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,18,128,34,7,8,0,0,218,0,5,9,10,0,0,0,0,0,25,0,0,3,14,3,0,0,0,0,25
UCL513001,0,0,0,0,0,0,0,0,0,0,477,1024,562,1426,732,510,284,76,18,5111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,7,0,0,0,22,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,5,3,64,40,51,28,8,0,204,0,0,0,7,0,0,0,0,0,3,0,0,8,19,0,3,0,0,0,32,0,0,0,12,3,4,6,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,31,5,3,0,0,0,41,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
UCL513002,0,0,0,0,0,0,0,0,0,0,274,582,507,876,478,487,400,238,71,3919,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,24,19,48,31,30,6,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,5,0,7,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4
UCL513003,0,0,0,0,0,0,0,0,0,0,689,1197,710,1950,736,404,113,15,0,5818,0,5,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,3,0,6,0,3,0,0,0,0,0,4,0,13,16,94,46,62,15,4,0,241,0,0,4,3,4,0,0,0,0,9,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,4,3,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,3,88,18,11,0,0,0,132,0,0,4,7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5
UCL513004,0,0,4,0,0,0,0,0,0,4,635,936,563,1782,576,445,132,24,7,5100,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,16,3,0,0,0,0,22,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,5,0,3,9,63,32,51,9,8,0,178,0,0,0,3,5,0,0,0,0,17,0,0,0,15,0,0,0,0,0,20,0,0,0,10,5,3,4,4,0,21,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,6,0,10,0,82,20,3,0,0,0,120,0,8,3,12,5,3,0,0,0,29,0,0,0,7,0,0,0,0,0,3
