UCL_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
UCL501001,36,275,683,3707,2028,1557,1012,271,136,9696,6,84,194,618,469,551,429,257,107,2724,18,146,656,2015,1110,867,429,125,30,5391,243,2311,3812,17026,6070,4975,3631,2062,845,40977,1914,4268,4510,12596,4650,4091,3851,3386,2639,41905,61163,127538,121434,301635,133403,118041,95610,53346,24562,1036733,29,295,777,2946,703,395,171,51,9,5375,118109,216790,170165,306754,133785,110705,89049,44967,17804,1208128,21,215,225,1528,389,135,114,19,4,2665,7,16,47,1035,458,695,402,165,45,2863,28,188,208,3157,385,164,68,35,7,4250,12,74,93,523,283,204,147,30,11,1379,69,326,435,1929,917,779,449,173,58,5138,15,57,96,643,335,305,226,105,26,1807,99,1202,2890,12535,4344,3282,1911,560,288,27105,0,26,31,671,405,761,1120,768,389,4177,15,245,291,639,231,266,334,243,97,2366,388,5352,11421,31127,27994,35128,26091,18443,6412,162346,3,29,82,377,200,199,109,42,9,1046,23,136,220,1842,495,362,246,120,47,3502
UCL511001,0,4,3,38,15,7,4,0,0,77,0,0,0,12,10,18,7,10,3,63,0,7,28,78,42,39,24,4,4,229,5,42,23,191,105,87,50,39,12,552,90,170,167,452,207,208,190,162,110,1762,2183,5027,4218,9794,5044,4828,3978,2221,942,38239,0,0,0,12,3,0,0,0,0,9,4289,9290,7004,13810,6759,6277,5208,2672,911,56218,0,5,3,24,6,0,0,0,0,44,0,0,0,4,0,0,0,0,0,7,0,0,3,32,5,0,0,0,0,38,0,0,3,3,0,0,0,0,0,11,0,7,14,45,16,22,9,0,3,116,0,0,0,9,3,6,0,0,0,24,0,6,19,112,34,18,9,0,0,206,0,0,0,0,0,4,4,7,0,27,3,3,0,15,0,0,0,0,0,23,3,89,208,536,644,1025,800,591,192,4093,0,0,0,11,7,0,0,0,0,21,0,0,0,23,9,13,3,9,4,58
UCL512001,0,0,0,8,4,0,0,0,0,13,0,0,0,9,4,10,3,3,3,37,0,0,5,14,5,11,3,0,0,40,0,4,4,59,24,46,46,24,7,215,18,81,61,147,95,107,104,81,51,741,769,1900,1651,3430,2087,2192,2063,1351,623,16062,0,0,0,0,0,0,0,0,0,3,1532,3438,2892,5244,2831,2848,2621,1441,639,23483,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,14,24,11,15,3,5,6,93,0,0,0,0,0,0,0,0,0,5,0,4,0,39,11,14,0,5,0,75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,4,0,24,54,205,232,490,497,468,205,2174,0,0,0,9,6,0,0,0,0,17,0,0,3,19,3,3,8,0,0,39
UCL512002,0,0,10,17,10,3,0,0,0,32,0,0,0,3,5,6,8,6,3,33,0,0,0,8,15,7,0,0,0,27,0,9,11,59,27,34,25,22,15,192,15,69,62,140,62,86,89,90,38,650,652,1746,1262,3064,1885,1900,1968,1139,570,14197,0,4,9,28,7,9,0,0,0,52,1267,3270,2257,4349,2623,2421,2566,1345,575,20669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,6,7,0,0,53,0,0,0,0,6,0,0,0,0,6,0,0,0,13,8,5,0,3,0,34,0,0,0,0,0,5,3,0,0,5,0,0,0,0,0,0,4,0,0,7,4,40,56,234,262,420,531,437,144,2127,0,0,0,5,0,0,0,0,0,12,0,0,0,18,6,3,7,0,4,43
UCL512003,0,3,4,22,9,10,6,0,0,54,0,0,0,4,8,4,6,6,0,19,0,0,4,19,8,7,0,0,0,45,0,10,10,41,37,23,16,14,11,172,99,215,158,400,180,146,127,86,65,1485,983,2222,1936,4076,2276,2114,1677,1002,449,16731,0,0,0,0,0,0,0,0,0,0,1744,3856,3248,5718,3121,3056,2379,1246,522,24889,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,7,6,9,0,15,3,7,6,0,4,50,0,0,0,6,0,0,4,0,0,3,0,5,0,19,19,0,5,0,0,56,0,0,0,0,0,0,0,5,0,9,4,3,0,4,0,0,0,0,0,15,0,19,53,141,209,286,203,186,65,1164,0,3,4,10,3,3,0,0,0,24,0,0,0,10,8,5,0,0,0,29
UCL512004,0,0,0,20,5,0,4,0,0,29,0,0,0,4,4,3,0,0,0,17,0,16,11,66,24,24,3,0,0,147,7,26,18,126,39,36,16,3,6,282,71,183,150,399,151,134,77,33,23,1206,1073,2051,1688,4390,1829,1526,785,322,138,13805,0,0,0,20,0,0,0,0,0,28,1999,3332,2561,5384,2368,2022,1136,433,126,19355,0,0,0,5,0,0,0,0,0,10,0,0,0,4,0,0,6,0,0,11,0,6,6,26,9,0,0,0,0,45,0,3,4,3,0,0,0,0,0,12,0,0,0,13,4,7,5,0,0,32,0,5,0,20,7,8,3,0,0,43,4,8,11,101,15,3,7,0,0,148,0,0,0,7,5,9,10,4,0,29,0,0,0,0,0,4,4,0,0,9,0,18,24,172,104,192,86,39,6,644,0,6,8,51,10,8,4,0,0,88,0,0,4,15,0,0,0,0,0,26
UCL513001,0,0,6,10,0,0,0,0,0,21,0,0,0,6,0,0,0,0,0,6,0,0,0,8,3,0,0,0,0,14,0,0,13,112,20,11,8,6,0,163,59,152,105,381,149,110,47,16,10,1029,508,1154,812,2735,1024,791,380,123,31,7553,0,0,0,0,0,0,0,0,0,0,922,1994,1186,3113,1393,1021,532,155,36,10351,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,3,0,0,0,27,0,0,0,16,0,0,0,0,0,16,0,0,4,74,0,0,0,0,0,85,0,0,0,4,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,3,3,5,14,147,88,109,48,15,0,431,0,0,0,5,0,0,0,0,0,7,0,0,8,43,0,3,0,0,0,57
UCL513002,0,0,0,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,4,0,0,0,14,0,5,0,17,4,12,12,5,4,61,20,83,49,137,59,64,45,49,16,511,287,675,533,1253,618,659,556,409,157,5152,0,0,0,0,0,0,0,0,0,0,535,1148,964,1754,943,946,807,521,197,7816,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,6,0,0,0,12,4,4,0,0,0,20,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,59,43,94,66,65,23,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UCL513003,0,0,0,16,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,16,3,4,0,0,0,25,0,8,5,90,24,10,8,3,0,150,66,214,116,462,149,83,23,3,3,1114,697,1478,820,3202,1092,544,164,37,8,8036,0,0,0,3,0,0,0,0,0,8,1301,2360,1289,3789,1378,680,200,35,4,11038,0,5,5,10,5,0,0,0,0,15,0,0,0,4,3,0,0,0,0,6,0,0,0,4,0,5,0,0,0,7,0,0,0,10,0,0,0,0,0,17,0,0,0,22,3,5,0,0,0,29,0,0,0,0,0,4,0,0,0,0,0,0,4,36,8,3,0,0,0,54,0,0,0,0,0,3,0,0,0,6,0,3,0,3,0,0,0,0,0,7,0,16,20,185,81,106,23,11,0,434,0,0,7,6,5,0,3,0,0,18,0,0,6,22,5,0,0,0,0,34
UCL513004,0,0,0,14,6,0,0,0,0,22,0,0,0,0,0,0,4,0,0,9,0,3,12,17,5,4,0,0,0,43,0,0,12,53,14,15,6,0,0,94,60,142,120,404,155,85,30,10,0,1010,677,1199,785,2834,868,633,215,44,12,7271,0,0,4,0,0,0,0,0,0,4,1239,1884,1107,3430,1050,796,247,50,22,9828,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,3,0,0,0,23,0,0,0,3,0,0,0,0,0,3,0,3,11,47,6,0,0,0,0,63,0,0,5,0,3,0,0,5,0,12,0,0,0,5,0,0,0,0,0,7,3,13,16,118,48,95,19,4,0,307,0,4,4,11,15,3,0,0,0,31,0,0,3,19,0,0,0,0,0,19
