UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
UCL501001,22179,30176,52350,88773,110675,199448,20,17,33,15296,17401,32695,613,597,1213,187550,213104,400651,2262,2873,5135,11225,12218,23439,3398,4439,7836,2109,2426,4539,1871,2387,4252,1619,1587,3211,5757,6690,12446,10628,12621,23245,12831,14435,27262,874,1304,2178,2001,2490,4489,12451,17513,29960,32306,38105,70404,1106,1294,2402,392690,462168,854864,25488,24028,49512,32257,30369,62626,2592,2790,5381,63,54,119,9449,8469,17916,3679,5050,8727,13191,13575,26763,440683,409148,849837,3481,2544,6028,1392,2310,3705,445561,414004,859568,73073,59620,132692,1007026,1036733,2043762
UCL511001,204,385,589,3990,5195,9182,0,0,0,751,786,1531,0,0,0,5968,6970,12934,71,119,192,112,133,246,209,317,528,158,190,350,79,97,180,17,14,26,141,169,307,250,303,554,413,465,882,50,89,140,99,109,206,551,806,1365,1158,1337,2497,57,61,118,14080,17160,31240,229,208,438,312,312,617,11,23,36,3,4,8,80,67,148,104,169,270,187,236,425,18374,17386,35755,113,75,193,54,77,128,18539,17537,36076,3399,2373,5773,36962,38239,75196
UCL512001,82,150,232,1537,2078,3618,0,0,0,498,515,1016,47,47,94,1552,1834,3388,73,91,157,34,28,63,60,100,161,26,30,55,34,58,97,0,0,4,84,123,206,108,139,247,321,384,708,27,40,69,66,67,136,339,510,849,669,790,1467,12,14,27,5502,6852,12353,63,52,115,49,44,92,11,8,18,6,0,6,15,15,27,45,99,149,70,114,178,7779,7687,15465,55,38,93,28,52,74,7860,7775,15630,1436,1074,2508,15071,16062,31128
UCL512002,79,173,260,1790,2322,4110,0,0,0,184,220,402,0,0,0,1797,2236,4033,86,93,179,19,24,42,87,133,227,17,18,38,27,46,68,0,0,0,40,62,102,73,81,150,140,183,321,12,25,37,52,54,103,302,462,762,359,425,784,12,12,21,4993,6388,11383,45,50,95,93,73,167,4,0,6,0,4,8,33,30,57,22,33,54,53,68,118,6697,6492,13187,43,21,59,18,32,50,6756,6539,13299,1007,909,1914,13036,14197,27233
UCL512003,103,210,314,1736,2139,3871,0,0,0,160,153,313,0,0,0,3399,3996,7391,27,26,53,34,23,53,85,123,204,22,21,42,41,79,120,0,0,3,63,88,154,203,265,468,129,126,253,27,39,71,83,89,168,280,393,675,374,475,841,8,10,15,6658,8037,14696,86,73,162,258,284,538,3,3,8,0,3,10,20,14,30,44,53,105,64,70,134,6971,6312,13283,33,29,61,14,28,43,7017,6367,13384,1800,1675,3479,15983,16731,32717
UCL512004,118,199,317,1012,1016,2028,0,0,0,244,266,518,5,6,14,2646,2635,5275,64,95,164,31,40,70,60,67,121,111,134,238,61,51,116,10,3,12,119,118,233,122,136,254,168,168,337,17,22,43,66,76,139,189,235,421,559,676,1233,23,36,58,5506,5777,11282,197,173,375,162,111,276,3,0,6,0,5,4,44,43,92,31,42,75,76,89,169,7038,5845,12884,34,29,59,16,27,42,7088,5896,12986,2111,1557,3667,15265,13805,29068
UCL513001,49,132,178,381,434,814,0,0,0,57,61,119,0,0,0,1418,1720,3140,0,4,4,10,11,27,24,28,53,6,6,7,3,19,22,4,0,4,20,36,57,40,44,80,48,59,104,0,11,11,19,19,30,69,96,165,86,118,210,0,4,3,2183,2664,4848,33,24,58,47,38,83,4,3,3,8,15,29,5,10,12,19,18,36,35,46,79,3462,3434,6895,18,13,31,7,17,25,3482,3471,6957,1272,1180,2458,7108,7553,14660
UCL513002,24,56,86,505,569,1078,0,0,0,84,91,178,0,0,4,545,650,1190,15,28,42,3,6,12,49,65,114,4,0,7,41,58,97,0,6,4,33,38,70,36,32,64,51,77,132,6,6,9,30,29,61,119,173,294,224,248,477,9,4,17,1750,2089,3839,6,4,15,9,7,18,0,0,0,3,3,7,0,0,5,4,10,16,13,15,25,2616,2428,5049,15,4,18,6,14,13,2632,2447,5081,618,530,1150,5060,5152,10218
UCL513003,115,179,301,506,497,1003,0,0,0,129,140,267,0,0,0,1403,1374,2780,13,11,24,38,40,79,27,26,53,26,23,54,24,14,40,0,0,0,39,36,75,38,32,69,53,49,101,3,10,15,19,25,44,74,101,173,172,207,375,14,11,27,2572,2603,5169,160,134,294,123,93,216,5,5,16,9,7,17,22,23,42,11,20,32,42,49,93,4360,3717,8085,26,15,38,4,10,13,4394,3744,8137,1566,1227,2798,8976,8036,17013
UCL513004,77,138,213,423,448,870,0,0,0,94,102,192,0,0,0,1319,1291,2611,19,22,41,28,29,57,41,57,100,33,38,70,20,15,35,3,0,5,36,26,67,73,108,183,52,44,99,0,3,8,30,47,74,88,85,179,221,229,449,6,7,12,2479,2564,5043,114,97,205,259,225,483,3,0,10,10,11,16,13,15,24,29,21,43,49,39,86,3596,3086,6683,23,9,32,10,6,15,3631,3100,6726,1424,1111,2535,8028,7271,15298
