UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL501001,220,1410,25,24341,142,40,66,113,116,174,57,110,72,520,12951,14372,126,32,94,86,34,61,10,60,42,931,987,2452,44852,9518,1396,29806,3528,19817,1782,14594,2296,63668,14733,205986
UCL511001,10,24,4,613,7,7,0,6,3,6,5,0,0,23,539,589,4,0,0,3,0,0,0,4,0,30,33,85,1469,306,55,1224,137,772,79,570,106,2862,617,8198
UCL512001,4,16,0,188,3,0,0,3,0,4,0,0,0,10,178,201,0,0,0,0,0,0,0,0,0,37,22,65,550,226,30,518,61,272,41,311,50,1399,234,3691
UCL512002,0,23,0,179,0,5,0,0,0,3,0,6,0,14,240,260,3,0,0,0,0,4,0,4,0,21,27,60,448,159,29,463,46,203,32,263,36,1524,297,3497
UCL512003,0,22,0,284,0,0,0,0,0,6,0,0,0,17,282,300,3,3,0,3,0,0,0,4,0,24,22,55,660,147,28,512,59,331,45,252,43,1050,326,3451
UCL512004,8,0,0,488,0,0,0,0,4,4,0,0,0,4,191,206,3,0,0,4,0,0,3,4,0,6,18,39,991,66,26,399,67,319,32,97,33,305,214,2551
UCL513001,0,0,0,156,0,0,0,6,0,3,0,0,0,6,159,164,4,0,0,0,0,0,0,0,0,7,13,31,443,51,8,171,26,85,14,44,13,127,181,1163
UCL513002,0,9,5,96,0,0,6,4,0,0,0,0,0,8,87,104,4,0,0,0,0,0,0,0,0,11,3,16,242,46,9,167,17,88,14,70,10,355,104,1119
UCL513003,4,3,0,441,8,0,0,0,0,0,0,0,0,3,132,144,0,0,0,0,0,0,0,0,0,0,7,12,619,29,20,192,52,122,16,34,15,42,139,1269
UCL513004,3,0,0,350,0,0,3,0,0,4,0,0,0,0,125,137,0,0,0,3,0,0,0,0,0,0,11,23,543,24,21,157,40,129,11,26,18,69,142,1173
UCL513005,0,7,0,55,0,0,0,0,0,0,0,0,0,0,92,101,0,0,0,0,0,0,0,0,0,0,9,15,162,40,15,128,20,89,10,55,13,355,107,999
UCL514001,0,0,0,31,0,0,0,0,0,0,0,0,0,6,53,55,3,0,0,0,0,0,0,0,0,3,7,15,78,24,5,81,15,80,12,73,21,383,66,838
UCL514002,0,6,0,71,0,0,0,0,0,0,0,0,0,3,62,69,0,0,0,0,0,0,0,0,0,7,0,9,116,73,15,113,11,37,14,58,5,308,74,823
UCL514003,0,0,0,39,0,0,0,0,0,0,0,0,0,4,60,59,0,0,0,0,0,0,0,0,0,0,5,4,117,55,8,130,11,43,13,46,12,167,64,661
UCL514004,0,4,0,39,0,0,0,0,0,0,0,0,0,0,55,54,0,0,0,3,0,5,0,0,0,6,9,19,118,30,0,80,9,79,0,57,11,252,73,718
UCL515001,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,6,3,12,22,0,19,4,10,0,16,0,124,10,216
UCL515002,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,21,9,9,24,5,16,7,11,3,63,15,183
UCL515003,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19,24,0,0,0,0,0,0,0,0,0,0,0,8,24,25,3,49,5,22,3,34,4,161,30,356
UCL515004,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30,29,0,0,0,0,0,0,0,0,0,0,0,3,37,4,4,23,6,23,4,11,0,48,30,190
UCL515005,0,0,0,11,0,0,0,0,0,0,0,0,0,0,28,29,0,0,0,0,0,0,0,0,0,0,0,0,41,9,4,30,5,22,5,21,0,108,27,273
UCL515006,0,0,0,37,0,0,0,0,0,0,0,0,0,0,36,35,0,0,4,0,0,0,0,0,0,8,3,15,93,16,8,53,9,52,3,19,5,92,39,394
UCL515007,0,0,0,10,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,33,17,0,38,5,5,0,17,0,53,17,185
