UCL_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
UCL501001,9,134,192,722,392,271,88,28,10,1849,27,450,452,4279,967,826,781,467,143,8392,5,107,175,1385,570,955,2163,1871,1046,8285,52,163,146,458,226,87,70,29,9,1246,25,170,231,1593,360,188,67,21,6,2670,0,23,36,157,132,101,111,43,3,602,51,668,1553,5090,1943,1706,1914,886,188,13998,0,0,6,30,22,64,137,96,24,380,0,58,238,1056,288,335,258,114,45,2397,10,74,272,1354,712,725,601,277,107,4130,8,54,353,1571,121,31,8,0,0,2154,12,81,123,416,381,357,947,751,256,3315,222,1889,2726,10272,5330,5148,3062,906,143,29697,0,21,30,370,272,300,388,170,65,1627,70,395,802,2543,342,155,92,33,8,4440,0,33,95,162,236,99,34,0,4,658,63,1504,2707,4637,2686,893,240,57,9,12793,6,44,53,590,290,373,578,158,79,2163,0,6,26,105,61,43,28,7,0,280,26,408,812,2301,1939,2333,1892,1193,321,11228
UCL511001,0,0,0,10,3,0,0,0,0,22,0,12,8,61,27,20,21,10,8,168,0,0,3,10,5,14,47,48,39,169,0,5,0,12,7,0,0,0,0,28,0,3,5,43,5,0,0,0,0,62,0,0,0,3,0,7,3,0,0,24,0,4,5,32,16,8,6,7,0,79,0,0,0,0,0,3,4,0,0,11,0,0,0,10,4,9,6,0,3,25,0,3,4,13,5,6,3,0,0,26,0,0,4,25,0,0,0,0,0,36,0,4,0,11,17,13,42,27,7,137,9,69,111,349,219,233,139,41,3,1179,0,0,0,0,0,0,0,0,0,0,0,15,0,28,0,0,4,0,0,49,0,0,0,5,9,5,0,0,0,16,7,60,73,156,84,18,0,0,0,396,0,0,0,7,4,6,14,3,4,37,0,0,0,5,0,0,0,0,0,6,0,3,12,29,35,61,53,33,6,233
UCL512001,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,3,0,0,20,0,0,0,5,9,8,16,18,11,67,0,0,0,0,3,0,0,0,0,8,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,6,6,0,0,42,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,0,0,0,0,7,0,0,5,24,9,5,6,0,0,48,0,0,0,3,0,0,0,0,0,3,0,0,0,6,6,12,28,31,3,90,0,6,22,77,59,44,39,20,0,260,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,25,44,99,47,9,0,0,0,237,0,0,0,4,0,0,0,8,3,16,0,0,0,0,0,0,0,0,0,3,0,0,6,6,3,27,25,28,4,97
UCL512002,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,9,3,0,40,0,0,0,9,4,5,6,4,7,32,0,0,0,0,0,0,0,0,0,3,0,5,0,13,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,9,0,0,3,0,5,3,18,10,5,47,0,17,19,80,58,64,60,22,7,323,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,0,0,0,13,0,0,0,0,0,4,0,0,0,5,0,4,15,20,7,0,0,0,0,46,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,10,11,25,26,12,3,94
UCL512003,0,0,0,0,0,0,0,0,0,4,0,0,0,11,4,0,6,0,0,33,0,0,0,3,5,4,16,23,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,8,0,0,0,39,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,6,0,6,0,11,0,0,0,0,0,10,0,0,0,5,5,5,13,6,3,43,0,19,12,69,53,74,51,19,4,301,0,0,0,0,0,0,0,0,0,3,0,0,0,17,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,5,3,24,28,70,39,12,0,0,0,177,0,0,0,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,22,17,11,0,73
UCL512004,0,5,0,4,0,0,0,0,0,4,0,3,0,40,8,4,0,0,0,56,0,0,0,11,0,4,4,3,0,19,0,0,0,0,0,0,0,0,0,4,0,4,0,13,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,3,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,14,0,0,0,0,0,12,0,0,0,0,0,6,8,0,0,15,7,80,122,363,210,220,87,14,0,1093,0,0,0,0,0,0,0,0,0,0,0,3,5,24,0,3,0,0,0,34,3,8,15,29,20,4,0,0,0,85,0,38,53,149,65,30,3,0,0,333,0,0,0,0,4,0,0,0,0,8,0,0,0,9,5,5,0,0,0,12,0,0,0,19,9,19,10,4,0,63
UCL513001,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,6,4,0,23,0,0,0,16,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,5,4,0,0,12,0,7,3,50,29,21,19,5,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,9,21,37,13,11,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,6,5,0,0,22
UCL513002,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,7,0,38,18,28,23,8,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,0,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,6,9,0,28
UCL513003,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,4,0,0,0,50,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,12,0,0,0,11,0,0,0,0,0,16,0,0,0,4,5,0,0,0,0,9,0,10,28,165,86,72,28,4,0,396,0,0,0,0,0,3,0,0,0,8,0,0,0,15,0,0,0,0,0,20,0,0,0,6,6,0,0,0,0,15,0,19,24,68,59,18,3,0,0,197,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,5,20,8,11,5,0,0,49
UCL513004,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,23,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,8,0,0,0,9,0,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,28,39,170,91,118,15,0,0,464,0,0,0,4,0,3,5,0,0,7,0,0,0,10,3,0,0,0,0,12,0,0,4,7,3,0,0,0,0,12,0,28,29,85,35,19,6,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,13,0,0,0,33
