UCL_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
UCL501001,18780,51852,37428,25848,96770,132591,45626,113730,9084,531710,81,505,364,307,420,417,98,172,38,2411,1224,657,1052,762,1859,3539,1412,4368,152,15024,502,2383,2125,1229,3466,2978,760,1038,89,14567,174,210,339,293,1143,793,197,214,16,3386,464,2262,2137,1193,2494,3629,706,1366,129,14374,269,1016,1126,730,2114,1853,419,523,34,8079,2197,17640,11447,5053,8518,4650,1298,1600,447,52846,1203,14520,7403,3172,3917,2829,850,2012,409,36314,653,1501,1649,904,2160,2355,532,762,101,10622,162,650,512,281,717,623,152,231,28,3351,831,1205,1906,1291,3645,3210,690,1011,65,13862,272,1130,1085,666,1910,1701,415,801,58,8037,1533,4935,5002,3289,7130,7657,1887,3091,157,34682,670,4625,3376,1459,2936,2110,502,1032,167,16887,1980,2612,3384,2445,9447,5792,1480,1696,160,28992,3041,12815,11410,7623,12106,9546,3785,6358,373,67056,6725,19147,23086,16556,25551,14420,3244,5896,862,115495,416,3188,1611,863,1323,1035,258,455,58,9205,716,5182,3950,2209,3739,2552,659,1002,209,20212
UCL511001,925,1445,994,784,2717,4195,1766,4914,280,18015,3,38,24,13,39,29,9,14,0,170,59,17,29,17,30,75,27,144,8,399,37,87,75,53,163,168,65,53,9,713,9,17,16,11,37,23,7,9,0,128,20,105,71,50,84,112,28,61,3,540,6,36,22,16,35,39,12,13,0,175,138,684,465,292,409,200,66,83,10,2348,54,604,294,116,175,115,24,67,16,1474,16,42,57,27,62,64,11,42,0,314,3,34,10,10,23,21,11,9,0,106,10,35,50,25,76,58,12,24,5,291,4,30,40,17,88,44,13,30,0,267,22,118,101,62,121,81,20,45,3,578,21,169,115,48,83,55,22,18,11,537,66,104,118,84,273,146,45,55,9,901,116,446,444,323,381,309,134,200,14,2369,284,687,900,676,908,462,111,206,28,4265,7,80,36,28,33,8,0,16,3,216,31,201,126,76,152,67,25,43,0,722
UCL512001,326,748,518,435,1202,1581,695,1292,131,6921,13,44,20,15,15,15,0,8,0,136,3,0,0,0,0,0,0,13,0,27,4,34,25,13,37,37,26,8,3,190,3,3,0,4,10,7,3,0,0,31,9,49,24,19,36,22,6,14,0,177,0,14,7,3,13,21,4,0,0,64,50,308,194,103,177,82,26,28,7,973,28,263,131,61,69,63,19,31,9,671,10,18,16,7,16,19,4,14,0,109,0,13,6,3,13,10,5,0,0,37,4,11,16,9,42,24,10,13,0,125,12,14,11,5,36,14,12,7,0,118,13,66,48,38,63,43,5,22,0,295,6,74,34,9,38,18,3,10,8,197,28,42,38,40,102,63,15,19,0,351,38,166,172,129,134,133,44,91,4,912,115,292,381,320,412,214,60,117,20,1923,8,31,26,10,18,4,4,6,0,96,8,64,53,34,71,27,5,13,0,291
UCL512002,366,668,441,341,902,1310,522,1461,90,6101,3,23,20,4,7,12,4,8,0,87,21,8,5,0,7,5,10,43,0,95,8,43,39,15,34,25,11,12,0,181,0,0,3,0,6,3,5,0,0,18,10,38,25,17,33,29,3,17,0,167,3,8,8,11,7,14,3,4,0,61,59,265,202,100,152,67,19,36,0,889,38,291,163,79,108,67,16,34,15,823,0,20,27,14,16,19,8,9,0,105,0,10,0,0,9,8,0,0,0,42,0,8,18,14,20,17,6,6,0,104,3,10,9,6,39,15,3,8,0,104,6,48,48,39,53,31,4,10,0,243,11,100,64,25,34,26,6,16,3,293,17,24,24,18,70,60,12,9,0,237,49,142,156,104,129,124,41,78,4,826,90,225,284,248,257,163,41,63,11,1387,0,28,6,8,12,7,3,6,0,64,12,77,44,31,47,27,15,11,0,269
UCL512003,383,685,482,391,1118,1616,712,1933,144,7456,0,33,13,7,4,13,3,11,4,89,18,5,4,5,8,17,12,42,3,118,3,22,16,5,24,19,3,8,0,97,0,4,0,3,3,7,5,6,0,21,11,41,31,15,26,45,9,19,0,199,3,10,14,4,22,13,12,5,0,90,37,293,206,107,191,84,25,44,7,994,25,268,137,68,71,52,16,38,4,688,6,33,15,28,27,42,10,17,0,179,0,10,4,3,12,5,0,0,0,36,8,11,13,14,33,27,4,3,0,118,5,5,9,8,32,10,5,5,0,85,8,44,34,37,66,23,15,23,3,253,9,60,44,17,27,28,7,14,0,205,31,46,32,28,149,70,22,24,0,406,50,201,193,167,202,175,68,137,3,1206,130,261,335,280,437,271,68,129,22,1927,0,28,19,14,4,4,0,4,0,74,8,61,56,35,61,41,11,17,3,298
UCL512004,340,435,308,191,743,1404,889,3840,179,8334,0,0,0,3,0,0,0,0,0,12,66,63,56,34,56,144,112,374,3,901,13,18,13,10,21,42,40,22,0,178,0,3,4,0,10,9,3,7,0,33,6,27,31,19,22,38,18,30,0,192,8,11,13,10,40,35,8,23,0,140,31,198,146,78,134,84,30,35,8,747,20,143,111,66,96,53,21,56,3,566,4,21,41,19,36,55,18,42,7,227,0,5,7,5,3,4,5,0,0,25,4,7,13,6,20,8,0,0,0,67,10,7,18,5,36,34,8,26,0,149,10,32,23,15,69,54,18,56,0,278,5,46,42,29,38,37,10,20,0,237,36,25,19,24,106,117,19,37,3,388,41,107,122,80,187,159,66,108,5,884,54,107,119,122,324,259,60,119,12,1175,3,32,17,10,8,12,4,10,0,95,15,42,39,20,60,48,11,37,3,278
UCL513001,159,240,172,148,629,765,270,910,93,3389,0,0,7,0,3,0,4,10,0,32,0,4,0,0,0,3,4,13,0,23,0,0,8,0,3,6,0,6,0,34,0,0,0,0,11,3,4,0,0,16,0,15,11,3,13,31,10,12,0,90,0,0,0,0,6,3,0,4,0,20,12,86,47,28,75,49,18,27,3,350,6,58,48,38,94,47,16,51,5,359,8,12,17,21,19,35,6,26,4,152,0,3,4,0,8,8,0,0,0,33,3,4,0,3,13,5,3,3,0,38,5,4,3,4,17,14,3,10,0,68,4,15,15,10,32,17,6,20,0,121,0,28,14,15,23,22,3,22,4,138,23,10,20,21,104,63,11,27,0,279,38,62,76,74,144,103,48,87,5,640,79,88,106,148,330,189,33,82,15,1061,0,17,11,5,15,6,0,10,0,70,4,18,18,13,28,21,6,10,5,119
UCL513002,153,180,123,98,327,596,232,670,61,2443,10,22,15,7,3,23,6,9,3,99,5,0,0,6,0,0,0,15,0,22,0,9,8,0,6,7,3,4,0,40,0,0,0,0,3,0,0,0,0,14,4,11,9,5,3,3,0,7,0,48,0,6,5,3,5,11,0,8,0,42,11,90,52,31,58,29,6,12,3,301,20,65,42,23,19,13,8,19,11,212,10,19,5,10,23,15,4,4,0,77,0,7,0,0,4,0,0,0,0,16,0,6,5,4,11,10,0,4,0,45,0,7,5,3,8,4,0,0,0,39,3,12,17,9,12,14,3,8,0,73,6,28,9,5,5,14,0,4,0,77,5,21,10,16,29,22,4,6,0,112,20,50,55,40,76,67,18,34,0,351,36,49,96,59,87,64,16,21,3,432,3,3,4,4,0,0,0,0,0,20,4,22,20,12,19,19,0,3,0,100
UCL513003,265,257,132,131,469,1018,630,1943,88,4935,0,3,0,0,0,0,0,0,0,4,57,18,26,11,38,101,47,101,4,394,4,12,7,4,9,16,6,5,0,61,3,5,3,6,18,16,4,17,0,68,8,11,18,13,16,43,14,31,0,162,3,9,9,3,11,12,0,3,0,48,18,98,75,46,73,31,14,30,0,388,5,71,26,35,44,39,13,45,3,278,5,15,13,9,32,41,13,38,0,163,4,5,0,0,4,0,0,0,0,23,0,3,3,3,6,14,0,0,0,33,3,12,13,0,15,37,12,12,0,105,6,9,14,9,18,20,5,21,0,99,12,48,39,14,43,30,24,29,0,238,29,20,30,13,97,74,20,27,5,307,39,75,76,62,114,86,40,100,3,605,49,63,76,73,143,104,35,36,3,593,0,14,15,8,6,3,5,0,0,53,6,38,19,17,26,18,14,23,3,157
UCL513004,244,233,125,80,407,620,419,2031,117,4275,0,0,0,0,0,0,0,0,0,6,59,23,18,13,42,75,67,195,9,516,5,9,6,0,9,8,6,23,0,61,0,5,3,0,8,6,0,11,0,34,4,9,6,9,10,22,7,24,0,92,4,4,9,6,14,4,12,8,0,61,17,70,56,31,48,35,16,23,3,310,13,34,32,19,18,29,5,44,4,211,14,13,15,3,35,41,14,41,3,183,0,4,0,0,0,5,0,0,0,11,3,0,4,0,4,6,0,3,0,30,0,3,15,6,22,19,3,14,0,82,6,11,13,9,14,15,3,9,3,79,3,22,15,6,17,23,8,19,0,121,20,21,16,12,70,46,11,24,0,224,24,47,44,45,97,97,41,47,5,457,50,55,44,65,150,161,20,50,3,608,3,7,5,0,7,3,0,4,3,36,6,25,16,6,24,17,10,12,5,115
