UCL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL501001,207275,32266,8649,2003,399,123,1136,251858
UCL511001,6289,1377,433,79,29,7,52,8268
UCL512001,2287,443,137,23,7,5,31,2931
UCL512002,2052,517,140,22,7,0,19,2758
UCL512003,2343,548,163,42,4,9,27,3139
UCL512004,2584,477,183,34,6,0,28,3312
UCL513001,1114,199,56,19,10,0,24,1435
UCL513002,749,140,52,9,3,0,9,964
UCL513003,1759,271,102,15,3,0,6,2162
UCL513004,1296,236,118,24,11,3,8,1704
UCL513005,1005,285,99,11,3,0,7,1405
UCL514001,457,118,50,13,6,0,7,649
UCL514002,667,150,26,3,0,0,4,843
UCL514003,654,141,27,5,0,0,0,832
UCL514004,406,85,35,10,0,0,14,553
UCL515001,59,11,0,0,0,0,0,75
UCL515002,102,19,9,0,0,0,0,130
UCL515003,141,30,12,0,0,0,0,185
UCL515004,161,68,23,3,0,0,3,261
UCL515005,172,60,14,0,0,0,3,259
UCL515006,220,53,22,14,4,0,7,315
UCL515007,249,39,12,0,3,0,0,298
UCL515008,163,23,5,0,0,0,0,193
UCL515009,184,23,7,0,0,0,0,219
UCL515010,139,31,9,9,0,0,3,188
UCL515011,186,51,15,3,0,0,0,253
UCL515012,215,73,12,0,0,0,0,304
UCL515013,231,49,10,0,0,0,3,290
UCL515014,50,3,10,7,0,0,9,82
UCL515015,247,37,23,0,0,0,0,303
UCL515016,83,26,9,0,0,0,0,116
UCL515017,74,19,0,0,0,0,0,93
UCL515018,128,23,10,6,0,0,3,174
UCL515019,263,33,15,3,0,0,4,327
UCL515020,285,56,9,14,0,0,4,372
UCL515021,152,19,6,0,0,0,0,180
UCL515022,295,54,22,8,0,0,0,370
UCL515023,164,29,15,4,0,0,3,215
UCL515024,91,25,0,3,0,0,0,126
UCL515025,130,19,12,0,0,0,3,164
UCL515026,215,49,24,0,0,0,0,289
UCL515027,247,27,10,0,3,0,8,295
UCL515028,405,77,40,10,0,0,5,536
UCL515029,81,26,0,0,0,0,0,116
UCL515030,260,79,21,11,0,0,12,373
UCL515031,169,40,13,3,0,0,0,234
