UCL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL501001,805807,837814,1643619,22052,23764,45815,3289,3224,6515,3587,3571,7156,2561,2683,5239,863,840,1709,91173,97562,188737,414,464,875,659,652,1314,318,326,645,40,47,83,102898,109370,212269,8029,8383,16411,2488,2238,4726,135465,143754,279222,53384,43331,96718,994650,1024907,2019556
UCL511001,28577,30200,58779,1303,1410,2714,89,86,171,83,83,167,100,110,208,28,30,62,3285,3690,6974,26,30,57,43,39,82,8,13,22,0,0,0,3672,4075,7740,169,182,348,103,85,189,5243,5753,10994,2709,1854,4561,36522,37807,74330
UCL512001,11598,12708,24305,596,664,1262,32,29,57,14,15,31,26,31,61,11,15,25,1300,1488,2785,11,10,24,11,6,11,3,8,8,0,0,0,1409,1600,3009,101,61,162,45,42,83,2151,2363,4515,1172,826,1998,14916,15898,30817
UCL512002,10101,11137,21239,651,700,1350,31,34,64,41,37,76,33,41,67,12,16,29,1142,1292,2429,12,9,22,8,11,22,0,0,0,0,0,0,1281,1435,2713,68,73,136,42,33,73,2041,2234,4275,772,693,1468,12915,14064,26983
UCL512003,12025,12663,24686,546,560,1108,31,33,66,37,63,99,34,34,68,17,15,29,1341,1511,2857,0,7,6,18,30,53,4,8,9,0,0,0,1491,1697,3188,77,72,146,36,37,73,2147,2363,4510,1636,1541,3181,15809,16564,32373
UCL512004,10562,9867,20428,753,708,1463,92,64,159,79,64,139,119,95,216,35,26,60,1362,1309,2672,19,16,29,23,23,44,3,0,7,4,0,4,1735,1602,3334,129,102,233,80,40,119,2690,2459,5149,1784,1292,3073,15038,13615,28651
UCL513001,4631,4831,9454,500,630,1135,49,54,99,44,53,98,47,74,124,10,9,23,497,626,1115,6,7,13,23,37,68,4,3,10,0,0,0,680,866,1549,29,41,79,31,40,72,1248,1583,2828,1116,1060,2171,6997,7460,14458
UCL513002,3716,3874,7590,403,435,839,10,10,16,19,20,40,13,11,24,11,3,15,247,227,472,0,0,0,5,3,10,0,0,0,0,0,0,303,288,586,11,11,25,13,12,27,732,740,1474,549,491,1039,4996,5103,10100
UCL513003,5567,4997,10569,864,861,1728,32,36,66,54,39,94,86,63,147,31,24,58,631,645,1279,8,6,11,20,25,39,4,4,11,0,0,0,866,839,1705,55,67,124,47,31,85,1833,1800,3635,1427,1122,2546,8834,7921,16751
UCL513004,4938,4463,9399,656,690,1345,67,51,109,48,53,104,122,100,217,21,17,37,675,667,1343,10,11,22,23,17,38,3,0,5,0,0,0,964,909,1875,57,44,89,23,27,45,1701,1660,3362,1264,1007,2274,7903,7131,15034
