UCL_CODE_2021,LFS_Emp_Dia_ges_dia,LFS_Emp_HD_HA_ang,LFS_Emp_Kid_dis,LFS_Emp_LC_COPD_emph,LFS_Emp_MHC_dep_anx,LFS_Emp_Stroke,LFS_Emp_oth_LTHC,LFS_Emp_no_LTHC,LFS_Emp_LTHC_NS,LFS_Emp_Tot,LFS_Unemp_Arth,LFS_Unemp_Asth,LFS_Unemp_Can_rem,LFS_Unemp_Dem_Alzh,LFS_Unemp_Dia_ges_dia,LFS_Unemp_HD_HA_ang,LFS_Unemp_Kid_dis,LFS_Unemp_LC_COPD_emph,LFS_Unemp_MHC_dep_anx,LFS_Unemp_Stroke,LFS_Unemp_oth_LTHC,LFS_Unemp_no_LTHC,LFS_Unemp_LTHC_NS,LFS_Unemp_Tot,LFS_NLF_Arth,LFS_NLF_Asth,LFS_NLF_Can_rem,LFS_NLF_Dem_Alzh,LFS_NLF_Dia_ges_dia,LFS_NLF_HD_HA_ang,LFS_NLF_Kid_dis,LFS_NLF_LC_COPD_emph,LFS_NLF_MHC_dep_anx,LFS_NLF_Stroke,LFS_NLF_oth_LTHC,LFS_NLF_no_LTHC,LFS_NLF_LTHC_NS,LFS_NLF_Tot,LFS_NS_Arth,LFS_NS_Asth,LFS_NS_Can_rem,LFS_NS_Dem_Alzh,LFS_NS_Dia_ges_dia,LFS_NS_HD_HA_ang,LFS_NS_Kid_dis,LFS_NS_LC_COPD_emph,LFS_NS_MHC_dep_anx,LFS_NS_Stroke,LFS_NS_oth_LTHC,LFS_NS_no_LTHC,LFS_NS_LTHC_NS,LFS_NS_Tot,LFS_Tot_Arth,LFS_Tot_Asth,LFS_Tot_Can_rem,LFS_Tot_Dem_Alzh,LFS_Tot_Dia_ges_dia,LFS_Tot_HD_HA_ang,LFS_Tot_Kid_dis,LFS_Tot_LC_COPD_emph,LFS_Tot_MHC_dep_anx,LFS_Tot_Stroke,LFS_Tot_oth_LTHC,LFS_Tot_no_LTHC,LFS_Tot_LTHC_NS,LFS_Tot_Tot,TPI_wk_NNI_Arth,TPI_wk_NNI_Asth,TPI_wk_NNI_Can_rem,TPI_wk_NNI_Dem_Alzh,TPI_wk_NNI_Dia_ges_dia,TPI_wk_NNI_HD_HA_ang,TPI_wk_NNI_Kid_dis,TPI_wk_NNI_LC_COPD_emph,TPI_wk_NNI_MHC_dep_anx,TPI_wk_NNI_Stroke,TPI_wk_NNI_oth_LTHC,TPI_wk_NNI_no_LTHC,TPI_wk_NNI_LTHC_NS,TPI_wk_NNI_Tot,TPI_wk_1_299_Arth,TPI_wk_1_299_Asth,TPI_wk_1_299_Can_rem,TPI_wk_1_299_Dem_Alzh,TPI_wk_1_299_Dia_ges_dia,TPI_wk_1_299_HD_HA_ang,TPI_wk_1_299_Kid_dis,TPI_wk_1_299_LC_COPD_emph,TPI_wk_1_299_MHC_dep_anx,TPI_wk_1_299_Stroke,TPI_wk_1_299_oth_LTHC,TPI_wk_1_299_no_LTHC,TPI_wk_1_299_LTHC_NS,TPI_wk_1_299_Tot,TPI_wk_300_649_Arth,TPI_wk_300_649_Asth,TPI_wk_300_649_Can_rem,TPI_wk_300_649_Dem_Alzh,TPI_wk_300_649_Dia_ges_dia,TPI_wk_300_649_HD_HA_ang,TPI_wk_300_649_Kid_dis,TPI_wk_300_649_LC_COPD_emph,TPI_wk_300_649_MHC_dep_anx,TPI_wk_300_649_Stroke,TPI_wk_300_649_oth_LTHC,TPI_wk_300_649_no_LTHC,TPI_wk_300_649_LTHC_NS,TPI_wk_300_649_Tot,TPI_wk_650_999_Arth,TPI_wk_650_999_Asth,TPI_wk_650_999_Can_rem,TPI_wk_650_999_Dem_Alzh,TPI_wk_650_999_Dia_ges_dia,TPI_wk_650_999_HD_HA_ang,TPI_wk_650_999_Kid_dis,TPI_wk_650_999_LC_COPD_emph,TPI_wk_650_999_MHC_dep_anx,TPI_wk_650_999_Stroke,TPI_wk_650_999_oth_LTHC,TPI_wk_650_999_no_LTHC,TPI_wk_650_999_LTHC_NS,TPI_wk_650_999_Tot,TPI_wk_1000_1749_Arth,TPI_wk_1000_1749_Asth,TPI_wk_1000_1749_Can_rem,TPI_wk_1000_1749_Dem_Alzh,TPI_wk_1000_1749_Dia_ges_dia,TPI_wk_1000_1749_HD_HA_ang,TPI_wk_1000_1749_Kid_dis,TPI_wk_1000_1749_LC_COPD_emph,TPI_wk_1000_1749_MHC_dep_anx,TPI_wk_1000_1749_Stroke,TPI_wk_1000_1749_oth_LTHC,TPI_wk_1000_1749_no_LTHC,TPI_wk_1000_1749_LTHC_NS,TPI_wk_1000_1749_Tot,TPI_wk_1750_2999_Arth,TPI_wk_1750_2999_Asth,TPI_wk_1750_2999_Can_rem,TPI_wk_1750_2999_Dem_Alzh,TPI_wk_1750_2999_Dia_ges_dia,TPI_wk_1750_2999_HD_HA_ang,TPI_wk_1750_2999_Kid_dis,TPI_wk_1750_2999_LC_COPD_emph,TPI_wk_1750_2999_MHC_dep_anx,TPI_wk_1750_2999_Stroke,TPI_wk_1750_2999_oth_LTHC,TPI_wk_1750_2999_no_LTHC,TPI_wk_1750_2999_LTHC_NS,TPI_wk_1750_2999_Tot,TPI_wk_3000_more_Arth,TPI_wk_3000_more_Asth,TPI_wk_3000_more_Can_rem,TPI_wk_3000_more_Dem_Alzh,TPI_wk_3000_more_Dia_ges_dia,TPI_wk_3000_more_HD_HA_ang,TPI_wk_3000_more_Kid_dis,TPI_wk_3000_more_LC_COPD_emph,TPI_wk_3000_more_MHC_dep_anx,TPI_wk_3000_more_Stroke,TPI_wk_3000_more_oth_LTHC,TPI_wk_3000_more_no_LTHC,TPI_wk_3000_more_LTHC_NS,TPI_wk_3000_more_Tot,TPI_wk_NS_Arth,TPI_wk_NS_Asth,TPI_wk_NS_Can_rem,TPI_wk_NS_Dem_Alzh,TPI_wk_NS_Dia_ges_dia,TPI_wk_NS_HD_HA_ang,TPI_wk_NS_Kid_dis,TPI_wk_NS_LC_COPD_emph,TPI_wk_NS_MHC_dep_anx,TPI_wk_NS_Stroke,TPI_wk_NS_oth_LTHC,TPI_wk_NS_no_LTHC,TPI_wk_NS_LTHC_NS,TPI_wk_NS_Tot,TPI_wk_Tot_Arth,TPI_wk_Tot_Asth,TPI_wk_Tot_Can_rem,TPI_wk_Tot_Dem_Alzh,TPI_wk_Tot_Dia_ges_dia,TPI_wk_Tot_HD_HA_ang,TPI_wk_Tot_Kid_dis,TPI_wk_Tot_LC_COPD_emph,TPI_wk_Tot_MHC_dep_anx,TPI_wk_Tot_Stroke,TPI_wk_Tot_oth_LTHC,TPI_wk_Tot_no_LTHC,TPI_wk_Tot_LTHC_NS,TPI_wk_Tot_Total,CANA_HNA_Arth,CANA_HNA_Asth,CANA_HNA_Can_rem,CANA_HNA_Dem_Alzh,CANA_HNA_Dia_ges_dia,CANA_HNA_HD_HA_ang,CANA_HNA_Kid_dis,CANA_HNA_LC_COPD_emph
UCL501001,32443,18557,3747,6335,90169,2771,66966,710791,32467,1024680,2632,4948,785,24,2128,1113,266,538,9516,210,4641,36063,1974,57284,97537,42794,35209,12347,52301,50457,10568,23360,62558,12912,66513,208958,17640,490236,1789,764,534,1150,1092,983,266,455,1183,331,1304,4563,73843,83679,150438,128285,54907,13767,87969,71114,14853,30683,163426,16219,139424,960370,125925,1655875,9769,10782,3870,1181,7420,4570,1117,2008,15141,1326,13049,100057,5116,153387,13204,11750,4733,1115,7636,6112,1327,2919,17567,1580,14202,81716,4624,139505,63585,31937,20833,6653,33382,30677,6830,15492,49151,7891,43505,155219,10292,342032,20576,18010,7594,1174,11296,9379,1807,3780,23661,1837,18002,139246,7195,224892,22395,28396,8717,605,14639,9644,1749,3458,32580,1653,25424,241889,11056,362262,11769,18141,5190,186,7842,5378,942,1372,16973,681,15340,156912,6388,227632,5158,7406,2585,122,3441,2950,484,599,5266,400,6340,72661,2725,102654,3978,1868,1385,2722,2316,2404,593,1056,3085,852,3559,12666,78523,103516,150438,128285,54907,13767,87969,71114,14853,30683,163426,16219,139424,960370,125925,1655875,28123,12014,9908,11333,15585,16483,4853,8853
UCL511001,1291,633,155,279,3752,116,2316,22749,1344,34998,131,202,32,0,73,39,6,22,388,3,179,1011,80,1829,4744,1987,1526,551,2369,2100,438,1107,3059,560,2754,7214,1208,19983,81,36,21,24,40,48,6,27,37,13,35,168,3052,3420,7293,5306,2269,596,3781,2819,618,1432,7231,695,5282,31140,5685,60227,422,447,173,36,270,145,23,72,631,33,460,2868,206,4895,636,512,205,49,330,232,58,138,756,75,553,2577,221,4979,3408,1521,997,351,1618,1408,320,772,2486,360,1914,5614,533,14518,1069,877,306,62,481,366,54,182,1242,96,769,5163,332,9108,974,1052,309,18,564,316,76,146,1253,51,873,7606,420,12052,475,651,181,6,308,162,42,46,603,24,460,5194,255,7722,160,166,58,8,114,84,19,24,150,14,131,1733,78,2479,153,83,49,75,103,102,29,46,125,27,108,382,3637,4461,7293,5306,2269,596,3781,2819,618,1432,7231,695,5282,31140,5685,60227,1342,576,410,470,697,699,216,447
UCL512001,553,336,48,105,1633,61,965,8686,537,13823,42,51,6,0,35,9,0,8,141,0,48,303,23,579,2462,982,784,363,1151,1188,210,560,1520,341,1433,3257,691,9902,52,19,25,17,35,22,4,9,23,16,14,87,1175,1383,3525,2380,1141,386,1772,1555,260,683,3324,416,2457,12334,2435,25694,160,169,64,42,97,66,11,37,264,12,192,918,80,1719,332,253,105,24,158,127,14,56,378,38,263,1125,95,2277,1682,752,512,157,832,754,131,389,1235,216,986,2597,273,7082,536,414,182,37,244,250,39,95,548,75,372,2301,166,4268,430,466,159,12,237,174,29,54,573,26,379,3370,214,5387,188,221,56,5,106,74,11,7,188,13,136,1429,66,2257,56,48,23,0,32,25,3,13,37,3,42,382,33,620,149,54,39,112,69,77,18,28,102,41,87,216,1500,2083,3525,2380,1141,386,1772,1555,260,683,3324,416,2457,12334,2435,25694,734,295,231,319,356,387,97,220
UCL512002,346,224,47,89,1283,45,818,8019,466,12258,27,44,6,0,17,3,4,4,84,0,38,276,23,460,2206,835,756,288,937,1000,219,506,1217,277,1175,2922,246,8381,50,19,7,4,26,28,11,5,19,7,13,65,1064,1235,3092,1921,1045,296,1335,1258,278,601,2600,333,2038,11280,1804,22335,127,124,60,7,66,33,11,30,178,14,115,805,61,1402,345,221,105,59,137,107,29,56,253,53,228,1096,74,2123,1452,629,465,111,606,615,132,333,957,150,790,2443,194,6207,466,290,167,26,204,192,29,71,422,54,343,2023,147,3625,382,403,137,10,161,154,34,63,452,29,300,2716,152,4410,133,159,50,0,70,60,9,15,184,9,140,1501,68,2221,61,46,26,6,27,16,4,3,40,3,35,530,26,772,127,59,38,76,67,79,22,40,117,23,89,168,1083,1578,3092,1921,1045,296,1335,1258,278,601,2600,333,2038,11280,1804,22335,615,250,190,251,279,289,93,182
UCL512003,662,340,68,133,1492,44,962,9502,584,14735,62,96,23,0,50,23,16,21,172,5,67,466,46,853,1826,921,697,279,1133,1023,322,516,1286,248,1069,2978,310,8126,69,31,20,68,40,33,11,14,49,16,58,58,2296,2524,2866,2426,1056,345,1892,1415,412,686,3005,316,2151,13008,3238,26236,166,166,73,10,133,81,22,32,240,21,178,1057,82,1877,227,241,81,21,153,112,46,75,354,30,211,1136,99,2173,1347,715,465,183,818,685,212,376,1009,180,794,2453,244,6216,367,411,134,13,250,156,39,76,452,35,270,2209,164,3848,397,492,156,12,280,181,48,72,529,21,350,3252,235,5253,181,258,73,0,153,84,17,20,250,5,199,2110,97,3154,52,73,29,0,47,23,3,7,52,0,57,619,27,907,126,63,50,103,67,90,27,37,120,16,93,177,2282,2805,2866,2426,1056,345,1892,1415,412,686,3005,316,2151,13008,3238,26236,632,297,230,304,368,393,143,209
UCL512004,640,275,77,107,1139,50,847,10543,596,15164,31,49,9,0,32,9,6,7,83,0,45,326,23,533,765,400,253,106,533,414,150,232,584,107,528,1991,412,4575,17,17,0,0,16,14,3,3,6,5,7,95,2165,2319,1630,1581,550,114,1225,711,240,352,1814,166,1433,12952,3193,22594,133,133,31,4,111,64,24,31,191,19,148,1127,76,1775,119,122,46,11,88,70,24,36,168,21,116,722,60,1253,532,294,182,83,355,266,105,165,434,62,389,1396,126,3066,196,190,57,0,131,59,22,27,234,17,150,1578,95,2420,285,404,97,3,221,103,39,43,411,22,269,3322,192,4905,237,314,93,0,204,84,18,30,278,18,276,3324,159,4674,82,93,28,0,80,32,9,9,80,0,69,1267,68,1735,38,27,15,5,36,24,10,17,26,4,19,221,2418,2771,1630,1581,550,114,1225,711,240,352,1814,166,1433,12952,3193,22594,252,128,105,95,186,147,73,105
UCL513001,193,116,39,63,507,11,352,5209,283,7176,0,19,5,0,19,11,3,0,25,0,14,213,15,299,201,158,113,36,213,150,65,86,216,39,225,1058,133,2074,4,5,3,4,9,11,0,5,6,4,0,92,1560,1686,526,636,253,40,433,283,115,158,741,55,587,6565,1996,11236,20,28,15,4,25,14,12,7,42,0,43,382,31,564,30,50,12,5,34,22,4,12,54,10,46,437,30,654,147,100,76,27,157,111,46,69,166,24,151,788,88,1495,60,69,29,4,38,32,14,16,104,10,68,926,54,1296,135,191,58,0,105,51,16,32,191,8,140,2058,93,2858,94,143,38,0,54,28,12,10,139,3,111,1393,74,1952,25,38,12,0,11,13,4,5,33,0,21,384,23,544,18,16,3,4,16,16,6,5,3,3,7,201,1599,1871,526,636,253,40,433,283,115,158,741,55,587,6565,1996,11236,72,49,38,38,69,49,35,39
UCL513002,168,92,27,37,405,10,225,3135,156,4639,3,19,9,0,11,9,4,3,27,0,5,77,9,139,588,296,203,80,336,318,58,153,326,71,304,1074,88,2691,15,10,9,0,5,12,0,3,6,3,4,36,710,788,908,769,305,82,520,436,88,197,763,85,536,4321,959,8258,42,52,18,0,22,23,5,12,53,6,40,346,12,557,51,57,22,4,42,35,8,16,69,7,41,343,26,578,427,228,134,50,257,216,42,114,276,47,229,842,52,2002,129,131,53,5,61,49,11,19,130,11,68,749,37,1244,147,164,41,3,75,41,11,16,122,10,76,1064,50,1652,54,91,28,3,33,31,6,11,75,0,38,668,34,981,24,32,4,0,14,19,0,0,15,0,14,196,8,300,40,14,11,21,21,17,6,15,24,5,26,113,734,947,908,769,305,82,520,436,88,197,763,85,536,4321,959,8258,162,65,68,74,89,84,21,54
UCL513003,259,116,28,40,630,13,421,6476,310,8866,12,26,3,0,9,4,0,3,27,0,14,170,15,254,85,118,47,7,84,46,14,24,145,12,109,945,54,1451,3,5,0,0,0,0,0,0,3,0,0,30,1897,1940,445,777,174,13,353,169,46,63,813,29,545,7619,2280,12514,37,62,17,4,25,13,6,7,73,5,47,596,31,824,19,37,9,0,31,12,0,4,49,0,36,437,20,611,56,79,24,5,48,32,3,10,111,8,70,535,43,875,52,74,15,0,24,11,0,6,75,5,55,768,45,1051,89,174,25,4,72,38,15,17,186,9,121,1832,70,2477,119,220,45,0,110,35,6,14,217,0,140,2010,113,2851,70,120,27,0,37,25,7,0,88,0,69,1333,55,1763,8,7,4,0,3,5,0,0,9,0,9,99,1909,2048,445,777,174,13,353,169,46,63,813,29,545,7619,2280,12514,31,29,12,6,32,20,11,12
UCL513004,275,125,34,44,514,19,365,5510,284,7643,5,19,4,0,12,3,0,0,26,0,13,191,19,276,140,150,47,13,162,91,41,39,147,48,176,982,71,1721,7,3,0,0,7,7,3,0,3,0,0,81,1772,1877,449,787,143,13,463,228,86,89,694,68,553,6756,2148,11520,45,59,7,6,49,12,3,12,67,5,48,594,41,858,22,37,12,0,33,16,6,4,41,8,33,330,32,513,78,97,27,12,90,62,26,22,78,20,113,539,46,999,47,77,14,0,36,19,3,6,84,7,59,537,33,828,106,188,26,0,80,44,18,18,187,8,111,1622,70,2262,97,201,32,0,110,52,13,22,161,6,117,1900,73,2605,46,101,16,0,50,21,12,4,65,4,63,1082,51,1451,9,18,0,0,7,10,0,0,14,8,17,146,1792,2004,449,787,143,13,463,228,86,89,694,68,553,6756,2148,11520,48,27,19,14,63,37,20,9
