UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL501001,34148,5293,39936,349223,119779,14559,483564,1078613,93700,1655875
UCL511001,1253,248,1523,12610,4465,730,17802,38169,4256,60227
UCL512001,947,119,1066,4488,1732,275,6495,17364,1833,25694
UCL512002,793,89,884,4174,1408,235,5820,15168,1346,22335
UCL512003,622,133,762,4707,1804,294,6797,16798,2636,26236
UCL512004,168,31,202,4865,1205,234,6305,13644,2646,22594
UCL513001,50,16,63,2221,622,161,3004,6333,1899,11236
UCL513002,230,18,255,1437,574,88,2100,5293,860,8258
UCL513003,6,4,11,3402,534,170,4100,6405,2004,12514
UCL513004,19,7,25,2685,542,157,3377,6214,1925,11520
UCL513005,120,25,151,2152,563,99,2819,4860,576,8253
UCL514001,111,52,162,958,480,63,1503,3848,541,5884
UCL514002,86,10,101,1352,400,57,1815,3339,470,5629
UCL514003,104,14,117,1486,327,93,1906,3443,434,5783
UCL514004,149,33,182,868,367,50,1287,3490,614,5392
UCL515001,88,13,96,106,55,11,169,852,83,1102
UCL515002,9,0,10,201,68,11,278,712,63,1054
UCL515003,57,7,68,294,116,7,422,1382,142,1947
UCL515004,15,0,19,449,98,27,571,980,128,1671
UCL515005,31,8,36,398,120,32,551,1215,137,1905
UCL515006,43,18,67,499,184,60,745,1997,631,3366
UCL515007,18,0,20,512,73,37,619,742,152,1512
UCL515008,0,0,0,282,52,10,345,469,112,928
UCL515009,96,8,102,400,142,38,573,1656,224,2457
UCL515010,23,7,24,297,170,47,511,1228,617,2362
UCL515011,87,6,88,405,139,23,567,1555,152,2273
UCL515012,14,0,14,463,133,27,621,923,102,1644
UCL515013,13,3,17,450,101,33,584,1492,218,2291
UCL515014,3,0,3,141,106,16,265,476,90,828
UCL515015,112,13,124,381,163,19,561,1613,145,2320
UCL515016,28,6,36,181,71,11,263,956,141,1364
UCL515017,25,4,27,132,66,0,196,723,185,1106
UCL515018,8,0,11,267,68,9,337,730,222,1290
UCL515019,71,18,89,440,154,30,617,1985,324,2929
UCL515020,9,9,16,627,217,63,909,1902,641,3452
UCL515021,32,3,36,243,97,22,363,957,69,1383
UCL515022,99,9,112,578,197,41,809,2351,208,3366
UCL515023,57,5,61,335,122,17,472,1238,230,1946
UCL515024,33,10,47,175,91,5,277,820,174,1269
UCL515025,48,29,82,218,80,15,313,1010,217,1541
UCL515026,23,0,23,436,140,20,593,1022,117,1739
UCL515027,98,52,143,478,181,15,681,2025,386,3090
UCL515028,0,0,0,863,137,49,1043,1628,390,3060
UCL515029,0,0,0,227,31,11,267,499,238,1009
UCL515030,80,47,126,518,226,33,776,2059,329,3160
UCL515031,60,8,71,337,129,28,492,1659,276,2429
UCL515032,12,3,11,259,105,15,376,713,87,1174
UCL515033,0,0,0,658,77,32,765,913,277,1960
UCL515034,24,8,31,438,148,33,618,1412,187,2213
UCL515035,36,5,44,134,59,5,200,798,129,1128
UCL515036,62,27,85,313,146,24,484,1277,191,1945
UCL515037,0,0,0,393,93,27,512,634,291,1437
UCL515038,78,18,92,236,125,12,375,1503,198,2075
UCL521001,3,0,3,73,44,4,124,299,10,428
UCL521002,4,0,6,92,44,4,138,461,63,660
UCL521003,38,7,49,63,38,7,117,588,76,770
UCL521004,0,0,0,117,51,0,170,231,20,423
UCL521005,3,3,10,185,46,9,238,530,96,867
UCL521006,5,0,5,135,77,9,222,423,57,703
UCL521007,20,0,21,64,25,7,89,307,62,458
UCL521008,37,0,39,53,22,4,80,306,53,442
UCL521009,11,9,25,71,21,6,98,295,75,469
UCL521010,12,0,12,107,52,6,165,438,63,664
UCL521011,0,0,0,144,25,3,172,247,14,433
UCL521012,7,5,9,76,23,0,99,330,33,462
UCL521013,8,0,8,161,57,10,230,453,41,729
UCL521014,4,0,4,66,38,0,110,410,130,648
UCL521015,29,6,38,67,29,0,95,395,41,535
UCL521016,18,3,25,102,39,0,148,343,47,541
UCL521017,15,0,19,110,48,4,163,300,79,552
