UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL501001,149336,103359,49960,18246,1070039
UCL511001,5734,4004,1804,634,35809
UCL512001,2566,2053,1113,452,14913
UCL512002,2179,1927,1028,345,13148
UCL512003,2450,1587,775,346,15286
UCL512004,1869,867,284,92,13413
UCL513001,1073,512,122,30,7887
UCL513002,708,473,348,91,4577
UCL513003,907,237,41,3,8921
UCL513004,980,252,55,11,7678
UCL513005,714,465,282,89,5073
UCL514001,468,402,213,75,2989
UCL514002,587,554,287,62,3981
UCL514003,506,391,146,75,3928
UCL514004,501,375,184,70,2831
UCL515001,117,173,106,36,650
UCL515002,129,100,29,4,650
UCL515003,232,265,115,27,1201
UCL515004,96,57,17,11,940
UCL515005,163,135,43,10,1017
UCL515006,332,211,86,24,1983
UCL515007,149,82,33,6,1097
UCL515008,105,18,7,0,678
UCL515009,290,312,169,51,1624
UCL515010,247,177,41,6,1483
UCL515011,204,178,112,31,1189
UCL515012,128,67,18,4,1056
UCL515013,209,119,44,9,1555
UCL515014,61,15,0,0,392
UCL515015,147,124,102,48,1174
UCL515016,154,158,58,14,786
UCL515017,132,133,50,11,642
UCL515018,113,47,22,6,704
UCL515019,201,143,82,33,1361
UCL515020,308,124,39,14,2301
UCL515021,178,154,67,22,882
UCL515022,245,207,104,32,1639
UCL515023,160,106,50,19,1016
UCL515024,116,96,41,19,653
UCL515025,144,119,72,49,837
UCL515026,140,70,27,6,1027
UCL515027,263,217,108,69,1732
UCL515028,219,48,5,0,2041
UCL515029,85,13,4,0,671
UCL515030,267,239,142,77,1680
UCL515031,251,250,139,25,1283
UCL515032,103,60,9,4,698
UCL515033,149,32,9,0,1412
UCL515034,245,162,72,11,1332
UCL515035,110,93,42,7,521
UCL515036,176,134,76,41,1009
UCL515037,96,20,3,0,1008
UCL515038,216,280,150,39,1144
UCL521001,60,27,4,0,250
UCL521002,63,90,20,0,375
UCL521003,59,86,48,22,374
UCL521004,23,4,3,0,152
UCL521005,98,59,29,3,491
UCL521006,106,73,36,4,436
