UCL_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
UCL513005,3,6,28,7,8,13,0,0,0,64,3,22,107,143,102,54,0,0,0,432,8,12,23,32,42,13,5,4,0,139,0,5,3,5,11,7,0,0,0,26,21,51,146,134,103,79,12,0,0,546,4,5,18,16,18,10,0,0,0,74,18,26,35,26,32,14,3,3,0,155,38,16,25,19,12,11,3,0,0,120,4,0,21,18,33,28,5,0,0,107,0,3,5,5,0,4,0,0,0,19,0,0,6,9,7,6,0,0,0,30,0,0,5,4,9,4,3,0,0,30,0,6,19,19,24,14,5,0,0,95,3,5,16,11,18,20,3,0,0,73,0,3,31,35,52,12,7,0,0,136,6,4,6,16,25,22,0,0,0,80,8,5,9,31,27,28,8,0,0,102,7,4,3,7,4,5,0,0,0,29,0,6,24,17,12,19,4,0,0,81,7,17,33,21,31,10,5,0,0,133
UCL514001,0,0,5,0,0,5,0,0,0,17,8,30,80,77,106,86,17,0,0,402,4,10,37,38,31,20,5,0,0,143,5,14,23,34,32,25,4,0,0,136,17,14,40,30,30,28,3,0,0,163,0,0,3,4,3,0,0,0,0,11,10,12,14,11,10,9,0,0,0,69,30,10,14,6,5,0,6,0,0,74,0,0,3,8,8,14,9,0,0,48,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,0,5,6,5,3,5,3,0,0,26,0,0,7,8,6,10,4,0,0,32,0,3,8,14,15,17,9,0,0,72,0,0,5,4,5,8,0,0,0,23,0,4,8,7,5,8,3,0,0,31,0,0,0,0,3,0,0,0,0,8,5,9,17,17,11,7,0,0,0,64,3,12,12,14,8,12,4,5,0,67
UCL514002,0,5,3,3,9,11,3,5,0,36,0,6,33,78,71,21,7,0,0,219,16,7,29,42,25,26,5,0,0,154,0,0,3,4,6,3,0,0,0,18,23,15,73,115,95,54,11,0,0,388,0,0,7,4,15,0,4,0,0,34,19,9,10,19,19,20,7,0,0,105,35,20,47,54,24,19,10,0,0,220,0,0,5,4,12,4,9,0,0,37,0,0,3,4,0,3,0,0,0,5,0,0,0,3,8,4,5,0,0,28,0,0,0,8,10,13,3,0,0,37,0,0,13,17,35,22,12,0,0,100,0,0,6,18,17,19,3,0,0,67,0,0,5,7,12,8,4,0,0,46,0,0,7,16,12,8,5,0,0,49,3,0,8,14,16,16,5,0,0,61,9,0,4,5,8,0,0,0,0,27,8,0,11,11,8,7,6,0,0,40,6,8,3,20,24,14,4,4,0,86
UCL514003,0,8,42,31,38,8,8,5,0,137,0,0,42,80,72,14,7,0,0,222,9,13,59,60,55,24,8,0,0,221,0,0,5,7,11,6,0,0,0,32,25,15,68,95,67,46,10,0,0,321,0,5,0,10,18,7,4,0,0,44,25,22,24,16,29,20,7,0,0,143,42,21,64,56,25,16,8,0,0,233,0,0,4,9,14,16,14,0,0,57,0,0,3,4,6,0,0,0,0,11,0,0,0,0,0,3,3,0,0,12,0,0,0,0,0,0,4,0,0,14,0,0,15,17,11,15,8,0,0,58,4,0,17,14,20,15,3,0,0,80,0,0,9,17,12,16,0,0,0,57,0,0,8,25,24,16,4,0,0,80,0,0,11,13,15,8,5,0,0,61,4,0,3,4,6,4,3,0,0,29,4,7,12,21,13,8,0,0,0,62,0,4,18,15,26,8,6,0,0,84
UCL514004,3,4,13,5,7,6,7,0,0,57,0,6,13,13,16,19,5,0,0,71,12,15,22,10,23,17,4,0,0,97,0,4,7,12,18,10,4,0,0,56,9,25,32,38,35,30,11,0,0,178,0,9,12,8,17,11,0,0,0,57,26,14,27,17,13,19,4,0,0,122,24,10,12,10,8,5,3,0,0,72,0,3,20,10,24,39,15,0,0,121,0,0,0,4,0,6,5,0,0,11,0,0,0,3,0,5,0,0,0,11,0,0,0,0,0,8,4,0,0,10,0,0,13,8,9,6,0,0,0,31,0,0,10,4,8,4,6,0,0,31,3,3,16,20,23,39,8,0,0,119,0,3,10,17,20,13,4,0,0,72,3,0,10,22,7,28,8,0,0,82,0,0,0,3,0,3,0,3,0,15,0,12,12,11,7,11,6,0,0,65,3,8,14,14,21,13,6,0,0,73
UCL515001,0,0,6,5,4,3,0,0,0,25,0,0,4,3,4,0,0,0,0,12,0,0,0,3,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,6,6,9,10,3,0,0,42,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,0,0,13,0,0,4,4,4,0,0,3,0,20,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,4,7,5,0,0,0,15,0,0,0,0,0,9,0,0,0,10,0,0,0,0,0,5,0,0,0,10,0,0,0,0,5,6,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,11
UCL515002,0,0,10,5,0,4,3,0,0,15,3,5,7,15,19,14,0,0,0,58,5,0,7,13,17,17,0,0,0,60,0,0,3,0,0,0,0,0,0,9,3,6,10,16,20,9,3,0,0,62,0,0,4,3,0,0,0,0,0,9,0,3,0,0,3,0,0,0,0,13,7,0,0,0,0,7,0,0,0,5,0,0,0,6,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,5,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,5,0,6,0,0,0,15,0,0,0,4,0,5,5,0,0,16,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,4,0,0,0,0,8
UCL515003,4,0,6,5,0,6,4,0,0,24,0,3,19,31,22,19,0,0,0,105,0,4,9,7,11,8,3,0,0,27,0,0,0,6,9,9,0,0,0,27,3,9,8,3,12,16,4,0,0,50,0,0,0,5,6,0,6,0,0,16,0,3,5,3,9,9,6,0,0,29,3,0,4,0,0,3,0,0,0,21,0,0,0,0,0,11,5,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,4,4,3,0,0,0,8,0,0,7,7,6,9,3,0,0,31,0,0,0,4,9,0,3,0,0,15,3,0,0,5,5,4,4,0,0,23,0,0,0,0,0,4,5,0,0,7,0,0,4,0,4,3,0,0,0,16,0,4,5,4,0,4,0,0,0,18
UCL515004,0,0,0,3,0,0,0,0,0,11,0,10,31,20,14,9,0,0,0,77,3,0,10,17,10,10,4,0,0,51,4,0,0,0,0,3,0,0,0,6,7,3,29,21,22,6,4,0,0,83,0,4,6,3,4,4,0,0,0,20,10,9,8,7,5,3,0,0,0,39,8,0,0,0,5,0,0,0,0,14,9,0,11,11,11,0,4,0,0,46,0,0,4,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,16,0,0,7,0,3,6,3,0,0,17,0,42,37,3,10,5,0,0,0,99,0,0,0,0,3,0,0,0,0,6,0,3,6,6,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,3,0,11,3,5,0,4,3,0,0,26,0,3,11,7,3,6,0,0,0,28
UCL515005,5,0,8,10,8,4,4,5,0,41,0,5,14,12,18,15,4,0,0,74,0,8,3,3,17,3,3,0,0,37,0,4,4,0,3,3,0,0,0,22,4,14,23,31,24,12,0,0,0,109,0,0,0,6,0,0,0,0,0,6,8,0,4,9,7,3,0,0,0,35,9,0,0,0,0,4,0,0,0,15,0,0,3,7,13,14,5,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,11,0,0,3,3,3,0,0,0,0,16,0,10,3,8,9,8,0,0,0,37,0,0,0,8,3,9,0,0,0,21,0,0,0,4,6,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,5,3,4,6,0,0,0,23,6,0,8,12,5,10,0,0,0,40
