UCL_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
UCL501001,6262,729,16537,495,182,1752,1310,2310,278,6327,274,166,1097,365,417,66,2387,953,424,3648,2272,2310,354,9963,299,137,1565,1469,1869,336,5679,5081,1755,13984,3783,4153,630,29381,845,351,3202,2261,3556,488,10698,3155,1850,8975,3852,4582,606,23021,8436,7620,24047,7305,10452,1195,59054,11173,6098,39147,17098,20727,2787,97024,512,259,2249,1068,1709,167,5972,702,401,3017,3295,7063,505,14980,1032,318,3354,1898,2732,1732,11067,39481,21808,131632,61047,88899,12370,355238,313,96,1002,539,1149,166,3267,6479,1624,15701,6093,21518,1234,52648,2435,662,7915,5347,17878,1122,35365,1101,316,2635,1196,3063,191,8495,2452,752,10202,8320,38096,1869,61688,1297,356,4361,2537,7150,515,16213,3184,769,12688,7737,18186,1839,44409,1776,398,8663,6976,12480,1326,31622,2303,607,6846,5853,10831,1190,27626,716,282,2631,1159,1563,173,6519,2318,1003,8065,4315,3449,582,19739,712,269,3390,2627,3643,517,11156,13199,3500,34734,9056,8920,1559,70975,1632,559,5686,3843,7500,851,20073,6167,3282,16461,9010,12300,1295,48515,13614
UCL511001,370,24,606,5,4,22,36,92,7,159,0,0,18,9,29,0,62,0,0,36,56,72,4,175,3,4,17,28,110,12,170,27,17,166,89,147,10,460,7,3,46,52,156,8,272,34,34,169,132,266,13,647,132,258,781,279,593,38,2082,204,168,1171,599,1263,101,3510,0,5,25,23,72,10,142,15,13,69,102,329,17,547,11,6,36,38,108,61,265,516,571,3096,1905,4979,409,11480,14,6,43,44,143,19,265,51,23,220,229,1372,48,1942,76,30,325,241,1396,62,2123,23,6,50,79,359,17,532,36,18,175,262,1940,75,2514,6,3,31,52,242,8,340,25,16,226,231,1067,69,1630,18,8,156,130,572,39,934,25,12,81,108,479,42,748,4,5,41,27,62,3,144,7,6,64,107,101,12,296,3,3,32,58,174,16,283,52,42,362,185,315,40,996,13,3,68,73,289,14,466,75,63,302,253,533,30,1248,183
UCL512001,151,7,278,5,0,12,12,27,0,59,0,0,8,4,9,0,20,0,3,13,30,33,3,78,0,0,9,17,53,7,80,29,15,84,55,67,5,247,0,6,18,27,60,7,110,25,16,73,58,85,11,272,66,96,303,115,189,10,786,108,86,517,321,524,51,1602,5,0,6,24,27,3,70,4,3,22,48,124,9,210,5,4,16,21,39,8,94,264,252,1257,922,1825,162,4678,11,3,53,41,158,17,293,3,6,15,33,168,5,224,3,8,54,57,286,25,436,0,0,8,26,85,0,120,3,5,32,93,694,16,843,0,3,15,25,117,0,163,11,11,75,96,509,25,724,9,6,86,91,286,16,493,0,7,35,42,164,7,261,5,0,21,12,23,0,53,3,8,20,41,56,9,136,4,0,17,33,83,7,136,52,23,174,92,103,6,453,0,6,26,42,121,6,201,40,33,134,146,271,31,653,102
UCL512002,189,15,385,0,0,9,12,30,4,51,0,3,9,8,4,0,23,6,6,11,15,28,6,60,0,0,11,11,43,9,76,9,11,76,43,56,5,201,0,9,37,33,92,3,177,14,11,56,39,53,3,175,52,99,278,107,189,12,728,67,77,381,208,370,31,1143,0,0,12,5,22,0,44,0,6,28,30,129,8,204,3,0,18,18,32,19,89,179,238,1107,744,1646,161,4083,4,10,28,17,93,11,160,16,7,51,67,449,21,605,0,13,72,63,229,13,384,0,0,11,13,62,0,87,6,10,45,85,686,30,861,0,0,18,13,61,4,99,13,5,82,112,419,29,658,16,5,98,141,366,26,654,5,5,14,32,121,7,186,0,3,17,7,10,5,37,9,8,23,41,33,6,118,5,4,19,30,62,14,122,20,15,152,76,97,10,361,0,12,42,46,175,8,288,31,21,103,81,155,11,394,69
UCL512003,145,13,243,3,4,14,22,52,0,93,3,8,9,8,9,0,26,3,5,8,22,42,5,78,0,0,6,10,25,6,43,9,16,56,37,60,9,192,0,0,11,17,43,3,75,11,16,86,77,111,5,307,61,103,387,134,290,29,1006,103,98,515,308,468,46,1538,3,4,6,4,19,3,40,0,3,17,60,114,7,206,3,4,18,25,41,19,108,223,282,1267,872,1891,168,4707,3,0,31,35,171,15,253,15,11,30,68,467,24,613,0,0,17,20,188,4,231,0,0,5,13,75,0,103,4,4,30,93,716,18,861,3,4,29,20,163,7,225,11,6,77,76,455,28,666,10,0,63,72,258,24,424,15,5,47,82,352,16,523,3,8,12,10,24,0,57,0,4,17,42,50,7,119,6,0,10,21,47,6,82,31,24,144,78,144,14,438,0,4,17,34,131,5,197,26,31,155,163,268,17,668,106
UCL512004,110,23,230,0,0,15,17,59,4,100,0,0,5,0,5,0,12,0,0,14,11,17,0,38,0,0,3,20,41,10,81,15,9,65,31,54,6,179,3,3,15,19,57,8,111,20,7,64,63,98,13,263,53,86,312,72,182,13,726,90,55,325,187,220,26,906,0,0,9,18,25,4,52,0,3,16,33,106,3,166,7,3,14,23,49,26,121,263,197,1148,704,1562,196,4068,0,0,0,8,7,7,17,181,40,456,239,1621,74,2604,15,3,55,54,276,15,427,4,0,6,3,79,3,104,3,0,46,57,535,19,661,0,0,19,19,214,3,264,17,11,53,51,255,31,403,13,0,82,56,182,26,358,11,4,47,51,228,20,357,0,0,12,0,14,0,33,5,4,16,21,21,0,58,0,0,7,30,114,12,168,34,11,124,53,121,9,355,3,3,23,31,93,9,163,38,16,109,117,209,15,509,88
UCL513001,68,13,226,6,9,12,29,32,8,88,3,0,12,4,7,0,25,0,0,4,6,7,0,26,0,0,3,16,20,4,49,15,11,36,14,25,5,98,5,0,26,13,32,11,83,12,22,79,46,64,5,225,66,61,222,74,108,12,552,113,91,340,165,159,35,901,3,0,18,10,16,3,57,4,5,21,22,32,3,79,10,5,26,5,20,28,100,260,210,982,521,703,144,2816,3,0,19,16,44,4,89,7,5,10,15,91,0,128,7,0,7,13,45,0,73,3,0,7,9,50,4,72,3,0,32,39,315,18,402,0,0,8,8,31,0,43,18,5,60,56,145,24,300,21,4,139,84,139,23,416,16,12,57,71,146,16,325,3,4,23,9,11,0,49,0,3,13,6,12,0,36,0,0,6,18,29,8,68,22,12,82,22,40,9,179,4,0,37,27,87,11,169,25,33,155,97,148,16,475,84
UCL513002,50,4,95,0,0,6,8,24,0,45,0,0,0,0,5,0,9,3,0,9,5,13,0,27,0,0,5,4,9,6,21,5,3,14,12,23,0,54,0,0,0,3,15,8,34,0,4,26,21,24,5,84,11,42,118,51,65,3,292,13,21,103,57,117,7,315,0,0,4,0,3,5,16,0,0,3,20,45,0,75,0,0,15,8,22,5,47,37,79,364,263,568,67,1378,0,4,29,32,106,11,183,0,4,8,7,79,12,106,0,0,8,8,55,3,82,3,0,5,7,33,0,47,0,0,7,22,179,10,220,0,0,16,15,88,5,133,3,0,18,26,121,16,180,4,0,13,21,87,13,143,3,0,21,27,182,8,242,0,0,0,0,4,0,9,3,0,12,8,16,0,43,0,0,8,4,16,3,30,7,0,27,19,39,3,96,0,0,4,3,30,7,51,4,13,48,42,60,3,176,19
UCL513003,52,9,145,0,3,16,19,51,4,94,0,0,5,3,4,0,15,0,0,6,3,8,0,21,0,0,6,19,35,5,69,7,9,31,14,22,0,84,0,4,26,18,57,10,113,14,12,63,48,65,12,224,47,64,231,56,116,9,524,51,50,178,79,92,15,465,0,0,6,6,15,3,35,4,0,22,29,61,0,117,7,3,15,11,28,17,87,180,161,833,466,945,107,2691,0,0,0,0,9,0,9,50,25,218,165,966,33,1445,15,0,45,23,115,6,216,14,3,32,18,81,0,146,13,3,43,75,550,21,697,0,0,7,14,75,6,99,11,0,75,35,141,17,283,10,0,61,53,118,11,249,9,5,54,57,167,14,305,0,0,11,10,9,0,28,0,0,7,6,14,0,27,0,0,16,23,75,8,129,10,11,50,38,67,4,180,5,10,31,35,113,14,201,32,18,110,113,152,13,440,68
UCL513004,27,8,79,3,0,25,29,44,5,109,0,0,4,0,0,0,9,0,0,8,3,8,0,19,0,0,10,7,31,4,50,3,4,19,10,14,5,58,0,0,25,14,15,0,56,9,6,47,42,66,7,178,28,34,171,34,76,10,361,30,33,197,80,130,15,480,0,4,3,8,8,0,18,9,0,13,11,42,0,73,4,0,18,9,26,18,71,102,100,666,391,800,93,2156,0,0,0,0,3,0,6,31,21,125,174,1069,37,1450,3,0,15,13,185,4,230,0,0,3,12,52,4,74,6,0,20,39,237,15,317,0,5,10,20,98,0,125,13,3,36,33,103,11,191,6,0,27,34,58,12,145,15,12,75,89,261,14,460,0,0,3,0,6,0,11,0,0,8,3,8,0,24,3,0,14,17,63,4,99,9,6,51,17,38,5,125,4,0,34,22,54,0,114,18,11,72,78,120,9,312,38
