UCL_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL501001,30144,19671,12823,7710,2758,546,99944,808,8165,10370,9471,7385,4360,1352,224,42135,20931,79996,79026,54444,35003,23486,9201,2316,304398,9715,28323,34456,32394,27333,19179,8440,2291,162134,30050,59289,54098,48571,42603,27385,12145,3304,277435,10137,4585,3303,2645,2191,1486,561,113,25025,2126,3119,4529,5948,5744,4615,2377,774,29230,42311,66992,61925,57166,50540,33480,15089,4190,331686,922,1962,2462,2260,2045,2223,1520,549,13948,12830,20785,19050,16300,14195,12918,11587,8134,115792,89201,230803,237432,191705,149336,103359,49960,18246,1070039
UCL511001,327,292,225,156,38,11,1279,15,155,241,254,214,141,38,5,1065,231,1323,1572,1327,939,646,254,69,6361,155,727,999,997,982,691,288,78,4916,1633,3042,2957,2631,2241,1396,527,116,14544,566,306,179,140,110,71,22,12,1402,84,107,187,245,265,184,79,15,1169,2283,3457,3327,3013,2615,1654,626,138,17117,14,41,68,55,62,78,51,18,386,474,698,689,672,693,638,513,312,4694,3180,6617,7221,6620,5734,4004,1804,634,35809
UCL512001,127,119,109,88,31,8,588,12,51,89,123,118,85,16,5,504,95,464,541,564,479,389,181,36,2757,79,277,393,445,506,392,208,55,2356,583,1105,952,963,847,579,266,100,5386,278,99,70,56,60,28,14,3,611,32,39,44,97,115,101,39,16,478,894,1246,1061,1116,1023,709,322,117,6478,6,19,20,21,22,44,30,14,176,188,217,225,233,315,337,325,215,2054,1284,2369,2446,2615,2566,2053,1113,452,14913
UCL512002,94,104,71,67,37,4,432,5,53,106,119,88,69,22,0,457,55,363,570,484,393,320,134,47,2374,51,216,339,421,416,370,182,39,2036,398,854,977,955,807,658,311,67,5019,168,70,48,54,40,40,13,7,436,28,39,57,90,85,96,42,11,456,599,960,1078,1097,932,794,363,79,5908,7,17,17,24,16,37,29,7,152,134,222,228,232,258,273,263,165,1790,855,1889,2437,2484,2179,1927,1028,345,13148
UCL512003,144,117,81,47,6,7,485,9,86,111,102,77,52,9,0,445,115,500,570,512,310,205,65,12,2287,107,296,404,418,425,266,84,26,2019,561,1162,1059,1085,935,560,223,60,5645,257,136,95,79,72,27,13,4,682,33,38,58,93,84,69,29,8,416,851,1335,1214,1254,1093,665,261,68,6742,6,22,16,33,31,23,20,12,152,394,465,498,476,432,335,316,222,3143,1499,2769,2954,2905,2450,1587,775,346,15286
UCL512004,203,111,58,14,7,0,625,12,75,85,69,55,17,3,0,304,164,710,609,357,226,87,27,5,2185,55,280,370,311,260,102,17,3,1400,526,1336,1168,1008,746,300,87,11,5176,226,101,62,51,23,13,7,0,472,27,64,67,81,61,39,5,0,345,779,1499,1296,1138,826,341,94,13,5992,10,27,17,21,19,14,8,0,117,398,544,481,448,426,292,127,71,2785,1440,3343,3060,2456,1869,867,284,92,13413
UCL513001,127,77,55,29,10,0,432,3,85,103,60,46,17,3,0,325,65,572,455,310,177,86,19,4,1683,43,201,288,212,164,73,15,3,1000,177,455,491,443,283,137,20,6,2010,81,48,39,16,17,5,0,0,211,14,31,36,43,40,17,3,0,181,270,535,572,504,337,165,27,6,2406,9,11,12,14,13,10,3,0,71,291,461,364,372,282,139,51,16,1973,690,1990,1920,1553,1073,512,122,30,7887
UCL513002,19,28,15,14,0,0,105,3,16,34,28,27,15,3,0,125,32,188,148,142,97,71,47,10,731,11,71,109,114,116,77,48,16,552,181,382,330,298,277,143,74,10,1686,65,41,26,13,9,9,7,0,168,18,10,20,28,26,9,9,3,116,259,428,373,342,314,164,89,18,1979,4,5,4,3,16,10,8,4,48,144,134,150,152,128,124,151,44,1030,455,859,836,804,708,473,348,91,4577
UCL513003,138,70,21,5,0,0,368,10,70,83,64,21,6,0,0,257,62,512,498,271,105,30,5,0,1485,33,214,337,246,138,31,4,0,1010,263,918,914,626,322,72,15,0,3135,109,65,49,30,20,5,0,0,278,15,24,49,49,31,7,0,0,177,389,1009,1009,704,365,86,15,0,3588,5,17,17,15,4,6,0,0,66,315,553,555,386,242,78,19,3,2149,816,2508,2639,1769,907,237,41,3,8921
UCL513004,74,41,43,10,0,0,229,3,53,55,30,21,5,0,0,163,58,391,374,148,95,19,4,0,1093,19,221,280,182,132,31,3,0,865,195,856,787,489,356,82,13,0,2786,82,68,58,25,10,0,0,0,234,14,38,36,40,28,3,0,0,161,288,957,882,557,388,92,17,0,3184,4,13,12,16,16,0,0,0,63,302,539,452,367,296,90,27,8,2087,688,2230,2130,1336,980,252,55,11,7678
UCL513005,40,38,24,19,4,0,146,0,19,35,36,17,14,5,0,137,22,144,205,146,89,61,30,0,692,36,148,176,201,152,82,36,3,836,162,488,469,378,294,185,92,19,2072,59,32,26,23,22,10,0,0,181,12,28,31,39,30,16,11,6,169,228,547,529,443,340,215,104,19,2425,6,3,18,8,4,11,8,0,62,88,140,125,106,90,61,88,62,769,393,1027,1126,982,714,465,282,89,5073
UCL514001,5,6,6,0,0,0,23,0,7,7,5,13,10,0,0,50,9,38,60,40,31,41,14,6,235,3,38,50,55,55,49,19,3,285,144,315,266,251,241,155,74,8,1460,46,26,14,16,6,8,4,0,122,6,14,19,20,21,24,7,0,111,197,360,299,290,270,184,81,8,1687,0,0,3,10,8,10,5,0,40,84,85,83,83,82,106,79,61,663,296,534,511,484,468,402,213,75,2989
UCL514002,40,38,23,39,19,0,184,0,14,36,29,20,19,9,0,129,9,168,289,221,133,144,81,11,1047,10,90,165,142,111,108,53,7,689,62,177,287,242,172,134,33,13,1123,19,10,18,15,7,10,3,0,83,6,11,24,21,28,23,15,3,129,84,200,328,277,211,170,51,18,1334,0,6,14,10,10,7,4,4,52,63,79,100,73,84,67,69,15,552,171,580,972,781,587,554,287,62,3981
UCL514003,66,26,15,36,15,3,205,0,19,47,40,19,22,8,0,146,18,233,288,207,108,93,41,13,993,15,98,147,139,97,66,29,14,615,81,232,317,251,178,93,17,4,1173,38,9,15,21,4,7,0,0,98,4,15,25,23,27,16,4,0,119,123,261,359,291,208,120,24,9,1391,3,3,8,11,9,4,3,0,45,50,101,105,112,47,49,28,38,533,207,757,1031,821,506,391,146,75,3928
UCL514004,32,11,23,6,0,0,92,0,8,20,15,15,18,3,0,75,22,66,79,70,54,52,20,4,364,12,33,65,48,84,50,22,0,317,92,174,156,190,174,123,30,13,958,48,26,18,12,16,6,0,0,125,5,7,16,24,21,16,7,0,92,151,209,181,223,203,147,40,13,1179,3,10,5,0,9,7,4,0,32,102,93,98,121,112,96,90,53,762,293,439,478,493,501,375,184,70,2831
UCL515001,5,11,3,9,3,0,33,0,0,0,5,7,8,5,0,21,0,7,16,7,17,30,21,4,96,0,9,7,18,25,34,18,4,117,6,22,24,30,50,45,22,7,214,8,0,0,0,0,0,0,0,14,0,0,0,4,7,3,3,0,24,10,24,28,34,58,56,32,7,245,0,0,0,3,0,4,6,7,12,7,8,14,13,10,32,23,20,118,18,51,67,88,117,173,106,36,650
UCL515002,4,0,4,3,0,0,16,0,3,7,5,4,6,0,0,23,4,17,24,20,28,17,0,0,101,0,7,10,31,25,19,3,0,104,26,47,59,57,53,43,11,0,291,9,0,0,0,5,4,0,0,22,0,0,4,6,3,0,0,0,16,41,46,65,60,65,43,13,0,332,0,0,0,0,0,0,0,0,7,3,10,17,11,4,10,5,4,73,46,90,121,127,129,100,29,4,650
UCL515003,9,0,5,14,6,0,38,0,6,6,13,10,4,0,0,39,9,22,25,47,35,41,18,4,201,0,17,29,32,36,61,22,0,204,35,65,51,65,97,74,29,8,422,10,4,8,7,6,10,6,0,45,4,4,6,0,5,17,4,0,47,50,73,64,75,106,101,38,13,509,0,0,0,4,4,7,7,0,19,27,25,15,30,31,38,32,11,196,78,141,151,199,232,265,115,27,1201
UCL515004,8,0,0,0,0,0,17,0,8,7,0,0,0,0,0,15,38,31,20,10,3,6,0,0,117,12,30,19,25,13,8,5,0,113,35,167,93,74,41,27,12,0,452,21,8,5,4,3,0,0,0,48,3,7,10,6,6,0,0,0,26,64,184,102,86,50,30,12,0,526,0,0,0,0,0,3,0,0,8,24,30,21,20,20,9,6,6,139,138,296,180,143,96,57,17,11,940
UCL515005,9,0,4,7,0,0,19,0,4,13,11,5,3,0,0,33,0,24,33,36,25,15,5,0,137,0,20,24,35,18,15,9,0,125,38,87,92,101,66,53,13,0,452,10,11,6,0,3,4,0,0,40,3,8,7,7,0,10,3,0,37,53,102,103,111,81,67,16,0,536,0,0,0,0,3,0,0,0,0,27,13,17,33,28,27,19,8,165,82,160,196,223,163,135,43,10,1017
UCL515006,11,9,5,4,0,0,54,0,9,6,14,6,8,0,0,47,15,64,66,44,33,21,9,4,253,5,25,46,35,34,33,12,6,195,47,116,86,117,125,64,13,7,572,24,16,5,10,4,4,4,0,68,3,4,7,9,9,8,5,0,50,79,133,101,132,144,77,18,7,688,0,0,3,0,0,0,4,0,12,133,137,112,121,104,66,49,12,738,234,392,347,358,332,211,86,24,1983
UCL515007,13,9,9,0,0,0,45,0,0,16,15,9,3,0,0,43,5,53,128,71,38,18,5,4,314,0,22,47,31,27,24,8,0,160,19,38,103,73,44,16,8,0,313,7,6,5,5,0,0,0,0,23,0,4,14,4,0,5,0,0,27,20,51,122,81,47,25,11,0,364,0,0,3,4,0,8,0,0,10,9,18,53,39,20,12,6,0,162,40,159,378,250,149,82,33,6,1097
UCL515008,8,6,0,0,0,0,18,0,4,8,9,0,0,0,0,16,0,31,48,21,8,0,0,0,108,0,14,21,22,21,5,0,0,87,20,46,84,77,51,4,0,0,281,5,4,6,6,0,0,0,0,18,0,0,4,3,0,0,0,0,8,24,51,89,86,52,6,0,0,312,0,0,0,0,0,0,0,0,0,16,27,29,31,17,7,7,0,137,47,131,203,173,105,18,7,0,678
UCL515009,24,15,27,32,16,4,109,0,14,20,13,20,11,8,0,80,0,33,57,74,72,63,29,6,349,0,20,35,42,51,70,37,8,265,37,49,77,73,80,65,28,6,409,15,6,6,3,8,5,5,0,43,0,0,7,10,5,18,6,0,52,54,58,90,79,89,83,36,4,500,0,0,0,0,0,6,0,0,15,33,31,41,50,36,56,42,17,302,94,160,267,279,290,312,169,51,1624
UCL515010,9,13,8,6,0,0,48,0,7,10,8,3,4,0,0,38,24,68,38,20,24,16,5,0,191,7,22,22,20,23,30,0,0,125,23,67,44,75,74,42,12,0,339,23,5,13,5,0,0,0,0,47,0,4,8,6,15,4,0,0,29,48,82,63,82,88,41,12,0,411,0,0,0,0,0,0,0,0,5,110,131,104,110,96,78,27,8,664,188,320,251,254,247,177,41,6,1483
UCL515011,4,3,4,5,4,0,26,0,5,8,10,10,7,4,0,36,7,27,39,29,26,27,15,0,180,5,18,41,35,30,38,16,3,186,48,77,98,66,90,52,38,12,477,23,0,5,0,6,0,0,0,46,0,7,6,7,7,8,8,0,38,74,84,111,73,105,61,43,16,561,0,0,0,0,0,5,0,0,13,16,24,30,21,30,43,25,12,192,95,162,231,177,204,178,112,31,1189
UCL515012,7,9,0,5,0,0,32,0,8,7,11,9,4,0,0,28,8,61,51,53,20,7,6,0,204,4,33,41,36,26,16,3,0,158,35,127,96,86,49,25,0,0,423,19,14,3,0,6,0,0,0,41,0,5,12,3,6,4,0,0,35,54,141,110,96,59,29,0,3,495,0,0,8,3,0,0,0,0,18,11,28,27,20,12,8,7,0,117,83,288,239,232,128,67,18,4,1056
