UCL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL521041,..,0,5,12,0,6,0,0,0,22,..,0,3,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,20,..,..,..,..,..,..,..,..,20,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,4,0,4,0,5,5,0,0,0,20,28,0,17,10,0,9,0,0,0,74,..,0,11,12,0,3,0,0,0,22,..,3,6,0,0,0,0,0,0,10,..,0,5,0,0,0,0,0,0,6,29,..,..,..,..,..,..,..,..,29,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
UCL521042,..,0,10,11,20,9,20,7,6,85,..,4,7,5,4,3,3,0,0,23,..,0,0,0,4,4,0,0,0,8,37,..,..,..,..,..,..,..,..,37,..,9,..,..,..,..,..,..,..,9,..,18,4,0,4,0,0,0,0,25,..,0,0,0,0,4,0,0,0,8,..,0,0,0,0,0,0,0,0,3,..,0,5,0,0,0,3,0,0,9,..,0,3,8,8,13,5,5,3,42,0,0,0,0,4,3,0,5,0,12,37,30,25,22,46,34,32,19,13,260,..,0,12,16,21,11,15,6,3,82,..,4,3,6,3,5,0,0,0,25,..,0,0,5,5,4,0,0,0,19,41,..,..,..,..,..,..,..,..,41,..,4,..,..,..,..,..,..,..,4,..,5,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,4
UCL521043,..,0,9,12,18,26,19,6,0,98,..,4,3,5,8,7,4,0,0,33,..,0,0,0,0,0,0,0,0,6,40,..,..,..,..,..,..,..,..,40,..,10,..,..,..,..,..,..,..,10,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,3,..,0,0,0,0,3,5,4,0,15,3,0,0,0,0,0,0,0,0,10,40,16,17,18,33,44,33,11,0,216,..,0,11,15,24,22,15,5,0,101,..,3,7,0,8,7,3,0,0,25,..,0,0,0,3,6,0,0,0,11,52,..,..,..,..,..,..,..,..,52,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
UCL521044,..,0,3,12,14,23,33,18,7,112,..,0,10,3,3,6,5,0,0,25,..,0,0,3,0,4,3,0,0,12,60,..,..,..,..,..,..,..,..,60,..,10,..,..,..,..,..,..,..,10,..,15,3,6,4,0,0,0,0,27,..,0,0,0,0,0,0,6,0,9,..,0,0,0,0,0,0,0,0,4,..,0,0,5,0,0,0,0,0,4,..,6,0,0,8,21,10,10,4,63,0,3,5,0,8,0,3,0,0,14,60,37,30,30,35,56,60,35,12,337,..,0,3,13,10,31,29,17,3,117,..,3,11,3,0,9,0,0,0,27,..,0,5,8,5,6,0,3,0,29,51,..,..,..,..,..,..,..,..,51,..,3,..,..,..,..,..,..,..,3,..,4,6,4,0,0,0,0,0,13,..,4,0,0,0,0,0,0,5,7,..,0,0,0,0,0,0,0,0,0
UCL521045,..,0,0,0,6,11,27,19,0,75,..,0,3,0,0,5,6,0,0,20,..,0,0,0,0,0,0,0,0,5,26,..,..,..,..,..,..,..,..,26,..,5,..,..,..,..,..,..,..,5,..,3,0,3,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,..,3,0,0,0,9,11,8,4,34,0,4,0,0,0,0,6,0,0,7,26,9,8,13,13,32,54,22,11,189,..,0,10,4,9,23,25,12,4,82,..,7,9,0,6,4,5,0,0,25,..,0,0,5,3,0,5,0,0,18,34,..,..,..,..,..,..,..,..,34,..,3,..,..,..,..,..,..,..,3,..,6,0,0,0,0,0,0,0,3,..,3,0,0,0,0,4,0,0,6,..,0,0,0,0,0,0,0,0,0
UCL521046,..,0,8,8,4,5,7,3,0,37,..,11,11,9,17,9,3,0,0,63,..,0,3,3,5,5,0,0,0,10,66,..,..,..,..,..,..,..,..,66,..,13,..,..,..,..,..,..,..,13,..,19,15,0,3,0,0,0,0,38,..,14,4,0,10,4,0,0,0,32,..,0,0,0,0,0,0,0,0,6,..,0,0,0,3,7,0,0,0,8,..,0,4,0,3,7,3,5,0,27,0,5,0,0,0,0,0,0,0,9,68,54,42,31,44,38,14,11,0,298,..,0,7,11,5,9,0,0,0,35,..,15,10,12,20,7,5,0,0,70,..,0,12,13,12,6,4,0,0,44,61,..,..,..,..,..,..,..,..,61,..,7,..,..,..,..,..,..,..,7,..,16,7,0,0,0,0,0,0,26,..,15,8,5,0,3,13,0,0,43,..,0,0,0,0,0,0,0,0,0
UCL521047,..,0,6,11,8,14,20,10,0,73,..,0,9,7,3,4,3,0,0,24,..,0,0,0,0,3,0,0,0,7,40,..,..,..,..,..,..,..,..,40,..,0,..,..,..,..,..,..,..,0,..,3,4,3,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,3,..,0,0,6,4,3,0,0,0,10,..,4,7,5,7,19,9,10,0,63,0,0,0,0,0,5,0,0,0,5,35,11,21,22,32,46,38,16,0,239,..,0,4,12,22,12,20,0,0,76,..,3,6,6,7,8,0,0,0,28,..,0,0,0,4,0,0,0,0,10,30,..,..,..,..,..,..,..,..,30,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,3,..,0,0,0,4,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3
UCL521048,..,0,3,11,16,33,45,31,9,146,..,0,4,4,0,3,0,0,0,23,..,0,0,4,3,0,0,0,0,8,64,..,..,..,..,..,..,..,..,64,..,16,..,..,..,..,..,..,..,16,..,13,3,6,3,3,0,0,0,20,..,4,0,0,0,4,0,0,0,12,..,0,4,0,0,0,0,0,0,6,..,0,0,7,0,3,3,0,0,13,..,0,5,3,9,15,29,15,10,78,3,0,7,0,0,0,0,0,0,13,66,33,27,27,34,58,86,52,12,405,..,0,3,8,19,40,52,20,6,151,..,5,13,5,8,3,0,0,0,26,..,3,11,13,11,5,4,0,0,46,66,..,..,..,..,..,..,..,..,66,..,9,..,..,..,..,..,..,..,9,..,8,4,0,0,0,0,0,0,13,..,3,5,0,0,0,0,0,0,11,..,5,0,0,0,0,0,0,0,6
UCL521049,..,9,17,18,12,6,0,0,0,70,..,9,0,0,0,0,0,0,0,12,..,0,0,3,4,0,0,0,0,6,58,..,..,..,..,..,..,..,..,58,..,3,..,..,..,..,..,..,..,3,..,15,3,4,0,0,0,0,0,22,..,5,5,4,3,0,0,0,0,27,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,4,10,0,3,0,0,0,21,0,3,5,0,0,0,0,0,0,11,61,46,39,34,28,17,3,0,0,234,..,12,14,19,15,9,0,0,0,68,..,4,0,0,0,0,0,0,0,10,..,10,11,3,10,6,0,0,0,32,44,..,..,..,..,..,..,..,..,44,..,10,..,..,..,..,..,..,..,10,..,8,5,3,0,0,0,0,0,11,..,3,8,10,10,7,4,0,0,37,..,0,0,0,0,0,0,0,0,0
UCL521050,..,0,7,13,11,18,20,8,4,96,..,3,14,0,11,0,0,0,0,31,..,0,0,5,0,5,0,0,0,12,67,..,..,..,..,..,..,..,..,67,..,5,..,..,..,..,..,..,..,5,..,4,3,0,0,0,0,0,0,16,..,6,0,3,0,3,4,0,0,10,..,0,7,0,0,0,0,0,0,6,..,5,0,0,0,0,3,0,0,12,..,7,3,9,13,16,15,10,3,72,0,0,0,3,0,0,0,0,0,10,67,27,41,44,40,44,51,15,3,328,..,0,12,22,17,24,19,5,0,100,..,8,5,7,7,3,0,0,0,33,..,0,5,8,4,0,3,7,0,31,56,..,..,..,..,..,..,..,..,56,..,3,..,..,..,..,..,..,..,3,..,8,3,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,4,0,0,0,9
