UCL_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
UCL501001,145,471,1532,3232,6253,11460,15274,10975,3995,53339,12622,9151,10003,10115,8283,6447,5177,2767,867,65433,207,259,543,1060,2081,4784,8327,6519,2241,26024,3,19,22,44,97,288,940,2224,1972,5596,304,611,1271,3426,7010,11051,13870,8616,2383,48545,271,246,462,1109,3630,8738,14009,11169,4315,43947,201,154,247,489,709,1228,1890,2065,1041,8029,269,159,256,472,1135,2632,4492,3876,1441,14729,4010,9159,12158,11760,10639,8501,5608,2608,972,65414,45,59,101,302,650,1397,2460,2623,1181,8807,9415,5907,6079,7591,9522,10843,9845,5351,2374,66923,161306,93283,104253,102625,81485,57724,32311,12072,2747,647799,13576,9974,13693,13094,11827,8957,5474,3198,1742,81543,199184,125463,144955,147237,130284,111637,86701,46197,15377,1007026,212,802,2271,4928,11216,20217,27203,20550,10057,97459,8718,9888,13318,13305,11910,10861,9319,5039,1837,84190,170,230,664,1870,4081,6435,8108,5493,2216,29253,12,21,15,30,57,254,871,2819,4109,8182,290,670,1321,2860,5273,8629,10896,7158,2914,40016,201,229,329,703,1760,4122,7371,7742,5180,27638
UCL511001,8,29,70,163,304,564,776,517,151,2591,753,353,402,368,341,244,237,132,33,2871,7,7,15,48,78,226,351,251,82,1065,0,0,0,4,0,16,35,103,75,234,19,26,47,117,302,459,639,354,94,2054,12,14,22,46,122,328,559,437,185,1720,5,5,14,13,39,51,76,84,37,335,12,8,10,17,54,124,216,194,47,689,211,379,478,461,462,440,302,117,44,2898,0,0,9,9,24,60,116,88,38,346,409,222,200,259,323,460,380,205,77,2529,5879,2935,2945,3098,2716,2147,1279,481,107,21594,624,461,628,627,586,476,290,145,67,3896,7763,4269,4567,4882,4750,4551,3690,1901,584,36962,17,33,116,266,633,1070,1308,872,409,4728,464,415,509,585,498,485,427,202,66,3652,3,4,26,77,162,277,352,234,87,1222,0,0,3,0,8,17,45,123,166,364,14,34,68,126,224,394,483,287,127,1752,9,11,10,30,68,171,299,313,212,1116
UCL512001,0,9,31,63,129,253,374,285,131,1279,269,174,149,143,117,152,119,59,20,1207,3,0,5,8,41,79,186,139,69,543,0,0,0,0,3,0,19,78,44,150,3,12,18,36,107,201,257,201,58,894,0,4,13,9,47,173,259,262,137,908,0,0,4,0,10,17,43,35,22,143,6,0,0,3,13,56,111,97,42,334,81,195,216,162,186,234,163,62,28,1327,0,0,0,3,12,27,62,81,45,227,178,96,89,85,140,183,188,137,53,1149,2050,1179,1085,997,1029,875,645,242,91,8193,235,176,291,265,203,190,146,88,41,1639,2765,1760,1812,1675,1788,1929,1803,1085,450,15071,9,14,27,79,232,456,612,560,267,2256,156,181,230,208,237,213,208,131,42,1599,0,0,5,21,67,122,184,141,54,605,0,0,0,0,5,10,16,77,129,242,3,12,25,54,100,187,233,195,66,887,0,0,9,20,28,83,187,192,139,649
UCL512002,6,10,16,49,111,209,338,269,107,1107,185,112,92,127,115,110,103,58,29,926,0,0,4,12,36,82,164,149,48,494,0,0,0,0,0,4,23,52,35,121,9,0,14,34,70,140,245,172,51,742,5,0,0,11,47,103,241,255,109,781,7,0,3,5,13,21,35,49,20,145,3,0,5,3,12,40,107,95,23,296,62,114,143,153,205,159,132,76,14,1067,0,0,5,0,11,32,55,42,26,171,120,88,60,86,115,147,175,121,38,958,1928,947,857,983,983,773,653,277,55,7463,225,96,150,164,163,134,112,77,29,1150,2498,1327,1294,1536,1675,1586,1755,1054,319,13036,3,10,21,75,201,360,605,443,271,1988,134,106,134,179,186,192,198,125,65,1319,0,0,3,24,62,101,187,122,45,554,0,0,0,0,0,8,21,55,95,175,4,3,12,27,50,110,193,123,74,595,0,6,4,6,22,64,133,134,118,482
UCL512003,0,3,21,52,141,235,316,216,97,1078,302,162,136,152,149,149,100,57,25,1233,3,5,14,11,50,104,177,120,52,532,0,0,0,0,5,10,22,59,61,153,7,13,36,53,121,274,274,177,51,1000,11,5,10,17,71,163,245,218,96,831,3,0,4,10,14,40,48,47,40,211,8,0,4,8,36,84,101,70,35,345,66,143,179,186,226,214,114,56,36,1216,0,0,0,4,11,27,34,56,24,147,178,93,91,117,123,184,139,92,47,1059,2337,1315,1202,1154,1138,939,553,225,48,8907,437,265,289,285,301,256,149,90,34,2107,3277,1954,1879,1933,2085,2117,1561,870,319,15983,7,13,34,88,224,404,473,373,175,1788,209,197,231,251,251,226,196,106,35,1698,0,0,8,24,58,110,148,116,57,526,0,0,0,4,9,9,17,69,92,192,5,17,27,66,131,225,230,146,59,913,3,8,5,11,43,107,156,139,124,588
UCL512004,4,9,17,59,121,174,189,78,21,672,201,133,144,132,96,90,47,25,6,865,6,0,14,20,33,64,85,52,14,271,0,0,0,0,0,5,6,14,7,41,9,7,26,65,124,219,162,72,12,691,8,3,5,7,53,134,153,67,22,442,3,3,8,6,14,25,35,22,9,131,3,0,0,0,18,51,70,33,7,194,39,85,120,144,136,100,59,14,3,703,0,0,0,7,5,31,23,11,6,84,110,75,66,81,121,147,80,40,8,726,2580,1328,1709,1465,1200,915,324,83,10,9623,426,291,378,357,320,290,137,49,11,2267,3353,1893,2434,2255,2060,1866,980,354,60,15265,5,10,48,77,163,275,215,126,49,967,120,124,205,155,155,155,70,40,14,1034,0,4,10,28,64,75,59,25,14,284,0,0,0,0,5,4,13,18,33,77,0,6,33,40,102,146,135,56,16,540,3,3,10,6,36,82,60,43,30,277
UCL513001,0,0,9,16,38,70,58,14,5,218,67,22,41,43,52,37,27,5,3,295,0,0,0,9,20,38,30,13,5,118,0,0,0,0,0,4,5,5,8,20,3,7,4,20,48,65,48,13,5,203,6,5,10,14,14,58,50,22,8,179,4,0,3,10,7,13,14,4,4,66,5,0,0,3,13,19,25,4,5,71,12,24,44,51,59,48,22,4,5,264,0,0,0,0,6,6,8,10,0,29,50,17,31,44,59,63,37,13,0,308,1307,516,754,740,583,345,192,39,12,4473,310,164,204,194,227,152,62,22,7,1331,1761,743,1081,1106,1048,783,438,118,33,7108,0,7,7,29,53,100,72,33,3,308,39,46,75,99,84,57,41,8,0,454,0,0,3,18,27,38,25,18,0,126,0,0,0,0,0,0,8,9,5,21,0,5,18,24,46,61,45,20,4,233,10,10,10,6,21,32,34,12,0,125
UCL513002,0,0,11,13,31,77,96,81,26,347,75,64,45,57,42,57,37,22,3,396,0,0,6,3,8,34,52,48,21,165,0,0,0,0,0,3,5,17,10,34,3,5,8,12,43,65,76,58,15,278,0,4,0,4,15,57,74,78,32,261,0,0,6,0,7,6,9,14,3,50,0,3,0,0,6,22,24,23,11,97,23,37,47,49,49,64,33,13,9,318,0,0,0,0,0,5,26,16,4,50,38,13,23,18,40,46,42,31,22,274,736,409,380,387,371,326,201,80,17,2903,132,89,86,72,92,77,49,56,9,656,999,606,583,573,641,679,531,353,96,5060,0,5,9,31,64,118,138,145,62,566,61,44,75,69,70,65,58,48,20,500,0,5,0,10,17,31,34,38,14,141,0,0,0,0,0,0,0,21,30,53,0,4,15,14,32,46,59,58,21,241,0,0,0,5,13,27,38,60,34,178
UCL513003,0,0,14,23,50,75,26,9,0,208,94,39,88,90,57,37,8,0,0,415,0,0,7,13,14,21,8,3,4,75,0,0,0,0,0,0,4,0,0,4,3,7,10,25,57,66,31,9,0,215,0,0,4,12,29,48,26,9,0,115,0,0,3,3,6,3,3,3,0,29,0,3,5,0,8,10,7,3,0,42,35,55,88,74,66,42,9,4,0,360,0,0,0,6,3,0,3,4,0,20,66,46,40,49,56,39,13,4,0,321,1755,661,1054,1187,745,379,94,0,0,5878,388,206,286,345,247,153,49,9,0,1678,2327,992,1557,1780,1266,787,222,41,5,8976,0,4,27,27,77,73,27,10,0,246,65,66,128,103,83,52,20,6,0,513,0,0,5,22,38,16,10,4,0,97,0,0,0,0,0,0,0,0,0,7,3,4,11,19,29,38,27,4,0,147,6,4,0,7,11,17,5,3,0,55
UCL513004,0,0,7,28,41,66,36,6,0,189,90,46,91,94,41,59,17,3,0,435,0,0,3,6,9,31,13,0,0,66,0,0,0,0,0,4,0,0,0,5,8,9,14,40,63,91,42,6,0,279,0,0,0,14,29,50,29,13,0,140,0,0,8,11,7,10,8,0,0,44,7,0,0,0,7,22,10,4,0,57,12,38,59,75,44,36,9,0,0,270,0,0,0,0,7,11,7,6,0,33,66,13,39,39,51,37,23,13,3,294,1436,564,976,955,640,445,78,12,4,5115,294,179,302,276,208,197,40,7,6,1510,1901,833,1471,1483,1087,933,242,57,10,8028,0,0,16,33,55,83,60,10,5,266,69,50,117,107,70,67,31,0,0,514,0,0,3,11,26,22,8,7,0,84,0,0,0,0,0,4,0,4,4,11,0,0,10,24,45,52,40,13,5,190,3,0,5,3,24,23,18,6,0,92
