UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL501001,11340,11329,22665,17658,13760,31416,137,76,213,31,15,48,2014,1684,3698,339125,297081,636206,19826,25500,45325,4879,159,5040,2480,252,2729,5259,1498,6758,11423,2800,14229,8091,7748,15845,422255,361907,784160,6730,6523,13255,12,7,24,0,4,5,4524,4122,8641,653,910,1563,494,188,688,12419,11751,24171,23,6,32,8,8,15,763,769,1535,483,880,1364,689,397,1084,1962,2068,4025,4342,2174,6517,18727,15991,34718,2125,2513,4636,518,260,776,254,101,356,2900,2873,5769,33855,43357,77216,51613,67213,118823,2365,1625,3993,531710,492968,1024680
UCL511001,10,8,17,460,131,591,0,0,3,0,0,0,34,41,76,12308,11772,24072,1053,1040,2095,158,8,164,62,10,70,154,42,196,298,75,377,262,273,534,14808,13393,28205,0,0,0,0,0,0,0,0,0,10,4,7,4,3,7,0,0,0,14,3,17,0,0,0,0,0,0,171,42,211,19,16,31,26,0,31,210,60,276,214,78,296,441,149,593,4,3,7,22,5,32,13,3,13,36,11,50,480,897,1378,2154,2482,4637,92,43,136,18015,16983,34998
UCL512001,0,0,0,90,20,110,0,0,0,0,0,0,19,13,38,5027,4826,9849,371,429,804,82,3,82,29,0,30,63,14,76,91,17,109,141,133,274,5904,5467,11366,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,6,7,11,0,0,4,6,0,3,11,9,19,54,39,98,70,48,122,0,0,0,4,0,4,4,0,4,4,0,7,211,413,625,691,943,1640,38,24,60,6921,6901,13823
UCL512002,0,4,3,133,31,164,3,0,0,0,0,0,17,7,24,3978,4123,8102,327,346,675,48,0,49,7,0,7,119,46,168,131,27,164,113,120,234,4880,4705,9589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,17,3,4,8,12,0,13,26,13,38,54,17,68,82,27,113,0,0,0,13,0,14,5,0,5,13,3,21,257,466,723,831,928,1762,34,24,55,6101,6154,12258
UCL512003,0,0,0,131,28,163,0,0,0,0,0,0,10,16,27,5120,5167,10285,421,468,887,120,3,121,66,11,79,108,43,156,132,28,158,158,143,303,6270,5913,12185,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,4,9,0,0,0,0,0,0,4,0,10,5,5,7,11,6,13,19,8,35,66,38,104,92,52,143,0,0,0,5,0,5,9,0,10,14,3,12,191,361,550,855,929,1781,34,27,61,7456,7279,14735
UCL512004,4,0,4,251,86,333,8,4,14,0,0,0,44,49,94,5870,4791,10663,585,555,1144,114,11,128,54,6,63,66,15,80,71,39,105,217,235,454,7285,5798,13076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,55,10,68,8,0,10,5,0,5,67,16,82,76,52,130,141,73,211,0,0,0,9,0,14,7,0,3,14,3,20,101,266,372,754,668,1425,41,22,65,8334,6828,15164
UCL513001,0,3,3,39,19,57,0,0,0,0,0,0,5,6,15,2144,2385,4525,187,279,463,24,0,27,80,35,122,118,93,208,76,28,103,154,204,354,2827,3053,5877,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,4,5,27,19,49,34,24,60,0,0,0,0,0,0,0,0,0,0,0,0,124,227,344,357,450,802,50,42,87,3389,3794,7176
UCL513002,0,0,4,28,8,35,0,0,0,0,0,0,8,3,9,1780,1488,3271,98,111,209,34,0,34,19,6,31,31,26,62,10,7,22,67,81,148,2082,1735,3819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,3,0,0,0,7,5,11,17,11,34,25,17,44,0,0,0,0,0,0,0,0,0,0,0,0,65,147,216,244,285,530,27,13,40,2443,2199,4639
UCL513003,5,0,4,150,33,180,0,0,0,0,0,0,9,5,21,3473,2768,6241,339,254,592,62,0,61,52,4,54,30,14,49,67,27,90,107,162,270,4294,3257,7553,0,4,4,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,12,5,13,4,3,8,5,0,5,18,8,22,42,18,63,64,33,90,6,0,3,5,0,5,3,4,6,11,4,15,48,182,226,506,440,946,17,13,30,4935,3928,8866
UCL513004,3,0,3,51,25,77,3,0,3,0,0,0,9,23,31,3111,2409,5522,233,222,456,53,6,57,44,8,53,24,9,40,56,18,78,92,120,212,3681,2843,6519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,5,5,3,4,9,8,8,12,44,14,57,55,24,75,0,0,0,0,0,0,0,0,0,0,0,0,52,126,180,451,359,809,36,20,59,4275,3369,7643
