UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL501001,205986,406124,4059,23000,24368,111084,6066,27279,141617,539082,176105,700451,12819,53432,21891,75151,41043,129545,75755,258127,251858,958581,1182,5498,5958,20304,2867,10304,32190,84093,42203,120196,3744,11842,8472,19148,29167,62997,41381,93981,83590,214177,8990,18897,550426,1597778
UCL511001,8198,16065,159,847,874,3903,316,1384,4722,18152,6067,24279,343,1361,544,1682,1318,4031,2200,7078,8268,31358,49,214,273,902,161,581,1595,4262,2080,5956,123,371,264,552,1051,2207,1436,3133,3519,9087,237,498,20221,57014
UCL512001,3691,7300,85,467,297,1364,99,431,1630,6332,2108,8602,105,427,206,647,508,1579,822,2655,2931,11251,13,56,118,400,72,246,574,1572,772,2270,44,148,110,230,461,987,616,1369,1390,3638,115,237,8126,22424
UCL512002,3497,6841,47,245,301,1322,112,486,1545,5938,2004,7999,106,418,190,587,458,1383,757,2393,2758,10388,21,96,111,368,51,170,480,1296,666,1936,23,83,92,201,355,720,470,999,1135,2931,67,136,7460,20295
UCL512003,3451,6737,58,308,313,1427,101,468,1799,6936,2268,9150,118,481,185,549,570,1733,873,2762,3139,11912,23,128,112,386,105,403,701,1928,942,2843,60,186,120,246,506,1074,688,1506,1628,4348,142,289,8355,23290
UCL512004,2551,5027,59,329,237,1100,154,708,2110,8226,2558,10371,108,424,155,480,490,1518,752,2427,3312,12793,18,76,56,199,49,169,514,1425,632,1868,23,62,56,121,342,738,423,924,1054,2789,114,243,7026,20853
UCL513001,1163,2225,14,95,128,517,54,260,973,3804,1175,4683,44,156,66,190,149,467,256,814,1435,5494,17,66,49,177,35,132,326,931,425,1306,8,15,55,109,152,328,207,450,633,1755,56,121,3283,9599
UCL513002,1119,2188,21,110,110,464,28,121,556,2198,714,2884,27,97,50,153,162,486,247,740,964,3617,5,28,43,148,20,68,165,457,229,699,13,38,26,61,145,293,182,396,411,1094,43,78,2536,6981
UCL513003,1269,2458,33,173,214,936,60,255,1548,6024,1851,7393,41,165,102,311,168,529,316,1003,2162,8396,4,19,35,117,16,63,196,511,253,708,9,32,20,46,84,197,120,275,371,982,33,62,3839,11897
UCL513004,1173,2273,27,154,122,590,61,281,1243,4905,1457,5936,29,120,50,136,162,528,243,780,1704,6714,4,26,28,112,34,122,259,717,331,976,14,33,37,79,121,272,167,380,494,1359,62,135,3436,10478
UCL513005,999,1943,32,169,136,618,53,227,841,3235,1060,4248,52,213,75,236,217,635,344,1082,1405,5337,13,58,42,151,27,91,290,794,363,1097,13,48,32,70,154,316,197,435,564,1534,31,62,3001,8876
UCL514001,838,1648,3,18,55,262,42,183,343,1343,450,1816,27,111,35,119,132,405,196,635,649,2451,3,28,23,83,19,61,137,403,187,587,12,36,17,40,118,252,146,334,338,916,29,59,1849,5072
UCL514002,823,1588,10,38,79,337,23,97,573,2162,686,2628,21,83,60,177,74,219,161,481,843,3110,0,0,30,88,7,19,107,261,145,369,9,24,21,41,58,122,87,182,235,546,12,22,1909,5265
UCL514003,661,1284,13,50,83,342,20,78,581,2182,691,2647,28,106,45,140,64,189,134,441,832,3083,4,11,35,109,15,56,155,366,209,538,8,29,29,59,96,206,142,294,346,831,11,33,1853,5231
