UCL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
UCL501001,39645,41531,23074,14642,19395,10409,6112,154814,11824,11042,6147,4031,5108,2136,1033,41318,12525,11671,6139,3961,4640,1860,963,41751,41513,39557,23818,15529,18579,6874,3195,149058,437,441,265,157,77,25,16,1415,105948,104240,59444,38312,47798,21308,11311,388355,2565,4551,3436,2586,3741,1909,1344,20129,1997,2965,2048,1466,1760,639,349,11224,1317,2224,1526,1197,1444,520,326,8562,7510,11194,7635,5668,6418,1785,1000,41204,488,546,327,169,124,42,21,1713,13875,21474,14976,11075,13496,4890,3044,82833,119817,125718,74414,49390,61289,26197,14355,471189
UCL511001,605,635,440,288,355,57,24,2405,333,301,170,118,131,18,10,1078,339,358,186,121,155,13,7,1183,2210,2472,1391,965,1178,108,48,8376,10,22,10,6,0,0,0,54,3495,3784,2204,1505,1826,208,87,13096,56,62,53,46,72,9,4,302,72,114,67,53,56,9,0,377,49,90,49,43,67,4,0,320,552,782,562,406,434,42,9,2786,22,16,10,14,0,0,0,71,756,1064,747,565,637,64,15,3850,4249,4849,2953,2067,2461,269,98,16945
UCL512001,144,155,112,100,127,27,11,674,89,108,56,34,68,8,0,364,122,118,81,58,61,8,0,446,894,844,523,401,427,39,3,3129,0,5,0,4,0,0,0,8,1254,1229,773,596,678,77,13,4632,9,17,21,11,19,3,0,88,12,31,28,15,26,6,0,106,7,35,31,28,28,3,0,130,205,335,218,175,191,18,4,1144,4,16,7,0,4,0,0,34,248,432,300,227,267,21,7,1499,1501,1669,1069,826,946,101,22,6132
UCL512002,123,138,97,67,77,14,4,515,114,121,79,44,81,3,3,445,131,157,84,44,64,9,0,489,697,820,534,375,392,43,16,2871,8,6,10,0,3,0,0,26,1068,1239,797,535,613,70,18,4343,7,17,13,10,13,0,0,56,19,28,34,22,18,0,0,129,12,27,31,28,21,3,0,123,146,257,173,157,177,8,0,920,5,6,5,3,3,0,0,24,179,334,259,212,240,10,4,1256,1244,1577,1062,749,850,85,22,5594
UCL512003,162,209,130,80,91,7,11,684,72,98,68,36,37,10,3,327,128,102,43,40,54,0,0,365,998,1004,619,387,460,47,11,3531,5,3,3,0,0,0,0,12,1361,1413,865,542,637,67,25,4912,12,25,18,9,25,0,0,86,25,37,29,18,25,3,4,142,12,19,21,14,25,5,0,89,287,421,309,209,203,17,6,1454,6,23,7,14,0,0,0,48,350,520,384,257,274,25,9,1818,1714,1932,1251,800,913,94,34,6732
UCL512004,395,460,227,146,159,22,8,1422,138,133,67,33,37,0,0,407,189,172,82,47,46,0,0,532,988,881,470,320,312,10,7,2984,5,9,0,0,0,0,0,17,1725,1647,850,548,555,35,11,5365,26,50,27,22,29,4,0,159,35,37,16,15,17,0,0,115,22,23,12,7,14,0,0,84,185,213,166,109,81,9,0,753,10,17,8,7,0,0,0,46,276,336,231,158,138,9,0,1161,2004,1983,1084,706,694,46,16,6526
UCL513001,114,99,40,16,31,6,0,307,48,45,16,15,9,0,0,143,62,63,28,20,20,0,0,203,497,562,315,193,148,14,4,1732,4,3,0,0,0,0,0,13,725,783,403,246,209,23,0,2394,3,9,3,9,3,0,0,29,7,5,5,3,4,0,0,28,4,14,10,7,3,0,0,42,136,203,134,101,90,4,0,669,10,17,6,3,0,0,0,39,162,250,164,121,108,6,0,813,885,1032,571,371,318,27,4,3204
UCL513002,38,42,20,13,17,0,0,124,32,38,19,17,11,0,0,121,46,60,16,9,9,0,0,138,294,324,205,149,141,5,0,1121,7,0,0,0,0,0,0,5,413,462,256,188,188,8,0,1510,11,4,3,0,8,0,0,22,11,11,5,9,5,0,0,47,10,12,5,10,8,0,0,46,78,89,50,47,68,3,3,340,5,12,3,0,3,0,0,18,104,131,70,69,89,3,3,464,521,593,322,251,272,10,7,1979
UCL513003,238,205,125,62,86,10,0,722,108,89,40,18,14,0,0,272,143,145,72,31,30,3,0,420,708,780,396,251,250,12,5,2394,10,6,0,0,0,0,0,19,1199,1227,637,360,387,22,5,3831,8,11,7,7,14,0,0,48,4,11,9,3,7,0,0,30,8,7,10,6,8,0,0,42,53,90,61,54,41,0,0,293,0,3,3,0,0,0,0,11,77,122,83,75,63,0,0,425,1275,1354,719,429,454,23,5,4257
UCL513004,187,200,98,66,61,3,4,622,94,54,30,9,10,0,0,198,120,108,43,31,15,0,0,323,666,573,303,156,116,8,0,1823,12,11,0,3,0,0,0,31,1080,957,474,264,207,9,3,2996,8,8,5,10,15,0,0,49,9,17,9,4,10,0,0,43,8,17,0,3,4,0,0,31,90,145,82,52,44,8,0,416,11,7,10,0,0,0,0,31,129,186,102,70,67,14,0,579,1209,1147,585,332,273,21,4,3571
