UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL501001,519265,538723,1057992,50910,54002,104909,7400,7705,15104,6543,7123,13664,5850,6071,11926,2043,2133,4173,234249,248748,482992,930,1062,1997,1808,1803,3611,778,794,1574,113,128,242,259710,275575,535286,49315,54937,104252,7485,6721,14204,367420,391229,758655,55659,45614,101271,942351,975567,1917922
UCL511001,18955,19800,38754,2849,3074,5924,178,183,359,189,174,361,215,244,457,75,67,141,8008,9136,17142,52,66,116,137,130,266,13,16,24,0,0,0,8864,10009,18871,811,990,1805,308,266,575,12839,14343,27177,2821,1914,4730,34611,36057,70669
UCL512001,7519,8176,15692,1409,1605,3018,71,83,151,44,66,110,63,54,112,27,27,56,3401,3889,7288,9,21,29,24,27,57,3,10,17,0,0,0,3644,4177,7822,311,317,630,121,126,237,5487,6223,11713,1237,892,2134,14239,15289,29534
UCL512002,6437,7041,13476,1481,1598,3078,66,89,154,76,84,154,70,81,151,31,27,54,3029,3458,6482,31,31,58,28,44,72,9,3,15,0,0,0,3338,3807,7148,242,284,529,79,66,151,5141,5753,10898,793,746,1543,12372,13543,25915
UCL512003,8097,8338,16434,1272,1378,2646,83,76,159,87,110,199,81,99,180,41,35,78,3200,3659,6860,21,20,39,54,61,108,6,14,20,0,0,0,3578,4063,7644,285,318,602,131,107,239,5257,5868,11131,1664,1536,3199,15015,15746,30765
UCL512004,6465,5831,12292,1270,1261,2531,159,142,300,162,155,318,241,212,458,84,82,159,2937,2833,5774,46,47,93,40,31,77,7,3,4,0,0,0,3681,3516,7196,722,680,1405,177,143,322,5847,5599,11447,1792,1302,3098,14110,12734,26844
UCL513001,2564,2608,5170,1063,1186,2247,95,100,194,117,146,265,102,112,213,37,40,76,1107,1326,2435,14,12,29,55,69,125,4,10,18,5,0,5,1541,1817,3351,211,330,544,71,57,127,2879,3390,6273,1113,1049,2158,6556,7051,13600
UCL513002,2499,2546,5043,852,911,1761,24,27,44,41,38,77,44,46,85,18,14,29,598,658,1252,3,4,10,8,4,13,0,0,0,0,0,0,730,786,1518,87,97,181,41,38,80,1705,1838,3539,558,485,1044,4760,4869,9627
UCL513003,2416,2042,4454,1594,1484,3082,100,92,188,109,100,207,234,189,425,59,49,108,1755,1727,3481,6,13,18,95,91,186,7,9,19,0,0,0,2366,2267,4637,285,358,642,112,70,187,4358,4189,8543,1387,1108,2501,8159,7343,15504
UCL513004,1967,1663,3630,1301,1294,2600,182,179,354,117,103,220,314,246,555,62,43,109,1641,1567,3204,26,24,48,51,46,99,0,0,5,0,3,5,2389,2209,4597,311,337,651,75,85,163,4080,3934,8010,1278,995,2269,7321,6596,13909
