UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL501001,807849,848032,1655875,388718,225993,614708,115132,236707,351838,27866,30266,58128,29739,27543,57284,561453,520512,1081965,200560,289677,490236,5.3,5.3,5.3,69.5,61.4,65.3,65.8,58.1,61.9,50468,49477,99944,14441,27697,42135,132548,171851,304398,71879,90255,162134,180026,97407,277435,10343,14680,25025,10259,18969,29230,200628,131058,331686,805807,837814,1643619,135465,143754,279222,519265,538723,1057992,367420,391229,758655
UCL511001,29199,31028,60227,13585,7164,20751,3233,8672,11905,1199,1143,2343,948,879,1829,18960,17861,36824,8366,11616,19983,5,4.9,5,64.9,57.6,61.1,61.7,54.7,58.1,613,659,1279,324,738,1065,2312,4048,6361,1973,2939,4916,9023,5522,14544,534,870,1402,387,783,1169,9944,7172,17117,28577,30200,58779,5243,5753,10994,18955,19800,38754,12839,14343,27177
UCL512001,12299,13395,25694,4766,2817,7584,1698,3625,5321,453,461,914,340,244,579,7254,7147,14405,4347,5560,9902,4.6,3.4,4,59,53.4,56.1,56.3,51.5,53.8,263,324,588,154,351,504,959,1792,2757,886,1467,2356,3340,2044,5386,254,354,611,163,320,478,3764,2715,6478,11598,12708,24305,2151,2363,4515,7519,8176,15692,5487,6223,11713
UCL512002,10536,11800,22335,4198,2378,6574,1450,3360,4815,453,414,871,239,223,460,6340,6377,12719,3541,4842,8381,3.8,3.5,3.6,60.2,54.1,56.9,57.9,52.2,54.9,189,247,432,126,330,457,828,1541,2374,817,1218,2036,3205,1817,5019,176,258,436,160,301,456,3535,2376,5908,10101,11137,21239,2041,2234,4275,6437,7041,13476,5141,5753,10898
UCL512003,12707,13528,26236,5372,3267,8637,1555,3545,5103,529,466,994,489,364,853,7947,7645,15587,3432,4694,8126,6.2,4.8,5.5,62.5,56.5,59.4,58.7,53.8,56.2,230,251,485,111,337,445,746,1540,2287,785,1237,2019,3644,2000,5645,257,428,682,154,261,416,4057,2688,6742,12025,12663,24686,2147,2363,4510,8097,8338,16434,5257,5868,11131
UCL512004,11912,10682,22594,6876,4012,10889,939,2383,3324,520,431,950,304,231,533,8642,7058,15702,1970,2603,4575,3.5,3.2,3.4,72.6,66.1,69.5,70,63.9,67.1,318,306,625,89,222,304,852,1336,2185,549,850,1400,3676,1500,5176,191,282,472,138,208,345,3999,1994,5992,10562,9867,20428,2690,2459,5149,6465,5831,12292,5847,5599,11447
UCL513001,5349,5887,11236,2581,2239,4817,559,1267,1831,246,282,529,168,130,299,3557,3921,7478,956,1120,2074,4.8,3.3,4,66.5,66.6,66.5,63.3,64.4,63.9,135,292,432,82,238,325,566,1120,1683,398,601,1000,1373,640,2010,74,140,211,81,98,181,1522,881,2406,4631,4831,9454,1248,1583,2828,2564,2608,5170,2879,3390,6273
UCL513002,4065,4191,8258,1828,971,2797,400,1042,1438,213,191,403,81,64,139,2522,2264,4784,1116,1569,2691,3.1,2.7,2.9,62,54,57.9,60,52.5,56.2,52,57,105,34,97,125,239,490,731,198,356,552,1119,568,1686,58,116,168,41,76,116,1220,759,1979,3716,3874,7590,732,740,1474,2499,2546,5043,1705,1838,3539
UCL513003,6644,5868,12514,4062,2285,6348,519,1354,1870,353,293,649,121,130,254,5061,4060,9117,480,972,1451,2.4,3.2,2.8,76.1,69.2,72.9,74.3,67,70.9,158,208,368,77,178,257,512,974,1485,446,563,1010,2280,856,3135,107,166,278,65,109,177,2455,1137,3588,5567,4997,10569,1833,1800,3635,2416,2042,4454,4358,4189,8543
UCL513004,6121,5397,11520,3479,2085,5563,431,965,1396,362,322,682,145,129,276,4422,3499,7916,633,1090,1721,3.3,3.7,3.5,72.2,64.8,68.8,69.8,62.4,66.4,106,122,229,53,108,163,333,760,1093,390,477,865,2038,743,2786,68,161,234,74,94,161,2187,999,3184,4938,4463,9399,1701,1660,3362,1967,1663,3630,4080,3934,8010
UCL513005,3978,4275,8253,1842,955,2797,431,1156,1593,207,169,379,170,184,349,2648,2471,5115,1021,1521,2547,6.3,7.4,6.8,66.5,57.8,62,62.3,53.5,57.8,64,80,146,30,100,137,224,468,692,326,511,836,1328,746,2072,67,114,181,57,111,169,1456,966,2425,4236,4447,8683,723,820,1540,2511,2522,5038,2054,2347,4397
UCL514001,2911,2972,5884,1027,469,1494,245,687,931,109,108,216,138,124,260,1524,1379,2903,1117,1333,2452,9.1,8.8,9,52.3,46.4,49.3,47.6,42.3,44.9,7,17,23,13,35,50,72,165,235,92,196,285,939,520,1460,39,73,122,45,64,111,1028,660,1687,2808,2799,5605,461,472,939,2068,1992,4061,991,1103,2088
UCL514002,2750,2880,5629,1140,570,1711,449,1013,1468,172,146,314,31,37,69,1794,1772,3561,715,922,1642,1.8,2,1.9,65.2,61.5,63.3,64,60.3,62.1,101,80,184,30,99,129,398,645,1047,269,423,689,793,330,1123,28,56,83,41,90,129,859,475,1334,2645,2763,5409,547,605,1152,1564,1563,3128,1452,1616,3060
UCL514003,2822,2960,5783,1276,672,1942,504,1052,1556,173,151,324,62,63,124,2012,1929,3940,571,869,1439,2.9,3.3,3.1,71.1,65.3,68.2,69.1,63.1,66,87,114,205,40,107,146,389,609,993,238,379,615,762,413,1173,50,51,98,48,72,119,856,537,1391,2662,2840,5499,668,655,1322,1563,1653,3213,1554,1648,3205
UCL514004,2605,2782,5392,993,636,1632,265,608,869,79,76,155,103,79,179,1440,1392,2839,852,1111,1961,7.2,5.5,6.4,55.4,50,52.6,51.4,47.3,49.3,42,57,92,24,51,75,135,233,364,105,212,317,621,338,958,49,86,125,45,47,92,714,467,1179,2421,2558,4974,418,468,888,1616,1679,3297,1036,1187,2226
UCL515001,537,570,1102,91,61,155,87,124,210,16,17,35,10,5,13,205,213,416,283,322,606,3.9,2.4,3.1,38.4,37.3,37.8,36.9,36.4,36.7,19,14,33,7,12,21,38,60,96,42,78,117,145,63,214,11,0,14,8,15,24,163,83,245,425,469,894,104,97,205,291,308,601,225,242,473
