UCL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
UCL501001,28598,92165,75583,366787,4297,567431,583,2733,1726,31743,656,37439,101642,2254,4270,2957,524,111638,9249,2647,1427,7523,143,20993,20556,5649,3782,10220,188,40395,292285,82605,65798,305844,5516,752060,34303,538,2700,597,138,38285,9526,1098,946,2455,73,14093,23484,5168,4295,24332,373,57651,5945,2036,1073,5212,70,14337,3056,544,362,843,31,4835,67122,2266,1632,1704,194,72922,69016,15117,11119,84161,1032,180448,45170,14829,7227,45007,624,112854,7512,121,404,115,16,8166,1899,435,243,514,11,3104,6388,1092,697,2250,60,10498,1955,682,373,1339,25,4372,18272,2495,1629,775,193,23358,12856,4980,2990,1456,107,22393,11742,1862,1537,4084,98,19325,4464,365,606,750,43,6234,2261,316,100,56,20,2762,69282,17280,13355,75988,941,176843,6390,560,357,643,40,7985,23255,2188,1904,571,95,28018,7684,629,566,1725,56,10663,5490,475,310,359,24,6661,20502,515,931,414,68,22431,11524,2012,1417,4141,63,19161,249216,19129,19063,20557,1951,309920,12164,994,835,5188,90047,109230,962035,163503,129665,684409,104151,2043762
UCL511001,634,3402,2629,21722,201,28584,14,161,64,2249,43,2536,692,24,56,55,5,833,69,39,28,133,0,274,779,243,147,433,10,1607,8063,3410,2657,19296,251,33685,1057,8,104,22,6,1193,168,26,16,137,0,354,717,196,148,1386,19,2460,97,42,16,190,6,342,47,13,6,32,0,96,694,28,19,52,0,790,1692,498,433,4395,35,7054,1094,527,200,2632,20,4475,130,0,16,0,0,151,68,13,6,4,0,95,15,11,9,43,0,72,27,20,16,35,0,98,922,152,96,43,16,1227,431,220,111,84,5,854,332,82,80,222,5,727,130,11,17,31,0,181,48,3,6,0,0,62,1919,649,552,4205,39,7375,47,3,8,12,0,71,831,56,62,28,0,976,133,17,22,103,0,277,38,3,8,5,0,58,110,5,17,3,3,134,264,81,44,207,4,603,3198,430,426,779,48,4880,194,45,37,335,4137,4742,19332,6049,4622,40515,4676,75196
UCL512001,289,1465,1287,8993,138,12167,4,59,33,1040,21,1162,190,5,27,34,0,259,29,14,9,50,0,109,485,150,77,383,6,1098,3649,1499,1254,8051,169,14627,629,10,38,16,3,693,89,15,15,35,0,155,347,92,104,591,10,1143,20,8,0,39,0,72,35,4,5,10,0,56,145,7,7,23,4,187,547,205,166,1695,27,2649,326,127,63,606,4,1134,15,0,8,4,0,23,0,0,0,3,0,7,6,8,0,8,0,26,20,4,0,8,0,36,107,22,24,11,0,163,120,74,42,36,0,277,170,39,26,121,3,357,28,0,3,12,0,47,3,0,0,0,0,3,797,281,246,1750,20,3095,18,4,0,9,0,34,211,27,14,8,0,267,55,3,0,19,0,74,21,4,6,0,0,27,31,0,0,3,0,34,162,35,43,91,0,333,1171,179,179,304,14,1843,74,11,17,165,1700,1968,7785,2538,2105,16659,2039,31128
UCL512002,223,1317,1139,8010,116,10796,6,46,23,583,11,667,144,11,22,28,0,203,29,7,8,41,5,90,273,75,57,194,3,613,3499,1357,1020,7324,126,13322,133,8,27,10,0,177,95,18,20,50,0,178,270,89,65,509,6,933,21,20,4,49,0,97,22,10,0,17,0,55,86,14,17,23,0,135,646,252,159,1807,20,2889,204,121,59,648,16,1051,42,0,9,0,0,53,3,0,3,5,0,10,4,4,5,23,0,38,21,13,4,19,0,51,78,33,27,18,4,158,134,94,42,20,3,297,78,14,26,43,4,163,35,0,10,18,0,61,6,0,0,0,0,0,721,273,209,1690,11,2897,6,4,0,3,0,18,157,29,29,11,0,220,37,14,4,54,0,110,22,8,3,0,0,31,52,8,0,4,0,61,127,33,15,66,0,243,907,172,178,250,17,1521,57,28,20,171,1299,1568,6406,2354,1836,15069,1571,27233
UCL512003,205,1278,969,9995,125,12571,10,126,50,2861,39,3087,181,12,17,47,5,265,22,20,7,83,3,132,246,72,41,173,5,537,2288,1111,885,8122,123,12530,474,13,70,22,3,581,60,9,6,33,0,111,233,63,58,678,4,1044,33,18,13,26,0,89,18,8,0,7,0,43,268,17,13,32,0,331,401,226,148,2223,24,3013,321,139,66,740,11,1289,6,0,0,4,0,10,6,0,0,3,0,14,29,10,8,20,0,65,18,18,0,18,0,54,176,37,33,25,4,269,118,57,45,40,0,262,70,20,9,76,0,182,28,6,9,19,0,67,14,0,4,5,0,25,531,249,172,1779,19,2749,6,0,0,0,0,10,233,29,16,27,0,300,60,5,3,39,0,118,10,0,0,0,0,17,131,3,8,0,0,136,75,30,15,83,0,201,1203,224,236,588,19,2262,72,8,11,164,2945,3198,6044,2214,1652,19565,3241,32717
UCL512004,257,1037,992,7402,106,9789,12,84,63,1660,70,1882,294,10,17,41,0,358,86,32,13,116,0,247,185,68,28,91,0,379,2384,848,783,5596,101,9714,784,3,79,13,3,886,71,3,6,35,4,114,298,70,62,541,11,978,22,7,9,41,0,83,11,4,0,12,0,31,468,10,15,20,0,509,595,162,124,1539,18,2444,186,104,61,616,15,974,35,0,0,0,0,36,9,0,0,7,0,16,3,3,3,13,0,23,8,3,6,14,0,33,978,91,85,21,22,1197,378,113,62,26,4,578,59,20,7,66,0,156,27,5,9,5,0,41,135,17,0,0,3,154,728,220,142,1327,16,2428,24,4,3,4,0,32,301,30,21,4,0,360,83,3,3,17,0,109,28,0,5,3,0,32,58,0,3,0,0,62,71,27,12,71,0,175,2229,160,198,311,25,2926,144,22,23,185,2883,3260,8537,1813,1593,13915,3207,29068
UCL513001,120,452,421,3553,33,4590,4,164,40,2823,89,3123,146,27,10,92,5,283,24,6,3,19,0,58,91,45,28,69,5,235,1002,380,313,2616,53,4363,239,4,14,17,0,280,74,3,7,14,0,102,154,36,19,202,9,420,14,4,6,22,0,40,14,5,0,4,0,30,84,9,0,10,0,106,223,97,57,839,6,1222,154,42,23,207,0,438,15,0,0,0,0,12,4,0,0,3,0,7,7,0,0,7,0,16,9,9,3,13,0,34,66,14,10,4,5,89,66,25,7,10,3,113,16,11,6,23,0,54,10,4,0,6,0,24,7,0,3,0,0,9,267,86,87,704,4,1147,4,0,0,0,0,12,61,11,11,3,0,91,56,0,10,14,0,75,15,3,5,8,0,29,22,0,0,0,0,22,42,14,7,23,0,89,618,140,95,406,23,1280,63,5,4,91,2007,2166,2863,919,681,8016,2187,14660
UCL513002,61,461,390,3465,73,4454,0,16,3,450,12,490,47,4,4,13,0,63,5,4,0,27,0,45,64,13,18,41,5,138,771,394,288,2596,71,4112,73,0,13,0,0,89,19,0,4,18,0,41,102,29,32,280,4,446,7,5,0,5,0,15,4,3,0,0,0,11,39,3,3,0,0,43,142,63,40,637,6,889,47,41,12,214,0,312,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,70,21,13,10,4,116,77,35,19,6,0,133,24,7,0,16,0,48,12,0,3,5,0,19,0,0,0,0,0,6,213,95,66,631,10,1017,0,0,0,6,0,7,48,5,13,0,0,61,8,3,3,3,0,20,9,0,0,0,0,9,14,0,0,0,0,20,24,5,3,35,0,65,250,70,61,119,6,499,20,3,7,64,907,999,1674,744,568,6176,1062,10218
UCL513003,165,617,647,4222,32,5682,8,75,49,1268,18,1420,191,0,9,37,0,237,16,11,8,59,5,96,113,51,31,105,3,305,1279,537,527,3031,34,5405,450,6,37,12,3,511,57,9,3,20,0,90,118,56,49,317,0,544,17,7,4,35,0,63,3,3,4,10,0,23,309,11,4,11,0,336,363,87,82,749,10,1296,69,78,27,298,0,480,13,0,0,0,0,15,4,0,0,0,0,0,21,3,6,5,0,30,8,8,0,9,0,28,291,31,24,11,3,360,138,69,50,22,0,277,39,11,12,45,0,102,17,0,0,4,0,23,33,4,0,0,0,40,374,111,96,699,8,1292,14,5,3,0,0,27,124,8,26,8,3,169,46,0,0,12,0,59,16,0,6,0,0,22,37,0,4,0,0,40,36,6,9,27,0,78,1143,122,162,333,17,1771,66,10,11,89,2472,2645,4352,1096,1072,7908,2587,17013
UCL513004,108,480,461,3254,28,4329,8,99,62,2266,57,2496,162,12,19,43,3,228,31,9,3,12,0,64,78,36,18,82,4,217,1058,418,350,2394,53,4268,453,9,50,15,0,527,45,0,3,15,0,62,106,30,31,272,3,450,23,7,3,17,0,51,8,3,0,4,0,13,210,8,4,13,0,233,294,72,69,693,14,1142,68,34,23,211,4,346,15,0,4,0,0,22,9,0,0,4,0,10,12,3,0,6,0,19,3,9,0,6,0,13,353,55,38,30,3,484,164,51,18,20,0,248,26,0,9,16,0,52,10,0,3,5,0,18,34,3,3,4,0,48,284,83,69,569,4,1016,12,5,0,3,0,18,93,7,15,0,0,117,47,0,5,12,0,70,17,0,0,0,0,16,27,0,0,0,0,33,24,5,12,14,0,50,1118,127,185,578,8,2025,61,8,6,82,2181,2339,3877,905,842,7348,2323,15298
