UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL521045,24,10,12,10,20,25,31,19,6,154,77,38,48,39,51,97,140,62,34,582
UCL521046,9,0,0,9,6,14,7,0,0,53,140,112,100,81,102,80,51,24,3,700
UCL521047,9,7,10,4,12,16,6,0,0,61,78,26,63,62,84,89,68,36,12,523
UCL521048,19,8,22,12,13,25,15,16,3,130,146,68,90,85,86,161,181,95,34,953
UCL521049,15,11,10,11,6,4,0,0,0,58,108,102,88,87,66,46,11,4,0,511
UCL521050,16,9,7,6,8,5,8,0,0,66,133,66,97,95,69,95,108,43,19,725
UCL521051,17,6,9,16,11,14,11,9,6,93,163,113,82,92,122,152,80,49,10,868
UCL521052,48,10,25,27,19,28,8,3,0,168,172,82,101,118,101,90,49,25,0,745
UCL522001,59,25,14,10,4,9,3,0,0,125,113,96,89,71,54,30,17,4,3,472
UCL522002,3,4,6,0,4,3,5,0,0,22,29,22,30,23,38,41,64,29,9,280
UCL522003,19,3,7,11,3,5,0,0,0,43,112,51,53,38,37,14,11,6,4,325
UCL522004,4,0,0,4,0,0,0,0,0,7,81,82,45,38,26,25,9,3,0,308
UCL522005,14,6,5,0,4,0,0,0,0,30,95,41,55,55,24,22,9,9,0,307
UCL522006,3,0,3,5,11,5,3,0,0,38,79,63,33,46,70,69,52,21,8,449
UCL522007,3,0,0,0,4,5,4,3,0,19,21,16,22,17,17,42,58,21,9,211
UCL522008,14,0,0,0,0,3,4,4,0,23,40,15,22,19,21,40,37,14,4,211
UCL522009,11,6,5,9,12,0,0,0,0,48,58,60,42,49,79,49,25,10,0,370
UCL522010,3,0,0,0,3,7,3,0,0,13,87,52,31,40,43,52,58,26,10,401
UCL522011,10,11,5,17,3,3,8,0,0,50,49,31,36,54,26,41,52,20,9,314
UCL522012,0,5,3,4,9,13,4,8,4,47,61,23,55,36,49,92,92,53,16,480
UCL522013,4,10,3,0,4,6,3,0,0,33,72,57,35,49,74,79,44,19,8,435
UCL522014,3,3,0,4,0,3,3,0,0,14,51,20,25,29,26,36,19,9,0,218
UCL522015,9,0,8,3,0,9,0,0,0,26,30,33,63,39,24,31,23,3,0,245
UCL522016,17,4,7,7,5,11,0,5,0,63,68,19,21,30,29,46,33,29,5,288
UCL522017,7,6,7,0,8,9,4,5,0,44,64,25,35,36,49,75,76,27,5,384
UCL522018,3,4,3,4,4,4,5,4,0,33,4,11,9,5,16,22,52,11,0,135
UCL522019,28,0,5,16,0,4,0,0,3,58,42,15,10,25,22,38,26,9,8,194
UCL522020,11,0,0,4,0,9,0,0,0,26,65,40,39,26,26,43,15,0,0,253
UCL522021,3,5,0,5,3,3,8,4,0,24,74,29,22,49,35,38,71,30,4,357
UCL522022,7,4,3,5,8,3,12,3,0,44,35,11,30,24,37,36,39,26,0,238
UCL522023,3,3,4,5,4,9,10,3,5,45,53,17,33,33,47,64,57,21,9,332
UCL522024,0,0,0,0,0,9,3,0,6,17,22,14,11,12,23,62,74,37,10,258
UCL522025,10,4,5,8,6,12,10,12,0,66,67,34,34,49,43,75,91,49,20,463
UCL522026,0,0,3,0,0,3,8,7,0,23,16,10,19,12,24,49,93,58,10,293
UCL522027,12,5,0,5,5,3,3,0,0,32,57,32,28,42,35,64,51,37,7,361
UCL522028,0,0,0,0,0,5,5,0,0,13,22,4,18,6,6,38,33,24,5,158
UCL522029,8,0,8,0,8,0,3,0,0,34,98,33,49,55,43,42,44,16,3,395
UCL522030,10,9,3,6,9,10,3,0,0,53,71,27,37,33,27,42,22,8,0,265
UCL522031,0,0,3,0,5,0,0,0,0,6,102,44,52,34,27,21,7,0,0,289
UCL522032,22,0,0,0,6,8,7,3,0,51,99,87,45,53,49,38,11,3,0,388
UCL522033,8,4,5,3,3,7,8,4,0,41,52,32,29,24,53,75,101,53,4,422
UCL522034,0,0,0,3,0,3,0,0,0,10,35,35,38,29,15,20,10,4,0,180
UCL522035,4,3,0,3,0,4,5,5,0,28,34,16,22,20,38,43,32,11,10,226
UCL522036,0,0,5,0,3,0,0,3,0,15,27,13,12,18,39,38,44,16,0,213
UCL522037,7,3,9,10,5,8,4,0,0,41,61,16,31,37,36,39,38,25,9,294
UCL522038,0,0,0,5,3,0,0,9,6,27,98,58,66,59,47,56,43,35,9,477
UCL522039,12,3,17,5,9,15,8,0,0,67,67,40,73,48,48,82,35,4,5,407
UCL522040,0,3,0,0,11,3,5,4,0,28,8,7,10,5,42,46,61,24,3,209
UCL522041,3,8,0,0,14,16,17,7,4,59,45,19,26,25,38,85,86,17,8,351
UCL522042,28,15,11,14,8,6,3,0,0,87,118,44,75,58,51,33,9,0,0,395
UCL522043,55,3,3,13,10,7,0,0,0,93,126,76,79,59,41,25,12,0,0,412
UCL522044,0,0,0,0,6,6,3,0,0,16,25,19,19,20,21,26,22,7,0,153
UCL522045,17,12,11,4,0,0,4,0,0,55,62,40,41,23,24,14,5,0,0,202
UCL522046,3,0,3,6,6,16,6,4,3,55,38,11,18,25,28,53,41,24,9,249
UCL522047,42,24,6,12,6,11,28,5,3,140,96,48,38,40,40,56,75,28,18,443
UCL522048,8,3,11,0,9,5,0,5,4,41,48,25,35,30,31,36,30,30,11,284
UCL522049,31,14,11,14,14,17,11,0,0,111,64,22,33,34,42,50,47,17,3,312
UCL522050,5,4,5,7,11,9,9,7,14,74,71,22,38,38,48,63,58,45,36,423
UCL522051,5,3,0,4,6,3,0,0,0,23,32,24,26,23,45,43,24,20,4,242
UCL522052,0,0,0,0,0,3,3,0,0,11,21,23,23,19,16,14,12,7,0,147
UCL522053,6,9,6,5,4,7,0,0,0,35,38,31,31,17,26,15,6,0,0,162
UCL522054,0,4,0,7,0,5,4,0,4,29,32,21,12,22,38,23,15,7,5,176
UCL522055,0,6,7,5,0,4,6,0,0,36,36,10,35,30,50,40,27,8,0,235
UCL522056,3,10,4,10,5,12,0,0,0,41,68,39,48,50,51,56,28,17,8,350
UCL522057,0,3,11,8,3,4,0,0,0,24,14,27,52,19,23,19,3,0,0,166
UCL522058,19,7,7,6,9,6,0,0,0,49,56,42,21,26,24,42,25,26,8,281
UCL522059,19,3,16,12,0,8,9,8,0,76,71,20,33,40,37,49,46,43,6,356
UCL522060,0,0,0,0,0,0,0,0,0,0,11,4,7,9,9,13,3,0,0,64
UCL522061,0,0,5,0,5,5,7,3,0,19,28,9,24,23,39,73,68,59,8,336
UCL522062,0,0,0,0,0,0,0,0,0,7,71,34,44,33,35,10,6,4,0,231
UCL522063,12,0,5,4,0,3,0,0,0,32,42,34,30,33,21,22,10,3,0,185
UCL522064,19,6,11,4,13,0,0,8,0,64,109,103,79,58,58,25,13,8,0,457
UCL522065,23,3,8,3,8,14,5,10,4,70,48,24,29,15,23,49,33,31,5,266
UCL522066,12,0,9,10,3,5,8,4,3,56,107,23,53,61,39,48,38,29,13,424
UCL522067,12,9,9,11,3,3,9,0,0,57,46,30,33,38,44,19,25,3,0,240
UCL522068,8,8,0,8,14,13,4,0,0,49,87,64,37,56,67,69,43,29,5,445
UCL522069,0,0,6,5,9,0,6,5,0,43,39,17,28,32,32,41,60,42,4,304
UCL522070,5,4,0,3,8,4,7,6,0,28,76,34,32,35,46,57,56,14,4,357
UCL522071,29,13,5,4,0,0,3,0,0,48,141,92,75,51,40,21,8,0,0,434
UCL531001,2959,2652,4040,4116,4157,3589,2279,937,177,24904,26586,16650,17368,20805,25420,27127,19970,8074,1649,163652
UCL579997,0,22,46,76,51,27,3,0,0,226,0,42,116,170,109,62,18,0,0,514
UCL599994,190,352,661,811,748,503,245,69,15,3591,772,820,1512,1543,1313,1144,758,155,30,8055
