UCL_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
UCL501001,35,45,32,110,88,99,190,298,1196,18,1512,18,92,8,124,40,34,71,194,301,0,494,20,217,26,253,99,98,197,457,617,5,1078,42,395,38,473,176,179,350,820,1094,14,1930,76,674,53,810,172,259,431,1239,2052,22,3315,214,1700,166,2079,277,423,703,2779,2985,16,5786,561,2386,203,3148,207,271,483,3632,2738,13,6375,1435,2642,217,4298,138,191,340,4633,3347,29,8004,2610,2790,209,5608,143,140,281,5885,2938,22,8848,2952,2253,204,5401,130,100,229,5635,2156,19,7802,2890,1426,188,4501,90,65,149,4649,1493,16,6157,2774,1033,155,3962,53,45,97,4057,1124,11,5193,5189,1609,283,7082,77,48,128,7209,1588,16,8816,2156,665,137,2962,39,42,86,3049,829,3,3881,1823,415,110,2350,27,18,45,2396,340,7,2740,680,149,38,868,7,4,17,882,199,0,1079,2192,413,94,2703,36,17,51,2754,447,10,3208,2413,1303,316,4045,136,97,236,4276,1909,131,6317,88,57
UCL511001,0,0,0,6,0,5,7,14,26,0,43,0,0,0,0,0,0,0,3,8,0,14,0,12,0,14,4,4,7,24,16,0,38,0,22,0,20,8,10,13,39,60,0,93,3,36,3,40,3,10,17,56,102,0,164,18,83,8,109,11,22,38,145,175,0,318,33,149,15,195,12,13,24,217,131,0,353,82,145,15,239,8,0,14,257,153,0,409,139,139,20,298,0,5,8,303,126,0,430,122,103,3,225,0,5,9,238,91,0,330,107,61,16,179,0,3,3,184,46,0,224,110,34,6,156,0,0,3,156,41,0,198,200,37,16,254,3,5,10,255,45,0,303,65,25,10,96,0,0,0,95,21,0,119,54,7,4,65,0,0,0,68,10,0,81,21,5,0,22,0,0,0,23,3,0,32,33,7,0,41,0,0,0,39,13,0,54,119,60,14,190,9,0,10,198,81,5,289,3,5
UCL512001,0,0,0,0,0,0,0,6,8,0,14,0,4,0,4,0,0,0,9,4,0,7,0,0,0,3,0,0,0,4,11,0,10,0,4,0,4,0,0,3,11,25,0,33,0,24,4,24,9,6,11,32,53,0,86,3,44,5,56,0,6,8,61,69,3,131,10,63,8,79,5,4,5,86,67,0,153,31,46,5,82,0,0,7,83,60,0,145,55,48,13,118,0,0,0,120,64,0,190,55,46,5,103,0,0,0,108,30,0,137,47,30,0,79,0,0,0,80,28,0,111,39,14,0,55,0,0,0,55,21,0,74,50,20,5,72,0,0,0,72,21,0,89,16,9,0,26,0,0,0,26,5,0,32,18,0,0,18,0,0,0,18,8,0,25,5,0,0,8,0,0,0,8,0,0,4,8,0,0,11,0,0,0,11,3,0,15,36,26,4,66,0,0,0,68,32,0,107,0,0
UCL512002,0,0,0,4,0,0,0,4,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,11,0,17,0,11,0,11,3,0,6,17,13,0,28,0,12,0,16,0,3,4,18,37,0,51,3,38,0,44,4,3,6,50,41,0,88,20,63,4,89,0,4,4,90,44,0,137,31,50,3,88,0,3,5,94,57,0,145,39,68,4,108,0,3,3,112,53,0,158,46,27,4,80,0,0,0,84,31,0,112,30,22,0,51,0,0,0,51,13,0,65,38,8,5,51,0,0,0,50,4,0,55,53,13,3,73,0,0,0,73,12,0,88,19,15,6,33,0,0,0,33,4,0,34,8,5,0,12,0,0,0,12,0,0,13,4,0,0,4,0,0,0,4,0,0,4,9,7,3,14,0,0,0,14,0,0,13,47,21,4,73,0,5,3,73,24,0,99,5,0
UCL512003,0,0,0,0,0,0,0,0,28,0,27,0,0,0,0,0,0,0,4,10,0,10,0,4,0,4,4,5,8,9,29,0,39,0,3,0,5,5,0,6,19,26,3,46,0,17,0,15,9,10,14,35,55,0,92,3,37,0,43,0,14,14,56,75,0,136,15,56,5,76,3,8,11,85,59,0,149,28,53,9,90,5,4,7,93,89,0,187,57,60,10,124,3,0,3,123,59,0,184,53,28,6,85,5,3,7,95,32,0,129,47,29,4,84,0,6,3,91,21,0,115,52,12,0,67,0,0,0,68,17,0,88,75,11,7,88,0,0,0,88,28,0,118,32,14,5,51,0,0,0,51,17,0,63,22,4,5,36,0,0,0,36,3,0,41,10,3,0,13,6,0,6,17,0,0,17,16,0,0,18,0,0,0,17,5,0,19,48,23,0,74,3,0,9,80,47,3,128,0,0
UCL512004,0,0,0,0,4,0,4,4,15,0,16,0,0,0,5,0,0,0,0,6,0,10,0,0,0,3,7,4,7,9,8,0,15,0,6,0,3,3,3,4,6,17,0,25,0,12,3,7,0,4,4,13,31,0,38,3,13,0,20,3,0,3,30,50,0,79,11,34,3,48,0,0,0,49,26,0,72,25,19,0,44,0,0,0,50,32,0,80,35,23,0,57,6,0,6,55,28,0,82,47,12,0,60,0,4,4,66,18,0,84,51,11,3,64,0,0,0,64,6,0,74,46,14,4,61,0,0,0,57,0,0,61,87,10,10,106,0,0,0,107,23,0,130,27,5,3,41,0,0,0,37,16,0,56,32,6,0,41,0,0,0,41,3,0,42,17,0,0,18,0,0,0,18,0,0,18,38,3,3,50,0,0,0,50,3,0,52,37,4,0,38,0,0,0,42,26,0,73,4,4
UCL513001,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,5,7,11,0,16,0,4,0,9,5,0,0,10,22,0,35,6,3,0,6,0,0,0,7,23,0,30,0,5,3,14,0,0,8,16,27,0,39,8,21,0,26,0,0,0,26,17,0,44,11,14,0,25,0,0,0,26,18,0,44,25,11,0,32,0,0,3,33,14,0,51,26,8,6,33,0,0,0,33,11,0,44,27,7,0,39,0,0,0,39,6,0,48,18,10,0,33,0,0,0,31,6,0,34,59,3,5,65,0,0,0,65,6,0,74,13,3,0,15,0,0,0,15,4,0,21,14,0,0,16,0,0,0,16,0,0,16,3,0,0,5,0,0,0,5,0,0,4,10,3,0,11,0,0,0,11,9,0,22,31,10,6,48,0,5,5,52,21,0,78,0,0
UCL513002,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,3,3,6,0,5,0,0,0,0,0,0,0,0,10,0,12,0,3,0,3,0,0,4,7,9,0,16,0,6,0,7,0,0,0,8,27,0,36,0,8,0,11,0,3,3,14,15,0,27,7,9,0,19,0,6,6,23,8,0,27,17,15,3,34,0,0,0,34,19,0,49,13,11,0,27,0,0,0,27,14,0,39,16,4,0,25,0,0,0,25,10,0,34,7,4,0,9,0,0,0,12,6,0,20,11,0,3,12,0,0,0,12,5,0,19,21,3,0,24,0,0,0,25,10,0,36,7,0,0,6,0,0,0,6,4,0,9,7,0,0,5,0,0,0,5,0,0,8,5,0,0,5,0,0,0,5,0,0,5,7,0,0,7,0,0,0,7,0,0,7,10,5,5,26,0,0,0,24,19,5,46,0,0
UCL513003,0,0,0,0,0,0,5,5,3,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,14,0,11,0,4,0,9,0,0,4,5,6,0,15,4,12,0,17,0,0,0,17,3,0,17,7,3,0,12,0,0,0,12,3,0,20,14,9,0,17,0,0,0,19,3,0,22,11,3,0,17,0,0,0,17,4,0,26,27,6,0,32,0,0,0,32,8,0,37,29,3,0,34,0,0,0,34,0,0,34,34,5,3,50,0,0,0,50,5,0,49,6,0,0,5,0,0,0,5,0,0,15,29,9,0,31,0,0,0,31,0,0,34,8,0,0,8,0,0,0,8,0,0,8,28,0,0,34,0,0,0,34,3,0,32,6,7,3,16,0,0,0,16,5,0,28,0,0
UCL513004,0,0,0,0,0,0,0,0,15,0,14,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,3,0,11,0,4,0,4,0,4,8,10,10,0,21,0,0,0,3,0,0,0,3,15,0,22,0,3,0,3,3,3,4,14,15,0,23,0,0,0,9,0,0,3,11,11,0,22,6,6,0,10,0,0,0,12,13,0,26,14,6,0,22,0,0,0,22,8,0,30,19,5,5,31,0,0,0,31,8,0,39,33,5,0,41,0,0,0,41,0,0,40,28,0,5,26,0,0,0,26,8,0,39,39,11,4,56,0,0,0,58,7,0,62,15,0,0,15,0,0,0,15,0,0,17,19,4,0,20,0,0,0,20,4,0,26,12,0,3,14,0,0,0,14,0,0,14,24,4,0,28,0,0,0,28,3,0,31,13,3,3,23,0,0,0,20,9,4,38,5,0
