UCL_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL522038,0,0,0,0,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,36,3,41,0,41,..,0,0,0,15,24,413,38,3,45,15,477
UCL522039,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,89,0,92,0,92,..,95,3,98,0,98,..,0,0,0,55,55,251,95,3,98,55,407
UCL522040,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,0,0,0,17,17,186,8,0,8,17,209
UCL522041,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,42,45,303,4,0,4,42,351
UCL522042,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,31,0,28,5,32,..,0,0,0,77,77,284,31,0,28,83,395
UCL522043,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,22,0,25,0,25,..,29,0,35,0,35,..,0,0,0,24,24,354,32,5,37,24,412
UCL522044,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,9,0,9,0,9,..,0,0,0,21,21,129,9,0,9,21,153
UCL522045,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,100,11,111,16,125,..,106,12,117,16,134,..,5,3,7,22,29,45,110,16,123,34,202
UCL522046,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,50,52,194,4,0,6,50,249
UCL522047,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,4,..,11,0,11,0,11,..,0,0,0,125,129,304,12,0,12,126,443
UCL522048,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,0,0,0,36,36,249,7,0,7,36,284
UCL522049,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,14,0,15,0,15,..,0,0,0,97,97,203,14,0,15,97,312
UCL522050,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,3,3,..,24,0,24,3,25,..,0,0,0,70,70,325,24,0,24,68,423
UCL522051,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,8,8,229,0,0,0,8,242
UCL522052,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,82,0,85,0,85,..,84,0,89,0,89,..,0,0,0,11,13,47,84,3,90,11,147
UCL522053,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,124,7,132,0,135,..,124,7,132,0,135,..,0,0,0,17,17,8,130,7,132,19,162
UCL522054,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,4,..,0,0,0,27,27,143,0,0,0,29,176
UCL522055,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,0,0,0,29,29,198,8,0,8,29,235
UCL522056,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,20,4,22,0,22,..,3,0,3,31,33,298,22,4,26,31,350
UCL522057,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,24,3,30,0,30,..,0,0,0,19,23,112,32,3,34,19,166
UCL522058,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,15,0,15,0,15,..,0,0,0,33,33,230,15,0,15,33,281
UCL522059,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,5,0,5,..,9,0,11,0,11,..,0,0,0,69,69,281,9,0,11,69,356
UCL522060,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,37,3,44,0,45,..,40,3,45,0,47,..,0,0,0,0,0,15,40,3,45,0,64
UCL522061,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,8,0,8,0,8,..,0,0,0,15,14,308,9,0,9,15,336
UCL522062,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,192,12,210,3,213,..,196,12,210,3,210,..,0,0,0,5,6,9,199,12,214,7,231
UCL522063,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,135,13,144,0,151,..,135,13,144,0,151,..,3,4,10,12,16,15,135,20,152,13,185
UCL522064,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,264,16,278,3,284,..,263,16,278,3,283,..,9,0,9,31,38,133,273,17,287,28,457
UCL522065,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,55,55,202,0,0,0,55,266
UCL522066,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,10,0,10,0,10,..,0,0,0,55,57,360,10,0,10,55,424
UCL522067,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,66,7,66,0,66,..,69,7,70,0,70,..,7,0,8,53,64,111,79,6,83,53,240
UCL522068,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,20,0,17,..,0,0,0,42,42,379,18,0,20,50,445
UCL522069,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,18,0,20,0,20,..,0,0,0,36,35,247,15,0,20,36,304
UCL522070,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,10,0,10,0,10,..,0,0,0,21,21,323,13,0,13,21,357
UCL522071,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,314,50,363,9,375,..,323,50,373,15,388,..,4,3,7,8,12,36,323,55,379,19,434
UCL531001,0,25,0,25,..,187,38,226,0,224,..,12,0,12,0,12,..,258,167,426,6,430,..,3798,301,4099,103,4201,..,9617,899,10516,175,10693,..,434,33,466,20192,20657,132299,10051,931,10983,20367,163652
UCL579997,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,11,0,11,0,11,..,61,3,66,0,66,..,0,0,0,219,221,232,59,3,65,218,514
UCL599994,3,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,15,..,97,16,114,3,117,..,432,51,479,9,486,..,70,5,78,3411,3488,4079,497,56,555,3421,8055
