UCL_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
UCL501001,1807,469,547,20,557,205,465,1930,95,6094,8931,17728,16137,546,5544,209,13513,3449,957,67009,8492,5315,15741,789,5576,2657,7334,7204,614,53721,1821,2727,2034,56,1981,225,1451,813,238,11339,11210,6522,40981,378,9709,1318,6374,12332,1047,89882,5221,3532,3407,93,4042,3518,4226,1666,305,25998,13625,4436,4905,938,4883,48801,4411,9015,451,91461,9739,873,9410,19364,1879,8646,1718,14564,367,66560,4482,3692,2199,1645,9450,1345,20767,2172,508,46273,1355,3160,1582,78,1112,1026,118,314,85,8833,3624,9356,314,192,10424,886,57,96,512,25457,2257,1516,798,143,3040,6173,375,686,205,15190,10661,45310,9587,308,12094,797,825,862,649,81083,3076,4085,3307,2452,3788,498,1225,13346,330,32112,7698,14969,4337,14953,14521,233,783,2561,1099,61143,6983,50051,3035,19422,7342,237,148,3050,400,90677,7733,58570,5658,45691,20465,763,1111,4981,899,145863,2884,3465,1495,6101,1668,877,124,1203,197,18023,3537,3637,16164,7807,3948,615,599,3228,253,39786,5854,6697,7353,2399,5897,2551,4710,5033,7669,48169
UCL511001,108,32,51,0,43,11,81,180,7,509,183,257,983,17,127,6,922,153,46,2696,328,243,982,26,215,112,653,652,38,3249,59,68,270,0,89,3,108,88,23,706,302,153,1719,13,374,45,476,673,37,3792,114,42,105,6,91,126,108,36,5,618,477,92,214,32,194,1985,126,464,11,3595,296,9,246,578,74,375,70,665,17,2334,111,62,102,15,268,32,691,94,13,1389,26,70,30,0,21,53,0,11,0,221,44,134,4,0,233,21,0,0,0,448,41,15,28,4,118,185,21,22,0,433,90,524,254,4,262,22,9,28,5,1194,69,95,97,55,74,8,38,458,10,906,143,312,124,378,515,11,24,166,33,1709,181,1515,104,763,217,7,6,166,3,2964,217,1784,200,1928,760,40,43,176,32,5189,53,51,37,104,39,13,3,29,9,337,90,134,660,228,120,25,30,139,7,1428,94,90,249,53,145,64,150,196,241,1278
UCL512001,194,39,63,3,41,6,61,156,3,573,10,17,103,3,7,0,146,21,4,311,80,26,215,10,56,37,82,234,10,753,18,4,58,0,21,0,31,16,0,155,127,22,684,4,114,12,136,158,5,1270,48,29,41,0,34,79,63,18,6,314,236,32,122,13,85,905,54,212,0,1662,185,7,148,290,52,125,24,307,7,1146,51,26,32,7,83,19,256,29,10,510,18,34,15,0,6,14,0,7,0,88,15,69,5,0,99,13,0,0,0,198,19,11,6,0,47,91,5,11,0,190,45,279,61,3,126,5,0,9,0,521,15,43,50,33,31,0,7,196,0,369,78,152,62,280,151,6,14,91,16,845,83,664,45,309,81,3,0,65,11,1260,115,818,87,906,337,9,7,127,17,2429,20,37,15,59,11,13,0,17,0,168,42,46,278,93,66,15,9,52,9,605,38,26,85,34,46,31,47,66,86,461
UCL512002,111,9,25,5,14,6,27,110,9,317,42,75,304,4,31,3,332,50,9,847,122,40,174,19,46,54,60,105,5,615,10,10,47,0,23,0,25,12,3,123,106,20,695,0,118,28,129,181,19,1296,27,14,11,0,26,36,14,15,3,151,233,38,85,16,80,827,51,153,0,1466,203,9,210,356,86,129,20,374,12,1397,26,24,16,10,77,18,191,17,4,370,13,12,7,0,8,20,0,4,0,65,19,57,0,0,77,9,0,0,0,163,20,15,0,0,53,73,6,11,0,173,23,214,68,8,107,13,5,11,0,444,48,32,56,39,37,6,31,268,5,514,70,110,47,133,97,3,22,39,6,522,77,538,35,267,62,0,0,49,18,1045,72,607,66,644,226,10,8,90,11,1722,16,14,22,43,16,3,0,12,0,131,38,26,247,75,49,8,3,40,7,486,22,30,68,28,39,27,32,52,92,388
UCL512003,123,60,32,0,33,16,24,157,13,452,61,50,335,4,45,0,354,48,16,915,53,11,151,0,44,28,43,43,10,383,13,14,50,0,13,0,28,13,8,149,112,25,698,9,137,17,113,185,20,1320,54,29,68,4,60,65,76,26,0,382,199,38,110,13,88,899,70,220,4,1638,132,3,116,250,40,190,39,319,3,1092,86,79,91,20,149,17,432,65,7,941,13,33,14,0,11,14,0,4,4,94,22,47,5,0,84,12,0,0,3,174,18,9,0,0,40,51,4,7,0,138,37,227,98,4,124,3,15,24,10,545,24,35,53,16,28,4,15,224,0,406,103,151,51,298,187,4,23,73,14,900,105,782,58,393,110,8,0,83,4,1551,131,850,88,821,314,20,29,86,12,2345,12,16,12,34,11,5,0,24,0,119,50,32,308,107,75,9,7,44,0,645,58,38,104,37,63,31,57,77,97,550
UCL512004,8,0,3,0,3,0,3,13,0,27,278,582,1199,19,255,15,1447,201,45,4030,79,55,233,0,65,14,180,35,10,652,18,4,56,0,22,6,47,22,9,175,99,27,494,8,146,5,98,147,8,1030,65,30,146,0,60,50,62,9,9,429,157,24,71,6,61,588,49,147,4,1110,141,7,111,199,37,117,19,225,0,852,68,29,63,14,148,21,434,39,9,822,4,16,11,0,8,16,6,0,0,52,7,21,0,3,56,0,0,0,0,90,17,5,53,4,43,99,16,25,0,272,40,144,206,3,106,0,23,30,6,553,21,31,25,10,41,9,16,179,3,331,73,113,55,309,143,7,12,42,10,769,92,550,38,261,85,0,0,45,7,1075,84,521,53,433,223,6,9,68,15,1409,16,7,12,45,8,9,0,15,5,123,58,26,384,62,83,16,17,54,0,703,44,29,167,33,92,25,89,52,132,658
UCL513001,42,10,16,7,11,4,5,35,3,125,21,12,61,0,7,0,94,5,0,211,19,3,45,8,8,4,6,13,3,107,18,6,32,0,15,0,19,3,3,92,72,8,263,6,64,5,45,70,0,535,25,3,11,0,12,13,3,8,0,75,114,17,49,4,27,309,13,70,0,600,138,11,78,159,53,44,7,144,8,645,60,104,29,44,72,23,106,29,8,470,17,20,14,0,12,0,0,0,0,65,12,4,0,0,39,0,0,0,0,57,19,9,6,0,19,53,0,6,0,105,16,101,24,8,59,0,0,0,5,214,40,21,37,29,23,6,6,109,3,267,100,138,34,187,130,3,8,14,12,620,76,441,29,188,69,3,0,28,3,848,108,635,45,321,222,10,8,35,4,1383,24,42,14,16,3,0,0,7,0,117,30,24,104,34,36,12,0,25,3,273,41,49,55,28,40,17,15,30,93,369
UCL513002,136,27,35,0,35,19,49,67,6,372,9,7,47,0,8,0,93,10,3,175,19,7,48,0,11,14,28,12,3,126,11,0,21,0,8,0,6,11,0,67,42,7,163,0,36,0,70,60,5,373,19,26,48,0,26,41,41,10,6,209,64,11,22,0,20,265,23,60,0,474,55,7,44,58,30,27,7,113,0,338,34,26,55,8,58,6,200,34,6,419,0,7,5,0,0,3,0,0,0,19,14,22,0,0,33,5,0,0,0,73,0,7,0,0,16,29,0,4,0,56,8,45,19,0,45,3,4,3,0,123,4,5,8,6,7,0,5,71,0,116,35,46,36,50,38,5,13,16,3,240,43,240,16,109,33,0,0,22,0,459,21,167,18,199,73,0,0,22,0,507,3,4,6,7,4,0,0,0,0,26,17,7,136,26,30,9,10,11,3,243,11,11,32,5,27,19,17,24,55,211
UCL513003,3,0,0,0,0,0,0,3,0,13,147,191,811,14,149,0,363,77,56,1812,39,38,131,4,20,17,18,14,8,287,27,24,54,0,38,7,54,16,9,220,102,30,463,4,117,0,107,166,18,1007,20,11,33,0,20,23,29,3,5,151,85,21,40,11,27,301,16,93,3,591,87,4,76,87,25,83,8,116,4,490,81,56,33,9,93,18,188,35,8,520,5,11,17,0,3,0,0,0,0,40,3,9,0,0,24,0,0,0,0,43,32,9,31,0,39,42,5,20,0,194,24,87,59,4,27,0,4,10,5,219,27,21,93,17,33,3,14,175,0,382,86,94,32,204,133,0,12,26,12,595,56,399,18,185,58,0,0,14,0,739,48,269,22,196,104,9,4,18,3,669,14,7,8,29,7,0,0,4,0,76,35,18,159,52,40,4,6,26,0,339,47,47,129,22,51,9,50,56,60,472
UCL513004,0,0,3,0,0,0,0,8,0,15,121,127,853,13,128,9,549,138,60,1996,15,11,178,0,17,11,39,27,5,300,8,0,34,0,19,0,38,22,4,140,59,4,220,0,62,0,82,54,10,497,31,9,57,0,20,28,55,11,0,216,68,15,34,5,20,228,16,86,4,461,37,6,43,63,18,52,0,100,4,320,90,76,121,3,135,16,265,81,10,803,4,8,5,0,3,4,0,0,0,22,9,4,0,0,21,0,0,0,0,28,24,0,36,0,19,49,4,9,0,144,16,55,43,4,23,0,3,3,4,154,15,16,35,8,27,0,15,86,0,208,53,66,34,145,88,0,14,12,4,425,51,290,19,131,33,0,0,35,3,562,57,262,24,207,119,9,5,22,3,706,7,5,3,19,8,4,0,5,0,52,17,17,113,37,45,4,10,24,0,269,28,25,59,14,37,19,35,37,87,338
