UCL_CODE_2021,M_Yr_12_eq_15_19_yr,M_Yr_12_eq_20_24_yr,M_Yr_12_eq_25_34_yr,M_Yr_12_eq_35_44_yr,M_Yr_12_eq_45_54_yr,M_Yr_12_eq_55_64_yr,M_Yr_12_eq_65_74_yr,M_Yr_12_eq_75_84_yr,M_Yr_12_eq_85_yr_over,M_Yr_12_eq_Tot,M_Yr_11_eq_15_19_yr,M_Yr_11_eq_20_24_yr,M_Yr_11_eq_25_34_yr,M_Yr_11_eq_35_44_yr,M_Yr_11_eq_45_54_yr,M_Yr_11_eq_55_64_yr,M_Yr_11_eq_65_74_yr,M_Yr_11_eq_75_84_yr,M_Yr_11_eq_85_yr_over,M_Yr_11_eq_Tot,M_Yr_10_eq_15_19_yr,M_Yr_10_eq_20_24_yr,M_Yr_10_eq_25_34_yr,M_Yr_10_eq_35_44_yr,M_Yr_10_eq_45_54_yr,M_Yr_10_eq_55_64_yr,M_Yr_10_eq_65_74_yr,M_Yr_10_eq_75_84_yr,M_Yr_10_eq_85_yr_over,M_Yr_10_eq_Tot,M_Yr_9_eq_15_19_yr,M_Yr_9_eq_20_24_yr,M_Yr_9_eq_25_34_yr,M_Yr_9_eq_35_44_yr,M_Yr_9_eq_45_54_yr,M_Yr_9_eq_55_64_yr,M_Yr_9_eq_65_74_yr,M_Yr_9_eq_75_84_yr,M_Yr_9_eq_85_yr_over,M_Yr_9_eq_Tot,M_Yr_8_bel_15_19_yr,M_Yr_8_bel_20_24_yr,M_Yr_8_bel_25_34_yr,M_Yr_8_bel_35_44_yr,M_Yr_8_bel_45_54_yr,M_Yr_8_bel_55_64_yr,M_Yr_8_bel_65_74_yr,M_Yr_8_bel_75_84_yr,M_Yr_8_bel_85_yr_over,M_Yr_8_bel_Tot,M_Did_not_go_to_school_15_19,M_Did_not_go_to_school_20_24,M_Did_not_go_to_school_25_34,M_Did_not_go_to_school_35_44,M_Did_not_go_to_school_45_54,M_Did_not_go_to_school_55_64,M_Did_not_go_to_school_65_74,M_Did_not_go_to_school_75_84,M_Did_not_go_to_school_85ov,M_Did_not_go_to_school_Tot,M_High_yr_sch_ns_15_19_yr,M_High_yr_sch_ns_20_24_yr,M_High_yr_sch_ns_25_34_yr,M_High_yr_sch_ns_35_44_yr,M_High_yr_sch_ns_45_54_yr,M_High_yr_sch_ns_55_64_yr,M_High_yr_sch_ns_65_74_yr,M_High_yr_sch_ns_75_84_yr,M_High_yr_sch_ns_85_yr_over,M_High_yr_sch_ns_Tot,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Yr_12_eq_15_19_yr,F_Yr_12_eq_20_24_yr,F_Yr_12_eq_25_34_yr,F_Yr_12_eq_35_44_yr,F_Yr_12_eq_45_54_yr,F_Yr_12_eq_55_64_yr,F_Yr_12_eq_65_74_yr,F_Yr_12_eq_75_84_yr,F_Yr_12_eq_85_yr_over,F_Yr_12_eq_Tot,F_Yr_11_eq_15_19_yr,F_Yr_11_eq_20_24_yr,F_Yr_11_eq_25_34_yr,F_Yr_11_eq_35_44_yr,F_Yr_11_eq_45_54_yr,F_Yr_11_eq_55_64_yr,F_Yr_11_eq_65_74_yr,F_Yr_11_eq_75_84_yr,F_Yr_11_eq_85_yr_over,F_Yr_11_eq_Tot,F_Yr_10_eq_15_19_yr,F_Yr_10_eq_20_24_yr,F_Yr_10_eq_25_34_yr,F_Yr_10_eq_35_44_yr,F_Yr_10_eq_45_54_yr,F_Yr_10_eq_55_64_yr,F_Yr_10_eq_65_74_yr,F_Yr_10_eq_75_84_yr,F_Yr_10_eq_85_yr_over,F_Yr_10_eq_Tot,F_Yr_9_eq_15_19_yr,F_Yr_9_eq_20_24_yr,F_Yr_9_eq_25_34_yr,F_Yr_9_eq_35_44_yr,F_Yr_9_eq_45_54_yr,F_Yr_9_eq_55_64_yr,F_Yr_9_eq_65_74_yr,F_Yr_9_eq_75_84_yr,F_Yr_9_eq_85_yr_over,F_Yr_9_eq_Tot,F_Yr_8_bel_15_19_yr,F_Yr_8_bel_20_24_yr,F_Yr_8_bel_25_34_yr,F_Yr_8_bel_35_44_yr,F_Yr_8_bel_45_54_yr,F_Yr_8_bel_55_64_yr,F_Yr_8_bel_65_74_yr,F_Yr_8_bel_75_84_yr,F_Yr_8_bel_85_yr_over,F_Yr_8_bel_Tot,F_Did_not_go_to_school_15_19,F_Did_not_go_to_school_20_24,F_Did_not_go_to_school_25_34,F_Did_not_go_to_school_35_44,F_Did_not_go_to_school_45_54,F_Did_not_go_to_school_55_64,F_Did_not_go_to_school_65_74,F_Did_not_go_to_school_75_84,F_Did_not_go_to_school_85ov,F_Did_not_go_to_school_Tot,F_High_yr_sch_ns_15_19_yr,F_High_yr_sch_ns_20_24_yr,F_High_yr_sch_ns_25_34_yr,F_High_yr_sch_ns_35_44_yr,F_High_yr_sch_ns_45_54_yr,F_High_yr_sch_ns_55_64_yr,F_High_yr_sch_ns_65_74_yr,F_High_yr_sch_ns_75_84_yr,F_High_yr_sch_ns_85_yr_over,F_High_yr_sch_ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Yr_12_eq_15_19_yr,P_Yr_12_eq_20_24_yr,P_Yr_12_eq_25_34_yr,P_Yr_12_eq_35_44_yr,P_Yr_12_eq_45_54_yr,P_Yr_12_eq_55_64_yr,P_Yr_12_eq_65_74_yr,P_Yr_12_eq_75_84_yr,P_Yr_12_eq_85_yr_over,P_Yr_12_eq_Tot,P_Yr_11_eq_15_19_yr,P_Yr_11_eq_20_24_yr,P_Yr_11_eq_25_34_yr,P_Yr_11_eq_35_44_yr,P_Yr_11_eq_45_54_yr,P_Yr_11_eq_55_64_yr,P_Yr_11_eq_65_74_yr,P_Yr_11_eq_75_84_yr,P_Yr_11_eq_85_yr_over,P_Yr_11_eq_Tot,P_Yr_10_eq_15_19_yr,P_Yr_10_eq_20_24_yr,P_Yr_10_eq_25_34_yr,P_Yr_10_eq_35_44_yr,P_Yr_10_eq_45_54_yr,P_Yr_10_eq_55_64_yr,P_Yr_10_eq_65_74_yr,P_Yr_10_eq_75_84_yr,P_Yr_10_eq_85_yr_over,P_Yr_10_eq_Tot,P_Yr_9_eq_15_19_yr,P_Yr_9_eq_20_24_yr,P_Yr_9_eq_25_34_yr,P_Yr_9_eq_35_44_yr,P_Yr_9_eq_45_54_yr,P_Yr_9_eq_55_64_yr,P_Yr_9_eq_65_74_yr,P_Yr_9_eq_75_84_yr,P_Yr_9_eq_85_yr_over,P_Yr_9_eq_Tot
UCL501001,17586,49823,99275,99529,75884,54584,40602,18180,4719,460191,2672,4379,11801,12051,12253,10304,5703,2575,584,62322,3367,5025,16033,17533,24580,29642,23465,11055,2971,133665,957,702,1958,2426,2972,3955,4779,3847,1518,23111,252,262,866,1254,1501,2224,3935,4954,2657,17901,45,141,696,871,982,913,794,619,352,5409,2102,2872,7184,6568,5485,4556,4269,3963,2532,39543,26981,63205,137805,140229,123663,106186,83549,45196,15337,742150,18455,52003,116856,115446,86415,61009,38870,17086,5554,511699,1717,3223,9463,9852,12765,13604,7805,3331,947,62707,2495,3907,12448,13965,22564,29061,30043,15371,5666,135515,705,511,1366,1900,2373,3596,5363,4683,2548,23040,202,179,767,1321,1791,2586,4826,5953,4303,21942,48,89,620,986,1107,1236,1098,928,789,6906,2026,2631,6853,5918,4760,4164,4831,5301,4701,41183,25634,62543,148379,149396,131784,115258,92837,52655,24513,802983,36042,101823,216135,214980,162295,115599,79475,35268,10276,971889,4382,7604,21261,21900,25019,23913,13506,5902,1537,125032,5859,8929,28484,31492,47146,58703,53507,26426,8638,269181,1660,1207,3325,4331,5346,7550,10141,8529,4065,46156
UCL511001,470,1162,2221,2337,1979,1458,1094,468,129,11314,185,264,611,691,636,447,265,97,24,3212,240,342,1093,1211,1406,1733,1289,587,107,8003,50,33,131,124,159,269,287,230,67,1361,9,11,32,34,43,85,203,251,130,793,3,0,19,14,19,25,14,14,12,124,94,111,273,236,242,222,212,142,99,1642,1046,1933,4376,4640,4491,4246,3370,1790,562,26446,543,1348,3007,3145,2593,1780,1079,503,156,14145,113,153,544,631,656,672,401,138,43,3349,176,229,765,898,1372,1661,1499,751,236,7596,34,41,91,100,95,172,310,236,121,1200,6,15,29,34,45,75,175,273,182,823,3,0,8,3,7,15,18,22,15,94,73,82,252,194,203,212,207,208,196,1620,949,1856,4692,5009,4967,4584,3693,2127,947,28826,1011,2509,5225,5483,4568,3233,2176,967,281,25456,297,409,1155,1317,1289,1120,663,234,65,6562,411,568,1861,2107,2779,3390,2796,1341,347,15595,87,71,227,225,255,436,600,470,191,2563
UCL512001,191,410,888,841,790,712,626,311,99,4859,95,115,221,214,206,173,127,55,25,1237,148,183,469,417,539,730,576,287,94,3445,25,13,44,45,64,100,131,130,53,611,4,8,34,23,33,49,93,151,97,489,0,5,14,12,18,10,9,4,12,78,46,42,123,92,109,110,108,90,47,773,508,773,1787,1644,1768,1882,1664,1023,435,11489,196,477,1118,1154,1140,972,675,377,134,6238,50,85,175,193,258,288,224,94,24,1385,78,109,278,309,500,677,655,397,135,3144,14,17,18,34,48,80,126,145,73,550,5,3,8,13,13,36,77,147,111,419,0,0,5,6,17,12,11,9,10,66,35,43,86,93,85,105,99,147,121,816,376,727,1688,1801,2062,2162,1880,1315,609,12622,384,884,2005,1992,1931,1680,1298,683,237,11089,145,205,403,405,467,464,354,146,42,2625,225,291,751,722,1044,1409,1240,689,233,6593,41,27,62,81,114,176,259,276,131,1158
UCL512002,164,364,679,808,736,600,638,294,74,4347,57,61,167,182,208,179,132,64,12,1054,50,78,237,305,461,543,603,325,57,2657,13,8,27,37,48,58,114,108,31,446,3,3,9,13,23,33,71,105,82,335,0,3,15,8,4,6,4,5,7,61,28,20,96,85,86,95,96,85,54,644,317,541,1225,1430,1563,1513,1648,990,315,9550,182,373,904,1184,1029,790,601,297,99,5458,24,32,131,163,277,274,214,76,20,1218,39,62,186,287,465,623,765,401,131,2961,18,4,22,21,30,59,109,105,71,441,0,0,4,12,13,24,59,115,127,361,0,3,9,3,7,3,4,0,5,35,49,23,83,64,71,108,120,116,99,735,309,508,1341,1736,1885,1887,1876,1108,563,11213,346,735,1581,1992,1758,1392,1235,588,173,9812,79,97,295,350,481,446,343,148,34,2275,90,142,425,589,924,1171,1370,723,185,5615,34,15,47,54,73,120,221,208,103,889
UCL512003,176,481,891,933,780,618,446,174,50,4553,104,132,262,250,273,229,131,39,13,1435,127,129,393,412,594,818,577,234,69,3350,41,25,41,48,85,118,154,127,41,678,7,4,5,21,32,87,138,182,92,561,0,0,4,4,7,8,8,19,16,81,116,78,198,223,194,173,126,116,54,1280,584,847,1804,1895,1959,2046,1590,890,327,11936,208,599,1236,1263,1084,725,453,184,69,5821,69,94,227,230,321,374,238,72,15,1647,102,125,275,355,547,695,636,308,104,3145,20,30,45,49,60,97,134,134,57,610,4,7,10,11,25,49,96,159,97,458,0,7,8,9,13,16,19,20,15,95,84,98,202,222,178,163,147,133,87,1310,486,947,1998,2138,2223,2122,1722,1007,449,13085,387,1076,2136,2187,1863,1345,897,357,116,10367,175,228,486,489,591,601,370,118,29,3079,231,252,671,761,1144,1514,1212,544,176,6501,60,47,87,99,143,210,291,257,97,1287
UCL512004,155,598,1325,1156,811,560,250,64,8,4927,77,136,317,304,272,203,86,15,0,1421,139,176,516,521,671,750,355,104,17,3246,29,33,42,67,96,115,102,47,7,533,7,15,14,29,31,57,71,54,15,286,3,0,8,14,10,13,11,3,0,67,71,135,335,331,273,316,202,76,16,1761,483,1090,2570,2419,2167,2022,1073,358,64,12236,166,587,1498,1233,862,568,203,70,15,5194,45,78,245,201,241,236,60,12,0,1117,75,142,317,367,480,469,294,100,18,2261,31,16,39,37,56,62,78,35,9,363,6,5,11,28,35,35,58,50,29,256,4,4,5,8,8,8,3,0,3,43,68,86,250,218,181,198,153,54,54,1254,393,912,2362,2084,1850,1577,843,323,136,10482,323,1180,2821,2382,1667,1130,450,130,26,10120,131,215,564,505,509,444,147,27,3,2535,214,319,840,884,1148,1228,641,205,34,5503,60,45,86,104,149,180,180,85,18,895
UCL513001,65,231,744,742,542,472,515,182,9,3498,27,39,97,123,159,136,111,25,0,715,38,58,153,202,291,381,430,129,13,1685,12,11,17,38,41,57,93,38,0,313,0,0,7,12,13,23,61,38,17,182,0,0,7,8,3,6,5,3,0,37,66,89,218,196,227,222,156,87,17,1270,216,427,1245,1317,1277,1301,1367,503,56,7703,106,347,1165,1020,666,626,444,110,12,4497,22,29,99,115,157,217,148,33,0,819,31,34,120,158,209,364,440,105,9,1469,7,10,15,18,30,44,56,24,5,211,3,3,8,8,10,10,40,32,8,124,0,0,0,4,8,3,0,0,0,26,59,83,335,225,223,257,180,71,12,1441,230,502,1747,1551,1306,1518,1307,378,56,8595,172,576,1907,1762,1209,1095,957,292,18,7996,47,65,195,236,313,356,264,58,3,1537,63,87,271,363,501,736,870,235,20,3154,23,22,38,54,68,101,143,64,8,527
UCL513002,66,144,319,284,237,201,125,62,24,1472,40,42,88,63,79,84,36,29,6,472,26,26,99,148,220,271,195,98,12,1100,12,3,12,15,23,39,62,40,10,224,5,0,0,4,10,16,38,49,30,154,0,0,0,0,0,0,0,0,6,9,36,35,84,73,99,71,62,60,15,534,186,258,610,595,670,697,521,340,96,3973,54,175,432,359,302,242,160,97,28,1850,7,26,60,78,121,133,66,28,12,525,21,24,70,103,127,200,205,110,38,887,10,8,9,12,13,30,38,57,33,203,0,0,0,7,9,20,26,51,30,135,0,0,0,0,0,4,7,0,0,16,26,24,55,80,60,53,56,63,20,438,112,254,622,636,629,670,556,400,162,4056,115,320,748,650,544,441,286,165,50,3322,54,70,145,145,196,220,105,53,11,1000,47,50,175,254,344,471,396,205,49,1988,19,8,23,29,38,71,101,100,43,434
UCL513003,87,296,927,1058,669,324,121,24,0,3512,40,48,197,232,201,130,35,10,0,889,32,65,265,341,350,350,142,19,4,1569,9,12,44,45,36,54,26,12,0,234,0,0,10,7,20,15,29,9,0,92,0,0,4,9,5,0,0,3,0,24,78,119,408,510,424,317,98,26,6,1988,248,540,1852,2200,1711,1189,455,108,9,8315,78,274,1122,1010,552,253,85,13,3,3389,21,33,121,144,149,83,21,4,0,577,17,32,159,181,216,188,110,26,3,922,7,0,19,14,18,30,25,8,0,118,0,0,0,7,14,11,18,12,7,73,0,4,0,0,3,0,0,0,0,12,53,85,276,230,178,116,65,8,3,1021,178,435,1695,1584,1128,677,330,77,13,6108,163,575,2045,2066,1220,576,212,40,5,6902,58,85,317,370,353,213,59,14,0,1468,49,96,424,518,569,533,255,46,7,2498,21,17,61,59,50,80,46,16,0,353
UCL513004,101,228,849,883,546,357,124,36,0,3127,39,58,213,231,190,161,44,3,0,938,37,59,293,335,367,347,113,19,3,1571,5,16,44,43,44,76,35,4,0,267,3,0,8,17,20,21,28,17,7,124,0,0,4,5,12,5,7,5,0,29,72,117,505,540,481,384,121,30,3,2249,252,473,1925,2060,1661,1346,468,109,16,8311,82,256,974,789,375,231,108,18,0,2837,25,42,145,118,98,103,38,3,0,571,24,41,202,169,213,218,95,20,4,978,3,10,20,25,43,32,20,3,0,155,0,5,12,19,15,24,15,6,0,106,0,0,3,3,10,4,5,3,0,34,58,91,286,210,195,139,63,22,5,1082,197,447,1640,1339,945,759,342,80,15,5771,188,483,1822,1671,922,591,232,53,4,5963,65,94,357,347,290,265,81,8,0,1505,60,100,497,504,573,563,207,35,10,2555,13,24,64,71,83,103,52,9,0,430
