UCL_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_ns,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_ns,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_ns,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arr_ns,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_ns,Japan_Tot,Korea_Rep_South_Before_1951,Korea_Rep_South_1951_1960,Korea_Rep_South_1961_1970,Korea_Rep_South_1971_1980,Korea_Rep_South_1981_1990,Korea_Rep_South_1991_2000,Korea_Rep_South_2001_2010,Korea_Rep_South_2011_2015,Korea_Rep_South_2016,Korea_Rep_South_2017,Korea_Rep_South_2018,Korea_Rep_South_2019,Korea_Rep_South_2020,Korea_Rep_South_2021,Korea_Rep_South_Yr_arrival_ns,Korea_Rep_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_ns,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_ns,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_ns,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_ns,Pakistan_Tot
UCL501001,220,185,218,288,81,46,66,6144,0,9,29,10,34,936,1158,766,128,114,120,80,31,14,78,3495,52,215,901,1002,2629,1008,3557,4522,234,211,286,395,251,110,222,15592,731,5288,4169,1064,474,386,836,1561,237,157,153,197,108,24,567,15967,8,26,22,80,300,758,1378,613,138,152,221,280,145,88,108,4310,0,3,4,112,352,456,2381,1467,233,243,201,274,70,25,130,5956,3,16,89,194,268,144,188,98,30,15,12,20,16,3,43,1135,63,205,1007,2379,6830,3169,7640,4392,1014,974,1029,934,563,72,564,30827,0,0,0,0,12,59,1010,860,319,390,594,630,233,18,65,4190,255,2585,622,458,651,379,772,384,54,70,61,94,44,16,160,6608,61,179,1617,4954,9739,7903,13908,10924,822,757,846,1002,496,442,1498,55156,38,153,535,663,646,519,354,150,41,23,28,34,16,8,93,3296,11,15,60,92,161,328,1451,2214,441,518,521,737,414,59,110,7144
UCL511001,3,0,0,0,0,0,3,45,0,0,0,0,6,4,7,8,4,0,0,0,0,0,0,42,4,5,15,26,65,11,75,104,0,3,4,7,0,0,6,318,26,158,61,8,0,0,10,20,0,0,0,0,0,0,21,304,0,0,3,0,3,7,22,13,0,3,0,4,5,3,0,59,0,0,0,0,3,6,38,27,3,0,13,17,3,0,5,118,0,0,0,7,8,11,10,4,0,0,0,0,3,0,0,43,0,7,13,17,23,21,35,41,6,11,13,8,0,0,6,193,0,0,0,0,0,0,19,13,9,10,4,3,0,0,0,66,3,113,34,16,33,20,25,9,0,4,0,0,0,0,0,259,3,6,68,208,401,294,611,383,13,35,20,25,22,14,96,2213,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,42,9,10,6,3,5,3,0,94
UCL512001,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,4,13,0,10,14,0,0,0,0,0,0,3,49,7,44,35,8,0,6,4,8,4,4,0,3,0,0,11,129,0,0,0,0,0,9,7,5,0,0,0,4,0,0,0,24,0,0,0,0,0,3,10,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,7,0,14,9,4,0,0,0,0,0,20,74,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,4,95,18,14,25,11,5,10,0,0,0,0,0,0,8,186,0,9,44,60,128,66,109,47,3,13,5,7,3,7,32,527,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
UCL512002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,15,13,4,14,25,0,0,4,0,0,0,5,102,0,20,8,0,6,0,8,11,0,0,0,0,0,0,9,60,0,0,0,0,0,10,12,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,8,11,7,0,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,3,9,0,4,0,0,0,0,0,0,39,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,16,6,48,8,9,7,4,18,9,0,0,5,0,0,0,4,109,0,3,41,111,128,96,118,63,4,15,6,0,0,0,27,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,7,0,0,0,0,0,10,0,25
UCL512003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,5,3,13,7,4,12,27,0,3,0,0,0,0,0,80,16,38,32,9,0,0,0,7,0,0,0,0,0,0,5,114,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,11,7,16,3,0,4,3,4,0,0,3,71,0,0,0,0,0,0,5,5,5,5,3,0,0,0,0,24,7,40,10,6,5,5,4,5,0,0,0,0,0,0,6,76,4,4,26,89,102,87,121,79,7,9,3,6,0,0,19,569,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,18,20,0,0,0,0,3,0,0,43
UCL512004,5,6,3,0,0,0,0,40,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,4,13,3,28,34,3,3,3,3,0,0,0,96,4,9,11,0,0,0,0,5,0,0,8,0,0,0,0,42,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,4,12,7,3,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,12,7,3,7,8,0,0,0,0,51,0,0,0,0,0,0,7,7,5,0,0,3,5,0,0,20,0,17,7,0,3,0,0,0,0,0,0,4,0,0,0,29,0,6,23,95,213,282,678,470,35,42,60,58,15,16,67,2059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,13,26,3,7,0,3,0,0,0,64
UCL513001,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,17,5,14,16,0,0,4,0,0,0,0,86,3,16,14,4,0,6,3,12,3,6,4,3,0,0,0,73,0,0,0,0,0,4,9,6,0,0,4,0,0,0,0,23,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,4,12,3,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,8,7,21,6,4,9,4,13,4,0,0,0,4,4,0,0,78,0,5,30,57,69,42,72,62,0,8,3,5,5,0,22,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,0,0,0,0,0,0,0,11
UCL513002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,20,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,11,4,0,0,4,0,0,0,0,0,0,0,0,0,23,0,0,7,42,50,47,55,30,6,0,0,9,0,3,8,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL513003,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,3,3,11,8,36,39,4,0,0,7,0,0,0,113,0,0,5,0,0,0,0,8,0,0,0,6,0,0,0,19,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,13,8,0,0,0,0,0,0,0,42,0,0,0,0,0,0,9,4,8,0,3,0,3,0,0,34,0,5,0,7,3,3,12,0,5,0,0,0,5,0,3,39,0,0,7,62,108,107,219,179,7,8,15,14,12,8,29,793,0,0,6,0,3,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,12,28,0,0,3,0,0,0,0,42
UCL513004,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,32,0,0,0,4,0,0,0,61,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,7,0,0,0,8,13,4,18,5,0,0,3,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,16,0,0,12,44,125,93,279,207,15,16,25,19,16,12,24,888,0,0,3,7,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,17
UCL513005,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,16,28,0,0,0,0,0,0,0,71,4,5,7,3,0,0,3,10,0,0,0,0,0,0,0,28,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,0,0,0,0,8,4,0,0,0,0,0,5,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,8,0,0,3,5,0,0,0,0,0,0,0,35,0,0,9,34,72,74,159,144,8,4,11,16,13,3,14,553,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL514001,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,17,6,13,10,0,0,0,0,0,0,0,0,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,23,38,24,36,9,0,0,0,4,3,4,3,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL514002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,6,4,0,3,0,0,0,0,0,0,39,0,5,0,0,0,0,0,3,0,0,5,0,0,0,3,29,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,5,0,4,0,0,0,0,0,3,0,0,26,0,0,8,14,32,24,38,21,0,11,0,0,4,0,11,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UCL514003,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,17,16,0,0,0,0,0,0,0,52,0,3,0,0,0,0,4,22,0,9,6,8,0,0,3,63,0,0,0,0,0,3,5,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,11,0,0,0,3,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,3,0,3,6,0,0,6,0,0,0,0,28,0,0,13,23,36,45,50,28,0,5,0,4,3,6,5,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
