UCL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL501001,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
UCL511001,14925,8404,9066,9652,9467,8839,7068,3914,1511,72840
UCL512001,5409,3450,3476,3445,3828,4045,3540,2338,1047,30587
UCL512002,4973,2597,2568,3164,3449,3398,3531,2096,880,26665
UCL512003,6482,3888,3802,4029,4186,4169,3313,1902,776,32544
UCL512004,6395,3607,4932,4508,4014,3605,1919,690,197,29854
UCL513001,3803,1752,2989,2875,2589,2819,2670,882,111,20493
UCL513002,1983,1150,1231,1233,1305,1370,1086,741,257,10354
UCL513003,4459,1889,3550,3787,2837,1873,785,181,22,19385
UCL513004,3780,1705,3567,3401,2611,2103,811,189,34,18199
UCL513005,2741,1140,1384,1470,1323,1044,821,464,146,10521
UCL514001,1283,736,785,801,860,968,926,480,163,7001
UCL514002,1550,517,689,1068,927,744,845,425,97,6855
UCL514003,1614,663,972,1235,1059,797,629,246,120,7331
UCL514004,1287,775,718,709,798,903,794,434,188,6610
UCL515001,114,54,74,92,128,198,299,166,98,1218
UCL515002,222,104,126,164,167,192,164,49,10,1203
UCL515003,347,188,177,196,280,360,410,191,71,2221
UCL515004,539,313,394,248,243,159,149,66,19,2123
UCL515005,500,253,219,287,330,271,265,127,36,2276
UCL515006,828,473,590,546,658,805,917,437,88,5333
UCL515007,590,125,174,420,299,198,118,46,20,1982
UCL515008,363,106,148,241,226,174,78,30,0,1353
UCL515009,493,305,213,334,384,405,448,281,111,2966
UCL515010,683,367,549,413,458,564,478,127,26,3659
UCL515011,509,282,256,315,303,350,349,238,88,2687
UCL515012,560,248,346,272,289,178,143,46,15,2099
UCL515013,682,386,754,627,549,718,878,341,41,4984
UCL515014,210,151,236,184,202,216,154,35,3,1379
UCL515015,485,247,386,304,343,317,313,259,129,2781
UCL515016,245,90,172,172,181,265,323,127,37,1614
UCL515017,223,128,148,196,232,436,518,202,38,2122
UCL515018,369,207,219,233,243,225,113,34,11,1648
UCL515019,721,467,494,428,426,462,379,208,88,3664
UCL515020,1122,551,989,701,718,784,651,126,22,5668
UCL515021,273,165,118,167,214,249,227,121,30,1559
UCL515022,764,472,476,443,480,534,445,290,114,4027
UCL515023,429,293,330,280,316,330,275,117,57,2435
UCL515024,316,186,194,162,181,236,199,100,43,1613
UCL515025,351,203,179,181,227,268,225,126,83,1840
UCL515026,547,283,398,251,261,236,150,52,23,2205
UCL515027,673,476,463,411,462,479,421,241,144,3772
UCL515028,1131,462,977,863,747,488,150,23,0,4846
UCL515029,276,149,293,360,307,216,40,15,3,1653
UCL515030,718,422,330,422,434,458,487,315,133,3717
UCL515031,429,218,238,305,347,509,611,331,72,3057
UCL515032,317,184,153,171,234,192,113,36,16,1424
UCL515033,871,248,507,637,441,305,105,32,0,3147
UCL515034,625,256,316,319,365,336,289,152,32,2692
UCL515035,187,101,130,125,125,209,196,126,41,1243
UCL515036,422,207,218,233,281,323,306,186,85,2260
UCL515037,563,241,484,509,331,253,65,14,0,2465
UCL515038,320,156,182,219,267,390,474,287,93,2377
UCL521001,88,67,31,65,87,90,53,19,3,499
UCL521002,130,65,58,90,113,97,148,47,8,763
UCL521003,98,52,52,82,84,131,188,117,40,838
UCL521004,173,106,114,73,73,51,21,8,0,609
UCL521005,264,84,136,143,125,165,127,52,10,1103
UCL521006,174,64,71,105,102,148,110,66,5,847
UCL521007,82,51,44,52,56,86,74,62,22,539
UCL521008,88,48,49,55,67,72,66,65,39,542
UCL521009,97,48,65,62,62,73,98,58,22,582
UCL521010,142,98,95,76,113,96,93,52,12,775
UCL521011,161,58,65,102,79,61,33,14,0,579
UCL521012,70,41,56,49,71,104,106,23,9,531
UCL521013,176,103,105,91,134,131,90,24,10,875
UCL521014,121,73,126,134,151,168,134,28,4,946
UCL521015,86,48,72,55,67,81,106,58,37,601
UCL521016,123,78,96,69,80,74,70,34,16,637
UCL521017,160,67,108,109,75,91,58,43,21,738
UCL521018,113,65,64,59,72,57,54,33,10,526
UCL521019,199,79,158,177,191,397,487,181,17,1893
UCL521020,108,67,52,60,102,110,141,49,4,692
UCL521021,207,73,79,114,89,104,103,63,12,855
