UCL_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
UCL501001,11341,11327,22662,13950,13155,27098,128,76,209,31,15,45,1966,1679,3644,334514,296171,630681,17966,25004,42971,4560,134,4693,2464,255,2711,5224,1495,6715,8767,2178,10939,6941,7011,13950,407844,358480,766327,6731,6529,13258,9,7,25,0,4,5,4523,4112,8630,658,912,1570,495,188,681,12413,11755,24171,13,8,24,8,8,15,725,766,1495,450,877,1326,502,350,855,1699,2006,3704,3833,2067,5899,17947,15828,33771,2108,2514,4617,324,225,549,196,78,274,2628,2815,5442,33695,43286,76978,50297,65332,115625,2236,1566,3799,514630,487315,1001946
UCL511001,11,9,20,396,93,490,0,0,3,0,0,0,35,41,73,12178,11770,23949,1014,1034,2052,143,4,144,66,10,73,153,46,200,216,59,273,224,249,476,14431,13325,27752,0,0,0,0,0,0,0,0,0,8,5,13,0,3,5,0,0,0,13,4,16,0,0,0,0,0,0,190,44,236,16,17,34,19,0,23,230,60,296,185,79,265,425,151,576,0,0,5,18,3,21,10,3,13,28,10,40,470,892,1367,2001,2368,4368,89,38,129,17452,16784,34235
UCL512001,4,0,6,29,17,38,0,0,0,0,0,0,17,15,30,5068,4878,9946,366,444,808,88,0,88,30,0,33,60,17,79,60,21,78,133,136,267,5848,5522,11370,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,7,11,0,0,0,0,0,3,4,9,16,56,35,97,63,46,112,0,0,0,0,0,0,0,3,4,3,0,6,218,426,642,653,909,1565,35,21,60,6829,6929,13756
UCL512002,0,5,0,60,23,78,0,0,3,0,0,0,14,9,25,3901,4171,8074,303,337,644,44,0,41,10,0,10,111,48,158,112,32,138,95,115,213,4655,4733,9384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,17,5,3,3,7,0,7,15,6,27,47,13,62,65,24,95,0,0,0,8,0,8,0,0,0,7,0,7,270,466,731,814,911,1724,24,24,50,5834,6159,11998
UCL512003,0,0,0,74,25,98,0,0,0,0,0,0,12,13,27,5089,5170,10260,393,460,856,115,3,115,66,11,79,109,49,150,98,20,118,152,146,293,6111,5903,12010,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,7,0,9,3,5,5,9,6,18,15,10,30,65,38,101,84,50,133,0,0,0,4,0,3,3,3,6,8,0,13,190,357,543,815,933,1746,29,22,57,7240,7264,14505
UCL512004,3,4,6,259,83,346,8,5,12,0,0,0,44,54,96,6089,4831,10915,667,570,1239,113,12,122,58,6,62,67,15,80,74,37,110,232,235,473,7611,5850,13461,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,53,10,64,8,0,10,5,0,5,64,16,83,92,56,144,160,78,235,0,0,0,3,0,11,12,4,11,16,5,24,111,266,372,730,624,1357,34,26,63,8662,6848,15512
UCL513001,4,3,7,25,17,40,0,0,0,0,0,0,8,7,8,2364,2563,4931,198,296,489,30,0,34,90,36,119,123,95,216,78,30,110,196,258,452,3106,3304,6415,5,0,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,4,5,34,20,48,39,27,67,0,0,0,0,0,0,0,0,0,0,0,0,218,316,527,873,1061,1935,55,44,101,4292,4756,9046
UCL513002,0,0,4,16,8,19,0,0,0,0,0,0,8,3,9,1810,1518,3325,126,117,239,46,0,43,19,6,31,35,28,64,11,5,20,66,86,152,2138,1774,3907,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,4,6,0,0,3,0,0,0,7,6,8,23,15,43,30,19,54,0,0,0,0,0,0,0,0,0,4,0,4,74,154,228,231,260,483,21,18,40,2499,2221,4719
UCL513003,0,0,3,251,37,291,0,0,0,0,0,0,18,12,22,3866,2802,6667,514,275,787,93,5,97,50,8,54,37,14,46,117,35,151,132,175,308,5085,3356,8438,0,0,3,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,12,5,13,0,6,4,5,0,11,20,5,30,78,23,103,101,38,138,6,0,6,9,0,9,8,3,15,19,3,24,52,183,234,525,445,968,25,19,43,5801,4039,9842
UCL513004,3,0,3,179,41,221,3,0,3,0,0,0,19,17,38,3610,2467,6077,404,253,662,70,6,73,48,8,52,31,12,40,139,31,164,141,145,287,4650,2982,7634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,7,0,0,3,6,4,12,14,8,18,85,25,110,101,28,130,0,0,0,6,0,6,9,0,9,12,0,12,59,129,188,407,335,740,38,23,64,5273,3498,8763
