UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL501001,26452,17936,20717,19540,17602,13822,10093,7008,4614,137776,387804,244676,286403,289808,255624,221618,176529,97942,39885,2000278
UCL511001,1200,776,906,824,801,677,477,308,213,6178,14925,8404,9066,9652,9467,8839,7068,3914,1511,72840
UCL512001,445,326,411,382,358,342,265,170,93,2787,5409,3450,3476,3445,3828,4045,3540,2338,1047,30587
UCL512002,439,225,233,245,260,291,231,152,73,2141,4973,2597,2568,3164,3449,3398,3531,2096,880,26665
UCL512003,926,519,495,548,503,433,322,211,101,4055,6482,3888,3802,4029,4186,4169,3313,1902,776,32544
UCL512004,808,522,763,715,618,594,335,90,31,4478,6395,3607,4932,4508,4014,3605,1919,690,197,29854
UCL513001,642,340,572,501,528,540,382,154,27,3688,3803,1752,2989,2875,2589,2819,2670,882,111,20493
UCL513002,271,159,167,154,171,146,100,90,28,1291,1983,1150,1231,1233,1305,1370,1086,741,257,10354
UCL513003,739,392,724,822,670,482,183,33,5,4055,4459,1889,3550,3787,2837,1873,785,181,22,19385
UCL513004,581,401,865,813,712,549,189,47,3,4156,3780,1705,3567,3401,2611,2103,811,189,34,18199
UCL513005,213,101,98,117,92,68,41,19,5,752,2741,1140,1384,1470,1323,1044,821,464,146,10521
UCL514001,186,83,98,102,99,98,68,39,23,784,1283,736,785,801,860,968,926,480,163,7001
UCL514002,105,47,78,88,51,56,65,43,0,537,1550,517,689,1068,927,744,845,425,97,6855
UCL514003,172,75,96,111,111,94,57,8,17,725,1614,663,972,1235,1059,797,629,246,120,7331
UCL514004,197,118,97,97,116,88,72,49,30,863,1287,775,718,709,798,903,794,434,188,6610
UCL515001,21,6,9,8,16,15,14,6,5,106,114,54,74,92,128,198,299,166,98,1218
UCL515002,20,8,11,22,9,6,7,0,0,83,222,104,126,164,167,192,164,49,10,1203
UCL515003,35,25,16,12,35,30,29,17,5,207,347,188,177,196,280,360,410,191,71,2221
UCL515004,48,28,32,28,20,15,14,5,0,190,539,313,394,248,243,159,149,66,19,2123
UCL515005,39,30,15,17,29,14,23,13,4,193,500,253,219,287,330,271,265,127,36,2276
UCL515006,192,150,150,121,128,128,88,57,16,1022,828,473,590,546,658,805,917,437,88,5333
UCL515007,86,18,19,53,32,17,7,8,3,238,590,125,174,420,299,198,118,46,20,1982
UCL515008,44,17,22,35,30,28,14,4,0,189,363,106,148,241,226,174,78,30,0,1353
UCL515009,70,46,33,45,64,43,39,26,7,366,493,305,213,334,384,405,448,281,111,2966
UCL515010,227,115,165,119,122,128,86,28,0,993,683,367,549,413,458,564,478,127,26,3659
UCL515011,41,27,20,26,23,25,31,24,9,224,509,282,256,315,303,350,349,238,88,2687
UCL515012,39,25,25,20,18,11,11,0,8,162,560,248,346,272,289,178,143,46,15,2099
UCL515013,54,31,73,41,49,57,64,34,6,419,682,386,754,627,549,718,878,341,41,4984
UCL515014,28,39,44,23,41,37,35,9,0,266,210,151,236,184,202,216,154,35,3,1379
UCL515015,40,29,27,13,40,36,24,35,20,263,485,247,386,304,343,317,313,259,129,2781
UCL515016,27,9,10,25,28,25,37,15,9,181,245,90,172,172,181,265,323,127,37,1614
UCL515017,29,27,30,31,42,81,77,34,9,359,223,128,148,196,232,436,518,202,38,2122
UCL515018,53,47,42,50,44,28,19,4,0,286,369,207,219,233,243,225,113,34,11,1648
UCL515019,131,63,65,57,44,37,43,22,13,477,721,467,494,428,426,462,379,208,88,3664
UCL515020,227,116,178,128,135,102,79,26,16,1005,1122,551,989,701,718,784,651,126,22,5668
UCL515021,17,15,6,14,22,17,12,0,3,106,273,165,118,167,214,249,227,121,30,1559
UCL515022,71,42,32,33,60,34,20,26,9,328,764,472,476,443,480,534,445,290,114,4027
UCL515023,53,52,50,43,38,46,34,12,6,338,429,293,330,280,316,330,275,117,57,2435
UCL515024,42,31,38,24,26,37,33,14,4,251,316,186,194,162,181,236,199,100,43,1613
UCL515025,56,32,15,27,29,37,22,18,9,250,351,203,179,181,227,268,225,126,83,1840
UCL515026,32,23,33,18,18,16,10,5,0,151,547,283,398,251,261,236,150,52,23,2205
UCL515027,117,78,82,66,55,52,41,22,10,512,673,476,463,411,462,479,421,241,144,3772
UCL515028,155,67,161,134,118,74,25,5,0,728,1131,462,977,863,747,488,150,23,0,4846
UCL515029,60,39,84,118,111,66,10,9,4,495,276,149,293,360,307,216,40,15,3,1653
UCL515030,95,45,32,39,38,37,45,43,44,422,718,422,330,422,434,458,487,315,133,3717
UCL515031,52,23,45,43,40,66,80,54,7,419,429,218,238,305,347,509,611,331,72,3057
UCL515032,25,13,9,7,17,13,6,0,4,94,317,184,153,171,234,192,113,36,16,1424
UCL515033,124,51,81,108,85,65,31,6,0,553,871,248,507,637,441,305,105,32,0,3147
UCL515034,58,26,19,45,30,29,19,14,6,240,625,256,316,319,365,336,289,152,32,2692
UCL515035,32,20,21,20,21,18,18,11,3,165,187,101,130,125,125,209,196,126,41,1243
UCL515036,41,23,12,25,28,27,26,30,31,229,422,207,218,233,281,323,306,186,85,2260
UCL515037,122,53,130,115,75,89,18,0,0,606,563,241,484,509,331,253,65,14,0,2465
UCL515038,39,19,21,31,39,39,34,38,12,265,320,156,182,219,267,390,474,287,93,2377
UCL521001,5,9,4,0,0,5,0,0,0,25,88,67,31,65,87,90,53,19,3,499
UCL521002,26,10,8,16,13,10,12,6,0,94,130,65,58,90,113,97,148,47,8,763
UCL521003,16,5,3,9,16,7,17,13,3,89,98,52,52,82,84,131,188,117,40,838
UCL521004,6,0,5,0,0,0,0,0,0,14,173,106,114,73,73,51,21,8,0,609
UCL521005,30,12,20,9,15,16,13,7,0,126,264,84,136,143,125,165,127,52,10,1103
UCL521006,17,5,5,5,10,9,13,6,0,65,174,64,71,105,102,148,110,66,5,847
UCL521007,15,4,14,4,9,12,7,6,0,74,82,51,44,52,56,86,74,62,22,539
UCL521008,23,16,6,12,10,13,7,4,0,87,88,48,49,55,67,72,66,65,39,542
UCL521009,5,10,18,8,16,10,19,12,6,113,97,48,65,62,62,73,98,58,22,582
UCL521010,18,11,9,6,11,8,8,4,0,77,142,98,95,76,113,96,93,52,12,775
