UCL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
UCL501001,11143,32235,491,43879,169593,8152,910,222529,2308,36457,188,38958,130541,7031,788,177310,468,7693,53,8215,82960,6756,267,98207,69,426,0,493,34077,5311,78,39957,344804,118099,14444,477344,1055545,79591,4837,1617314
UCL511001,319,1436,20,1776,6650,414,14,8854,70,1084,3,1156,5549,359,11,7074,26,177,0,201,3448,262,3,3920,6,10,0,19,1229,266,0,1511,12398,4347,720,17470,36868,3579,89,58003
UCL512001,160,482,8,644,3193,211,11,4055,25,405,6,438,2918,191,0,3545,5,75,0,82,2093,164,3,2343,0,7,0,7,931,109,0,1051,4441,1694,279,6410,17031,1734,40,25220
UCL512002,117,450,4,567,2638,199,9,3406,16,461,3,490,2862,177,0,3529,3,70,0,69,1878,148,0,2099,0,0,0,5,778,95,0,877,4151,1437,233,5823,14643,1229,30,21726
UCL512003,153,577,11,733,3121,310,8,4174,28,421,4,448,2608,249,3,3315,9,78,0,80,1603,218,5,1902,0,6,0,9,633,134,5,776,4635,1794,290,6719,16819,2530,43,26103
UCL512004,136,359,0,498,2623,479,14,3617,18,171,0,181,1422,312,19,1934,6,41,0,48,557,82,0,690,0,3,0,3,163,34,0,199,4922,1205,236,6358,13999,3106,75,23545
UCL513001,73,235,0,305,2031,483,9,2824,15,236,0,247,2093,330,12,2687,6,46,0,54,678,147,0,882,0,0,0,0,84,26,0,111,2572,923,172,3661,10196,2833,123,16818
UCL513002,48,192,0,242,1003,131,4,1373,5,115,0,118,862,104,0,1086,3,33,0,38,606,100,0,741,0,6,0,8,233,23,0,257,1438,602,91,2124,5322,922,18,8392
UCL513003,49,189,0,243,1214,421,19,1889,3,89,0,91,543,155,11,797,0,9,0,9,145,30,3,187,0,0,0,0,12,3,0,22,3568,644,172,4384,7536,3006,94,15017
UCL513004,63,164,0,228,1359,515,7,2116,6,71,0,75,557,178,8,813,0,6,0,8,140,45,0,196,0,0,0,0,29,9,0,34,2928,605,161,3691,7403,3327,56,14480
UCL513005,53,146,0,201,791,52,4,1044,7,125,0,136,660,31,0,827,0,33,0,33,404,23,0,464,0,0,0,0,120,22,0,146,2091,552,100,2747,4637,400,38,7818
UCL514001,24,170,0,190,715,54,0,966,4,113,0,113,756,57,0,926,0,19,0,19,408,57,0,480,0,0,0,0,109,52,0,163,942,468,66,1480,3721,511,3,5718
UCL514002,34,115,0,140,549,49,5,745,11,187,0,193,608,42,0,851,0,33,0,33,352,44,6,429,0,3,0,3,87,4,0,97,1323,427,54,1807,3157,341,15,5327
UCL514003,43,80,0,126,601,72,0,796,8,104,0,111,470,43,0,629,7,12,0,23,221,12,0,246,0,0,0,0,102,16,0,120,1423,330,91,1842,3425,454,55,5775
UCL514004,32,124,0,155,674,74,0,903,4,81,0,88,640,74,0,794,0,16,0,16,371,47,4,437,0,0,0,0,150,29,0,188,873,363,53,1284,3458,576,6,5325
UCL515001,3,17,0,21,170,9,0,198,0,26,3,30,252,14,4,300,0,6,0,6,151,10,0,166,0,0,0,0,85,15,0,98,108,59,9,182,853,74,13,1117
UCL515002,5,20,0,26,156,3,0,192,0,20,0,20,147,0,0,164,0,4,0,4,41,0,0,49,0,0,0,0,9,0,0,10,196,63,11,276,669,38,0,976
