UCL_CODE_2021,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24_yr,P_Grad_Dip_Cer_25_34_yr,P_Grad_Dip_Cer_35_44_yr,P_Grad_Dip_Cer_45_54_yr,P_Grad_Dip_Cer_55_64_yr,P_Grad_Dip_Cer_65_74_yr,P_Grad_Dip_Cer_75_84_yr,P_Grad_Dip_Cer_85_yr_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_yr_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr_over,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85ov,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85ov,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL501001,29764,19357,12492,7493,2691,544,98086,792,8034,10219,9334,7201,4222,1340,222,41369,20563,78237,77979,53611,34068,22652,9001,2303,298420,9626,27909,33902,31685,26539,18474,8273,2288,158681,29577,57255,52315,46880,41069,26502,11902,3285,268788,10067,4490,3231,2601,2147,1433,554,117,24642,2110,3053,4468,5859,5630,4475,2348,766,28709,41755,64801,60020,55335,48839,32412,14805,4162,322135,900,1955,2436,2233,2022,2156,1504,544,13751,11966,17199,15929,13298,11734,11847,11295,8139,101419,87243,222239,230253,184862,142892,99255,48913,18211,1033862
UCL511001,329,294,214,146,37,11,1272,18,149,248,254,194,132,37,5,1035,242,1339,1577,1330,919,609,241,70,6326,158,718,984,967,939,643,278,77,4765,1618,2953,2867,2543,2124,1281,499,113,13999,557,301,178,143,104,62,22,12,1379,85,107,193,246,253,167,73,15,1134,2256,3366,3237,2931,2482,1509,593,137,16512,13,48,72,60,66,73,41,18,386,438,575,551,541,544,532,483,324,3985,3146,6409,7003,6377,5364,3643,1714,632,34279
UCL512001,123,110,116,90,31,8,601,11,53,90,122,122,83,19,5,503,109,484,559,567,481,377,175,44,2793,80,273,392,440,489,384,206,50,2314,577,1071,938,918,834,536,255,102,5232,279,102,76,54,63,25,14,3,610,30,40,42,96,113,95,37,16,466,885,1214,1048,1069,1011,658,303,119,6306,6,21,20,22,22,44,30,14,178,208,224,214,224,286,285,301,208,1954,1314,2377,2445,2562,2522,1920,1067,443,14647
UCL512002,105,100,65,67,34,0,429,0,53,107,110,78,65,16,4,439,63,378,565,485,399,310,132,47,2387,55,218,350,417,410,343,181,37,2009,396,815,929,923,760,613,299,64,4798,176,70,45,49,39,36,14,7,432,33,38,52,91,83,98,37,9,445,601,923,1029,1064,880,751,348,83,5673,10,15,17,21,15,40,30,7,155,142,198,193,197,255,270,245,172,1666,873,1843,2357,2396,2110,1844,993,348,12756
UCL512003,144,112,88,48,5,7,505,9,81,112,105,85,44,9,4,454,124,515,589,501,310,216,72,17,2340,95,291,412,407,421,259,99,24,2014,561,1130,1028,1035,917,585,233,59,5544,248,137,89,72,66,31,10,4,667,31,39,61,94,86,71,26,10,417,844,1308,1173,1198,1069,688,268,69,6633,6,22,17,32,30,22,20,12,155,396,441,496,417,393,342,329,221,3040,1496,2750,2941,2768,2393,1631,799,354,15140
UCL512004,210,119,75,20,8,0,685,7,79,91,68,57,21,3,0,325,168,725,625,373,246,108,36,5,2273,53,287,379,321,271,103,22,3,1429,529,1357,1177,1024,769,311,87,13,5261,222,103,58,50,20,6,7,0,466,30,63,66,79,60,38,10,0,352,783,1525,1301,1152,847,357,100,13,6080,12,31,20,23,15,14,7,0,123,395,624,579,506,560,392,131,72,3259,1449,3490,3210,2562,2067,1009,295,92,14173
UCL513001,158,99,108,80,19,0,646,5,88,123,79,84,61,7,0,449,105,738,588,393,350,282,80,8,2536,55,232,332,269,305,296,66,5,1560,200,525,569,560,459,404,87,12,2814,85,58,40,21,30,25,3,0,263,14,37,47,49,61,65,21,3,293,296,613,658,624,552,493,118,12,3367,4,14,13,16,21,23,17,0,110,339,585,462,481,539,382,168,25,2987,809,2438,2324,1971,1958,1626,481,52,11660
UCL513002,30,26,23,13,3,0,128,3,13,33,32,23,16,9,0,122,31,188,154,148,109,73,47,13,758,11,67,114,112,117,78,49,15,569,187,380,332,305,268,141,72,11,1694,54,39,30,12,13,8,7,0,168,11,5,20,28,29,16,12,3,122,254,427,378,350,313,161,91,13,1980,4,5,0,3,17,11,8,4,53,151,146,161,172,138,139,144,41,1093,454,881,868,840,736,491,338,89,4704
UCL513003,154,79,32,13,0,0,448,7,74,87,70,27,10,0,0,280,84,582,528,305,137,63,10,0,1720,32,231,369,289,190,65,10,0,1182,287,976,1003,731,427,154,34,0,3615,110,71,53,33,23,7,0,0,296,14,30,47,54,37,17,5,0,209,410,1077,1104,820,484,180,36,0,4116,8,17,19,14,7,3,0,0,74,358,722,770,632,460,175,48,6,3162,903,2857,3038,2213,1335,508,112,12,10970
UCL513004,83,55,51,16,4,0,302,3,56,54,35,23,20,0,0,191,68,469,410,193,128,49,16,0,1330,24,235,323,239,178,60,7,0,1076,207,960,944,595,448,136,25,7,3315,80,61,60,27,16,3,0,0,249,14,39,48,42,32,19,3,0,192,305,1062,1049,665,492,160,27,3,3752,8,16,16,17,15,6,0,0,70,363,831,780,704,548,193,53,10,3489,771,2757,2715,1905,1431,510,113,20,10216
