UCL_CODE_2021,1_74_RE_agent,1_74_StateTeHAuthority,1_74_Com_house_prov,1_74_Person_not_same_hh,1_74_Oth_type,1_74_Not_stated,1_74_Total,75_99_RE_agent,75_99_StateTeHAuthority,75_99_Com_house_prov,75_99_Person_not_same_hh,75_99_Oth_type,75_99_Not_stated,75_99_Total,100_149_RE_agent,100_149_StateTeHAuthority,100_149_Com_house_prov,100_149_Person_not_same_hh,100_149_Oth_type,100_149_Not_stated,100_149_Total,150_199_RE_agent,150_199_StateTeHAuthority,150_199_Com_house_prov,150_199_Person_not_same_hh,150_199_Oth_type,150_199_Not_stated,150_199_Total,200_224_RE_agent,200_224_StateTeHAuthority,200_224_Com_house_prov,200_224_Person_not_same_hh,200_224_Oth_type,200_224_Not_stated,200_224_Total,225_274_RE_agent,225_274_StateTeHAuthority,225_274_Com_house_prov,225_274_Person_not_same_hh,225_274_Oth_type,225_274_Not_stated,225_274_Total,275_349_RE_agent,275_349_StateTeHAuthority,275_349_Com_house_prov,275_349_Person_not_same_hh,275_349_Oth_type,275_349_Not_stated,275_349_Total,350_449_RE_agent,350_449_StateTeHAuthority,350_449_Com_house_prov,350_449_Person_not_same_hh,350_449_Oth_type,350_449_Not_stated,350_449_Total,450_549_RE_agent,450_549_StateTeHAuthority,450_549_Com_house_prov,450_549_Person_not_same_hh,450_549_Oth_type,450_549_Not_stated,450_549_Total,550_649_RE_agent,550_649_StateTeHAuthority,550_649_Com_house_prov,550_649_Person_not_same_hh,550_649_Oth_type,550_649_Not_stated,550_649_Total,650_749_RE_agent,650_749_StateTeHAuthority,650_749_Com_house_prov,650_749_Person_not_same_hh,650_749_Oth_type,650_749_Not_stated,650_749_Total,750_849_RE_agent,750_849_StateTeHAuthority,750_849_Com_house_prov,750_849_Person_not_same_hh,750_849_Oth_type,750_849_Not_stated,750_849_Total,850_949_RE_agent,850_949_StateTeHAuthority,850_949_Com_house_prov,850_949_Person_not_same_hh,850_949_Oth_type,850_949_Not_stated,850_949_Total,950oveRE_agent,950oveStateTeHAuthority,950oveCom_house_prov,950ovePerson_not_same_hh,950oveOth_type,950oveNot_stated,950oveTotal,Rent_NS_RE_agent,Rent_NS_StateTeRent_Hauth,Rent_NS_Com_house_prov,Rent_NS_Person_not_same_hh,Rent_NS_Oth_type,Rent_NS_Not_stated,Rent_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Com_house_prov,Total_Person_not_same_hh,Total_Oth_type,Total_NS,Total_Total
UCL501001,133,704,85,239,40,11,1209,29,1140,144,171,30,12,1532,427,7257,610,1458,241,76,10067,1400,3358,1381,2181,355,74,8747,2638,1295,379,2578,326,53,7266,9388,1784,554,5259,1093,64,18149,28880,1288,379,12692,1507,147,44890,45624,556,290,14987,1545,167,63173,20113,95,63,5293,433,43,26044,7236,18,11,1764,115,16,9162,3153,21,15,797,63,7,4058,1673,19,5,430,51,0,2187,939,12,5,227,27,5,1213,1543,10,0,469,90,8,2124,1801,1142,296,2459,713,485,6892,124981,18710,4229,51005,6632,1168,206721
UCL511001,5,21,3,10,7,0,39,3,48,11,4,9,0,80,29,323,39,54,11,5,457,54,208,118,83,31,6,500,123,90,42,154,19,4,428,444,105,24,322,39,5,931,1326,50,19,738,54,6,2189,1661,20,24,492,61,5,2263,337,0,0,66,5,0,424,68,0,0,14,9,0,90,16,0,0,7,5,0,32,5,3,0,4,0,0,13,0,0,0,9,0,0,8,7,0,0,3,11,0,17,84,47,21,79,83,21,333,4166,912,299,2045,332,49,7799
UCL512001,0,16,5,0,4,0,25,0,26,5,11,6,0,35,13,189,42,33,9,7,289,13,106,83,66,21,5,297,25,47,20,71,6,0,171,112,77,59,113,24,0,384,530,80,28,336,56,7,1029,616,18,12,199,34,0,888,125,6,0,40,10,0,177,19,0,0,4,4,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,6,9,0,20,15,40,20,41,29,5,149,1459,598,270,938,210,25,3495
UCL512002,5,11,0,8,0,0,26,0,13,0,6,0,0,19,0,171,17,7,9,0,205,5,99,31,26,15,4,178,12,28,5,39,15,0,94,26,52,13,53,17,0,168,220,43,9,170,28,0,476,687,19,0,278,31,0,1015,314,0,0,62,7,5,383,52,0,0,13,3,0,66,6,0,0,6,0,0,18,3,0,0,0,5,0,10,0,0,0,0,0,0,6,8,0,0,5,7,0,18,23,18,5,28,22,5,102,1355,461,88,708,156,10,2772
UCL512003,4,20,0,10,0,0,34,4,23,0,10,3,0,41,40,165,19,68,12,0,290,211,109,39,133,28,12,530,207,33,11,181,33,4,468,373,61,10,245,47,5,735,552,60,22,260,54,0,947,335,7,0,140,15,0,501,68,3,0,27,6,0,96,17,0,0,6,0,0,22,9,0,0,7,0,0,11,5,0,0,0,0,0,8,0,0,0,0,0,0,5,3,0,0,0,3,0,3,38,36,7,63,42,6,187,1845,507,106,1142,242,28,3875
UCL512004,0,8,0,4,5,0,15,3,23,0,4,14,0,44,26,126,43,28,59,9,279,24,83,13,46,67,4,238,63,71,0,68,66,0,265,188,115,5,112,80,3,504,541,58,0,167,72,0,848,642,18,0,177,40,0,877,270,6,0,45,8,0,330,124,4,0,21,6,0,151,30,0,0,3,0,0,34,7,0,0,0,4,0,14,0,0,0,0,0,0,0,4,0,0,6,4,0,18,46,23,11,44,94,7,223,1971,537,68,728,522,27,3855
UCL513001,4,15,0,0,8,0,29,0,21,3,0,7,0,35,11,142,5,5,41,0,202,7,138,15,19,47,0,238,6,63,6,11,50,3,138,18,105,10,29,71,0,229,86,110,17,51,67,0,338,155,38,9,79,138,0,417,170,10,0,52,56,0,288,124,3,0,38,7,0,173,87,0,0,37,13,0,137,58,3,0,20,6,0,92,27,0,0,14,0,0,48,40,0,0,30,29,0,95,41,65,10,35,111,11,271,833,725,81,413,653,25,2734
UCL513002,0,11,0,4,4,0,21,0,5,0,3,5,0,14,8,68,24,26,13,0,136,34,24,13,44,12,3,127,37,19,4,46,7,0,119,78,43,4,73,18,0,222,133,9,6,139,16,0,298,128,0,0,107,6,0,248,25,0,0,9,0,0,39,7,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,8,0,0,13,8,10,4,26,23,8,75,457,191,52,490,117,17,1323
UCL513003,11,10,0,0,433,0,452,0,6,0,0,19,0,29,7,58,0,0,79,0,147,8,26,0,7,65,0,109,16,57,0,7,80,0,155,20,86,0,11,127,0,249,66,111,4,15,133,0,330,141,20,6,45,92,0,296,178,7,0,25,49,0,265,179,0,0,12,35,0,229,144,4,0,10,18,0,179,104,6,0,16,14,0,144,73,0,0,6,20,0,100,116,0,0,12,49,0,174,76,34,6,25,234,3,387,1142,427,23,193,1456,5,3258
UCL513004,33,21,0,7,420,0,478,5,31,0,0,35,0,72,3,83,5,10,431,0,533,15,91,4,4,89,0,198,17,71,6,7,75,0,178,29,105,16,11,79,0,246,64,71,18,21,51,0,226,187,37,8,31,39,0,305,248,11,0,28,26,0,304,151,0,0,12,13,0,180,81,0,0,3,13,0,102,52,0,0,7,14,0,67,48,0,0,4,4,0,55,62,0,0,9,34,0,110,89,46,14,26,261,5,445,1079,569,83,178,1574,15,3508
