UCL_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Oth_lt_health_cond_0_14,M_Oth_lt_health_cond_15_24,M_Oth_lt_health_cond_25_34,M_Oth_lt_health_cond_35_44,M_Oth_lt_health_cond_45_54,M_Oth_lt_health_cond_55_64,M_Oth_lt_health_cond_65_74,M_Oth_lt_health_cond_75_84,M_Oth_lt_health_cond_85_over,M_Oth_lt_health_cond_Tot,M_No_lt_health_cond_0_14,M_No_lt_health_cond_15_24,M_No_lt_health_cond_25_34,M_No_lt_health_cond_35_44,M_No_lt_health_cond_45_54,M_No_lt_health_cond_55_64,M_No_lt_health_cond_65_74,M_No_lt_health_cond_75_84,M_No_lt_health_cond_85_over,M_No_lt_health_cond_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
UCL501001,148,473,1479,3160,6111,11091,14825,10769,3990,52041,12619,9114,9692,9781,8092,6267,5033,2733,872,64198,213,253,518,1036,2047,4666,8109,6433,2244,25515,4,18,21,44,100,287,932,2217,1968,5584,304,604,1240,3328,6804,10843,13607,8527,2377,47632,273,251,460,1084,3539,8541,13648,10975,4302,43074,202,152,243,482,699,1211,1874,2056,1037,7967,271,161,254,469,1117,2590,4408,3833,1438,14536,4016,9132,12002,11573,10490,8356,5484,2570,975,64597,48,59,103,295,638,1387,2428,2589,1172,8713,9422,5904,5977,7439,9378,10636,9683,5308,2371,66128,161173,92497,100712,99327,78439,55419,31131,11753,2729,633176,13612,9373,10802,10258,9192,7058,4841,3055,1754,69954,199098,123984,137925,140322,123749,106272,83614,45232,15345,975547,215,791,2259,4895,11128,19964,26622,20365,10048,96289,8740,9863,13175,13227,11835,10690,9124,5016,1835,83514,171,229,667,1859,4081,6351,7945,5441,2203,28945,12,21,16,28,56,259,857,2808,4098,8152,298,663,1309,2847,5262,8577,10775,7133,2912,39772,211,231,327,704,1760,4080,7223,7670,5174,27378
UCL511001,8,32,75,160,294,538,723,491,144,2454,751,346,389,367,325,233,222,129,33,2801,7,9,18,38,70,214,329,224,78,982,0,0,0,4,0,11,35,106,81,240,19,26,52,107,295,438,601,338,94,1961,12,14,19,49,119,313,522,421,176,1644,9,5,15,17,41,50,67,86,42,325,11,8,13,17,48,127,210,190,50,674,217,380,475,465,456,414,289,113,44,2859,0,0,9,3,26,57,105,88,38,337,399,221,192,259,315,447,357,197,75,2469,5859,2911,2859,3009,2621,2041,1144,456,103,21014,608,446,530,506,466,358,238,131,64,3352,7719,4224,4376,4645,4493,4249,3369,1790,561,35427,17,33,116,265,622,1024,1227,830,412,4541,462,414,505,587,490,481,400,193,64,3609,3,6,30,69,159,267,338,224,86,1180,0,0,3,0,9,14,42,117,175,365,14,30,64,125,220,376,473,284,126,1710,9,11,13,30,66,167,282,303,207,1086
UCL512001,0,9,36,60,123,249,342,269,132,1230,275,172,154,143,124,152,111,59,19,1206,4,0,5,8,42,79,176,134,66,507,0,0,0,0,3,0,17,78,44,145,3,10,20,33,116,199,238,197,63,881,0,3,14,15,46,174,244,257,134,888,0,0,4,4,10,22,42,31,22,142,6,4,0,3,19,52,106,94,48,328,81,200,215,170,188,236,150,64,33,1323,0,0,0,3,9,24,54,76,45,221,171,102,92,94,139,179,176,128,57,1131,2050,1180,1073,980,1005,851,585,233,82,8042,231,183,288,255,210,175,130,80,32,1574,2759,1774,1787,1642,1768,1882,1664,1023,439,14743,9,9,28,84,227,455,569,548,259,2180,160,179,227,215,239,215,197,125,44,1597,0,0,5,30,67,126,166,138,46,579,0,0,0,0,5,10,19,77,130,243,3,12,26,57,95,182,227,192,69,871,0,0,3,20,28,83,177,177,134,636
UCL512002,6,10,17,48,99,197,314,256,103,1056,187,114,87,118,112,110,109,55,26,908,0,0,5,14,31,83,154,134,47,467,0,0,0,0,0,9,23,48,36,118,9,0,13,37,84,141,235,169,54,732,5,0,0,11,49,95,241,231,105,750,7,0,0,5,12,18,30,43,24,141,3,0,5,3,15,40,101,93,28,294,62,113,141,156,200,159,122,74,14,1052,0,0,5,0,11,28,55,45,26,163,122,88,61,86,118,146,176,112,37,940,1959,938,814,925,923,716,602,267,53,7207,229,103,131,122,116,124,108,69,31,1046,2541,1324,1225,1434,1566,1513,1648,985,315,12559,3,9,21,76,198,355,582,439,269,1951,137,105,137,185,184,186,185,128,66,1313,0,0,8,28,58,100,173,119,52,534,0,0,0,0,0,8,21,55,95,176,4,0,20,24,55,113,184,119,75,588,0,6,6,6,22,67,128,122,118,470
UCL512003,0,8,26,52,132,236,313,217,93,1078,302,168,135,147,139,150,101,59,26,1223,3,3,14,11,42,108,172,122,51,526,0,0,0,0,5,10,22,56,57,152,3,11,36,58,119,260,282,182,56,1001,11,5,10,17,65,160,251,214,100,826,3,0,4,10,14,41,56,53,40,220,6,0,4,8,30,81,102,74,37,331,64,145,187,189,220,207,111,54,36,1205,0,0,0,4,11,25,30,60,20,152,177,98,92,114,121,176,140,91,43,1047,2334,1291,1160,1128,1091,927,562,225,49,8774,442,267,254,274,253,228,149,105,33,1996,3277,1927,1807,1897,1965,2044,1590,890,327,15719,7,11,36,86,232,396,494,385,174,1818,206,207,232,246,251,223,199,107,36,1713,0,0,8,24,60,112,145,117,58,535,0,0,0,4,9,8,13,68,91,200,7,17,27,66,128,231,235,153,59,912,3,4,5,11,39,118,152,142,128,598
UCL512004,4,7,26,61,121,180,198,82,16,697,193,131,152,141,97,100,48,27,6,903,3,0,11,20,32,63,89,51,11,266,0,0,0,0,0,0,6,15,7,38,8,3,23,66,130,227,164,72,12,701,8,0,5,7,51,134,157,68,21,458,3,3,8,6,16,24,39,25,8,129,3,0,3,6,17,51,74,36,9,193,32,89,122,142,133,99,60,16,3,700,0,0,0,4,6,32,24,16,6,87,110,76,65,85,124,151,76,38,8,731,2560,1370,1769,1530,1253,967,346,85,10,9894,427,303,442,438,371,371,197,53,10,2616,3318,1943,2570,2419,2161,2024,1075,362,64,15933,5,5,45,81,160,276,208,126,51,962,116,126,216,153,151,154,62,39,16,1036,0,4,10,29,62,68,60,24,14,275,0,0,0,0,5,3,14,18,33,77,0,8,35,41,98,142,135,54,16,524,4,3,10,6,36,74,58,43,27,270
UCL513001,0,5,12,23,43,118,193,103,14,505,75,26,51,48,52,60,72,22,3,411,0,0,0,15,20,58,103,57,5,256,0,0,0,0,0,5,8,10,8,27,3,3,3,27,46,89,126,53,3,362,3,5,5,13,18,84,176,103,19,428,4,0,5,8,12,11,31,7,4,82,9,0,0,3,15,27,43,29,8,125,14,34,53,56,73,66,59,18,0,377,0,0,0,0,3,12,21,17,0,62,64,19,33,45,71,84,111,23,5,458,1454,554,849,885,735,619,591,160,11,5857,345,177,239,236,269,254,183,85,12,1802,1957,813,1247,1319,1277,1301,1367,503,56,9841,0,4,12,40,73,170,272,110,12,686,42,50,97,110,99,98,98,25,4,618,0,0,4,20,21,66,78,41,0,232,0,0,0,0,0,0,8,9,6,24,0,9,17,25,56,83,84,32,7,315,10,7,10,9,18,51,67,45,0,221
UCL513002,0,0,13,13,26,78,91,84,24,341,76,59,37,54,44,61,36,19,0,405,0,0,6,3,9,29,47,48,17,158,0,0,0,0,0,3,3,17,10,32,3,5,6,12,41,69,78,63,15,283,0,4,0,4,15,55,73,74,30,257,3,0,6,0,0,8,8,9,3,44,0,3,0,0,3,22,26,22,11,95,26,40,48,48,49,67,35,12,9,338,0,0,0,0,0,6,24,15,4,45,41,15,20,23,36,44,44,35,22,280,747,416,386,390,391,340,196,84,20,2965,138,94,99,79,107,84,47,51,9,703,1023,612,610,595,670,697,530,340,96,5166,0,5,9,24,63,117,146,141,59,573,57,47,69,66,70,63,60,44,20,495,0,5,0,10,14,31,33,34,13,144,0,0,0,0,0,0,3,17,29,55,0,4,13,14,34,47,63,55,25,249,0,0,0,0,15,28,38,56,34,180
UCL513003,0,0,20,29,73,103,54,19,0,300,100,40,96,101,71,49,23,5,0,485,0,0,7,15,9,35,27,9,5,103,0,0,0,0,0,0,6,4,0,8,4,7,12,27,69,83,49,12,0,274,0,0,0,11,31,63,52,21,0,180,0,0,4,3,3,9,3,4,0,32,0,3,5,0,8,19,12,3,0,56,32,54,87,75,88,53,23,5,0,421,0,0,0,6,3,0,9,9,0,29,66,44,44,54,70,55,31,11,0,370,1733,686,1189,1370,906,524,174,19,0,6600,393,233,424,550,466,344,109,27,6,2549,2312,1052,1854,2198,1711,1189,455,108,9,10895,0,11,29,24,79,90,59,24,0,309,64,67,131,108,85,54,29,9,0,543,0,0,5,24,37,19,20,8,0,116,0,0,0,0,0,0,0,0,0,4,3,4,12,22,37,46,35,4,0,166,6,4,0,8,10,21,5,13,0,69
UCL513004,0,0,16,32,50,84,61,16,0,257,92,47,106,118,51,67,20,11,3,505,0,0,0,6,8,31,19,8,4,83,0,0,0,0,0,4,0,0,0,5,8,3,17,45,74,112,64,7,5,335,0,0,0,16,35,68,49,23,5,199,0,0,10,11,12,13,12,3,0,54,5,0,4,0,12,26,14,10,0,65,9,40,71,87,55,48,10,0,0,321,0,0,0,0,7,17,12,6,0,41,66,17,45,50,63,53,40,12,3,353,1455,587,1152,1179,869,572,155,26,4,6003,298,221,540,582,503,407,123,26,5,2695,1918,898,1924,2063,1663,1343,470,109,16,10405,0,0,16,37,58,100,88,13,4,319,72,51,120,100,73,70,38,5,0,538,0,0,0,12,23,28,20,3,4,96,0,0,0,0,0,4,8,4,4,13,0,0,10,26,43,61,51,17,5,213,3,5,7,3,23,29,35,9,3,115
