UCL_CODE_2021,M_PG_Deg_15_24_yr,M_PG_Deg_25_34_yr,M_PG_Deg_35_44_yr,M_PG_Deg_45_54_yr,M_PG_Deg_55_64_yr,M_PG_Deg_65_74_yr,M_PG_Deg_75_84_yr,M_PG_Deg_85_yr_over,M_PG_Deg_Tot,M_Grad_Dip_Cer_15_24,M_Grad_Dip_Cer_25_34,M_Grad_Dip_Cer_35_44,M_Grad_Dip_Cer_45_54,M_Grad_Dip_Cer_55_64,M_Grad_Dip_Cer_65_74,M_Grad_Dip_Cer_75_84,M_Grad_Dip_Cer_85_over,M_Grad_Dip_Cer_Tot,M_B_Deg_15_24_yr,M_B_Deg_25_34_yr,M_B_Deg_35_44_yr,M_B_Deg_45_54_yr,M_B_Deg_55_64_yr,M_B_Deg_65_74_yr,M_B_Deg_75_84_yr,M_B_Deg_85_yr_over,M_B_Deg_Tot,M_Adv_Dip_Dip_15_24_yr,M_Adv_Dip_Dip_25_34_yr,M_Adv_Dip_Dip_35_44_yr,M_Adv_Dip_Dip_45_54_yr,M_Adv_Dip_Dip_55_64_yr,M_Adv_Dip_Dip_65_74_yr,M_Adv_Dip_Dip_75_84_yr,M_Adv_Dip_Dip_85_yr_over,M_Adv_Dip_Dip_Total,M_Cer_III_IV_15_24_yr,M_Cer_III_IV_25_34_yr,M_Cer_III_IV_35_44_yr,M_Cer_III_IV_45_54_yr,M_Cer_III_IV_55_64_yr,M_Cer_III_IV_65_74_yr,M_Cer_III_IV_75_84_yr,M_Cer_III_IV_85_yr_over,M_Cer_III_IV_Tot,M_Cer_I_II_15_24_yr,M_Cer_I_II_25_34_yr,M_Cer_I_II_35_44_yr,M_Cer_I_II_45_54_yr,M_Cer_I_II_55_64_yr,M_Cer_I_II_65_74_yr,M_Cer_I_II_75_84_yr,M_Cer_I_II_85_yr_over,M_Cer_I_II_Tot,M_Cer_nfd_15_24_yr,M_Cer_nfd_25_34_yr,M_Cer_nfd_35_44_yr,M_Cer_nfd_45_54_yr,M_Cer_nfd_55_64_yr,M_Cer_nfd_65_74_yr,M_Cer_nfd_75_84_yr,M_Cer_nfd_85_yr_over,M_Cer_nfd_Tot,M_Cer_Tot_15_24_yr,M_Cer_Tot_25_34_yr,M_Cer_Tot_35_44_yr,M_Cer_Tot_45_54_yr,M_Cer_Tot_55_64_yr,M_Cer_Tot_65_74_yr,M_Cer_Tot_75_84_yr,M_Cer_Tot_85_yr_over,M_Cer_Tot_Tot,M_lvl_educ_inad_desc_15_24,M_lvl_educ_inad_desc_25_34,M_lvl_educ_inad_desc_35_44,M_lvl_educ_inad_desc_45_54,M_lvl_educ_inad_desc_55_64,M_lvl_educ_inad_desc_65_74,M_lvl_educ_inad_desc_75_84,M_lvl_educ_inad_desc_85ov,M_lvl_educ_inad_desc_Tot,M_lvl_educ_ns_15_24,M_lvl_educ_ns_25_34,M_lvl_educ_ns_35_44,M_lvl_educ_ns_45_54,M_lvl_educ_ns_55_64,M_lvl_educ_ns_65_74,M_lvl_educ_ns_75_84,M_lvl_educ_ns_85_yr_over,M_lvl_educ_ns_Tot,M_Tot_15_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_PG_Deg_15_24_yr,F_PG_Deg_25_34_yr,F_PG_Deg_35_44_yr,F_PG_Deg_45_54_yr,F_PG_Deg_55_64_yr,F_PG_Deg_65_74_yr,F_PG_Deg_75_84_yr,F_PG_Deg_85_yr_over,F_PGuate_Deg_Tot,F_Grad_Dip_Cer_15_24_yr,F_Grad_Dip_Cer_25_34_yr,F_Grad_Dip_Cer_35_44_yr,F_Grad_Dip_Cer_45_54_yr,F_Grad_Dip_Cer_55_64_yr,F_Grad_Dip_Cer_65_74_yr,F_Grad_Dip_Cer_75_84_yr,F_Grad_Dip_Cer_85_yr_over,F_Grad_Dip_Cer_Tot,F_B_Deg_15_24_yr,F_B_Deg_25_34_yr,F_B_Deg_35_44_yr,F_B_Deg_45_54_yr,F_B_Deg_55_64_yr,F_B_Deg_65_74_yr,F_B_Deg_75_84_yr,F_B_Deg_85_yr_over,F_B_Deg_Tot,F_Adv_Dip_Dip_15_24,F_Adv_Dip_Dip_25_34,F_Adv_Dip_Dip_35_44,F_Adv_Dip_Dip_45_54,F_Adv_Dip_Dip_55_64,F_Adv_Dip_Dip_65_74,F_Adv_Dip_Dip_75_84,F_Adv_Dip_Dip_85_over,F_Adv_Dip_Dip_Total,F_Cer_III_IV_15_24_yr,F_Cer_III_IV_25_34_yr,F_Cer_III_IV_35_44_yr,F_Cer_III_IV_45_54_yr,F_Cer_III_IV_55_64_yr,F_Cer_III_IV_65_74_yr,F_Cer_III_IV_75_84_yr,F_Cer_III_IV_85_yr_over,F_Cer_III_IV_Tot,F_Cer_I_II_15_24_yr,F_Cer_I_II_25_34_yr,F_Cer_I_II_35_44_yr,F_Cer_I_II_45_54_yr,F_Cer_I_II_55_64_yr,F_Cer_I_II_65_74_yr,F_Cer_I_II_75_84_yr,F_Cer_I_II_85_yr_over,F_Cer_I_II_Tot,F_Cer_nfd_15_24_yr,F_Cer_nfd_25_34_yr,F_Cer_nfd_35_44_yr,F_Cer_nfd_45_54_yr,F_Cer_nfd_55_64_yr,F_Cer_nfd_65_74_yr,F_Cer_nfd_75_84_yr,F_Cer_nfd_85_yr_over,F_Cer_nfd_Tot,F_Cer_Tot_15_24_yr,F_Cer_Tot_25_34_yr,F_Cer_Tot_35_44_yr,F_Cer_Tot_45_54_yr,F_Cer_Tot_55_64_yr,F_Cer_Tot_65_74_yr,F_Cer_Tot_75_84_yr,F_Cer_Tot_85_yr_over,F_Cer_Tot_Tot,F_lvl_educ_inad_desc_15_24,F_lvl_educ_inad_desc_25_34,F_lvl_educ_inad_desc_35_44,F_lvl_educ_inad_desc_45_54,F_lvl_educ_inad_desc_55_64,F_lvl_educ_inad_desc_65_74,F_lvl_educ_inad_desc_75_84,F_lvl_educ_inad_desc_85ov,F_lvl_educ_inad_desc_Tot,F_lvl_educ_ns_15_24_yr,F_lvl_educ_ns_25_34_yr,F_lvl_educ_ns_35_44_yr,F_lvl_educ_ns_45_54_yr,F_lvl_educ_ns_55_64_yr,F_lvl_educ_ns_65_74_yr,F_lvl_educ_ns_75_84_yr,F_lvl_educ_ns_85_yr_over,F_lvl_educ_ns_Tot,F_Tot_15_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_PG_Deg_15_24_yr,P_PG_Deg_25_34_yr
UCL501001,776,10301,14179,10026,7017,4644,1925,402,49269,183,2378,3317,3270,2660,1648,576,83,14100,8562,31439,32638,23652,16005,11257,4400,1053,129002,4087,11936,15181,13542,11046,8719,4087,983,69584,15022,34611,32375,29425,28018,20174,10058,2763,172444,5060,2029,1120,778,558,386,139,25,10101,871,1292,1643,1850,1715,1562,854,229,10009,20947,37938,35138,32054,30288,22119,11054,3020,192553,484,953,1242,1111,880,864,641,233,6411,6089,8555,8112,6790,5506,4943,4321,2699,47017,41122,103502,109807,90435,73403,54199,26997,8478,507944,858,13803,15582,9332,5473,2853,771,141,48818,611,5655,6902,6065,4538,2575,770,138,27267,12009,46795,45343,29961,18065,11395,4599,1251,169412,5545,15968,18721,18144,15495,9752,4182,1301,89102,14559,22639,19942,17456,13051,6335,1843,522,96350,5011,2458,2115,1820,1584,1052,412,87,14539,1239,1768,2831,4011,3918,2911,1493,534,18700,20813,26865,24881,23284,18551,10297,3751,1144,129584,420,1000,1199,1124,1139,1288,861,312,7343,5873,8639,7815,6518,6229,6905,6978,5442,54399,46121,118729,120443,94428,69491,45052,21913,9736,525913,1639,24110
UCL511001,3,80,157,150,104,82,22,10,611,0,29,68,78,72,48,9,4,310,73,428,522,500,384,277,106,22,2306,59,246,403,395,365,265,127,25,1892,706,1716,1717,1553,1409,958,419,102,8572,279,112,47,31,24,21,6,0,521,31,37,61,65,82,60,27,9,378,1024,1859,1829,1650,1513,1034,457,108,9472,6,21,32,27,31,30,24,4,179,230,289,276,270,257,238,169,111,1847,1399,2954,3286,3064,2729,1979,917,279,16615,15,137,175,145,107,64,18,0,660,12,116,185,175,132,81,21,0,724,172,912,1058,831,533,332,140,45,4016,98,469,581,568,579,379,149,53,2875,915,1239,1154,992,716,327,78,17,5424,270,195,133,108,85,48,18,6,860,56,68,127,181,172,104,43,9,754,1238,1500,1410,1279,973,473,138,32,7047,6,22,34,29,32,44,20,9,204,206,287,276,267,286,298,311,212,2142,1747,3446,3711,3310,2632,1666,797,353,17664,19,216
UCL512001,5,47,52,49,47,56,20,3,267,3,16,22,38,38,29,8,0,149,36,155,184,199,171,160,65,17,977,24,99,148,153,201,169,85,16,882,311,630,548,540,529,377,211,82,3223,135,44,27,12,24,9,6,0,253,12,13,17,27,35,37,15,7,159,452,683,591,578,583,424,233,93,3633,0,14,10,9,6,15,12,4,70,106,124,97,122,130,119,100,61,871,626,1131,1109,1141,1170,965,509,198,6850,10,71,77,68,71,33,14,3,335,9,34,61,87,82,55,14,4,350,79,326,377,370,312,222,117,27,1824,54,172,241,285,293,217,127,35,1427,268,447,388,378,307,160,42,17,2004,153,55,38,45,42,19,8,0,361,17,24,25,71,80,52,22,8,311,436,529,454,494,432,233,75,27,2676,3,8,12,18,17,25,17,8,108,94,94,113,106,158,167,202,146,1083,685,1242,1343,1421,1353,950,555,244,7796,9,113
UCL512002,0,15,31,45,27,35,23,0,183,0,19,25,24,18,24,9,0,122,9,118,165,165,156,143,48,26,837,9,78,121,150,155,159,88,13,771,207,480,557,542,470,451,247,57,3006,89,28,16,6,9,9,9,0,172,12,14,13,30,28,38,19,4,147,314,521,588,578,505,494,268,59,3317,5,5,7,6,14,11,11,0,58,54,99,97,102,111,104,89,50,711,390,858,1040,1071,986,970,536,150,6011,0,41,73,54,37,32,8,0,243,0,37,76,88,60,42,9,4,318,54,260,399,322,244,168,78,28,1547,43,142,228,266,252,185,92,25,1234,186,338,370,381,286,160,51,5,1794,87,39,29,35,26,29,6,3,263,21,23,36,64,59,58,21,6,300,284,399,443,483,380,254,85,22,2354,8,5,10,17,8,26,15,7,92,84,102,87,94,145,163,159,119,958,480,985,1316,1323,1125,873,448,196,6742,0,55
UCL512003,5,35,66,53,44,32,6,7,240,0,14,26,31,24,18,4,0,116,23,147,195,166,119,90,22,5,764,17,91,159,163,185,105,37,10,769,306,714,601,628,609,437,188,56,3543,102,49,33,16,23,11,3,0,249,12,7,25,30,35,31,9,0,153,416,778,664,674,671,486,202,60,3945,5,10,8,16,16,8,10,6,78,199,223,248,207,195,141,135,74,1425,667,1298,1367,1308,1249,879,410,158,7337,9,57,80,57,42,21,0,0,267,9,68,85,74,58,32,11,0,333,103,371,386,336,196,124,46,13,1574,82,199,251,247,228,156,62,14,1240,255,419,424,406,310,143,41,8,2005,152,91,57,56,44,17,5,0,424,24,30,32,62,53,36,20,5,266,426,532,517,520,399,201,72,10,2690,3,8,6,13,13,16,10,8,84,197,218,252,210,200,201,190,145,1613,832,1455,1582,1459,1147,755,388,194,7802,8,95
UCL512004,13,114,101,68,42,8,10,0,350,4,18,27,25,20,12,0,0,97,55,277,260,154,108,62,8,3,919,12,95,169,123,120,51,7,0,576,308,914,835,755,592,268,72,6,3750,98,38,19,17,6,8,0,0,181,17,23,25,31,23,15,6,0,140,417,975,877,804,621,284,79,6,4072,5,7,9,10,7,6,4,0,56,221,355,346,288,325,211,78,19,1843,730,1845,1792,1463,1238,637,190,29,7921,15,114,112,58,31,10,3,0,335,9,54,69,42,38,5,3,0,229,112,443,372,217,136,46,24,0,1352,36,188,205,204,149,52,12,3,845,224,440,340,268,175,46,10,3,1511,126,68,39,31,12,5,0,0,286,12,43,40,53,38,24,3,0,210,365,548,420,351,227,72,14,3,2004,3,25,9,14,11,4,6,0,70,175,274,234,218,236,175,49,53,1412,714,1650,1414,1097,830,368,110,61,6249,26,228
UCL513001,3,56,53,42,40,46,10,0,254,0,20,28,21,18,21,3,0,113,18,236,208,131,148,126,57,0,927,18,74,138,118,107,144,43,0,646,109,327,382,389,334,316,89,10,1949,36,12,8,7,6,8,0,0,81,12,12,19,18,21,32,10,3,129,154,357,403,414,363,360,97,13,2154,6,3,4,14,8,15,10,0,61,166,233,216,233,246,177,94,15,1376,367,981,1051,981,932,886,310,29,5535,3,117,102,56,71,35,6,0,393,5,66,95,58,69,42,3,0,339,79,501,377,260,204,152,23,7,1609,37,157,187,147,203,158,24,0,916,89,191,188,171,130,90,7,0,863,49,44,39,17,17,15,0,0,183,3,19,31,25,41,32,9,0,167,146,259,255,214,187,135,20,0,1211,3,4,9,4,12,13,7,0,53,171,354,250,244,289,208,81,15,1607,442,1458,1267,989,1030,743,172,25,6127,9,172
UCL513002,0,15,12,12,12,7,3,0,61,0,3,12,8,6,0,0,0,31,13,57,39,57,42,21,13,9,253,4,20,45,44,34,30,23,10,203,109,244,216,194,194,109,59,11,1127,22,16,9,4,5,0,0,0,55,4,7,3,8,8,10,6,0,42,133,266,232,205,200,112,65,11,1225,4,0,0,3,7,0,0,4,25,91,80,76,102,79,71,58,17,573,238,443,427,427,390,247,166,38,2372,0,16,10,17,14,5,0,0,62,3,13,23,22,20,12,3,0,95,22,135,116,91,67,47,31,3,508,10,54,70,65,80,53,30,9,360,79,129,112,115,81,34,18,0,566,33,23,21,8,8,10,3,0,111,4,3,14,24,18,5,3,3,77,118,159,141,144,109,51,19,3,759,0,6,0,0,8,0,4,4,24,59,62,85,70,55,72,81,29,523,212,441,449,414,349,240,174,54,2326,3,31
UCL513003,0,65,77,39,23,6,0,0,217,5,15,28,24,14,3,0,0,86,21,202,194,148,78,35,3,0,672,3,76,193,154,114,30,5,0,583,188,694,751,569,354,136,27,0,2723,58,27,18,13,8,0,0,0,122,4,18,22,22,14,7,5,0,90,248,734,792,605,376,141,33,0,2937,3,6,12,10,4,4,0,0,38,213,426,521,436,328,108,30,6,2055,490,1526,1826,1413,931,326,71,4,6587,0,85,79,45,10,5,0,0,228,9,54,60,44,21,3,0,0,190,64,380,336,160,62,32,7,0,1049,27,149,172,131,74,34,6,0,599,101,282,257,159,70,19,4,0,887,51,40,34,23,14,5,0,0,170,8,16,30,34,23,8,5,0,117,156,345,316,216,106,38,7,0,1180,0,7,9,10,0,3,0,0,31,149,298,249,193,132,69,19,9,1110,410,1324,1217,794,407,183,38,9,4380,0,158
UCL513004,0,40,41,30,21,8,0,0,148,3,14,20,13,12,7,0,0,69,11,156,158,84,56,26,9,0,504,5,98,173,143,100,38,7,0,564,133,679,738,474,368,112,25,7,2536,35,17,18,4,5,3,0,0,88,6,18,22,14,15,5,0,0,91,174,721,782,500,390,122,25,7,2714,3,5,14,9,10,3,0,0,41,201,509,555,492,391,128,32,9,2316,401,1546,1738,1269,985,330,68,11,6355,4,50,43,27,25,9,4,0,156,5,36,35,21,13,6,0,0,125,53,309,253,111,71,26,11,0,829,17,139,153,95,76,28,3,0,508,77,273,199,119,83,25,0,0,775,47,43,38,15,9,0,0,0,166,6,22,23,27,11,11,3,0,100,131,341,267,162,101,33,5,0,1040,6,4,4,6,6,0,0,0,29,160,325,225,211,156,71,25,5,1172,373,1206,977,633,450,177,40,9,3864,5,89
