UCL_CODE_2021,0_299_Separate_house,0_299_Sd_rw_tce_hse_th,0_299_Flat_apartment,0_299_Other_dwelling,0_299_Dwelling_structure_NS,0_299_Tot,300_449_Separate_house,300_449_Sd_rw_tce_hse_th,300_449_Flat_apartment,300_449_Other_dwelling,300_449_Dwg_structure_NS,300_449_Tot,450_599_Separate_house,450_599_Sd_rw_tce_hse_th,450_599_Flat_apartment,450_599_Other_dwelling,450_599_Dwg_structure_NS,450_599_Tot,600_799_Separate_house,600_799_Sd_rw_tce_hse_th,600_799_Flat_apartment,600_799_Other_dwelling,600_799_Dwg_structure_NS,600_799_Tot,800_999_Separate_house,800_999_Sd_rw_tce_hse_th,800_999_Flat_apartment,800_999_Other_dwelling,800_999_Dwg_structure_NS,800_999_Tot,1000_1399_Separate_house,1000_1399_Sd_rw_tce_hse_th,1000_1399_Flat_apartmnt,1000_1399_Other_dwelling,1000_1399_Dwg_structure_NS,1000_1399_Tot,1400_1799_Separate_house,1400_1799_Sd_rw_tce_hse_th,1400_1799_Flat_apartmnt,1400_1799_Other_dwelling,1400_1799_Dwg_structure_NS,1400_1799_Tot,1800_2399_Separate_house,1800_2399_Sd_rw_tce_hse_th,1800_2399_Flat_apartmnt,1800_2399_Other_dwelling,1800_2399_Dwg_structure_NS,1800_2399_Tot,2400_2999_Separate_house,2400_2999_Sd_rw_tce_hse_th,2400_2999_Flat_apartmnt,2400_2999_Other_dwelling,2400_2999_Dwg_structure_NS,2400_2999_Tot,3000_3999_Separate_house,3000_3999_Sd_rw_tce_hse_th,3000_3999_Flat_apartmnt,3000_3999_Other_dwelling,3000_3999_Dwg_structure_NS,3000_3999_Tot,4000_over_Separate_house,4000_over_Sd_rw_tce_hse_th,4000_over_Flat_apartmnt,4000_over_Other_dwelling,4000_over_Dwg_structure_NS,4000_over_Tot,M_rep_NS_Sep_house,M_rep_NS_Sd_rw_tce_hse_th,M_rep_NS_Flat_apart,M_rep_NS_Other_dwelling,M_rep_NS_Dwg_structu_ns,M_rep_NS_Tot,Tot_Sep_hse,Tot_Sd_row_tce_hse_th,Tot_Flat_apartment,Tot_Other_dwelling,Tot_Dwelling_structure_NS,Tot_Tot
UCL501001,11518,1352,482,9,5,13366,3817,456,173,4,0,4449,3413,451,216,0,0,4086,6066,934,404,12,3,7417,8869,1353,663,15,3,10904,32558,4929,2230,11,19,39746,48708,5862,2295,19,27,56913,69203,5875,1949,17,51,77094,31821,2341,785,7,20,34969,25293,1980,708,5,8,27990,20009,1281,498,10,11,21806,15488,1428,530,6,14,17461,276766,28235,10926,109,159,316201
UCL511001,411,28,3,0,0,445,168,15,0,0,0,193,171,11,3,0,0,179,316,16,6,3,0,346,534,37,3,5,0,577,1986,108,9,0,0,2109,2666,61,3,3,3,2742,2470,44,8,0,4,2531,837,21,0,0,0,856,528,17,4,0,0,545,319,8,4,0,0,330,557,29,3,0,5,596,10958,403,54,10,15,11442
UCL512001,173,4,0,0,0,176,112,5,0,0,0,115,62,5,0,0,0,63,146,4,0,0,0,146,227,3,0,0,0,231,808,20,0,0,0,837,890,11,0,0,0,899,750,6,0,0,3,761,228,5,0,0,0,234,143,4,0,0,0,149,83,3,0,0,0,87,200,10,0,0,0,209,3817,69,3,3,11,3908
UCL512002,138,7,0,0,0,151,79,8,0,0,0,85,47,7,0,0,0,58,107,6,0,0,0,117,151,10,0,0,0,164,517,28,3,0,0,549,783,21,0,0,0,800,913,9,0,0,0,928,305,4,0,0,0,310,194,8,0,0,0,202,107,0,0,0,0,109,177,12,0,0,0,192,3518,123,11,10,0,3655
UCL512003,154,11,0,0,0,164,93,0,0,0,0,90,75,6,0,0,0,84,208,15,6,0,4,225,281,15,0,0,0,305,797,39,3,4,0,846,791,32,3,4,0,829,765,29,0,0,0,799,236,3,0,0,0,238,198,13,0,0,0,209,114,7,0,0,0,125,214,6,4,0,0,228,3922,182,20,9,9,4143
UCL512004,102,10,0,0,0,114,42,0,0,0,0,48,61,7,0,0,0,71,158,19,0,0,0,177,228,27,0,0,0,257,756,78,0,0,0,838,837,42,0,0,0,879,851,46,0,4,0,893,298,7,0,0,0,306,232,9,0,0,0,241,117,4,0,0,0,122,218,11,0,4,0,221,3898,242,10,14,0,4162
UCL513001,35,3,0,3,0,41,8,0,0,0,0,10,4,0,0,0,0,3,18,3,0,7,0,32,29,3,3,0,0,44,96,14,4,3,0,113,157,16,0,5,0,178,287,19,0,13,0,315,195,6,0,0,0,205,212,0,0,5,0,215,104,4,0,0,0,105,70,6,0,3,0,80,1219,71,14,47,0,1350
UCL513002,53,0,0,0,0,53,17,0,0,0,0,18,23,0,0,0,0,23,47,7,0,0,0,52,74,3,0,0,0,78,228,10,0,0,0,237,216,6,0,0,0,221,247,5,0,0,0,254,85,0,0,0,0,88,56,0,0,0,0,62,25,3,0,0,0,25,66,0,0,0,0,67,1140,36,0,4,0,1180
UCL513003,32,7,0,0,0,36,3,4,0,0,0,12,9,4,0,0,0,13,22,4,0,0,0,30,26,6,0,0,0,32,137,28,0,6,0,173,218,19,0,0,0,238,274,25,0,0,0,308,127,12,0,0,5,141,119,7,0,0,0,127,119,0,0,0,0,122,65,5,0,0,0,68,1159,126,9,8,5,1309
UCL513004,25,3,0,0,0,29,17,4,0,0,0,22,11,8,0,0,0,19,45,9,0,0,0,56,63,15,0,8,0,79,137,15,4,0,0,155,111,8,0,0,0,128,102,12,0,7,0,124,55,4,0,0,0,53,61,0,0,0,0,61,49,4,0,0,0,55,48,0,0,3,0,53,726,81,12,15,0,833
UCL513005,67,0,0,0,0,68,16,0,0,0,0,17,23,0,0,0,0,23,37,0,0,0,0,37,62,0,0,0,0,56,260,4,0,0,0,267,430,6,0,0,0,435,677,0,0,0,0,682,217,0,0,0,0,221,118,0,0,0,0,118,56,0,0,0,0,55,138,6,0,0,0,139,2089,25,0,0,0,2113
UCL514001,38,0,0,0,3,43,38,0,0,0,0,44,46,0,0,0,0,50,83,3,0,0,0,88,116,0,0,0,0,116,210,5,3,0,0,214,171,0,0,0,0,168,134,0,0,0,0,134,19,0,0,0,0,19,26,0,0,0,0,27,14,0,0,0,0,14,65,3,0,0,0,68,971,15,3,0,0,992
UCL514002,49,0,0,0,0,54,12,0,0,0,0,18,15,0,0,0,0,17,30,5,0,0,0,35,41,4,0,0,0,44,78,7,0,0,0,89,175,20,0,0,0,193,267,31,0,0,0,293,112,11,0,0,0,122,74,9,0,0,0,87,52,3,0,0,0,55,44,5,0,0,0,51,956,97,4,0,4,1058
UCL514003,38,0,0,0,0,41,13,0,0,0,0,12,12,0,0,0,0,13,24,0,0,0,0,29,44,8,0,0,0,49,198,12,0,0,0,214,266,10,0,0,0,276,239,3,0,0,0,243,90,3,0,0,0,89,56,0,0,0,0,54,22,0,0,0,0,25,59,3,0,0,0,63,1060,45,0,0,4,1110
UCL514004,36,0,0,0,0,41,29,0,0,0,0,29,35,0,0,0,0,35,67,0,0,0,0,65,78,0,0,0,0,78,180,0,0,0,0,179,145,0,0,0,0,148,94,0,0,0,0,94,48,0,0,0,0,48,26,0,0,0,0,26,17,0,0,0,0,17,34,0,0,0,0,33,785,6,0,0,6,791
UCL515001,6,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,16,0,0,0,0,20,14,3,0,0,0,13,22,0,0,0,0,22,5,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,4,93,7,0,0,0,94
UCL515002,6,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,8,3,0,0,0,0,3,26,0,0,0,0,26,43,0,0,0,0,43,49,0,0,0,0,49,22,0,0,0,0,22,13,0,0,0,0,13,12,0,0,0,0,12,10,0,0,0,0,10,193,0,0,0,0,198
UCL515003,27,0,0,0,0,27,15,0,0,0,0,15,3,0,0,0,0,3,19,0,0,0,0,22,21,0,0,0,0,21,74,0,0,0,0,79,57,0,0,0,0,57,47,0,0,0,0,47,12,0,0,0,0,12,6,0,0,0,0,6,8,0,0,0,0,8,14,0,0,0,0,18,310,4,0,0,0,315
UCL515004,9,0,0,0,0,9,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,11,0,0,0,0,11,80,0,0,0,0,80,105,0,0,0,0,108,122,0,0,0,0,122,32,0,0,0,0,32,12,0,0,0,0,12,8,0,0,0,0,8,12,0,0,0,0,12,405,0,0,0,0,410
UCL515005,20,0,0,0,0,20,5,0,0,0,0,5,11,0,0,0,0,11,15,0,0,0,0,15,30,0,0,0,0,30,114,4,0,0,0,118,106,0,0,0,0,108,81,0,0,0,0,81,12,0,0,0,0,12,15,0,0,0,0,15,9,0,0,0,0,8,25,0,0,0,0,25,434,5,0,0,0,436
UCL515006,15,0,0,3,0,15,13,0,0,0,0,13,16,0,0,0,0,16,23,0,0,0,0,23,27,0,0,3,0,30,67,0,0,0,0,73,45,0,0,0,0,45,44,0,0,0,0,48,19,0,0,0,0,23,11,0,0,0,0,16,3,0,0,0,0,12,22,0,0,0,0,22,305,6,0,11,0,327
