UCL_CODE_2021,F_Tot_LF_15_19_yr,F_Tot_LF_20_24_yr,F_Tot_LF_25_34_yr,F_Tot_LF_35_44_yr,F_Tot_LF_45_54_yr,F_Tot_LF_55_64_yr,F_Tot_LF_65_74_yr,F_Tot_LF_75_84_yr,F_Tot_LF_85_yr_over,F_Tot_LF_Tot,F_NILF_15_19_yr,F_NILF_20_24_yr,F_NILF_25_34_yr,F_NILF_35_44_yr,F_NILF_45_54_yr,F_NILF_55_64_yr,F_NILF_65_74_yr,F_NILF_75_84_yr,F_NILF_85_yr_over,F_NILF_Tot,F_LF_st_ns_15_19,F_LF_st_ns_20_24,F_LF_st_ns_25_34,F_LF_st_ns_35_44,F_LF_st_ns_45_54,F_LF_st_ns_55_64,F_LF_st_ns_65_74,F_LF_st_ns_75_84,F_LF_st_ns_85_yr_over,F_LF_st_ns_Total,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Emp_wrk_Ft_15_19,P_Emp_wrk_Ft_20_24,P_Emp_wrk_Ft_25_34,P_Emp_wrk_Ft_35_44,P_Emp_wrk_Ft_45_54,P_Emp_wrk_Ft_55_64,P_Emp_wrk_Ft_65_74,P_Emp_wrk_Ft_75_84,P_Emp_wrk_Ft_85_yr_over,P_Emp_wrk_Ft_Tot,P_Emp_wrk_Pt_15_19,P_Emp_wrk_Pt_20_24,P_Emp_wrk_Pt_25_34,P_Emp_wrk_Pt_35_44,P_Emp_wrk_Pt_45_54,P_Emp_wrk_Pt_55_64,P_Emp_wrk_Pt_65_74,P_Emp_wrk_Pt_75_84,P_Emp_wrk_Pt_85_yr_over,P_Emp_wrk_Pt_Tot,P_Emp_a_f_wrk_15_19,P_Emp_a_f_wrk_20_24,P_Emp_a_f_wrk_25_34,P_Emp_a_f_wrk_35_44,P_Emp_a_f_wrk_45_54,P_Emp_a_f_wrk_55_64,P_Emp_a_f_wrk_65_74,P_Emp_a_f_wrk_75_84,P_Emp_a_f_wrk_85_yr_over,P_Emp_a_f_wrk_Tot,P_Hr_wrk_ns_15_19,P_Hr_wrk_ns_20_24,P_Hr_wrk_ns_25_34,P_Hr_wrk_ns_35_44,P_Hr_wrk_ns_45_54,P_Hr_wrk_ns_55_64,P_Hr_wrk_ns_65_74,P_Hr_wrk_ns_75_84,P_Hr_wrk_ns_85_yr_over,P_Hr_wrk_ns_Tot,P_Tot_emp_15_19,P_Tot_emp_20_24,P_Tot_emp_25_34,P_Tot_emp_35_44,P_Tot_emp_45_54,P_Tot_emp_55_64,P_Tot_emp_65_74,P_Tot_emp_75_84,P_Tot_emp_85_yr_over,P_Tot_emp_Tot,P_UE_lk_fr_Ft_wrk_15_19,P_UE_lk_fr_Ft_wrk_20_24,P_UE_lk_fr_Ft_wrk_25_34,P_UE_lk_fr_Ft_wrk_35_44,P_UE_lk_fr_Ft_wrk_45_54,P_UE_lk_fr_Ft_wrk_55_64,P_UE_lk_fr_Ft_wrk_65_74,P_UE_lk_fr_Ft_wrk_75_84,P_UE_lk_for_Ft_wrk_85_over,P_UE_looking_for_Ft_wk_Tot,P_UE_lk_for_Pt_wk_15_19,P_UE_lk_for_Pt_wk_20_24,P_UE_lk_for_Pt_wk_25_34,P_UE_lk_for_Pt_wk_35_44,P_UE_lk_for_Pt_wk_45_54,P_UE_lk_for_Pt_wk_55_64,P_UE_lk_for_Pt_wk_65_74,P_UE_lk_for_Pt_wk_75_84,P_UE_looking_for_Pt_wk_85ov,P_UE_lk_for_Pt_wrk_Tot,P_Tot_unemp_15_19,P_Tot_unemp_20_24,P_Tot_unemp_25_34,P_Tot_unemp_35_44,P_Tot_unemp_45_54,P_Tot_unemp_55_64,P_Tot_unemp_65_74,P_Tot_unemp_75_84,P_Tot_unemp_85_yr_over,P_Tot_unemp_Total,P_Tot_LF_15_19_yr,P_Tot_LF_20_24_yr,P_Tot_LF_25_34_yr,P_Tot_LF_35_44_yr,P_Tot_LF_45_54_yr,P_Tot_LF_55_64_yr,P_Tot_LF_65_74_yr,P_Tot_LF_75_84_yr,P_Tot_LF_85_yr_over,P_Tot_LF_Tot,P_NILF_15_19_yr,P_NILF_20_24_yr,P_NILF_25_34_yr,P_NILF_35_44_yr,P_NILF_45_54_yr,P_NILF_55_64_yr,P_NILF_65_74_yr,P_NILF_75_84_yr,P_NILF_85_yr_over,P_NILF_Tot,P_LF_st_ns_15_19,P_LF_st_ns_20_24,P_LF_st_ns_25_34,P_LF_st_ns_35_44,P_LF_st_ns_45_54,P_LF_st_ns_55_64,P_LF_st_ns_65_74,P_LF_st_ns_75_84,P_LF_st_ns_85_yr_over,P_LF_st_ns_Total,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL515036,28,30,63,90,102,84,19,3,0,427,22,8,44,28,40,72,125,81,26,458,4,0,7,6,10,5,9,16,18,80,55,41,118,127,157,161,156,97,44,963,15,43,78,97,115,95,12,0,0,465,31,21,40,45,70,76,25,5,0,307,0,3,9,11,5,18,5,0,0,52,0,6,3,3,0,3,5,0,0,26,48,68,137,154,191,193,47,7,0,843,9,3,12,7,7,5,0,0,0,44,9,4,7,13,7,4,0,0,0,31,13,8,19,19,12,12,0,0,0,82,57,78,152,175,210,202,52,10,0,930,49,13,55,43,49,110,241,150,57,762,7,0,15,11,22,11,16,27,27,145,115,95,218,233,281,323,306,186,85,1835
UCL515037,25,44,117,126,76,36,0,0,0,429,13,6,16,26,13,12,14,3,0,99,3,14,36,31,16,19,3,0,0,116,42,61,172,180,107,60,16,3,0,646,11,65,244,277,196,125,16,0,0,930,35,13,54,54,32,18,0,0,0,208,0,9,34,16,6,9,3,0,0,71,3,3,4,7,4,0,0,0,0,23,53,84,336,357,234,155,18,0,0,1235,3,4,0,4,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6,8,4,0,0,0,0,3,0,0,22,60,86,336,363,236,162,21,0,0,1260,33,17,20,31,18,17,30,12,0,177,18,28,124,110,72,80,15,0,0,457,115,129,484,509,331,253,65,14,0,1894
UCL515038,24,24,64,86,100,118,39,5,0,462,13,4,10,17,23,65,191,121,49,498,0,0,6,14,7,15,13,20,5,80,37,29,85,117,135,199,246,151,52,1040,12,28,94,98,118,120,27,0,0,496,34,13,30,47,47,84,51,7,0,314,3,0,3,5,3,24,3,0,0,51,0,4,4,0,4,0,3,0,0,29,45,42,142,150,178,228,86,14,0,891,0,7,3,9,8,4,3,0,0,38,0,3,6,4,6,8,6,0,0,31,3,8,5,12,17,14,10,0,0,67,47,51,144,163,191,239,99,13,0,955,36,11,20,34,49,109,348,240,81,927,4,3,15,23,25,37,27,30,15,178,90,59,182,219,267,390,474,287,93,2058
UCL521001,17,7,12,30,37,30,0,0,0,128,7,4,0,8,8,17,22,6,0,71,0,0,0,0,0,0,0,0,0,3,18,10,15,36,44,49,21,6,0,202,9,9,17,31,45,25,4,0,0,151,16,3,4,20,17,21,5,0,0,81,6,3,0,4,4,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,26,19,24,56,66,55,10,0,0,256,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,4,6,0,0,0,4,0,0,0,0,14,34,15,29,55,71,52,11,0,0,269,17,4,0,8,19,32,40,19,3,132,0,0,0,0,0,5,3,0,0,7,48,25,31,65,87,90,53,19,3,408
UCL521002,11,12,19,28,48,31,21,3,0,161,9,0,8,11,15,17,54,16,6,134,3,0,3,9,4,5,9,0,0,28,26,10,32,49,65,54,80,23,0,327,14,12,30,31,44,30,14,0,0,173,9,8,12,18,34,19,12,0,0,104,0,0,4,3,10,0,5,0,0,19,0,0,4,0,0,4,0,0,0,6,16,17,43,55,82,56,32,3,0,301,0,0,3,0,0,4,0,0,0,9,0,0,0,0,0,3,3,0,0,8,0,0,4,0,4,3,0,0,0,15,20,23,46,55,86,58,30,3,0,318,17,0,15,18,19,33,104,42,5,252,6,0,3,22,4,4,8,0,0,55,42,25,58,90,113,97,148,47,8,626
UCL521003,4,8,14,29,21,31,16,0,0,127,6,5,6,12,15,35,78,47,16,214,0,0,0,5,8,5,7,7,5,34,12,5,19,43,46,68,98,57,20,375,6,3,20,33,25,29,8,0,0,123,7,4,9,13,16,25,11,8,0,90,0,0,0,0,3,3,6,0,0,16,0,0,0,0,0,0,0,0,0,0,9,6,26,45,51,60,27,8,0,234,0,4,4,0,6,0,0,0,0,14,0,0,0,6,0,0,3,0,0,12,4,3,7,7,6,0,3,0,0,34,10,16,30,53,50,66,36,8,0,266,17,5,9,20,21,53,140,92,34,401,3,0,3,9,14,9,15,15,6,71,36,21,52,82,84,131,188,117,40,737
UCL521004,0,3,23,11,18,9,0,0,0,65,24,21,40,24,27,22,10,3,0,166,0,0,0,0,0,0,0,0,0,4,24,25,67,37,43,31,9,3,0,242,0,7,26,9,18,17,0,0,0,87,0,4,7,7,3,3,0,0,0,19,0,0,3,6,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,6,5,37,24,26,15,0,0,0,120,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,0,0,0,6,6,9,38,28,29,15,0,0,0,125,49,45,67,50,42,31,12,8,0,304,0,0,9,0,0,0,0,0,0,8,55,59,114,73,73,51,21,8,0,435
UCL521005,5,18,38,53,44,53,10,0,0,219,12,0,24,16,12,20,45,17,3,150,3,0,5,9,3,10,5,3,0,41,22,16,70,76,57,80,60,20,3,413,6,23,53,68,64,63,14,0,0,287,5,10,24,26,22,35,8,0,0,131,3,0,4,4,8,5,3,0,0,39,0,0,0,0,0,4,0,0,0,10,6,36,84,98,93,116,28,3,0,462,0,4,3,6,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,4,3,9,0,8,0,0,0,20,6,34,89,105,95,120,28,3,0,485,24,4,30,22,19,29,94,39,3,272,7,0,16,11,13,16,7,10,3,80,37,39,136,143,125,165,127,52,10,837
UCL521006,14,6,22,52,43,57,8,0,0,203,4,0,12,11,8,18,42,30,4,141,0,0,7,0,5,3,3,0,0,15,22,11,41,55,52,76,59,35,4,356,6,17,31,43,49,47,3,0,0,199,10,7,10,30,22,34,13,0,0,129,0,0,0,5,5,13,0,0,0,35,3,4,0,0,6,5,0,0,0,24,25,27,49,84,81,101,16,3,0,393,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,27,48,91,87,105,16,3,0,399,10,4,13,14,8,42,83,63,5,239,0,0,5,4,3,5,9,3,0,29,34,29,71,105,102,148,110,66,5,668
UCL521007,6,12,17,31,23,22,3,4,0,113,9,0,5,10,5,22,29,31,13,113,0,0,4,0,5,5,6,8,0,24,10,19,26,34,28,43,35,35,13,247,5,14,15,18,15,26,11,0,0,107,4,5,8,14,15,12,3,0,0,65,0,9,5,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,5,9,21,31,33,34,39,14,3,0,190,0,0,0,0,4,0,0,0,0,8,3,0,0,0,0,0,0,0,0,7,3,0,0,6,4,3,0,0,0,20,13,27,34,41,34,47,14,3,0,203,10,0,7,6,15,35,52,52,22,201,0,0,9,3,8,10,3,9,0,47,24,25,44,52,56,86,74,62,22,457
