UCL_CODE_2021,M_15_19_Prov_unpaid_assist,M_15_19_No_unpaid_assist_prov,M_15_19_yr_Unpaid_assist_ns,M_15_19_Overseas_visitors,M_15_19_years_Total,M_20_24_Prov_unpaid_assist,M_20_24_No_unpaid_assist_prov,M_20_24_yr_Unpaid_assist_ns,M_20_24_Overseas_visitors,M_20_24_years_Total,M_25_34_Prov_unpaid_assist,M_25_34_No_unpaid_assist_prov,M_25_34_yr_Unpaid_assist_ns,M_25_34_Overseas_visitors,M_25_34_years_Total,M_35_44_Prov_unpaid_assist,M_35_44_No_unpaid_assist_prov,M_35_44_yr_Unpaid_assist_ns,M_35_44_Overseas_visitors,M_35_44_years_Total,M_45_54_Prov_unpaid_assist,M_45_54_No_unpaid_assist_prov,M_45_54_Unpaid_assist_ns,M_45_54_Overseas_visitors,M_45_54_years_Total,M_55_64_Prov_unpaid_assist,M_55_64_No_unpaid_assist_prov,M_55_64_yr_Unpaid_assist_ns,M_55_64_Overseas_visitors,M_55_64_years_Total,M_65_74_Prov_unpaid_assist,M_65_74_No_unpaid_assist_prov,M_65_74_yr_Unpaid_assist_ns,M_65_74_Overseas_visitors,M_65_74_years_Total,M_75_84_Prov_unpaid_assist,M_75_84_No_unpaid_assist_prov,M_75_84_yr_Unpaid_assist_ns,M_75_84_Overseas_visitors,M_75_84_years_Total,M_85_over_Prov_unpaid_assist,M_85ovr_No_unpaid_assist_prov,M_85ovr_over_Unpaid_assist_ns,M_85over_Overseas_visitors,M_85_yr_and_over_Total,M_Tot_Prov_unpaid_assist,M_Tot_No_unpaid_assist_prov,M_Tot_Unpaid_assist_ns,M_Total_Overseas_visitors,M_Total_Total,F_15_19_Prov_unpaid_assist,F_15_19_No_unpaid_assist_prov,F_15_19_yr_Unpaid_assist_ns,F_15_19_Overseas_visitors,F_15_19_years_Total,F_20_24_Prov_unpaid_assist,F_20_24_No_unpaid_assist_prov,F_20_24_yr_Unpaid_assist_ns,F_20_24_Overseas_visitors,F_20_24_years_Total,F_25_34_Prov_unpaid_assist,F_25_34_No_unpaid_assist_prov,F_25_34_yr_Unpaid_assist_ns,F_25_34_Overseas_visitors,F_25_34_years_Total,F_35_44_Prov_unpaid_assist,F_35_44_No_unpaid_assist_prov,F_35_44_yr_Unpaid_assist_ns,F_35_44_Overseas_visitors,F_35_44_years_Total,F_45_54_Prov_unpaid_assist,F_45_54_No_unpaid_assist_prov,F_45_54_Unpaid_assist_ns,F_45_54_Overseas_visitors,F_45_54_years_Total,F_55_64_Prov_unpaid_assist,F_55_64_No_unpaid_assist_prov,F_55_64_yr_Unpaid_assist_ns,F_55_64_Overseas_visitors,F_55_64_years_Total,F_65_74_Prov_unpaid_assist,F_65_74_No_unpaid_assist_prov,F_65_74_yr_Unpaid_assist_ns,F_65_74_Overseas_visitors,F_65_74_years_Total,F_75_84_Prov_unpaid_assist,F_75_84_No_unpaid_assist_prov,F_75_84_yr_Unpaid_assist_ns,F_75_84_Overseas_visitors,F_75_84_years_Total,F_85_over_Prov_unpaid_assist,F_85ovr_No_unpaid_assist_prov,F_85ovr_over_Unpaid_assist_ns,F_85over_Overseas_visitors,F_85_yr_and_over_Total,F_Tot_Prov_unpaid_assist,F_Tot_No_unpaid_assist_prov,F_Tot_Unpaid_assist_ns,F_Total_Overseas_visitors,F_Total_Total,P_15_19_Prov_unpaid_assist,P_15_19_No_unpaid_assist_prov,P_15_19_yr_Unpaid_assist_ns,P_15_19_Overseas_visitors,P_15_19_years_Total,P_20_24_Prov_unpaid_assist,P_20_24_No_unpaid_assist_prov,P_20_24_yr_Unpaid_assist_ns,P_20_24_Overseas_visitors,P_20_24_years_Total,P_25_34_Prov_unpaid_assist,P_25_34_No_unpaid_assist_prov,P_25_34_yr_Unpaid_assist_ns,P_25_34_Overseas_visitors,P_25_34_years_Total,P_35_44_Prov_unpaid_assist,P_35_44_No_unpaid_assist_prov,P_35_44_yr_Unpaid_assist_ns,P_35_44_Overseas_visitors,P_35_44_years_Total,P_45_54_Prov_unpaid_assist,P_45_54_No_unpaid_assist_prov,P_45_54_Unpaid_assist_ns,P_45_54_Overseas_visitors,P_45_54_years_Total,P_55_64_Prov_unpaid_assist,P_55_64_No_unpaid_assist_prov,P_55_64_yr_Unpaid_assist_ns,P_55_64_Overseas_visitors,P_55_64_years_Total,P_65_74_Prov_unpaid_assist,P_65_74_No_unpaid_assist_prov,P_65_74_yr_Unpaid_assist_ns,P_65_74_Overseas_visitors,P_65_74_years_Total,P_75_84_Prov_unpaid_assist,P_75_84_No_unpaid_assist_prov,P_75_84_yr_Unpaid_assist_ns,P_75_84_Overseas_visitors,P_75_84_years_Total,P_85_over_Prov_unpaid_assist,P_85ovr_No_unpaid_assist_prov,P_85ovr_over_Unpaid_assist_ns,P_85over_Overseas_visitors,P_85_yr_and_over_Total,P_Tot_Prov_unpaid_assist,P_Tot_No_unpaid_assist_prov,P_Tot_Unpaid_assist_ns,P_Total_Overseas_visitors,P_Total_Total
UCL522027,0,6,0,0,9,0,8,0,0,3,0,16,0,0,16,5,19,10,0,28,3,17,6,0,25,0,31,0,0,37,0,21,0,0,28,6,11,0,0,15,0,4,0,0,5,24,131,17,0,166,0,9,4,0,10,0,9,0,0,13,3,5,0,0,12,9,9,3,0,18,0,15,0,0,19,7,19,0,0,33,0,16,5,0,27,3,7,5,0,17,0,0,0,0,0,30,100,11,0,142,0,14,4,0,12,5,11,0,0,19,5,21,0,0,30,11,30,6,0,48,4,29,4,0,36,11,53,4,0,66,5,41,9,0,50,6,24,5,0,32,0,7,0,0,9,53,224,28,0,310
UCL522028,0,0,0,0,0,0,5,0,0,5,0,16,0,0,16,0,10,0,0,10,0,4,0,0,4,0,12,0,0,12,0,19,3,0,23,0,13,0,0,13,0,0,0,0,0,0,71,3,0,77,0,5,0,0,4,0,9,0,3,7,0,14,0,3,21,0,8,0,0,11,0,4,0,0,4,4,7,0,0,11,0,10,0,0,15,5,12,0,0,7,0,3,0,0,3,9,71,4,10,95,0,5,0,0,4,0,13,0,3,18,0,28,0,3,40,0,19,0,0,21,0,11,0,0,11,3,21,0,0,29,0,30,7,0,38,5,15,0,0,22,0,6,0,0,6,12,143,9,10,177
UCL522029,0,15,0,0,15,0,6,0,0,6,3,22,4,0,23,3,18,0,0,25,4,14,0,0,18,3,7,0,0,15,6,17,0,0,23,0,13,0,0,10,0,0,0,0,0,20,112,5,0,138,3,7,0,0,12,0,4,0,0,5,10,12,0,0,23,4,17,0,0,27,3,20,3,0,25,3,17,0,0,21,6,17,0,0,20,5,4,0,0,10,0,3,0,0,3,35,111,5,0,152,3,24,0,0,25,0,7,0,0,5,10,35,5,0,49,11,37,0,0,54,6,31,3,0,44,9,27,0,0,39,8,35,0,0,40,6,16,0,0,25,0,3,0,0,3,57,221,8,0,286
UCL522030,0,4,3,0,0,0,5,0,0,5,0,10,3,6,21,0,20,4,0,25,0,14,3,0,18,0,28,3,0,31,4,4,0,0,8,0,5,0,0,5,0,0,0,0,0,8,87,18,7,125,0,0,3,0,5,0,4,0,0,10,0,23,3,0,27,0,9,4,0,14,0,15,5,0,14,3,9,0,0,13,5,6,0,0,14,0,3,0,0,3,0,0,0,0,0,8,76,16,0,99,0,0,7,0,5,0,10,0,0,17,0,32,6,6,46,4,30,6,0,37,0,28,5,0,37,0,36,4,0,44,3,17,3,0,23,0,12,0,0,12,0,0,0,0,0,13,165,31,7,224
UCL522031,6,12,0,0,14,0,11,0,0,8,0,13,0,0,20,7,13,0,0,16,0,15,0,0,17,0,13,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,67,5,3,89,6,10,0,0,19,0,0,0,0,5,4,27,0,0,37,8,14,0,0,18,4,9,0,0,11,0,6,0,0,9,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,19,85,10,0,109,6,23,0,0,31,0,10,0,5,16,3,45,5,0,55,14,29,0,0,43,8,22,0,0,30,0,19,4,0,25,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,34,148,8,3,198
UCL522032,6,9,0,0,19,6,10,5,0,20,12,14,0,0,22,4,18,0,0,25,10,11,6,0,17,0,8,5,0,20,0,9,9,0,15,0,0,0,0,0,0,0,0,0,0,42,85,18,0,135,7,11,0,0,19,11,12,0,0,21,11,7,0,0,25,11,13,0,0,28,9,16,4,0,33,9,20,4,0,28,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,65,82,13,0,160,12,25,0,0,34,21,21,5,0,42,23,21,0,0,43,19,33,3,0,52,22,27,3,0,50,9,29,9,0,47,0,15,7,0,18,0,0,0,0,5,0,0,0,0,0,101,168,29,0,301
UCL522033,4,7,0,0,10,0,3,0,0,3,0,18,0,0,21,0,6,4,0,11,5,20,0,0,25,3,33,4,0,37,8,37,4,0,48,0,25,4,0,26,0,0,0,0,5,22,149,19,0,188,0,4,0,0,7,0,5,0,0,8,0,9,4,0,9,3,5,0,0,11,9,22,0,0,28,8,22,0,0,32,5,36,3,0,50,4,10,0,0,16,0,0,0,0,0,28,125,10,0,170,4,14,5,0,19,0,11,0,0,10,0,27,4,0,30,10,14,5,0,26,11,42,0,0,59,8,53,4,0,68,14,71,6,0,95,8,32,7,0,51,0,4,0,0,4,52,274,29,0,356
UCL522034,0,10,0,0,6,0,6,0,0,6,3,13,0,0,23,0,13,0,0,17,0,4,0,0,5,0,15,0,0,14,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,7,71,4,0,81,0,14,0,0,12,0,4,0,0,4,3,9,0,0,13,0,10,0,0,19,0,13,0,0,13,0,10,0,0,13,0,4,0,0,4,0,3,0,0,3,0,0,0,0,0,11,66,0,0,79,0,15,0,0,22,0,12,0,0,12,8,27,0,0,40,0,24,0,0,33,0,17,0,0,19,3,25,0,0,22,0,9,0,0,10,0,6,0,0,6,0,0,0,0,0,19,134,3,0,163
UCL522035,0,0,0,0,5,0,0,0,0,0,0,11,0,0,12,0,4,0,0,7,7,14,0,0,19,3,24,0,0,29,0,18,0,0,20,0,3,0,0,3,0,0,0,0,4,13,77,10,0,96,0,4,0,0,7,0,6,0,0,6,0,11,0,0,13,0,6,0,0,8,7,12,0,0,21,4,13,0,0,16,3,12,0,0,15,0,4,0,0,4,0,8,0,0,7,24,59,9,0,95,0,7,0,0,11,0,3,0,0,3,0,18,0,0,21,4,11,3,0,18,10,31,0,0,41,12,31,0,0,43,9,24,0,0,33,0,7,4,0,10,0,7,3,0,10,39,134,18,0,191
UCL522036,0,5,0,0,8,0,4,0,0,4,0,12,0,0,13,0,9,0,0,9,3,13,4,0,24,4,9,0,0,15,3,27,0,0,31,0,11,0,0,10,0,3,0,0,3,13,81,8,0,103,0,6,0,0,6,0,3,0,0,3,0,5,0,0,5,0,9,0,0,11,0,7,0,0,13,8,12,0,0,22,5,17,0,0,21,0,4,0,0,6,0,0,0,0,0,13,63,0,0,80,0,6,3,0,9,0,5,0,0,5,0,17,0,0,21,4,17,0,0,17,7,24,9,0,38,11,24,0,0,28,6,41,0,0,50,0,13,0,0,14,0,3,0,0,3,26,148,9,0,184
UCL522037,0,0,0,0,4,0,3,0,0,3,0,7,3,0,13,3,15,3,0,21,0,17,5,0,22,0,19,0,0,22,0,17,0,0,20,0,9,0,0,16,0,4,0,0,4,7,96,16,0,114,0,4,0,0,4,0,0,0,0,0,3,10,4,0,19,0,18,0,0,18,4,10,0,0,13,3,11,3,0,16,3,13,5,0,16,0,4,0,0,6,0,0,0,0,0,16,69,18,0,100,0,7,3,0,7,0,4,0,0,4,3,23,7,0,28,3,30,8,0,37,3,27,5,0,35,6,25,8,0,35,4,30,3,0,32,0,21,0,0,21,0,6,0,0,9,21,162,34,0,216
UCL522038,0,9,3,0,14,0,18,0,0,15,0,32,0,0,38,3,25,0,0,23,4,29,3,0,37,0,32,3,0,32,0,16,0,0,19,0,12,0,0,12,0,0,0,0,0,5,180,13,0,204,0,7,0,0,7,0,9,0,0,14,0,29,4,0,35,12,30,4,0,41,0,12,0,0,14,5,20,3,0,29,4,19,0,0,26,0,11,0,0,13,0,10,0,0,10,19,147,16,0,185,0,20,3,0,21,0,23,5,0,33,3,65,6,0,70,14,46,3,0,69,5,45,3,0,50,3,52,5,0,62,0,35,0,0,44,0,29,0,0,28,0,8,0,0,9,33,328,27,3,390
UCL522039,0,8,0,0,12,0,9,3,0,12,0,31,12,0,43,0,27,4,0,29,0,23,7,0,31,0,33,11,0,51,0,22,4,0,27,0,4,0,0,7,0,0,0,0,0,9,166,38,0,215,0,10,0,0,5,0,10,4,0,13,6,22,4,0,30,0,29,0,0,27,0,22,4,0,30,5,34,4,0,44,0,15,0,0,20,0,6,0,0,9,0,0,0,0,0,14,150,19,0,185,0,19,0,0,19,0,23,5,0,29,4,53,11,0,68,0,52,3,0,55,3,46,13,0,59,7,77,21,0,98,0,42,6,0,46,0,9,0,0,15,0,3,0,0,5,19,316,63,0,401
UCL522040,0,0,0,0,0,0,3,0,0,3,0,7,0,0,7,0,5,0,0,5,0,18,5,0,19,0,19,3,0,28,5,26,0,0,32,0,8,0,0,14,0,0,0,0,0,10,89,9,0,107,0,3,0,0,4,0,0,0,0,0,0,5,0,0,5,0,3,0,0,3,0,12,0,0,17,0,20,0,0,26,5,22,0,0,25,0,7,3,0,10,0,0,0,0,0,12,76,10,0,94,0,3,0,0,3,0,8,0,0,3,0,10,0,0,10,0,3,0,0,3,3,23,9,0,39,0,45,3,0,50,8,48,4,0,53,5,21,3,0,22,0,3,0,0,3,16,160,19,0,194
UCL522041,0,8,0,0,5,0,9,0,0,5,0,10,0,0,11,0,14,0,0,14,0,14,8,0,18,4,31,3,0,41,4,35,4,0,39,0,6,0,0,10,0,3,3,0,3,9,123,24,0,154,0,0,0,0,4,0,0,0,0,4,0,11,0,0,11,0,7,0,0,14,0,13,4,0,22,0,20,6,0,33,5,27,4,0,33,0,0,0,0,8,0,0,4,0,4,13,90,19,0,120,0,8,0,0,10,0,8,3,0,14,0,23,0,0,22,5,18,3,0,24,0,27,15,0,40,4,54,12,0,71,7,58,7,0,75,0,9,3,0,16,0,3,3,0,5,18,211,43,0,276
UCL522042,0,4,0,0,4,0,12,7,0,21,4,56,4,0,64,6,55,5,0,69,4,42,8,0,52,0,33,0,0,36,3,18,0,0,16,0,5,0,0,5,0,0,0,0,0,15,223,29,0,266,0,7,0,0,3,0,14,9,0,23,5,37,5,0,47,0,24,4,0,34,0,14,3,0,24,0,18,4,0,24,0,9,0,0,12,0,0,0,0,0,0,0,0,0,0,11,127,28,0,173,0,10,0,0,9,0,26,15,0,46,10,90,12,0,111,4,85,12,0,98,7,60,6,0,74,0,47,9,0,56,3,26,0,0,35,0,5,0,0,5,0,0,0,0,0,22,349,62,3,436
UCL522043,0,16,0,0,19,0,6,0,0,13,5,32,4,0,39,8,21,3,0,29,4,18,0,0,17,0,14,0,0,18,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,13,120,9,0,135,0,15,0,0,19,5,13,0,0,23,8,27,4,0,34,0,24,0,0,21,4,21,0,0,25,0,13,4,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,16,113,10,0,140,0,31,0,0,38,3,24,0,0,32,10,59,3,0,68,7,46,3,0,58,4,37,0,0,41,0,23,3,0,25,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,29,233,13,0,273
UCL522044,0,4,0,0,4,0,4,0,0,5,0,16,8,0,21,3,14,5,0,16,0,8,8,0,17,0,34,7,0,40,3,33,8,0,47,0,5,0,0,5,0,0,0,0,0,3,129,28,0,160,0,9,0,0,6,0,0,0,4,4,0,10,5,0,15,0,7,0,0,12,0,11,0,0,17,4,23,4,0,26,0,22,5,0,31,0,5,0,0,6,0,0,0,0,0,8,101,18,4,129,0,14,0,0,11,0,10,0,4,12,0,23,13,0,33,5,21,4,0,32,0,21,8,0,32,4,57,9,0,67,3,62,8,0,75,0,17,0,0,15,0,0,0,0,0,11,228,43,3,288
UCL522045,0,13,0,0,12,0,10,0,0,8,0,11,4,0,17,0,0,7,0,15,3,7,6,0,17,0,0,0,0,7,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,9,44,21,0,74,0,5,0,0,10,0,10,0,0,15,5,13,5,0,20,0,8,0,0,11,0,7,0,0,7,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,51,14,0,71,3,17,0,0,19,6,9,5,0,19,3,22,9,0,37,0,7,11,0,26,3,15,6,0,28,3,6,4,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,20,96,35,0,150
UCL522046,0,6,0,0,6,0,3,0,0,3,0,13,0,0,13,0,13,0,0,14,9,9,9,0,25,6,26,16,0,46,3,27,16,0,45,4,10,7,0,19,0,0,4,0,7,10,107,49,0,173,0,3,0,0,3,0,3,0,0,3,0,8,0,0,9,0,16,5,0,21,5,11,9,0,18,4,21,13,0,36,5,18,14,0,34,0,13,3,0,13,0,0,0,0,0,13,83,37,0,132,0,6,0,0,6,0,6,0,0,6,0,13,3,0,17,0,30,6,0,36,11,19,14,0,39,6,48,28,0,80,6,45,26,0,75,3,18,10,0,34,0,0,5,0,4,27,188,87,0,305
UCL522047,0,5,11,0,14,0,7,6,0,8,0,8,5,0,16,0,17,8,0,25,3,15,8,0,27,3,25,6,0,35,4,25,21,0,51,0,8,11,0,18,0,11,3,0,12,16,122,77,0,213,0,5,11,0,18,0,14,6,0,15,0,17,5,0,17,3,13,5,0,21,4,13,6,0,18,9,18,16,0,40,10,23,27,0,54,0,9,3,0,17,0,7,3,0,7,29,112,67,0,203,0,14,21,0,35,0,15,6,0,17,3,25,7,0,39,3,27,11,0,44,9,30,6,0,42,8,42,22,0,78,12,45,46,0,105,0,19,14,0,33,0,13,8,0,20,40,231,144,0,419
UCL522048,0,11,4,0,10,0,4,0,0,4,0,10,5,0,19,0,18,0,0,18,0,11,0,0,16,0,16,0,0,21,3,19,0,0,23,3,8,4,0,15,0,3,3,0,3,11,109,13,0,130,0,4,0,0,4,0,0,0,0,0,0,14,6,0,17,5,8,3,0,10,5,5,0,0,12,6,20,0,0,27,4,21,5,0,21,0,21,4,0,19,0,0,0,0,0,15,89,18,0,126,0,18,4,0,12,0,4,0,0,4,0,24,7,0,36,5,27,3,0,29,8,22,0,0,29,11,37,3,0,52,3,37,3,0,50,3,27,9,0,31,0,4,4,0,11,33,196,28,0,256
UCL522049,0,0,4,0,4,0,0,0,0,5,0,14,8,0,22,0,11,7,0,29,0,19,9,0,23,4,20,7,0,34,0,35,11,0,49,0,9,0,0,14,0,6,0,0,6,10,118,54,0,180,0,0,4,0,5,0,0,9,0,10,0,11,0,0,15,0,8,10,0,18,3,15,4,0,20,3,23,11,0,35,10,34,8,0,46,4,11,0,0,6,0,5,0,0,5,15,101,40,0,160,0,0,8,0,7,0,3,8,0,12,0,23,10,0,34,0,23,14,0,41,3,32,13,0,50,9,43,18,0,67,8,67,17,0,96,4,20,0,0,24,0,3,0,0,3,27,220,92,0,335
UCL522050,0,0,0,0,4,0,6,0,0,7,0,16,4,0,19,5,15,4,0,20,0,23,13,0,32,0,23,9,0,30,0,28,5,0,35,0,13,3,0,18,3,5,4,0,12,9,138,40,0,187,0,5,0,0,3,0,5,0,0,5,0,21,0,0,21,0,14,0,0,19,5,14,4,0,27,4,21,8,0,28,3,16,3,0,18,4,13,3,0,27,0,16,11,0,22,19,126,25,0,174,0,5,4,0,9,0,12,0,0,12,0,38,0,0,40,7,30,5,0,41,5,38,13,0,61,6,48,9,0,61,3,46,7,0,52,5,35,5,0,44,4,19,10,0,33,28,261,68,0,356
UCL522051,0,4,0,0,4,0,4,0,0,4,0,4,0,0,8,0,8,0,0,8,3,18,3,0,23,3,12,0,0,15,0,14,0,0,14,0,10,0,0,9,0,0,0,0,0,6,79,3,0,86,0,8,0,0,12,5,3,0,0,6,3,14,4,0,19,0,4,0,0,9,0,14,0,0,19,6,15,0,0,26,0,10,0,0,20,0,8,0,0,7,0,0,0,0,0,19,85,10,0,113,0,16,0,0,20,5,6,0,0,8,3,21,5,0,27,0,13,0,0,21,5,35,4,0,42,14,21,0,0,39,0,27,0,0,30,0,14,0,0,13,0,0,0,0,0,27,158,13,0,198
UCL522052,3,6,0,0,9,3,5,0,0,5,3,16,3,0,27,3,13,6,0,16,5,9,3,0,20,3,8,0,0,13,4,4,3,0,14,0,0,0,0,0,0,0,0,0,0,27,60,23,0,111,0,0,0,0,3,4,3,0,0,9,5,4,0,0,12,8,0,0,0,9,0,3,3,0,9,6,5,3,0,11,0,9,0,0,9,5,0,0,0,4,0,0,0,0,0,27,31,6,0,64,3,3,0,0,13,10,6,0,0,16,9,22,3,0,36,12,12,0,0,24,8,20,4,0,34,7,14,7,0,27,5,11,3,0,25,5,0,5,0,4,0,0,0,0,0,57,88,33,0,178
UCL522053,0,0,3,0,10,0,5,0,0,8,4,7,5,0,14,0,6,3,0,5,0,4,0,0,3,0,0,0,0,8,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,10,31,9,0,52,0,7,0,0,8,0,3,0,0,12,7,7,0,0,15,0,3,5,0,9,0,7,3,0,16,0,13,7,0,14,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,10,51,13,0,73,5,10,0,0,13,6,12,3,0,19,3,13,8,0,28,0,9,6,0,17,0,13,6,0,19,0,13,7,0,18,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,17,81,21,0,125
UCL522054,0,3,0,0,4,0,7,0,0,9,0,8,0,0,11,0,6,8,0,17,5,14,0,0,19,4,8,3,0,18,3,9,6,0,17,4,3,4,0,12,0,0,4,0,4,14,60,24,0,96,0,0,0,0,3,0,10,0,0,8,0,4,3,0,10,0,6,0,0,10,0,13,0,0,15,0,12,0,0,12,4,11,10,0,18,0,3,0,0,3,0,4,0,0,4,4,61,14,0,80,0,3,3,0,6,0,10,0,0,14,0,16,4,0,21,0,12,8,0,28,3,26,0,0,30,4,17,5,0,31,5,23,13,0,37,4,9,4,0,11,0,4,4,0,5,20,119,40,0,180
UCL522055,0,6,0,0,6,0,0,0,0,3,0,18,11,0,24,0,18,4,0,24,3,29,4,0,38,0,33,10,0,49,4,61,37,0,103,0,17,10,0,32,0,5,0,0,3,5,194,79,0,283,0,3,0,0,5,0,7,0,0,7,0,22,3,0,24,5,10,0,0,17,0,29,9,0,36,3,35,14,0,51,3,44,34,0,86,0,15,6,0,25,0,0,0,0,0,14,174,71,0,254,0,12,0,0,12,0,7,0,0,13,0,36,12,5,52,4,34,4,0,42,0,60,16,0,72,3,73,27,0,104,6,105,74,0,191,0,34,15,0,54,0,5,0,0,3,19,364,151,5,540
UCL522056,0,7,0,0,7,0,10,5,0,17,0,31,6,0,41,0,32,15,0,49,4,33,13,0,51,10,31,8,0,46,3,18,0,0,21,0,8,0,0,5,0,0,0,0,0,21,177,51,0,250,0,10,0,0,10,0,8,0,0,11,0,25,6,0,34,0,12,5,0,17,6,19,0,0,20,5,25,5,0,32,0,13,0,0,20,0,6,0,0,11,0,3,0,0,6,18,112,19,0,152,0,17,0,0,18,0,17,7,0,26,0,61,14,0,72,3,48,19,0,68,9,51,18,0,74,15,53,12,0,79,9,27,4,0,39,0,10,0,0,11,0,3,0,0,8,35,291,75,0,400
UCL522057,0,8,0,0,8,3,12,0,0,15,0,37,6,0,43,0,22,6,0,22,5,16,3,0,23,5,25,3,0,32,5,20,5,0,26,5,17,4,0,24,0,0,0,0,3,16,152,20,0,197,0,3,0,0,5,0,17,0,0,17,3,26,5,0,34,0,17,4,0,22,3,14,0,0,17,10,31,4,0,52,10,18,8,0,42,3,7,0,0,13,0,0,0,0,0,32,140,24,4,198,0,11,0,0,11,3,28,0,0,33,5,60,15,0,75,0,41,14,0,52,7,26,3,0,37,17,56,6,0,81,17,37,12,0,60,5,29,4,0,35,0,0,0,0,3,53,289,47,4,391
UCL522058,0,0,4,0,10,0,4,0,0,8,0,6,0,0,10,0,7,4,0,15,4,10,5,0,15,8,15,4,0,28,0,13,0,0,13,0,7,0,0,11,0,6,0,0,6,18,77,22,0,114,0,7,7,0,16,0,9,0,0,6,0,12,4,0,14,4,4,4,0,12,5,8,0,0,11,11,3,3,0,19,0,5,0,0,8,3,8,0,0,18,0,3,0,0,3,26,62,24,0,107,8,9,10,0,27,0,9,5,0,15,0,15,6,0,24,4,14,6,0,29,4,20,3,0,27,13,23,10,0,45,6,20,0,0,23,6,16,0,0,28,0,11,0,0,11,40,142,43,0,220
UCL522059,0,8,0,0,5,0,8,0,0,8,0,14,11,0,21,0,24,10,0,39,3,12,0,0,16,5,19,7,0,23,0,26,3,0,33,0,21,0,0,24,0,4,0,0,4,9,128,34,0,172,0,4,0,0,3,0,4,0,0,10,0,13,9,0,25,0,17,8,0,22,3,22,6,0,28,0,20,7,0,29,0,18,0,0,23,0,11,4,0,16,0,0,0,0,3,4,117,37,0,155,0,12,3,0,9,0,7,3,0,14,0,27,14,0,43,0,39,18,0,60,7,29,7,0,43,5,41,11,0,59,3,46,4,0,58,0,36,5,0,42,0,9,0,0,6,13,240,72,0,328
UCL522060,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,4,6,0,0,7,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,3,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,5,0,0,3,3,13,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,4,0,0,11,3,12,0,0,13,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,9,31,0,0,42
UCL522061,0,3,0,0,3,0,3,0,0,3,0,12,0,0,15,0,6,0,0,9,6,14,5,0,23,6,25,9,0,41,5,34,0,0,42,0,22,0,0,29,0,0,0,0,0,25,131,17,0,169,0,5,0,0,3,0,0,0,0,0,0,15,0,0,19,4,13,3,0,21,3,13,4,0,16,11,27,3,0,43,0,26,0,0,23,0,20,0,0,24,0,5,0,0,3,24,118,7,0,152,0,3,0,0,6,0,4,0,0,4,3,31,4,0,29,4,19,0,0,23,9,25,8,0,41,17,60,14,0,85,7,61,0,0,72,7,40,3,0,51,0,3,0,0,7,40,242,29,0,317
UCL522062,0,3,0,0,3,0,12,0,0,16,0,18,0,0,26,3,7,0,0,15,0,13,0,0,17,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,66,3,0,83,0,7,0,0,12,0,14,0,0,10,0,10,0,0,16,10,11,0,0,16,0,15,0,0,19,0,5,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,22,63,7,0,83,0,7,0,0,13,7,21,0,0,27,4,31,0,0,43,11,22,0,0,33,0,28,0,0,33,0,16,0,0,13,0,4,0,0,6,0,0,0,0,4,0,0,0,0,0,29,130,3,0,165
UCL522063,7,8,6,0,13,0,4,0,0,3,8,7,0,0,13,11,11,4,0,20,0,5,0,0,3,0,5,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,39,13,0,71,0,5,6,0,9,3,0,0,0,6,6,12,7,0,23,4,5,0,0,13,3,6,0,0,17,0,12,0,0,17,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,28,50,17,0,88,4,12,11,0,30,5,3,0,0,9,16,17,9,0,33,13,18,4,0,35,6,10,0,0,19,0,16,10,0,29,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,48,88,29,0,163
