UCL_CODE_2021,Australia_M,Australia_F,Australia_P,Afghanistan_M,Afghanistan_F,Afghanistan_P,Bangladesh_M,Bangladesh_F,Bangladesh_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Nepal_M,Nepal_F,Nepal_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africad_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Taiwan_M,Taiwan_F,Taiwan_P,Thailand_M,Thailand_F,Thailand_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL501001,587114,604198,1191319,3070,2305,5377,1384,1258,2647,2191,2843,5035,11534,15426,26953,2011,2138,4152,1238,1105,2341,470,541,1011,3808,4674,8487,947,1033,1982,2874,3311,6184,29855,27814,57670,4862,7955,12815,3161,2989,6144,1835,1662,3495,8027,7568,15592,8176,7786,15967,1235,3071,4310,2634,3321,5956,603,534,1135,13851,16977,30827,2144,2051,4190,3224,3381,6608,28190,26974,55156,4392,2748,7144,12484,17635,30116,2127,2935,5059,6792,8282,15076,17876,19153,37031,4386,4145,8528,1148,2216,3361,2181,5979,8156,95422,96181,191611,4156,4312,8467,7211,9672,16876,54164,61826,115993,38773,38735,77508,2636,2568,5203,978179,1027301,2005481
UCL511001,26755,28015,54775,4,4,9,19,24,44,52,64,116,66,137,202,13,11,23,14,10,27,12,7,21,106,142,246,16,16,24,19,27,50,333,282,621,38,94,134,25,16,45,18,22,42,164,153,318,161,142,304,30,32,59,68,56,118,27,21,43,83,109,193,36,33,66,123,132,259,1144,1071,2213,55,39,94,391,583,976,36,56,92,52,71,120,677,731,1410,34,40,71,53,98,148,32,127,166,2303,2424,4725,88,88,175,34,79,113,772,875,1648,1562,1589,3150,43,49,92,35471,37465,72939
UCL512001,11232,11836,23069,3,0,3,0,0,4,45,57,97,29,44,72,4,3,9,8,3,9,7,3,15,59,102,161,3,4,6,12,11,22,62,56,119,18,39,59,5,5,9,0,0,3,26,24,49,65,62,129,8,14,24,9,11,16,0,0,0,40,38,74,3,4,6,84,101,186,252,271,527,0,0,3,234,339,573,15,16,32,13,22,29,178,196,372,17,16,35,5,9,20,58,83,136,1143,1387,2531,41,58,97,23,13,33,326,303,633,728,699,1425,30,18,45,14767,15861,30630
UCL512002,9651,10656,20312,34,20,55,0,0,6,21,36,56,12,26,31,9,0,7,3,4,7,3,5,8,49,67,119,3,0,3,4,13,16,67,55,123,12,41,52,0,0,0,0,0,0,39,63,102,43,21,60,3,25,25,17,20,34,0,0,0,22,20,39,9,8,16,48,63,109,303,316,617,10,9,25,44,91,136,0,13,12,12,16,29,149,159,303,18,14,31,0,13,15,11,58,68,1091,1296,2391,43,45,89,24,34,55,209,254,459,595,657,1253,16,15,35,12570,14125,26699
UCL512003,12044,12737,24778,0,0,0,9,4,12,19,33,48,17,37,55,4,5,9,8,12,18,11,15,30,34,69,99,4,6,6,9,6,11,110,104,220,29,51,75,0,0,0,0,0,6,36,40,80,56,58,114,0,3,3,5,7,9,0,0,0,38,37,71,13,9,24,42,38,76,302,269,569,21,18,43,169,280,447,7,6,10,17,22,38,185,215,402,23,11,34,8,21,35,22,98,121,669,758,1429,36,43,84,42,61,97,272,277,542,1464,1492,2950,22,19,41,15744,16849,32590
UCL512004,10457,9173,19628,22,7,26,5,0,8,12,28,34,100,59,157,14,15,26,8,7,9,48,49,92,34,40,76,0,6,7,4,5,8,218,162,376,24,45,73,23,18,40,4,4,5,56,42,96,20,14,42,4,6,5,18,21,34,0,0,0,24,30,51,12,10,20,19,11,29,1112,946,2059,34,27,64,337,408,751,8,3,14,20,10,32,249,278,525,28,14,47,10,8,18,32,141,172,498,397,887,22,30,51,18,29,49,626,608,1233,1816,1289,3104,47,40,85,15981,13964,29942
UCL513001,6928,7226,14158,0,0,0,0,0,5,12,31,42,23,64,86,6,6,14,3,0,7,4,4,8,45,76,113,0,0,3,6,8,19,44,32,83,7,24,32,0,3,4,0,0,0,36,47,86,41,35,73,3,20,23,6,5,12,0,0,0,19,17,39,5,5,8,35,49,78,190,189,385,4,3,11,91,131,220,0,7,15,7,19,28,57,77,139,14,14,24,11,22,26,10,60,68,505,551,1062,33,45,73,8,18,24,244,296,544,1429,1565,2990,56,74,128,9897,10724,20620
UCL513002,3966,3887,7852,0,0,0,4,3,9,6,18,19,0,9,6,0,0,0,0,0,0,0,0,3,16,24,44,0,0,0,3,8,14,18,11,28,7,16,17,4,0,0,0,0,0,12,10,20,4,4,13,0,0,0,0,4,4,0,0,0,4,7,11,3,0,3,8,12,23,131,144,271,0,0,0,25,50,73,5,0,4,4,12,15,59,61,125,16,13,23,0,0,3,3,20,29,220,228,446,8,14,21,9,9,17,58,82,142,584,529,1112,12,6,18,5179,5189,10370
UCL513003,6514,5421,11936,3,4,6,7,6,13,14,24,33,24,36,59,5,5,7,8,3,13,10,11,23,18,22,39,5,5,5,8,6,12,151,116,267,14,42,59,4,0,12,0,3,4,77,36,113,11,5,19,0,14,14,4,3,9,0,0,0,24,17,42,17,21,34,23,20,39,460,332,793,22,16,42,191,205,395,8,8,17,20,10,31,126,105,235,26,11,36,15,19,32,33,104,134,451,286,736,19,23,41,23,22,41,293,259,558,2264,1264,3533,75,27,99,10965,8520,19488
UCL513004,5962,4965,10926,0,0,0,7,0,3,5,11,23,24,47,70,8,4,15,5,5,4,15,16,30,20,18,45,3,3,9,8,0,6,144,90,234,36,62,100,3,6,8,0,0,0,35,26,61,12,4,13,3,0,3,5,13,17,0,0,7,24,32,60,3,0,3,12,9,16,536,349,888,15,3,17,220,245,465,5,7,10,28,19,50,128,100,227,31,18,48,0,5,0,17,78,91,346,221,561,11,22,32,12,22,30,321,191,510,2393,1212,3609,34,21,54,10442,7818,18260
