UCL_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_ns,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_yr_arr_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arr_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,USA_2016,USA_2017,USA_2018,USA_2019,USA_2020,USA_2021,USA_Yr_arrival_ns,USA_Tot,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arr_ns,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_ns,Tot_Tot
UCL501001,9,5,50,399,2049,1762,8969,10134,1711,1240,1163,1468,522,163,479,30116,193,86,165,363,2173,646,553,497,63,61,67,56,29,10,100,5059,67,138,433,1436,2327,2280,4527,1763,349,380,373,404,308,56,236,15076,19,82,408,1537,3435,4888,15642,6520,867,703,831,926,497,269,408,37031,46,73,179,370,824,807,2346,1985,258,252,286,671,302,24,107,8528,0,0,3,22,236,355,662,1155,150,151,210,284,55,15,68,3361,4,4,34,188,724,816,2685,1719,422,337,355,366,199,65,239,8156,2092,6214,33707,26709,28057,18098,42287,21958,2074,1696,1691,1823,1053,395,3759,191611,31,82,420,759,939,1047,1921,1358,278,274,302,395,320,139,207,8467,5,0,22,1623,4583,2704,2791,2115,499,511,435,578,302,76,635,16876,829,1333,6489,7209,10930,13922,31621,17967,3987,3763,4186,5470,2305,534,2154,112691,6177,19325,56694,56785,87317,76215,190989,124983,20026,18148,20172,25097,11657,3349,14525,731454
UCL511001,0,0,0,14,44,58,321,291,55,40,45,50,33,4,19,976,9,4,0,5,33,9,10,13,0,0,0,0,0,0,3,92,3,5,5,14,9,13,44,14,6,4,7,0,4,0,3,120,0,5,20,44,65,111,691,294,20,44,36,39,14,7,22,1410,0,0,3,0,7,11,23,15,8,5,4,0,0,4,0,71,0,0,0,0,0,4,13,36,4,12,22,39,17,0,0,148,0,0,0,3,8,11,62,27,10,12,11,10,3,0,6,166,115,246,1164,774,609,329,830,382,43,18,24,47,28,0,127,4725,0,0,18,42,23,7,41,23,5,0,3,4,0,7,4,175,0,0,0,5,7,19,26,24,4,8,0,6,5,0,3,113,24,38,102,119,153,130,513,283,39,60,36,50,34,20,41,1643,253,630,1593,1344,1579,1163,3821,2439,313,346,333,421,213,70,402,14919
UCL512001,0,0,0,8,27,23,261,122,34,14,25,28,9,3,4,573,9,3,3,0,3,6,4,0,3,0,0,0,0,0,0,32,0,0,4,8,4,5,4,3,0,0,0,4,0,0,0,29,0,6,10,9,20,32,158,70,12,11,13,20,0,0,4,372,0,3,0,0,0,6,5,7,0,0,10,0,0,0,0,35,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,20,0,0,0,0,4,6,45,43,15,0,5,0,3,0,5,136,91,186,801,505,298,164,234,104,14,8,8,16,6,0,88,2531,0,0,5,22,14,12,15,9,4,0,0,7,0,0,0,97,0,0,0,3,0,7,0,7,0,0,3,0,0,0,15,33,13,28,51,41,48,44,150,85,34,16,19,18,7,45,32,628,170,415,1047,736,643,433,1181,623,144,87,114,139,41,63,249,6091
UCL512002,0,0,0,0,10,9,51,27,12,3,3,11,0,0,4,136,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,3,4,7,3,3,3,4,0,0,0,0,0,0,0,29,0,0,6,15,20,48,123,57,0,12,0,9,7,0,0,303,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,31,0,0,0,0,0,0,6,9,4,0,0,0,0,0,0,15,0,0,0,0,6,9,26,17,0,0,3,0,0,0,0,68,60,142,651,415,361,157,309,152,21,3,4,20,14,10,75,2391,0,0,8,14,11,9,15,15,0,9,0,4,3,0,0,89,0,0,0,0,3,8,12,20,4,0,0,9,0,0,3,55,16,26,60,46,45,25,94,69,6,13,17,13,11,4,8,456,122,259,835,666,659,427,950,650,76,76,68,97,49,30,135,5102
UCL512003,0,0,0,4,32,32,109,145,27,25,15,24,12,5,11,447,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,10,9,3,16,0,0,0,0,0,0,0,0,38,0,0,8,14,21,21,163,119,7,14,12,10,8,9,3,402,0,0,0,0,0,6,13,6,0,4,0,0,0,0,0,34,0,0,0,0,0,3,6,13,0,0,3,4,0,0,0,35,0,0,0,3,4,13,32,24,11,13,0,3,9,4,6,121,36,106,426,219,117,82,223,113,12,15,6,6,3,0,56,1429,0,0,3,7,10,8,16,13,0,3,5,0,4,0,5,84,0,0,0,6,26,17,12,17,3,4,3,3,5,0,4,97,11,20,59,40,61,55,129,74,14,15,25,15,17,7,8,537,96,234,607,464,448,379,1046,816,121,139,103,95,88,38,134,4819
UCL512004,0,0,0,8,30,35,210,244,30,38,51,66,14,8,11,751,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,14,0,0,7,5,3,5,7,5,0,0,0,0,0,0,0,32,0,0,0,3,12,35,233,116,10,25,27,25,26,4,11,525,0,0,0,0,0,0,17,11,3,0,0,6,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,18,0,0,0,0,3,20,49,42,18,12,8,10,0,3,3,172,5,39,196,152,87,83,134,97,7,14,19,13,9,8,23,887,0,0,3,6,3,9,16,12,0,0,0,0,0,0,0,51,0,0,0,4,0,0,8,18,6,0,0,8,6,0,0,49,0,14,32,45,50,63,382,247,50,60,88,102,51,34,17,1233,25,96,312,357,482,603,2051,1593,206,239,338,394,173,90,163,7122
UCL513001,0,0,0,0,11,8,60,91,15,4,12,12,4,0,4,220,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,9,4,0,5,6,0,0,0,0,0,0,0,0,28,0,0,4,11,13,21,58,19,0,8,0,0,0,0,0,139,0,0,0,0,3,0,13,7,0,0,4,4,0,0,0,24,0,0,0,0,0,0,3,11,0,0,0,7,4,0,0,26,0,0,0,0,3,13,18,16,5,0,3,11,0,0,3,68,11,41,219,170,175,95,188,89,6,7,8,16,8,0,31,1062,0,3,0,11,3,5,12,14,0,3,0,7,0,0,0,73,0,0,0,0,0,0,3,6,0,4,5,0,0,3,0,24,0,15,26,40,43,37,112,66,12,28,22,76,39,5,21,538,37,131,329,350,392,281,688,472,72,80,91,217,87,14,103,3348
UCL513002,0,0,0,0,6,5,9,33,4,0,0,10,5,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,6,7,60,24,4,3,4,9,0,0,0,125,0,0,0,0,0,0,8,14,0,3,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,3,5,0,6,0,0,0,29,7,41,122,62,55,30,57,26,0,12,0,5,5,0,26,446,0,0,0,6,0,4,5,6,0,0,0,0,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,17,0,3,14,4,14,9,30,22,3,8,4,5,5,0,10,135,29,76,170,131,156,135,284,190,26,38,31,57,22,6,41,1386
UCL513003,0,0,0,8,17,8,124,126,23,23,21,19,9,0,10,395,0,0,0,4,9,0,5,4,0,0,0,0,0,0,0,17,0,0,0,3,0,8,9,4,0,0,0,3,0,0,0,31,0,0,0,4,18,27,104,46,0,0,5,11,6,8,0,235,0,0,0,0,4,0,9,15,3,0,0,0,0,0,0,36,0,0,0,0,0,0,6,24,0,0,0,7,0,0,0,32,0,0,0,3,5,8,39,31,8,10,6,14,4,0,4,134,3,15,121,104,108,69,165,98,8,6,7,11,3,0,18,736,0,0,0,3,4,3,10,16,0,0,0,4,0,0,0,41,0,0,0,0,5,0,5,11,4,3,0,3,0,0,0,41,3,4,19,35,37,39,139,116,32,15,28,30,27,5,19,543,11,32,176,251,354,322,1100,896,143,114,124,175,99,33,88,3918
UCL513004,0,0,0,0,14,15,90,188,43,20,31,42,11,0,10,465,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,10,0,0,0,4,23,0,4,0,0,0,11,0,0,0,0,50,0,0,3,8,10,18,120,39,0,0,9,10,8,0,10,227,0,0,0,0,0,3,11,5,4,0,9,7,4,0,0,48,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,23,35,10,3,6,0,0,0,5,91,3,14,100,73,87,43,110,67,12,5,9,6,6,3,22,561,0,0,0,0,0,10,10,0,0,4,5,0,0,0,0,32,0,0,0,0,0,0,0,11,0,9,0,6,0,0,0,30,0,5,20,16,33,38,168,96,8,19,22,28,11,6,13,499,6,40,156,172,343,277,1067,820,124,120,152,204,70,26,89,3667
