UCL_CODE_2021,AG_15_19_Nbr_ch_ev_brn_No,AG_15_19_Nbr_ch_ev_brn_1,AG_15_19_Nbr_ch_ev_brn_2,AG_15_19_Nbr_ch_ev_brn_3,AG_15_19_Nbr_ch_ev_brn_4,AG_15_19_Nbr_ch_ev_brn_5,AG_15_19_Nbr_ch_ev_brn_6m,AG_15_19_Nbr_ch_ev_brn_Ns,AG_15_19_Tot,AG_20_24_Nbr_ch_ev_brn_No,AG_20_24_Nbr_ch_ev_brn_1,AG_20_24_Nbr_ch_ev_brn_2,AG_20_24_Nbr_ch_ev_brn_3,AG_20_24_Nbr_ch_ev_brn_4,AG_20_24_Nbr_ch_ev_brn_5,AG_20_24_Nbr_ch_ev_brn_6m,AG_20_24_Nbr_ch_ev_brn_Ns,AG_20_24_Tot,AG_25_29_Nbr_ch_ev_brn_No,AG_25_29_Nbr_ch_ev_brn_1,AG_25_29_Nbr_ch_ev_brn_2,AG_25_29_Nbr_ch_ev_brn_3,AG_25_29_Nbr_ch_ev_brn_4,AG_25_29_Nbr_ch_ev_brn_5,AG_25_29_Nbr_ch_ev_brn_6m,AG_25_29_Nbr_ch_ev_brn_Ns,AG_25_29_Tot,AG_30_34_Nbr_ch_ev_brn_No,AG_30_34_Nbr_ch_ev_brn_1,AG_30_34_Nbr_ch_ev_brn_2,AG_30_34_Nbr_ch_ev_brn_3,AG_30_34_Nbr_ch_ev_brn_4,AG_30_34_Nbr_ch_ev_brn_5,AG_30_34_Nbr_ch_ev_brn_6m,AG_30_34_Nbr_ch_ev_brn_Ns,AG_30_34_Tot,AG_35_39_Nbr_ch_ev_brn_No,AG_35_39_Nbr_ch_ev_brn_1,AG_35_39_Nbr_ch_ev_brn_2,AG_35_39_Nbr_ch_ev_brn_3,AG_35_39_Nbr_ch_ev_brn_4,AG_35_39_Nbr_ch_ev_brn_5,AG_35_39_Nbr_ch_ev_brn_6m,AG_35_39_Nbr_ch_ev_brn_Ns,AG_35_39_Tot,AG_40_44_Nbr_ch_ev_brn_No,AG_40_44_Nbr_ch_ev_brn_1,AG_40_44_Nbr_ch_ev_brn_2,AG_40_44_Nbr_ch_ev_brn_3,AG_40_44_Nbr_ch_ev_brn_4,AG_40_44_Nbr_ch_ev_brn_5,AG_40_44_Nbr_ch_ev_brn_6m,AG_40_44_Nbr_ch_ev_brn_Ns,AG_40_44_Tot,AG_45_49_Nbr_ch_ev_brn_No,AG_45_49_Nbr_ch_ev_brn_1,AG_45_49_Nbr_ch_ev_brn_2,AG_45_49_Nbr_ch_ev_brn_3,AG_45_49_Nbr_ch_ev_brn_4,AG_45_49_Nbr_ch_ev_brn_5,AG_45_49_Nbr_ch_ev_brn_6m,AG_45_49_Nbr_ch_ev_brn_Ns,AG_45_49_Tot,AG_50_54_Nbr_ch_ev_brn_No,AG_50_54_Nbr_ch_ev_brn_1,AG_50_54_Nbr_ch_ev_brn_2,AG_50_54_Nbr_ch_ev_brn_3,AG_50_54_Nbr_ch_ev_brn_4,AG_50_54_Nbr_ch_ev_brn_5,AG_50_54_Nbr_ch_ev_brn_6m,AG_50_54_Nbr_ch_ev_brn_Ns,AG_50_54_Tot,AG_55_59_Nbr_ch_ev_brn_No,AG_55_59_Nbr_ch_ev_brn_1,AG_55_59_Nbr_ch_ev_brn_2,AG_55_59_Nbr_ch_ev_brn_3,AG_55_59_Nbr_ch_ev_brn_4,AG_55_59_Nbr_ch_ev_brn_5,AG_55_59_Nbr_ch_ev_brn_6m,AG_55_59_Nbr_ch_ev_brn_Ns,AG_55_59_Tot,AG_60_64_Nbr_ch_ev_brn_No,AG_60_64_Nbr_ch_ev_brn_1,AG_60_64_Nbr_ch_ev_brn_2,AG_60_64_Nbr_ch_ev_brn_3,AG_60_64_Nbr_ch_ev_brn_4,AG_60_64_Nbr_ch_ev_brn_5,AG_60_64_Nbr_ch_ev_brn_6m,AG_60_64_Nbr_ch_ev_brn_Ns,AG_60_64_Tot,AG_65_69_Nbr_ch_ev_brn_No,AG_65_69_Nbr_ch_ev_brn_1,AG_65_69_Nbr_ch_ev_brn_2,AG_65_69_Nbr_ch_ev_brn_3,AG_65_69_Nbr_ch_ev_brn_4,AG_65_69_Nbr_ch_ev_brn_5,AG_65_69_Nbr_ch_ev_brn_6m,AG_65_69_Nbr_ch_ev_brn_Ns,AG_65_69_Tot,AG_70_74_Nbr_ch_ev_brn_No,AG_70_74_Nbr_ch_ev_brn_1,AG_70_74_Nbr_ch_ev_brn_2,AG_70_74_Nbr_ch_ev_brn_3,AG_70_74_Nbr_ch_ev_brn_4,AG_70_74_Nbr_ch_ev_brn_5,AG_70_74_Nbr_ch_ev_brn_6m,AG_70_74_Nbr_ch_ev_brn_Ns,AG_70_74_Tot,AG_75_79_Nbr_ch_ev_brn_No,AG_75_79_Nbr_ch_ev_brn_1,AG_75_79_Nbr_ch_ev_brn_2,AG_75_79_Nbr_ch_ev_brn_3,AG_75_79_Nbr_ch_ev_brn_4,AG_75_79_Nbr_ch_ev_brn_5,AG_75_79_Nbr_ch_ev_brn_6m,AG_75_79_Nbr_ch_ev_brn_Ns,AG_75_79_Tot,AG_80_84_Nbr_ch_ev_brn_No,AG_80_84_Nbr_ch_ev_brn_1,AG_80_84_Nbr_ch_ev_brn_2,AG_80_84_Nbr_ch_ev_brn_3,AG_80_84_Nbr_ch_ev_brn_4,AG_80_84_Nbr_ch_ev_brn_5,AG_80_84_Nbr_ch_ev_brn_6m,AG_80_84_Nbr_ch_ev_brn_Ns,AG_80_84_Tot,AG_85_over_Nbr_ch_ev_brn_No,AG_85_over_Nbr_ch_ev_brn_1,AG_85_over_Nbr_ch_ev_brn_2,AG_85_over_Nbr_ch_ev_brn_3,AG_85_over_Nbr_ch_ev_brn_4,AG_85_over_Nbr_ch_ev_brn_5,AG_85_over_Nbr_ch_ev_brn_6m,AG_85_over_Nbr_ch_ev_brn_Ns,AG_85_over_Tot,Tot_Num_child_evr_brn_No,Tot_Num_child_evr_brn_1,Tot_Num_child_evr_brn_2,Tot_Num_child_evr_brn_3,Tot_Num_child_evr_brn_4,Tot_Num_child_evr_brn_5,Tot_Num_child_evr_brn_6m,Tot_Num_child_evr_brn_Ns,Tot_Tot
UCL501001,53585,285,17,4,0,0,11,4134,58036,54048,2930,1053,235,26,5,8,4357,62657,46936,9450,5838,1812,454,109,39,4515,69160,32335,17711,17341,5620,1610,417,233,4052,79315,18016,15573,28156,10306,2888,846,508,3573,79867,11554,11017,27421,11760,3443,1036,709,2666,69618,9958,9858,26427,12402,3720,1158,800,2579,66901,9384,9247,25802,12301,3838,1209,839,2348,64975,8140,7749,23368,12453,4210,1160,800,2108,59999,6538,6532,21294,12735,4432,1226,679,1913,55346,5149,5476,19219,11774,4239,1113,682,1900,49557,3630,4149,17050,10639,4011,1071,618,2195,43357,2189,2353,10627,8007,3310,995,630,2119,30227,1409,1428,6147,6077,3315,1146,767,2192,22481,1393,1468,5429,5682,3772,1666,1476,3654,24539,264252,105241,235192,121814,43261,13173,8804,44298,836033
UCL511001,2158,20,0,0,0,0,0,150,2323,1421,229,70,16,0,0,0,120,1856,1134,432,301,106,36,11,3,160,2189,687,502,749,299,90,36,11,131,2505,395,398,1002,477,135,44,25,111,2591,274,340,951,496,183,52,30,96,2419,276,285,998,524,184,58,35,94,2453,280,325,974,545,197,57,29,107,2520,253,218,886,557,204,49,28,107,2298,201,190,858,596,242,74,39,85,2290,149,121,710,540,189,59,43,94,1912,132,118,685,476,196,53,30,96,1785,69,57,378,361,189,60,36,88,1237,41,50,218,226,150,75,46,90,888,27,34,144,219,180,96,73,170,949,7497,3312,8928,5434,2169,728,434,1717,30211
UCL512001,864,6,0,0,0,0,0,77,950,566,78,21,8,0,0,0,57,730,454,143,126,48,12,3,0,41,832,251,144,255,98,30,11,8,62,858,157,131,313,164,63,20,14,42,910,143,130,301,171,63,22,15,47,896,143,114,380,205,91,24,22,46,1011,154,116,355,233,95,30,22,44,1044,161,116,368,217,82,27,19,64,1054,160,116,406,224,96,31,19,55,1117,135,102,351,236,89,24,15,43,986,98,77,290,234,92,28,20,58,889,53,59,246,183,81,29,21,55,730,32,20,135,156,112,44,34,52,586,26,34,114,149,108,53,35,84,609,3400,1374,3659,2323,1025,345,248,826,13196
UCL512002,694,0,0,0,0,0,0,69,764,405,44,14,0,0,0,0,46,508,315,129,79,25,4,0,0,42,606,240,140,201,81,21,4,0,47,734,134,140,338,158,50,11,7,35,872,105,103,339,195,58,13,7,35,858,118,114,363,211,67,19,11,37,936,117,137,382,187,56,17,15,35,947,138,84,298,207,85,16,10,55,896,120,89,342,260,87,21,12,62,994,99,85,380,251,84,20,8,46,978,75,87,307,240,94,23,6,60,901,48,33,231,170,72,27,0,48,644,32,21,117,131,77,31,11,41,466,31,35,105,126,127,51,40,59,563,2679,1246,3498,2254,888,251,146,713,11672
UCL512003,873,15,0,0,0,0,0,129,1017,663,103,43,8,0,0,3,125,947,476,151,158,50,20,3,5,106,957,286,199,228,134,57,12,10,112,1039,200,140,324,190,69,21,18,115,1074,121,123,361,206,87,25,26,109,1057,127,138,386,219,64,30,29,87,1087,148,133,374,256,90,33,25,89,1140,111,113,347,274,106,35,17,85,1087,79,93,335,250,131,27,28,80,1030,69,50,351,256,94,26,16,78,943,28,33,278,233,96,31,6,69,784,37,27,143,144,101,27,20,57,571,20,22,66,124,78,40,25,62,442,11,19,57,100,83,45,47,84,449,3256,1364,3456,2457,1077,356,279,1378,13622
UCL512004,636,15,0,0,0,0,0,96,747,641,109,36,8,4,0,5,113,912,586,192,164,54,9,0,0,153,1151,352,223,305,138,50,15,3,122,1205,193,164,368,184,83,21,13,133,1156,119,125,305,165,78,29,18,92,933,134,112,297,164,95,25,12,89,925,126,102,275,179,94,19,17,111,929,86,81,242,221,81,34,16,97,858,53,61,220,158,85,37,18,98,719,34,30,128,131,67,14,15,89,504,18,15,87,90,42,20,11,54,341,11,15,45,57,25,13,7,17,192,8,14,19,24,25,7,13,20,135,0,15,16,15,15,20,20,28,136,2993,1267,2509,1582,758,264,166,1304,10852
UCL513001,348,0,0,0,0,0,0,88,438,349,37,17,0,0,0,0,98,502,516,57,71,21,5,0,0,159,823,390,121,134,56,17,4,9,186,923,238,123,210,99,41,10,3,132,860,146,74,168,136,39,18,11,108,693,101,75,210,91,31,14,12,102,628,105,74,190,105,48,11,14,126,678,95,78,204,136,37,15,16,123,696,97,63,262,175,66,18,9,136,830,59,50,242,222,72,8,12,111,774,34,27,210,122,50,10,11,59,532,19,13,85,63,27,8,5,51,279,10,3,17,32,14,0,10,20,103,8,7,7,14,6,3,4,14,56,2506,803,2022,1272,464,132,108,1507,8809
UCL513002,247,3,0,0,0,0,0,32,279,190,26,8,3,0,0,0,27,254,152,47,47,16,6,0,0,34,303,96,65,82,33,15,3,0,33,324,45,31,111,62,28,12,6,39,337,40,34,103,46,29,12,8,27,305,37,37,118,61,23,3,9,39,330,31,30,106,76,29,5,7,22,304,30,35,139,74,29,13,4,23,356,23,23,102,88,37,15,3,29,318,24,23,98,76,31,8,10,29,289,21,12,96,74,33,3,3,26,268,6,4,67,73,44,17,8,31,243,3,4,32,36,33,10,14,24,159,4,0,22,35,38,22,15,23,162,958,387,1117,754,362,123,86,432,4225
UCL513003,341,6,0,0,0,0,0,63,406,298,40,8,3,0,0,0,89,437,413,105,68,17,7,0,0,129,739,282,170,211,105,20,4,0,156,951,151,119,311,144,45,15,4,134,933,88,74,218,123,50,4,3,95,658,70,68,192,127,42,8,10,90,615,52,59,147,89,39,13,11,83,513,33,28,110,68,26,9,8,51,344,16,33,107,69,36,5,8,61,336,10,15,61,41,16,6,3,38,193,4,5,43,27,17,8,0,30,143,0,6,9,15,4,3,6,10,49,5,0,0,0,3,5,5,0,28,0,0,0,3,0,0,0,3,13,1753,720,1484,864,319,99,58,1047,6346
UCL513004,265,11,0,0,0,0,0,83,361,281,49,18,0,0,0,0,96,447,377,102,81,30,16,6,0,153,763,239,164,200,88,29,10,4,151,880,142,117,220,125,46,15,10,126,794,87,75,153,77,46,17,7,94,545,84,59,113,81,40,17,12,90,491,53,39,94,75,47,21,13,111,455,41,38,106,89,46,17,9,78,428,34,21,91,68,38,14,10,61,335,14,15,67,41,23,11,3,46,224,10,3,37,20,15,10,4,15,118,4,0,11,10,4,7,5,12,57,6,4,0,5,0,6,5,6,29,0,0,0,0,3,5,6,3,15,1629,696,1182,714,353,146,87,1118,5935
