UCL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
UCL501001,37,1900,846,350,2262,0.8,1858,2.6
UCL511001,39,1625,767,320,2003,0.7,1598,2.5
UCL512001,43,1517,704,300,1715,0.7,1308,2.3
UCL512002,45,1733,695,360,1723,0.7,1340,2.4
UCL512003,40,1517,752,250,1954,0.7,1477,2.4
UCL512004,35,1600,1213,300,2825,0.8,2295,2.6
UCL513001,40,2167,1080,350,2623,0.9,2063,2.7
UCL513002,41,1530,788,270,1988,0.7,1449,2.3
UCL513003,34,1950,1597,325,3497,0.9,3111,2.8
UCL513004,35,1500,1599,250,3278,0.9,2723,2.7
UCL513005,35,1842,739,340,1987,0.7,1691,2.8
UCL514001,43,1213,572,250,1489,0.7,1141,2.3
UCL514002,41,1907,876,450,2082,0.7,1803,2.6
UCL514003,38,1647,834,390,1948,0.8,1625,2.6
UCL514004,42,1300,643,250,1574,0.7,1256,2.3
UCL515001,62,1538,546,280,1145,0.6,889,1.9
UCL515002,43,1817,807,320,2050,0.7,1759,2.4
UCL515003,52,1300,562,296,1397,0.7,1022,2.2
UCL515004,30,1733,854,340,1914,0.7,1698,2.8
UCL515005,41,1419,688,320,1698,0.7,1402,2.5
UCL515006,49,1300,689,230,1854,0.8,1268,2.3
UCL515007,37,1950,883,420,2144,0.8,1968,2.8
UCL515008,37,2383,1545,450,3941,0.9,3447,2.9
UCL515009,48,1400,573,300,1375,0.7,978,2.1
UCL515010,40,1700,823,186,1927,0.9,1670,2.5
UCL515011,44,1408,609,300,1520,0.7,1251,2.4
UCL515012,32,1733,987,330,2399,0.7,2152,2.8
UCL515013,45,2000,917,380,2252,0.9,1788,2.5
UCL515014,39,1625,783,100,1183,1,1549,2.6
UCL515015,44,1500,700,278,1756,0.8,1331,2.4
UCL515016,51,1670,656,320,1490,0.6,1210,2.2
UCL515017,59,1503,651,280,1415,0.7,1247,2.1
UCL515018,36,1000,1027,200,2570,0.8,2216,2.4
UCL515019,38,1040,696,200,1582,0.8,1316,2.5
UCL515020,37,1738,1051,255,2278,1,1752,2.6
UCL515021,47,1602,711,219,1945,0.8,1430,2.4
UCL515022,41,1149,670,250,1578,0.7,1197,2.2
UCL515023,40,1000,763,220,1839,0.7,1375,2.2
UCL515024,41,997,729,230,1741,0.7,1302,2.3
UCL515025,45,1083,578,230,1311,0.7,965,2.3
UCL515026,31,1961,856,365,2097,0.8,2013,2.9
UCL515027,41,1122,717,240,1700,0.7,1221,2.2
UCL515028,33,1083,1770,110,3359,0.9,2914,2.7
UCL515029,37,1563,2053,30,3558,0.8,3181,2.5
UCL515030,44,1600,544,300,1574,0.7,1189,2.5
UCL515031,54,1530,621,265,1539,0.7,1099,2.1
UCL515032,37,2200,813,350,2459,0.8,2314,3
UCL515033,34,1400,1795,50,3426,0.9,3128,2.9
UCL515034,39,1730,640,320,1681,0.7,1302,2.5
UCL515035,51,910,608,196,1566,0.6,1055,2
UCL515036,47,1500,579,270,1567,0.7,1186,2.3
UCL515037,33,867,1795,117,3705,0.9,3350,2.9
UCL515038,56,1348,562,260,1403,0.7,1036,2.1
UCL521001,43,1733,738,282,2259,0.7,1949,2.6
UCL521002,47,1733,613,283,1557,0.8,1399,2.6
UCL521003,60,956,487,200,1212,0.7,865,1.9
UCL521004,26,0,307,80,676,1.2,937,3.7
UCL521005,39,1500,770,280,2097,0.7,1586,2.5
UCL521006,46,1616,713,320,1886,0.8,1512,2.5
UCL521007,50,900,564,220,1276,0.7,917,2
UCL521008,50,1000,480,200,1388,0.7,1050,2.1
UCL521009,49,748,701,160,1525,0.7,1062,2.2
UCL521010,42,1300,543,236,1463,0.8,1205,2.4
UCL521011,34,1684,956,310,2439,0.8,2216,2.8
UCL521012,52,1700,729,280,2103,0.8,1364,2
UCL521013,40,1846,728,375,2086,0.8,1786,2.7
UCL521014,45,940,972,250,1850,0.7,1288,2.1
UCL521015,51,867,822,186,1805,0.7,1190,2
UCL521016,37,1213,794,205,1984,0.7,1554,2.3
UCL521017,37,1092,1016,238,2221,0.8,1886,2.6
