UCL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
UCL501001,599829,1630729,83044,155431,32585,65616,115629,221045,20290,32668,15501,24564,17585,28536,10139,17352,789,1624,64306,104740,1146,1665,1167,1696,1395,1491,398,777,4103,5638,1012,1793,784879,1963937,70264,..,855144,1963937
UCL511001,24764,63738,2988,4654,487,886,3480,5543,507,771,123,194,24,35,36,60,10,13,700,1073,196,267,174,239,98,100,18,28,483,635,60,105,29481,71097,2864,..,32342,71097
UCL512001,11292,27062,968,1407,118,178,1085,1580,52,65,0,0,0,0,0,0,23,45,69,106,66,113,99,140,35,33,3,6,203,294,31,67,12681,29111,1728,..,14411,29111
UCL512002,9473,23171,1051,1603,155,285,1207,1885,11,23,0,0,15,23,0,0,20,47,51,89,61,109,140,221,56,72,13,29,271,433,29,46,11031,25625,2153,..,13177,25625
UCL512003,10967,27564,1410,2277,328,646,1741,2921,250,399,15,22,4,7,0,0,8,14,286,442,135,261,32,51,66,77,15,25,247,414,44,85,13285,31436,1781,..,15066,31436
UCL512004,8768,23447,1588,2905,248,541,1837,3447,140,217,0,0,0,0,0,0,3,6,141,219,109,159,481,728,70,74,24,35,686,1000,30,55,11451,28162,1686,..,13142,28162
UCL513001,4095,12098,607,1274,272,509,877,1783,138,298,0,0,0,0,0,0,3,5,147,306,1343,2841,3,14,46,89,34,77,1430,3020,137,226,6679,17442,722,..,7399,17442
UCL513002,3590,8578,431,700,46,84,473,786,111,149,0,3,0,0,0,0,0,0,115,154,83,147,32,44,20,34,3,9,141,243,28,69,4350,9828,772,..,5124,9828
UCL513003,4647,13915,721,1468,168,281,889,1754,148,230,42,59,57,102,192,280,0,0,441,677,220,452,89,145,13,17,3,19,318,631,69,109,6372,17078,1240,..,7610,17078
UCL513004,3854,10973,809,1745,313,727,1121,2473,412,610,137,204,148,225,0,0,0,0,695,1045,172,331,186,283,99,115,32,78,482,805,78,131,6239,15439,1462,..,7701,15439
