UCL_CODE_2021,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr_over,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85ov,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr_over,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL501001,457,445,1633,2572,3292,4807,8767,10913,6956,39840,87,228,1312,1851,2092,2153,1894,1547,1143,12315,4127,5503,14037,12488,10249,8722,9101,9263,7236,80727,52614,125751,286187,289618,255439,221447,176384,97847,39851,1545136
UCL511001,17,21,54,70,88,165,375,526,307,1622,5,0,30,19,28,48,32,33,24,215,168,195,518,432,451,435,421,350,298,3261,1996,3782,9070,9649,9463,8833,7065,3912,1511,55277
UCL512001,8,12,42,40,45,86,171,301,210,910,0,5,18,25,34,19,18,6,17,144,86,78,209,183,198,218,207,237,173,1587,886,1496,3476,3442,3828,4051,3540,2338,1047,24109
UCL512002,3,3,18,18,35,54,127,223,210,697,0,4,27,7,17,14,12,8,13,97,75,43,178,154,155,204,213,202,156,1383,629,1047,2568,3165,3452,3398,3528,2097,880,20764
UCL512003,14,12,21,33,52,134,238,340,192,1022,0,6,11,13,20,25,31,36,28,176,200,172,402,449,373,334,273,256,141,2591,1067,1790,3802,4025,4189,4165,3308,1902,776,25022
UCL512004,10,13,25,56,59,91,131,104,46,543,3,4,12,29,23,17,14,3,3,113,140,227,587,544,452,514,354,126,72,3015,873,2004,4932,4503,4013,3598,1915,685,197,22719
UCL513001,8,4,12,23,29,36,105,76,25,306,3,0,8,13,14,7,7,8,8,63,122,166,549,429,448,482,331,151,29,2712,442,927,2988,2872,2589,2818,2670,882,111,16298
UCL513002,6,0,3,12,18,37,62,101,61,294,0,0,0,3,0,4,10,0,5,20,59,64,142,146,162,130,119,121,37,969,299,513,1231,1233,1301,1367,1081,741,257,8030
UCL513003,3,3,12,16,35,25,42,28,7,165,5,6,9,12,3,6,3,8,0,39,127,205,681,745,609,434,161,37,8,3008,424,976,3542,3781,2834,1870,787,181,22,14423
UCL513004,6,8,19,31,39,48,48,27,8,233,0,0,7,10,20,8,11,4,0,64,130,212,799,750,674,527,184,48,13,3333,452,922,3557,3397,2606,2102,808,189,34,14079
UCL513005,9,3,7,11,13,19,23,38,21,138,0,0,7,5,0,0,3,3,0,27,31,19,69,72,49,50,37,58,50,441,315,483,1385,1469,1322,1039,821,461,146,7440
UCL514001,3,4,3,8,15,26,76,77,33,247,0,0,0,4,0,8,10,3,0,25,44,20,69,86,73,65,76,76,59,565,208,338,785,801,860,968,925,477,163,5527
