UCL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
UCL501001,21916,30058,51975,86141,108986,195129,20,18,37,14998,17265,32263,619,600,1214,183661,211334,394997,2212,2852,5067,11085,12137,23221,3335,4395,7733,2077,2399,4487,1803,2349,4151,1608,1588,3190,5647,6641,12285,10490,12578,23064,12477,14231,26708,857,1283,2140,1974,2483,4453,12100,17198,29302,31804,37854,69660,1092,1279,2377,383999,457485,841479,25274,23975,49252,32005,30309,62318,2567,2763,5330,64,54,119,9420,8469,17891,3633,5006,8637,13122,13527,26649,430575,405137,835710,3353,2507,5860,1353,2287,3639,435277,409932,845214,61380,56690,118068,2636,2568,5203,978179,1027301,2005481
UCL511001,221,382,610,3768,5007,8775,0,0,0,739,776,1509,0,0,0,5754,6835,12591,67,115,184,112,135,247,205,314,524,161,192,349,81,95,175,17,17,30,135,167,302,251,294,540,393,445,839,49,83,128,96,107,203,509,765,1278,1147,1328,2469,52,61,115,13534,16736,30271,244,213,453,317,312,634,11,22,30,3,4,8,87,68,155,104,165,273,193,238,431,17884,17159,35039,113,73,184,53,78,130,18054,17311,35360,2853,2204,5049,43,49,92,35471,37465,72939
UCL512001,83,156,240,1486,2018,3502,0,0,0,480,508,987,48,46,88,1536,1823,3360,77,89,164,35,30,70,59,95,154,27,28,53,33,59,99,4,0,4,90,120,208,111,136,249,306,388,692,26,35,66,74,70,145,316,488,803,651,794,1443,16,16,32,5369,6745,12111,59,49,109,50,49,100,6,7,22,0,0,0,15,15,27,51,101,144,69,113,183,7660,7605,15262,56,35,92,26,53,77,7736,7692,15430,1371,1025,2402,30,18,45,14767,15861,30630
UCL512002,78,165,244,1699,2272,3972,0,0,0,185,225,406,0,0,0,1777,2202,3979,82,93,176,16,27,43,88,139,230,15,20,36,26,42,68,0,0,0,41,64,106,71,82,153,128,175,299,10,25,31,56,51,110,282,444,723,345,432,773,12,12,21,4838,6297,11135,43,51,100,89,74,169,4,0,3,0,4,8,33,30,57,21,33,51,55,68,117,6492,6469,12965,40,22,61,19,32,47,6549,6522,13073,897,929,1821,16,15,35,12570,14125,26699
UCL512003,108,211,321,1713,2140,3856,0,0,0,164,162,331,0,0,0,3332,4013,7342,26,24,51,33,18,47,84,121,206,18,21,37,46,80,124,3,0,4,60,85,146,205,269,471,134,127,260,27,43,69,85,90,169,291,409,702,371,467,840,4,8,12,6590,8081,14671,93,73,167,258,284,545,5,8,13,0,4,7,17,14,24,41,53,97,64,66,127,6875,6351,13225,35,30,62,17,24,47,6929,6406,13333,1677,1693,3372,22,19,41,15744,16849,32590
UCL512004,122,202,326,1042,1005,2039,0,0,0,251,278,528,5,6,14,2711,2615,5326,62,95,159,45,43,84,56,65,117,106,132,240,61,57,114,9,7,13,118,113,231,133,139,266,163,171,331,17,31,50,60,69,132,195,230,426,557,667,1227,24,31,51,5607,5737,11349,207,179,381,165,110,275,3,5,12,0,5,4,44,42,89,31,47,78,78,93,168,7239,5871,13105,35,30,62,16,28,40,7285,5924,13212,2466,1673,4138,47,40,85,15981,13964,29942
UCL513001,58,143,209,921,1012,1935,0,0,0,78,93,168,0,0,3,1843,2271,4111,3,7,18,22,29,49,37,41,78,9,9,18,11,26,39,4,0,4,27,40,67,45,60,102,110,119,228,5,17,25,16,16,39,160,236,398,118,168,288,5,4,13,3429,4145,7571,38,24,57,50,34,87,9,8,12,10,15,26,5,10,12,21,26,42,31,48,87,4470,4416,8885,23,19,45,4,20,25,4497,4456,8958,1731,1785,3519,56,74,128,9897,10724,20620
UCL513002,34,63,92,507,575,1082,0,0,0,83,84,170,0,0,0,565,643,1214,17,29,44,8,7,13,42,62,103,3,5,3,43,61,102,0,6,4,32,35,63,35,35,68,55,80,138,6,9,11,24,30,56,116,174,285,233,248,482,9,8,19,1790,2080,3870,6,9,18,10,10,19,0,3,5,3,3,10,0,0,5,9,12,23,18,16,31,2633,2443,5071,8,7,22,7,8,17,2651,2456,5105,658,551,1210,12,6,18,5179,5189,10370
UCL513003,128,182,313,684,573,1261,0,0,0,143,148,292,0,0,0,1599,1445,3050,13,10,30,40,38,81,27,24,53,28,25,55,30,16,48,4,0,4,39,34,76,42,34,75,68,55,125,7,11,18,21,29,46,115,127,240,198,219,414,13,13,26,3086,2812,5896,175,134,311,134,94,235,9,7,13,3,0,6,21,20,43,21,19,39,44,41,86,4838,3807,8649,24,17,41,6,12,17,4873,3833,8711,2439,1386,3828,75,27,99,10965,8520,19488
UCL513004,85,138,223,555,505,1060,0,0,0,109,106,217,0,0,0,1533,1325,2865,18,22,42,32,28,62,44,55,98,32,37,71,27,19,51,3,5,3,43,24,71,80,113,193,76,62,139,0,0,8,35,46,78,120,117,232,235,235,474,3,7,9,2964,2704,5670,126,93,227,277,219,499,5,6,8,10,9,18,15,12,26,25,21,46,55,41,89,4233,3220,7453,35,13,44,13,9,22,4275,3242,7516,2619,1354,3973,34,21,54,10442,7818,18260
