UCL_CODE_2021,M_Emp_wrk_Ft_15_19,M_Emp_wrk_Ft_20_24,M_Emp_wrk_Ft_25_34,M_Emp_wrk_Ft_35_44,M_Emp_wrk_Ft_45_54,M_Emp_wrk_Ft_55_64,M_Emp_wrk_Ft_65_74,M_Emp_wrk_Ft_75_84,M_Emp_wrk_Ft_85_yr_over,M_Emp_wrk_Ft_Tot,M_Emp_wrk_Pt_15_19,M_Emp_wrk_Pt_20_24,M_Emp_wrk_Pt_25_34,M_Emp_wrk_Pt_35_44,M_Emp_wrk_Pt_45_54,M_Emp_wrk_Pt_55_64,M_Emp_wrk_Pt_65_74,M_Emp_wrk_Pt_75_84,M_Emp_wrk_Pt_85_yr_over,M_Emp_wrk_Pt_Tot,M_Emp_a_f_wrk_15_19,M_Emp_a_f_wrk_20_24,M_Emp_a_f_wrk_25_34,M_Emp_a_f_wrk_35_44,M_Emp_a_f_wrk_45_54,M_Emp_a_f_wrk_55_64,M_Emp_a_f_wrk_65_74,M_Emp_a_f_wrk_75_84,M_Emp_a_f_wrk_85_yr_over,M_Emp_a_f_wrk_Tot,M_Hr_wrk_ns_15_19,M_Hr_wrk_ns_20_24,M_Hr_wrk_ns_25_34,M_Hr_wrk_ns_35_44,M_Hr_wrk_ns_45_54,M_Hr_wrk_ns_55_64,M_Hr_wrk_ns_65_74,M_Hr_wrk_ns_75_84,M_Hr_wrk_ns_85_yr_over,M_Hr_wrk_ns_Tot,M_Tot_emp_15_19,M_Tot_emp_20_24,M_Tot_emp_25_34,M_Tot_emp_35_44,M_Tot_emp_45_54,M_Tot_emp_55_64,M_Tot_emp_65_74,M_Tot_emp_75_84,M_Tot_emp_85_yr_over,M_Tot_emp_Tot,M_UE_lk_fr_Ft_wrk_15_19,M_UE_lk_fr_Ft_wrk_20_24,M_UE_lk_fr_Ft_wrk_25_34,M_UE_lk_fr_Ft_wrk_35_44,M_UE_lk_fr_Ft_wrk_45_54,M_UE_lk_fr_Ft_wrk_55_64,M_UE_lk_fr_Ft_wrk_65_74,M_UE_lk_fr_Ft_wrk_75_84,M_UE_lk_for_Ft_wrk_85_over,M_UE_looking_for_Ft_wk_Tot,M_UE_lk_for_Pt_wk_15_19,M_UE_lk_for_Pt_wk_20_24,M_UE_lk_for_Pt_wk_25_34,M_UE_lk_for_Pt_wk_35_44,M_UE_lk_for_Pt_wk_45_54,M_UE_lk_for_Pt_wk_55_64,M_UE_lk_for_Pt_wk_65_74,M_UE_lk_for_Pt_wk_75_84,M_UE_looking_for_Pt_wk_85_ov,M_UE_lk_for_Pt_wrk_Tot,M_Tot_unemp_15_19,M_Tot_unemp_20_24,M_Tot_unemp_25_34,M_Tot_unemp_35_44,M_Tot_unemp_45_54,M_Tot_unemp_55_64,M_Tot_unemp_65_74,M_Tot_unemp_75_84,M_Tot_unemp_85_yr_over,M_Tot_unemp_Total,M_Tot_LF_15_19_yr,M_Tot_LF_20_24_yr,M_Tot_LF_25_34_yr,M_Tot_LF_35_44_yr,M_Tot_LF_45_54_yr,M_Tot_LF_55_64_yr,M_Tot_LF_65_74_yr,M_Tot_LF_75_84_yr,M_Tot_LF_85_yr_over,M_Tot_LF_Tot,M_NILF_15_19_yr,M_NILF_20_24_yr,M_NILF_25_34_yr,M_NILF_35_44_yr,M_NILF_45_54_yr,M_NILF_55_64_yr,M_NILF_65_74_yr,M_NILF_75_84_yr,M_NILF_85_yr_over,M_NILF_Tot,M_LF_st_ns_15_19,M_LF_st_ns_20_24,M_LF_st_ns_25_34,M_LF_st_ns_35_44,M_LF_st_ns_45_54,M_LF_st_ns_55_64,M_LF_st_ns_65_74,M_LF_st_ns_75_84,M_LF_st_ns_85_yr_over,M_LF_st_ns_Total,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Emp_wrk_Ft_15_19,F_Emp_wrk_Ft_20_24,F_Emp_wrk_Ft_25_34,F_Emp_wrk_Ft_35_44,F_Emp_wrk_Ft_45_54,F_Emp_wrk_Ft_55_64,F_Emp_wrk_Ft_65_74,F_Emp_wrk_Ft_75_84,F_Emp_wrk_Ft_85_yr_over,F_Emp_wrk_Ft_Tot,F_Emp_wrk_Pt_15_19,F_Emp_wrk_Pt_20_24,F_Emp_wrk_Pt_25_34,F_Emp_wrk_Pt_35_44,F_Emp_wrk_Pt_45_54,F_Emp_wrk_Pt_55_64,F_Emp_wrk_Pt_65_74,F_Emp_wrk_Pt_75_84,F_Emp_wrk_Pt_85ov,F_Emp_wrk_Pt_Tot,F_Emp_a_f_wrk_15_19,F_Emp_a_f_wrk_20_24,F_Emp_a_f_wrk_25_34,F_Emp_a_f_wrk_35_44,F_Emp_a_f_wrk_45_54,F_Emp_a_f_wrk_55_64,F_Emp_a_f_wrk_65_74,F_Emp_a_f_wrk_75_84,F_Emp_a_f_wrk_85ov,F_Emp_a_f_wrk_Tot,F_Hr_wrk_ns_15_19,F_Hr_wrk_ns_20_24,F_Hr_wrk_ns_25_34,F_Hr_wrk_ns_35_44,F_Hr_wrk_ns_45_54,F_Hr_wrk_ns_55_64,F_Hr_wrk_ns_65_74,F_Hr_wrk_ns_75_84,F_Hr_wrk_ns_85_yr_over,F_Hr_wrk_ns_Tot,F_Tot_emp_15_19_yr,F_Tot_emp_20_24_yr,F_Tot_emp_25_34_yr,F_Tot_emp_35_44_yr,F_Tot_emp_45_54_yr,F_Tot_emp_55_64_yr,F_Tot_emp_65_74_yr,F_Tot_emp_75_84_yr,F_Tot_emp_85_yr_over,F_Tot_emp_Tot,F_UE_lk_fr_Ft_wrk_15_19,F_UE_lk_fr_Ft_wrk_20_24,F_UE_lk_fr_Ft_wrk_25_34,F_UE_lk_fr_Ft_wrk_35_44,F_UE_lk_fr_Ft_wrk_45_54,F_UE_lk_fr_Ft_wrk_55_64,F_UE_lk_fr_Ft_wrk_65_74,F_UE_lk_fr_Ft_wrk_75_84,F_UE_lk_for_Ft_wrk_85_over,F_UE_looking_for_Ft_wk_Tot,F_UE_lk_for_Pt_wk_15_19,F_UE_lk_for_Pt_wk_20_24,F_UE_lk_for_Pt_wk_25_34,F_UE_lk_for_Pt_wk_35_44,F_UE_lk_for_Pt_wk_45_54,F_UE_lk_for_Pt_wk_55_64,F_UE_lk_for_Pt_wk_65_74,F_UE_lk_for_Pt_wk_75_84,F_UE_looking_for_Pt_wk_85_ov,F_UE_lk_for_Pt_wrk_Tot,F_Tot_unemp_15_19,F_Tot_unemp_20_24,F_Tot_unemp_25_34,F_Tot_unemp_35_44,F_Tot_unemp_45_54,F_Tot_unemp_55_64,F_Tot_unemp_65_74,F_Tot_unemp_75_84,F_Tot_unemp_85_yr_over,F_Tot_unemp_Total
UCL501001,6438,24194,87476,100009,85594,58477,11861,813,41,374911,18835,20013,20255,14658,12805,14524,10441,2040,147,113715,862,1230,3656,3578,3215,3323,1087,132,17,17111,392,1154,2734,1972,1385,871,280,93,27,8898,26535,46594,114114,120217,102999,77192,23675,3075,232,514630,1355,2752,4371,3385,3338,2893,511,34,3,18639,4574,2020,1483,703,722,985,566,63,4,11123,5932,4773,5854,4091,4068,3876,1081,95,6,29765,32462,51363,119970,124304,107064,81068,24752,3169,242,544400,26089,9131,11053,9802,11657,21311,55711,39333,13274,197371,2100,2841,6903,6216,5019,3897,3147,2731,1833,34678,60648,63332,137925,140322,123749,106272,83614,45232,15345,776449,2687,17997,58794,51657,53146,33028,5127,193,4,222641,24591,26420,41813,52783,43503,34165,11244,1144,59,235729,927,1583,7637,5196,2849,3227,932,105,5,22472,443,919,1828,1230,1046,674,219,78,37,6479,28647,46913,110078,110875,100554,71099,17523,1516,99,487315,859,1482,2522,2235,2185,1411,139,11,0,10837,4619,1965,2810,2996,2160,1769,369,27,3,16712,5476,3449,5329,5229,4341,3184,508,36,7,27552
UCL511001,375,1023,2778,3194,3055,2351,449,21,0,13243,699,336,478,401,386,456,346,55,3,3157,46,59,142,129,167,170,49,7,0,773,17,24,82,58,53,27,5,4,0,279,1143,1446,3479,3782,3662,3005,846,82,4,17452,69,96,144,116,105,83,16,0,0,632,108,39,49,17,33,32,16,3,0,305,182,135,193,135,135,118,31,3,0,934,1320,1582,3670,3917,3797,3125,876,85,4,18386,889,239,460,518,485,950,2338,1605,483,7963,83,109,243,212,210,174,158,97,75,1356,2294,1933,4376,4645,4493,4249,3369,1790,561,27709,219,680,1515,1499,1921,1175,122,5,0,7136,992,564,1402,2060,1766,1361,434,36,0,8611,55,73,248,148,125,135,24,6,0,823,21,32,39,47,35,15,8,0,0,208,1290,1351,3211,3750,3844,2691,588,42,3,16784,55,44,73,58,59,56,9,0,0,347,155,54,89,94,87,53,12,4,0,540,207,100,162,154,144,111,18,4,0,889
UCL512001,194,370,1005,986,1113,880,185,15,3,4755,315,146,220,217,195,326,226,35,3,1678,10,19,45,43,51,73,22,4,0,272,10,20,25,19,24,18,6,0,0,121,527,558,1284,1264,1383,1301,437,59,16,6829,24,32,46,31,37,25,6,0,0,196,45,14,28,11,8,15,10,0,0,142,69,42,73,44,47,41,17,0,0,340,599,600,1360,1306,1431,1342,457,60,16,7162,356,135,331,260,235,446,1127,908,390,4183,52,33,102,79,104,95,84,58,34,639,1000,773,1787,1642,1768,1882,1664,1023,439,11981,89,265,516,557,797,536,86,4,0,2850,424,216,541,759,727,724,246,29,5,3654,15,19,90,39,56,80,21,7,0,327,9,11,22,12,18,13,3,4,0,90,532,519,1170,1372,1598,1344,356,33,5,6929,12,17,17,19,16,11,0,0,0,98,45,10,24,15,21,31,4,0,0,150,56,35,43,31,39,42,8,0,0,251
UCL512002,126,274,746,940,1028,722,147,13,0,3999,316,116,157,178,191,269,199,30,4,1455,21,18,53,66,76,53,18,3,0,306,3,8,19,17,17,7,3,3,4,88,470,417,978,1199,1302,1060,357,46,4,5834,15,27,46,24,22,17,4,0,0,157,33,11,18,17,5,10,8,0,0,104,54,34,61,41,31,34,10,0,0,254,521,457,1038,1241,1328,1088,371,46,4,6090,244,65,100,115,160,336,1206,883,278,3383,21,20,90,81,75,87,76,69,34,549,789,541,1225,1434,1566,1513,1648,985,315,10019,88,184,426,514,699,433,57,8,0,2401,373,185,454,752,776,627,201,19,0,3387,25,18,68,54,54,67,16,0,0,305,10,10,9,18,13,10,8,0,0,65,487,396,958,1332,1537,1138,284,27,0,6159,7,7,12,15,19,10,0,0,0,70,32,7,22,26,27,24,5,0,0,148,40,17,36,43,45,34,3,0,0,219
UCL512003,186,407,1074,1155,1175,991,218,21,5,5229,295,165,225,182,202,253,156,35,0,1518,13,20,53,62,82,87,28,5,0,345,19,14,42,19,19,19,5,4,0,143,516,608,1391,1417,1482,1348,404,67,7,7240,34,53,59,65,55,54,7,0,0,323,56,13,21,17,20,23,13,0,0,168,92,60,84,83,75,80,18,0,0,497,608,667,1477,1500,1557,1426,425,67,7,7729,359,109,140,175,234,459,1041,721,265,3506,121,71,191,221,168,162,115,110,54,1202,1084,847,1807,1897,1965,2044,1590,890,327,12443,103,296,615,702,848,583,103,6,0,3245,463,283,550,708,715,593,208,16,3,3543,19,36,107,69,51,71,20,4,0,378,0,6,18,10,33,16,3,3,3,99,589,619,1294,1496,1650,1264,335,29,3,7264,21,25,21,20,32,18,4,0,0,148,48,20,39,40,31,46,0,0,0,224,61,45,63,63,70,65,6,0,0,372
UCL512004,225,644,1721,1660,1457,1196,262,19,0,7183,209,92,175,139,120,138,84,19,0,970,17,36,52,51,66,83,16,0,0,321,6,30,48,31,28,27,8,3,0,183,463,804,1996,1889,1672,1446,367,34,0,8662,20,33,40,46,42,28,5,0,0,221,37,10,11,4,8,19,6,0,0,94,58,41,58,46,51,50,7,0,0,307,514,844,2049,1938,1717,1495,375,34,0,8969,264,119,197,161,179,249,516,274,47,2004,72,131,320,317,268,286,185,51,12,1647,852,1091,2570,2419,2161,2024,1075,362,64,12616,146,434,958,859,942,606,96,3,0,4039,261,171,536,542,400,357,116,10,0,2395,13,25,116,49,56,47,10,0,0,310,4,20,25,20,22,12,3,3,0,108,424,643,1636,1472,1413,1021,223,15,0,6848,20,20,19,29,18,11,0,0,0,122,27,15,19,20,12,10,0,0,0,111,48,32,42,52,30,24,0,0,0,228
UCL513001,50,173,653,752,681,479,141,9,0,2938,107,48,111,115,108,126,120,21,0,762,10,17,56,83,95,134,80,21,0,491,5,11,32,29,12,16,3,3,0,111,171,241,854,980,896,744,344,58,0,4292,14,24,29,22,21,22,0,0,0,133,9,7,3,13,11,10,3,0,0,51,20,30,35,34,37,33,7,0,0,183,194,269,889,1011,930,777,350,58,0,4476,128,72,148,115,134,310,871,369,44,2186,65,88,213,186,214,214,146,83,15,1220,386,427,1247,1319,1277,1301,1367,503,56,7884,52,149,660,600,550,392,69,3,0,2479,152,99,317,403,253,248,108,17,0,1601,7,30,135,97,92,142,60,4,0,574,8,9,29,22,16,15,4,4,0,101,221,293,1146,1121,916,791,240,34,0,4756,18,8,22,11,15,7,0,0,0,88,7,8,18,15,9,5,0,0,0,68,28,23,44,29,18,19,0,0,0,156
UCL513002,81,170,392,400,430,366,66,5,0,1921,75,18,62,50,56,74,51,6,0,388,8,0,24,24,22,35,4,4,0,122,3,5,20,15,9,9,3,0,0,63,173,194,495,485,517,485,119,17,0,2499,10,6,3,5,9,3,0,0,0,43,11,0,0,3,4,9,3,0,0,33,21,11,6,15,15,12,5,0,0,82,198,205,502,502,535,494,122,24,0,2579,126,18,31,38,50,130,347,277,81,1103,32,30,76,59,84,71,45,44,13,465,360,258,610,595,670,697,530,340,96,4143,34,91,200,197,259,186,35,0,0,997,92,84,177,238,201,189,57,13,0,1054,7,10,35,16,19,22,7,0,0,122,8,6,8,5,7,4,0,0,0,44,144,185,423,454,484,401,102,20,0,2221,0,6,8,5,5,0,0,0,0,25,4,5,4,10,8,7,3,0,0,38,9,13,8,15,7,11,3,0,0,62
UCL513003,104,311,1153,1387,1061,638,127,0,0,4786,148,46,113,113,89,67,14,5,0,595,10,8,75,88,58,59,13,6,0,327,0,9,34,23,14,12,3,0,0,94,262,378,1380,1617,1220,776,160,11,0,5801,8,10,19,17,15,19,0,0,0,90,28,3,7,0,0,0,5,0,0,47,37,16,26,21,17,16,3,0,0,139,301,392,1402,1633,1234,795,165,11,0,5940,131,35,51,52,58,92,200,69,3,698,72,117,396,511,418,300,95,26,6,1943,506,540,1854,2198,1711,1189,455,108,9,8575,52,216,662,631,522,253,37,0,0,2376,152,61,340,440,247,99,31,4,0,1367,11,14,103,55,24,31,10,0,0,253,10,0,16,5,4,3,0,0,0,48,215,290,1124,1131,804,390,80,4,0,4039,6,4,21,17,16,7,0,0,0,67,17,6,18,9,13,7,0,0,0,63,25,10,31,27,29,10,0,0,0,129
UCL513004,92,217,1112,1231,923,670,103,3,0,4355,99,35,98,84,72,77,26,0,0,500,5,8,63,77,70,51,15,0,0,296,4,14,39,36,9,13,0,0,0,116,196,274,1318,1431,1082,813,150,3,0,5273,17,34,30,19,16,15,0,0,0,134,13,6,0,3,3,5,4,0,0,38,23,42,32,23,22,18,0,5,0,174,222,317,1345,1461,1108,830,153,4,0,5441,132,41,76,67,76,132,200,85,9,826,68,115,502,539,475,378,113,25,4,2219,424,473,1924,2063,1663,1343,470,109,16,8484,53,170,686,544,425,257,45,0,0,2186,104,58,277,297,132,92,20,0,0,982,7,23,88,52,34,37,10,0,0,239,9,17,33,18,5,7,0,0,0,86,168,269,1082,909,598,393,72,0,0,3498,8,7,11,15,12,13,0,0,0,69,12,0,18,20,3,9,0,0,0,64,17,13,30,32,16,20,0,0,0,129
