UCL_CODE_2021,M_Agr_fstry_fsh_15_19,M_Agr_fstry_fsh_20_24,M_Agr_fstry_fsh_25_34,M_Agr_fstry_fsh_35_44,M_Agr_fstry_fsh_45_54,M_Agr_fstry_fsh_55_64,M_Agr_fstry_fsh_65_74,M_Agr_fstry_fsh_75_84,M_Agr_fstry_fsh_85_yr_over,M_Agr_fstry_fsh_Tot,M_Min_15_19_yr,M_Min_20_24_yr,M_Min_25_34_yr,M_Min_35_44_yr,M_Min_45_54_yr,M_Min_55_64_yr,M_Min_65_74_yr,M_Min_75_84_yr,M_Min_85_yr_over,M_Min_Tot,M_Manf_15_19_yr,M_Manf_20_24_yr,M_Manf_25_34_yr,M_Manf_35_44_yr,M_Manf_45_54_yr,M_Manf_55_64_yr,M_Manf_65_74_yr,M_Manf_75_84_yr,M_Manf_85_yr_over,M_Manf_Tot,M_Elec_gas_wtr_wst_sv_15_19,M_Elec_gas_wtr_wst_sv_20_24,M_Elec_gas_wtr_wst_sv_25_34,M_Elec_gas_wtr_wst_sv_35_44,M_Elec_gas_wtr_wst_sv_45_54,M_Elec_gas_wtr_wst_sv_55_64,M_Elec_gas_wtr_wst_sv_65_74,M_Elec_gas_wtr_wst_sv_75_84,M_Elec_gas_wtr_wst_sv_85_over,M_Elec_gas_wtr_wst_sv_Tot,M_Con_15_19_yr,M_Con_20_24_yr,M_Con_25_34_yr,M_Con_35_44_yr,M_Con_45_54_yr,M_Con_55_64_yr,M_Con_65_74_yr,M_Con_75_84_yr,M_Con_85_yr_over,M_Con_Tot,M_Whl_trd_15_19_yr,M_Whl_trd_20_24_yr,M_Whl_trd_25_34_yr,M_Whl_trd_35_44_yr,M_Whl_trd_45_54_yr,M_Whl_trd_55_64_yr,M_Whl_trd_65_74_yr,M_Whl_trd_75_84_yr,M_Whl_trd_85_yr_over,M_Whl_trd_Tot,M_Re_trd_15_19_yr,M_Re_trd_20_24_yr,M_Re_trd_25_34_yr,M_Re_trd_35_44_yr,M_Re_trd_45_54_yr,M_Re_trd_55_64_yr,M_Re_trd_65_74_yr,M_Re_trd_75_84_yr,M_Re_trd_85_yr_over,M_Re_trd_Tot,M_Acc_food_svc_15_19,M_Acc_food_svc_20_24,M_Acc_food_svc_25_34,M_Acc_food_svc_35_44,M_Acc_food_svc_45_54,M_Acc_food_svc_55_64,M_Acc_food_svc_65_74,M_Acc_food_svc_75_84,M_Acc_food_svc_85_yr_over,M_Acc_food_svc_Tot,M_Trp_pos_wh_15_19,M_Trp_pos_wh_20_24,M_Trp_pos_wh_25_34,M_Trp_pos_wh_35_44,M_Trp_pos_wh_45_54,M_Trp_pos_wh_55_64,M_Trp_pos_wh_65_74,M_Trp_pos_wh_75_84,M_Trp_pos_wh_85_yr_over,M_Trp_pos_wh_Tot,M_In_med_tcom_15_19,M_In_med_tcom_20_24,M_In_med_tcom_25_34,M_In_med_tcom_35_44,M_In_med_tcom_45_54,M_In_med_tcom_55_64,M_In_med_tcom_65_74,M_In_med_tcom_75_84,M_In_med_tcom_85_yr_over,M_In_med_tcom_Tot,M_Fin_in_svc_15_19,M_Fin_in_svc_20_24,M_Fin_in_svc_25_34,M_Fin_in_svc_35_44,M_Fin_in_svc_45_54,M_Fin_in_svc_55_64,M_Fin_in_svc_65_74,M_Fin_in_svc_75_84,M_Fin_in_svc_85_yr_over,M_Fin_in_svc_Tot,M_Rnt_hrg_rea_est_serv_15_19,M_Rnt_hrg_rea_est_serv_20_24,M_Rnt_hrg_rea_est_serv_25_34,M_Rnt_hrg_rea_est_serv_35_44,M_Rnt_hrg_rea_est_serv_45_54,M_Rnt_hrg_rea_est_serv_55_64,M_Rnt_hrg_rea_est_serv_65_74,M_Rnt_hrg_rea_est_serv_75_84,M_Rnt_hrg_rea_est_serv_85_ov,M_Rnt_hrg_rea_est_serv_Tot,M_Prof_sc_tech_serv_15_19,M_Prof_sc_tech_serv_20_24,M_Prof_sc_tech_serv_25_34,M_Prof_sc_tech_serv_35_44,M_Prof_sc_tech_serv_45_54,M_Prof_sc_tech_serv_55_64,M_Prof_sc_tech_serv_65_74,M_Prof_sc_tech_serv_75_84,M_Prof_sc_tech_serv_85_over,M_Prof_sc_tech_serv_Tot,M_Adm_sup_serv_15_19,M_Adm_sup_serv_20_24,M_Adm_sup_serv_25_34,M_Adm_sup_serv_35_44,M_Adm_sup_serv_45_54,M_Adm_sup_serv_55_64,M_Adm_sup_serv_65_74,M_Adm_sup_serv_75_84,M_Adm_sup_serv_85_over,M_Adm_sup_serv_Tot,M_PubAd_saf_15_19,M_PubAd_saf_20_24,M_PubAd_saf_25_34,M_PubAd_saf_35_44,M_PubAd_saf_45_54,M_PubAd_saf_55_64,M_PubAd_saf_65_74,M_PubAd_saf_75_84,M_PubAd_saf_85_over,M_PubAd_saf_Tot,M_Ed_trng_15_19,M_Ed_trng_20_24,M_Ed_trng_25_34,M_Ed_trng_35_44,M_Ed_trng_45_54,M_Ed_trng_55_64,M_Ed_trng_65_74,M_Ed_trng_75_84,M_Ed_trng_85_over,M_Ed_trng_Tot,M_Hlth_cre_socia_assist_15_19,M_Hlth_cre_socia_assist_20_24,M_Hlth_cre_socia_assist_25_34,M_Hlth_cre_socia_assist_35_44,M_Hlth_cre_socia_assist_45_54,M_Hlth_cre_socia_assist_55_64,M_Hlth_cre_socia_assist_65_74,M_Hlth_cre_socia_assist_75_84,M_Hlth_cre_socia_assist_85_ov,M_Hlth_cre_socia_assist_Tot,M_Arts_rec_svc_15_19,M_Arts_rec_svc_20_24,M_Arts_rec_svc_25_34,M_Arts_rec_svc_35_44,M_Arts_rec_svc_45_54,M_Arts_rec_svc_55_64,M_Arts_rec_svc_65_74,M_Arts_rec_svc_75_84,M_Arts_rec_svc_85_yr_over,M_Arts_rec_svc_Tot,M_Oth_svc_15_19_yr,M_Oth_svc_20_24_yr,M_Oth_svc_25_34_yr,M_Oth_svc_35_44_yr,M_Oth_svc_45_54_yr,M_Oth_svc_55_64_yr,M_Oth_svc_65_74_yr,M_Oth_svc_75_84_yr,M_Oth_svc_85_yr_over,M_Oth_svc_Tot,M_Inad_desc_Ns_15_19,M_Inad_desc_Ns_20_24,M_Inad_desc_Ns_25_34,M_Inad_desc_Ns_35_44,M_Inad_desc_Ns_45_54,M_Inad_desc_Ns_55_64,M_Inad_desc_Ns_65_74,M_Inad_desc_Ns_75_84,M_Inad_desc_Ns_85_yr_over,M_Inad_desc_Ns_Tot
UCL501001,151,281,687,696,718,639,379,119,6,3674,295,2029,10396,12933,10530,6189,1160,71,3,43611,1275,2870,7471,9061,9072,7023,1681,179,8,38647,118,345,1534,2051,1898,1449,295,14,0,7707,2854,6576,17992,17992,14358,10352,2442,196,10,72763,494,1206,3569,4281,4090,2994,797,104,10,17534,5826,7394,8419,6296,5008,3761,1466,203,13,38394,8576,5584,6304,4197,2477,1898,574,72,3,29673,672,2230,7294,8132,7461,6911,2179,194,4,35072,203,502,1249,1430,1091,689,210,39,0,5405,52,579,2411,3179,2827,1718,580,116,8,11472,113,404,1258,1531,1547,1222,723,179,24,6998,366,2905,10282,12983,9990,6270,2397,376,28,45594,547,1489,3374,3187,2800,2443,877,120,10,14852,263,1685,6522,7615,7614,6153,1560,163,8,31594,875,1788,4708,4883,4764,4537,1710,183,12,23463,383,2287,7028,7192,6103,4924,1830,246,9,30009,1173,1363,1999,1585,1201,934,395,83,6,8726,985,2092,4497,3987,3570,2951,1081,157,11,19336,1300,2991,7130,7001,5888,4144,1344,256,52,30111
UCL511001,16,26,71,52,60,65,34,11,0,335,13,99,406,526,482,319,50,0,0,1906,96,205,533,653,584,385,73,3,0,2522,9,30,101,127,137,136,14,0,0,562,133,339,721,735,650,546,141,11,0,3279,18,38,73,102,106,80,14,0,0,438,233,168,266,199,168,149,45,7,0,1236,390,96,140,91,57,48,12,0,0,837,13,57,141,201,252,279,86,11,0,1035,11,10,31,16,17,10,5,0,0,108,3,7,24,27,53,25,12,3,0,159,9,7,31,28,40,36,21,0,3,159,14,31,133,141,129,93,51,3,0,608,14,33,56,66,74,73,28,0,0,349,10,43,116,160,197,192,48,3,0,767,10,22,91,117,145,142,66,0,0,591,21,65,191,219,200,189,58,3,0,945,24,9,20,17,11,13,5,0,0,115,49,90,133,143,131,112,35,5,0,696,55,75,183,169,152,120,37,8,0,808
UCL512001,18,35,73,69,78,84,44,11,3,427,0,0,45,47,44,23,4,0,0,172,39,67,139,100,115,67,26,0,0,555,0,9,17,35,42,35,0,0,0,135,73,109,255,214,208,186,44,3,0,1094,0,21,50,49,72,45,17,0,0,252,123,87,121,109,99,101,38,5,0,686,167,61,84,70,38,21,24,0,0,463,3,16,45,76,107,126,36,9,0,409,3,5,8,5,10,9,3,0,0,47,0,9,4,12,23,16,8,0,0,74,0,0,20,17,14,12,11,3,0,80,8,9,36,48,38,57,26,0,0,232,3,13,28,36,35,47,11,0,0,175,5,14,67,97,133,135,24,4,0,482,11,8,59,69,88,74,26,4,0,353,5,26,91,104,123,138,43,4,0,534,6,3,16,15,11,6,10,3,0,71,21,34,69,49,51,60,25,3,0,308,29,22,49,54,53,44,17,8,0,275
UCL512002,11,12,39,44,30,43,26,11,4,221,9,24,107,181,170,88,7,0,0,589,20,39,77,109,93,74,21,0,0,433,0,0,15,21,33,24,5,0,0,102,57,108,221,229,243,172,47,6,0,1086,5,0,13,22,34,19,6,0,0,97,99,65,96,95,90,87,32,3,0,576,182,63,98,92,61,56,23,0,0,579,16,7,19,26,75,71,43,0,0,257,5,0,0,0,11,6,0,0,0,22,0,0,15,11,23,15,5,0,0,65,0,3,3,11,20,14,8,4,0,68,0,5,26,33,50,37,21,3,0,185,8,20,33,39,50,49,13,3,0,214,8,6,36,60,86,68,24,0,0,280,3,3,28,51,60,51,18,0,0,220,8,10,59,65,78,94,20,0,0,337,8,3,13,11,8,12,6,0,0,64,20,25,37,41,51,27,14,0,0,223,15,16,47,38,48,35,17,5,5,224
UCL512003,13,31,60,67,81,75,34,8,0,380,8,37,134,181,156,114,16,0,0,649,31,29,59,56,56,55,16,3,0,289,3,6,23,26,28,39,4,0,0,122,76,136,251,213,176,196,43,3,0,1099,10,16,48,71,72,57,12,4,0,299,124,96,128,106,88,62,28,5,0,649,150,60,80,48,27,21,9,4,0,396,8,22,117,122,198,200,64,6,0,736,8,6,12,10,3,14,0,0,0,56,0,4,9,12,14,16,4,0,0,63,0,3,10,7,11,12,10,4,0,59,0,13,59,61,72,49,19,4,0,281,10,10,32,41,39,47,7,3,0,189,0,20,65,102,139,126,29,0,0,488,6,14,58,77,83,87,26,4,0,346,11,15,80,91,111,80,34,0,0,417,6,10,9,10,8,11,3,0,0,50,24,45,79,67,48,52,19,4,0,336,23,33,76,56,70,51,23,3,4,343
UCL512004,0,0,4,4,0,0,4,0,0,19,84,270,836,792,654,496,70,3,0,3201,17,38,107,126,87,90,19,0,0,487,6,11,25,42,27,39,7,0,0,155,54,98,217,177,152,162,35,3,0,895,3,27,79,85,63,44,10,0,0,316,83,59,55,57,47,50,12,4,0,377,95,40,46,44,17,29,9,4,0,288,6,36,97,103,159,161,69,0,0,627,0,3,9,8,8,5,0,0,0,38,0,0,0,9,6,4,0,0,0,32,6,16,29,22,22,23,6,0,0,120,14,36,72,53,58,44,17,3,0,293,3,12,21,17,19,22,4,3,0,94,10,15,76,80,85,81,26,0,0,378,3,10,48,40,41,45,21,0,0,206,8,24,59,64,51,37,14,3,0,252,5,6,4,5,0,11,3,0,0,32,34,60,95,91,83,54,12,0,0,425,32,43,102,83,77,64,23,3,0,417
UCL513001,4,11,27,28,21,39,38,9,0,189,3,10,53,63,56,35,12,0,0,230,5,11,16,25,30,28,6,0,0,120,0,0,10,18,26,15,6,0,0,78,13,41,113,132,139,89,43,4,0,570,0,4,13,13,12,16,9,4,0,72,49,28,46,42,54,63,30,4,0,321,37,30,104,62,49,44,19,0,0,340,3,18,92,94,87,70,32,3,0,407,0,3,4,18,9,4,5,0,0,45,0,4,10,13,15,12,7,6,0,62,0,3,8,12,13,11,10,6,0,71,10,0,32,35,30,38,17,7,0,161,12,8,27,27,44,26,15,0,0,150,0,12,68,106,104,71,21,4,0,383,3,9,49,68,54,47,15,0,0,239,0,16,81,90,70,69,30,6,0,366,3,3,12,10,16,12,16,4,0,82,3,19,38,45,31,24,11,0,0,170,9,12,44,72,53,37,16,3,0,249
UCL513002,14,11,53,52,68,44,24,6,4,287,0,9,24,28,29,17,5,0,0,116,9,11,27,16,17,14,0,0,0,96,4,5,7,20,24,10,0,0,0,72,36,42,85,76,47,70,15,0,0,369,7,12,33,33,40,43,3,0,0,167,34,24,39,30,26,22,9,0,0,178,49,20,21,13,9,18,9,0,0,131,3,14,61,74,87,88,12,0,0,340,0,0,4,0,4,3,0,0,0,6,0,0,6,6,4,5,6,0,0,25,0,0,0,4,3,5,0,0,0,19,5,3,11,13,7,15,0,0,0,53,0,6,5,3,6,10,0,0,0,39,0,0,22,32,45,34,8,0,0,144,0,0,17,23,21,23,3,0,0,91,0,3,19,16,19,21,3,0,0,80,0,0,0,0,0,0,0,0,0,10,10,13,37,29,33,15,0,0,0,147,6,14,32,14,27,26,8,3,0,143
UCL513003,0,0,4,4,0,3,5,0,0,17,12,63,377,569,385,201,27,0,0,1632,14,15,55,70,45,34,13,0,0,241,4,9,33,44,33,37,8,0,0,170,33,88,314,283,205,141,31,0,0,1095,9,9,25,32,23,16,4,0,0,125,61,28,49,34,14,13,7,0,0,204,68,15,50,57,30,19,7,0,0,245,9,16,78,123,131,76,30,0,0,447,0,3,6,6,0,3,0,0,0,20,0,0,0,7,0,0,0,0,0,10,3,4,21,20,20,18,0,0,0,92,0,11,56,47,30,23,0,0,0,174,12,16,53,35,27,23,9,0,0,160,0,18,51,84,81,64,10,0,0,308,0,8,28,40,33,16,3,0,0,140,4,4,32,17,16,18,8,0,0,96,9,5,5,3,10,5,0,0,0,31,17,23,46,54,43,18,4,0,0,203,19,30,94,100,75,58,10,0,0,381
UCL513004,3,0,4,0,0,8,3,0,0,16,28,68,457,619,396,266,25,0,0,1861,3,15,87,67,59,22,0,0,0,262,9,8,24,30,34,20,3,0,0,117,15,36,176,118,121,92,20,0,0,581,8,16,49,64,29,26,0,0,0,199,32,23,30,24,25,27,9,0,0,161,26,12,37,30,20,18,11,0,0,148,15,24,140,208,186,153,18,0,0,750,0,4,3,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,10,10,17,13,7,0,0,0,67,4,5,35,39,19,12,6,0,0,117,4,10,38,23,22,16,5,0,0,114,11,9,54,52,38,27,18,0,0,206,0,6,41,13,22,27,7,0,0,106,5,0,26,19,22,23,7,0,0,103,0,0,0,3,3,0,0,0,0,16,19,19,46,39,28,18,9,0,0,171,18,21,53,60,53,42,5,0,0,257
