UCL_CODE_2021,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_vis,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_vis,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_vis,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_vis,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Tot_OS_vis,P_Total_Tot
UCL501001,40664,73666,31411,19290,48050,8531,910,222529,23094,47733,29737,21440,47111,7417,788,177310,11486,20937,13941,11281,33226,7065,267,98207,4611,5816,2973,2182,18828,5478,78,39957,349476,447152,183760,136880,412992,82217,4837,1617314
UCL511001,1523,2866,1332,892,1800,426,14,8854,841,1813,1268,923,1850,370,11,7074,454,831,578,503,1268,283,3,3920,141,241,121,92,639,280,0,1511,11443,16155,7288,5774,13600,3656,89,58003
UCL512001,735,1429,644,323,716,203,11,4055,444,939,639,513,803,205,0,3545,291,480,310,342,768,149,3,2343,136,139,89,93,481,110,0,1051,4943,7125,3254,2428,5695,1743,40,25220
UCL512002,603,1154,501,293,635,216,9,3406,437,905,681,505,821,183,0,3529,234,461,335,270,643,149,0,2099,106,112,79,59,432,98,0,877,4250,6175,2996,2200,4812,1262,30,21726
UCL512003,638,1303,588,382,937,326,8,4174,386,816,501,454,886,267,3,3315,210,339,225,215,670,243,5,1902,75,98,64,53,347,141,5,776,4707,6908,2994,2415,6412,2633,43,26103
UCL512004,579,980,381,232,929,498,14,3617,224,418,229,185,544,313,19,1934,73,102,78,64,285,90,0,690,19,17,12,12,107,32,0,199,4421,5831,2191,1741,6118,3156,75,23545
UCL513001,479,763,290,152,638,493,9,2824,380,638,332,203,780,336,12,2687,146,184,98,68,248,149,0,882,14,10,9,7,47,29,0,111,3222,4352,1613,1001,3646,2859,123,16818
UCL513002,268,427,175,123,247,126,4,1373,125,245,183,153,286,97,0,1086,83,132,95,81,241,106,0,741,39,49,18,19,108,24,0,257,1723,2262,964,737,1760,923,18,8392
UCL513003,308,501,144,96,406,423,19,1889,94,172,75,59,228,159,11,797,25,26,17,22,60,30,3,187,0,6,0,0,3,3,0,22,2708,3779,1213,1038,3169,3018,94,15017
UCL513004,346,442,150,96,538,530,7,2116,108,159,62,60,240,182,8,813,31,30,17,16,61,44,0,196,9,6,0,0,15,9,0,34,2493,3131,1003,826,3593,3376,56,14480
UCL513005,185,300,127,114,267,49,4,1044,82,209,137,121,239,31,0,827,46,82,68,45,185,35,0,464,13,20,9,0,73,31,0,146,1488,2032,869,846,2121,430,38,7818
