UCL_CODE_2021,M_Tot_15_19_yr,M_Tot_20_24_yr,M_Tot_25_34_yr,M_Tot_35_44_yr,M_Tot_45_54_yr,M_Tot_55_64_yr,M_Tot_65_74_yr,M_Tot_75_84_yr,M_Tot_85_yr_over,M_Tot_Tot,F_Agr_fstry_fsh_15_19,F_Agr_fstry_fsh_20_24,F_Agr_fstry_fsh_25_34,F_Agr_fstry_fsh_35_44,F_Agr_fstry_fsh_45_54,F_Agr_fstry_fsh_55_64,F_Agr_fstry_fsh_65_74,F_Agr_fstry_fsh_75_84,F_Agr_fstry_fsh_85_yr_over,F_Agr_fstry_fsh_Tot,F_Min_15_19_yr,F_Min_20_24_yr,F_Min_25_34_yr,F_Min_35_44_yr,F_Min_45_54_yr,F_Min_55_64_yr,F_Min_65_74_yr,F_Min_75_84_yr,F_Min_85_yr_over,F_Min_Tot,F_Manf_15_19_yr,F_Manf_20_24_yr,F_Manf_25_34_yr,F_Manf_35_44_yr,F_Manf_45_54_yr,F_Manf_55_64_yr,F_Manf_65_74_yr,F_Manf_75_84_yr,F_Manf_85_yr_over,F_Manf_Tot,F_Elec_gas_wtr_wst_sv_15_19,F_Elec_gas_wtr_wst_sv_20_24,F_Elec_gas_wtr_wst_sv_25_34,F_Elec_gas_wtr_wst_sv_35_44,F_Elec_gas_wtr_wst_sv_45_54,F_Elec_gas_wtr_wst_sv_55_64,F_Elec_gas_wtr_wst_sv_65_74,F_Elec_gas_wtr_wst_sv_75_84,F_Elec_gas_wtr_wst_sv_85_over,F_Elec_gas_wtr_wst_sv_Tot,F_Con_15_19_yr,F_Con_20_24_yr,F_Con_25_34_yr,F_Con_35_44_yr,F_Con_45_54_yr,F_Con_55_64_yr,F_Con_65_74_yr,F_Con_75_84_yr,F_Con_85_yr_over,F_Con_Tot,F_Whl_trd_15_19_yr,F_Whl_trd_20_24_yr,F_Whl_trd_25_34_yr,F_Whl_trd_35_44_yr,F_Whl_trd_45_54_yr,F_Whl_trd_55_64_yr,F_Whl_trd_65_74_yr,F_Whl_trd_75_84_yr,F_Whl_trd_85_yr_over,F_Whl_trd_Tot,F_Re_trd_15_19_yr,F_Re_trd_20_24_yr,F_Re_trd_25_34_yr,F_Re_trd_35_44_yr,F_Re_trd_45_54_yr,F_Re_trd_55_64_yr,F_Re_trd_65_74_yr,F_Re_trd_75_84_yr,F_Re_trd_85_yr_over,F_Re_trd_Tot,F_Acc_food_svc_15_19,F_Acc_food_svc_20_24,F_Acc_food_svc_25_34,F_Acc_food_svc_35_44,F_Acc_food_svc_45_54,F_Acc_food_svc_55_64,F_Acc_food_svc_65_74,F_Acc_food_svc_75_84,F_Acc_food_svc_85_yr_over,F_Acc_food_svc_Tot,F_Trp_pos_wh_15_19,F_Trp_pos_wh_20_24,F_Trp_pos_wh_25_34,F_Trp_pos_wh_35_44,F_Trp_pos_wh_45_54,F_Trp_pos_wh_55_64,F_Trp_pos_wh_65_74,F_Trp_pos_wh_75_84,F_Trp_pos_wh_85_yr_over,F_Trp_pos_wh_Tot,F_In_med_tcom_15_19,F_In_med_tcom_20_24,F_In_med_tcom_25_34,F_In_med_tcom_35_44,F_In_med_tcom_45_54,F_In_med_tcom_55_64,F_In_med_tcom_65_74,F_In_med_tcom_75_84,F_In_med_tcom_85_yr_over,F_In_med_tcom_Tot,F_Fin_in_svc_15_19,F_Fin_in_svc_20_24,F_Fin_in_svc_25_34,F_Fin_in_svc_35_44,F_Fin_in_svc_45_54,F_Fin_in_svc_55_64,F_Fin_in_svc_65_74,F_Fin_in_svc_75_84,F_Fin_in_svc_85_yr_over,F_Fin_in_svc_Tot,F_Rnt_hrg_rea_est_serv_15_19,F_Rnt_hrg_rea_est_serv_20_24,F_Rnt_hrg_rea_est_serv_25_34,F_Rnt_hrg_rea_est_serv_35_44,F_Rnt_hrg_rea_est_serv_45_54,F_Rnt_hrg_rea_est_serv_55_64,F_Rnt_hrg_rea_est_serv_65_74,F_Rnt_hrg_rea_est_serv_75_84,F_Rnt_hrg_rea_est_serv_85_ov,F_Rnt_hrg_rea_est_serv_Tot,F_Prof_sc_tech_serv_15_19,F_Prof_sc_tech_serv_20_24,F_Prof_sc_tech_serv_25_34,F_Prof_sc_tech_serv_35_44,F_Prof_sc_tech_serv_45_54,F_Prof_sc_tech_serv_55_64,F_Prof_sc_tech_serv_65_74,F_Prof_sc_tech_serv_75_84,F_Prof_sc_tech_serv_85_over,F_Prof_sc_tech_serv_Tot,F_Adm_sup_serv_15_19,F_Adm_sup_serv_20_24,F_Adm_sup_serv_25_34,F_Adm_sup_serv_35_44,F_Adm_sup_serv_45_54,F_Adm_sup_serv_55_64,F_Adm_sup_serv_65_74,F_Adm_sup_serv_75_84,F_Adm_sup_serv_85_over,F_Adm_sup_serv_Tot,F_PubAd_saf_15_19,F_PubAd_saf_20_24,F_PubAd_saf_25_34,F_PubAd_saf_35_44,F_PubAd_saf_45_54,F_PubAd_saf_55_64,F_PubAd_saf_65_74,F_PubAd_saf_75_84,F_PubAd_saf_85_over,F_PubAd_saf_Tot,F_Ed_trng_15_19,F_Ed_trng_20_24,F_Ed_trng_25_34,F_Ed_trng_35_44,F_Ed_trng_45_54,F_Ed_trng_55_64,F_Ed_trng_65_74,F_Ed_trng_75_84,F_Ed_trng_85_yr_over,F_Ed_trng_Tot,F_Hlth_cre_socia_assist_15_19,F_Hlth_cre_socia_assist_20_24,F_Hlth_cre_socia_assist_25_34,F_Hlth_cre_socia_assist_35_44,F_Hlth_cre_socia_assist_45_54,F_Hlth_cre_socia_assist_55_64,F_Hlth_cre_socia_assist_65_74,F_Hlth_cre_socia_assist_75_84,F_Hlth_cre_socia_assist_85ov,F_Hlth_cre_socia_assist_Tot,F_Arts_rec_svc_15_19,F_Arts_rec_svc_20_24,F_Arts_rec_svc_25_34,F_Arts_rec_svc_35_44,F_Arts_rec_svc_45_54,F_Arts_rec_svc_55_64,F_Arts_rec_svc_65_74,F_Arts_rec_svc_75_84,F_Arts_rec_svc_85_yr_over,F_Arts_rec_svc_Tot,F_Oth_svc_15_19_yr,F_Oth_svc_20_24_yr,F_Oth_svc_25_34_yr,F_Oth_svc_35_44_yr,F_Oth_svc_45_54_yr,F_Oth_svc_55_64_yr,F_Oth_svc_65_74_yr,F_Oth_svc_75_84_yr,F_Oth_svc_85_yr_over,F_Oth_svc_Tot
UCL501001,26535,46594,114114,120217,102999,77192,23675,3075,232,514630,65,146,506,530,570,403,169,40,4,2442,85,846,3939,4245,2813,1276,176,17,0,13404,783,1008,2913,3462,3399,2291,537,62,5,14457,39,168,792,1073,787,416,74,4,0,3349,200,926,3678,3756,2987,2036,482,37,0,14093,193,587,1682,1972,1934,1315,295,32,4,8009,8495,9082,10132,8189,8280,6671,1609,120,6,52595,11085,7164,6985,4554,3385,2139,522,29,4,35874,184,786,2314,2480,2505,1766,442,41,0,10511,219,389,886,723,590,405,102,13,0,3327,113,711,3346,4057,3250,1855,389,38,9,13766,107,557,1757,1844,1759,1312,484,78,8,7895,303,2741,9527,9832,6792,3827,1181,122,6,34334,352,1481,4170,4005,3460,2491,637,46,0,16646,243,1507,5965,7483,7162,5221,1046,66,0,28699,1424,3877,12131,15614,17710,12736,2975,197,6,66671,1723,9571,27667,26535,24640,19385,4751,260,8,114542,1120,1427,2150,1798,1361,909,302,41,0,9115,1036,2241,5303,4562,3761,2446,664,84,3,20106
UCL511001,1143,1446,3479,3782,3662,3005,846,82,4,17452,7,22,41,23,31,21,15,4,0,167,6,36,81,90,88,43,4,0,0,341,54,81,146,187,150,78,10,4,0,718,0,14,28,34,22,28,5,0,0,127,15,36,122,132,114,97,12,3,0,533,9,3,33,38,56,25,11,0,0,182,362,235,424,460,447,335,45,9,0,2317,514,171,223,226,184,91,34,0,0,1442,14,22,47,51,81,82,18,3,0,320,23,16,28,18,12,8,3,0,0,105,0,12,67,73,76,43,9,0,0,288,13,19,60,59,57,47,12,0,0,265,6,31,120,166,127,83,39,4,0,573,6,34,91,130,131,102,21,0,0,521,12,51,169,219,256,155,29,0,0,888,42,69,338,557,732,498,87,3,0,2338,113,336,854,1003,1011,781,175,3,0,4268,32,28,50,39,31,23,3,0,0,216,29,74,182,135,167,101,25,0,0,715
UCL512001,527,558,1284,1264,1383,1301,437,59,16,6829,4,3,15,29,26,21,26,3,5,131,0,0,9,6,7,4,0,0,0,22,17,18,30,41,43,35,13,0,0,191,0,0,9,16,0,9,0,0,0,34,3,11,44,39,43,22,8,0,0,172,6,10,11,7,16,15,5,0,0,70,182,100,166,166,178,157,35,0,0,993,200,75,110,96,90,82,23,0,0,662,3,9,13,17,32,29,6,0,0,107,7,6,5,7,9,0,0,0,0,40,3,11,32,26,25,26,0,0,0,136,0,12,18,20,34,18,4,5,0,117,3,14,64,75,61,47,19,0,0,288,0,12,30,41,50,51,11,0,0,194,3,9,45,84,101,76,17,3,0,341,8,37,113,177,313,216,49,5,0,914,51,143,340,406,477,441,102,5,0,1953,14,3,22,14,17,17,5,0,0,89,20,29,58,69,45,47,19,0,0,288
UCL512002,470,417,978,1199,1302,1060,357,46,4,5834,6,12,12,17,15,22,5,3,0,90,0,0,23,16,30,8,0,0,0,79,18,9,33,40,41,28,12,0,0,171,0,0,0,7,4,3,0,0,0,21,0,6,36,45,44,18,8,0,0,163,4,6,8,10,13,13,5,0,0,57,160,75,118,140,180,179,41,4,0,887,197,83,125,167,134,90,16,0,0,813,3,0,16,21,32,31,9,0,0,104,3,3,3,5,10,0,0,0,0,38,0,6,17,26,31,16,3,0,0,102,4,15,28,17,26,13,6,0,0,112,0,8,41,62,75,43,14,3,0,246,14,17,61,64,75,39,12,0,0,292,10,8,33,58,78,44,11,0,0,237,21,25,98,204,269,164,34,8,0,823,17,76,217,332,352,341,76,0,0,1402,13,3,12,14,21,8,0,0,0,74,16,34,60,50,71,38,8,0,0,274
UCL512003,516,608,1391,1417,1482,1348,404,67,7,7240,3,3,9,14,19,21,18,3,3,93,0,11,25,29,30,10,0,0,0,110,9,6,20,31,10,20,4,0,0,96,0,0,9,6,3,4,3,0,0,17,7,15,42,51,35,35,6,0,0,194,7,9,21,25,19,18,0,0,0,89,184,129,147,155,184,162,33,3,0,1002,230,89,92,90,86,67,19,0,0,675,6,10,27,37,41,37,20,0,0,186,3,9,9,4,6,7,3,0,0,40,0,11,22,22,35,23,5,0,0,121,6,4,18,16,25,14,3,0,0,81,5,19,62,53,62,39,14,0,0,250,6,9,38,42,59,41,6,0,0,202,8,19,56,97,114,88,17,0,0,404,19,58,208,280,321,255,50,3,0,1191,56,150,401,427,475,337,99,4,0,1942,9,12,8,6,19,17,0,0,0,71,27,41,57,60,59,42,12,5,0,301
UCL512004,463,804,1996,1889,1672,1446,367,34,0,8662,0,0,0,0,6,4,0,0,0,10,25,105,279,217,180,79,10,3,0,896,8,17,59,44,25,17,13,0,0,184,0,3,11,8,6,5,0,0,0,37,4,12,39,48,42,30,10,0,0,189,8,11,40,27,32,20,0,0,0,141,139,83,133,113,139,110,37,0,0,744,103,69,119,100,106,56,15,7,0,571,4,11,37,49,57,57,13,0,0,236,0,8,9,6,0,4,0,0,0,29,0,3,21,14,10,3,4,0,0,60,4,18,29,30,35,27,0,0,0,141,15,28,71,61,43,41,13,0,0,284,6,22,55,49,59,41,6,0,0,238,6,25,104,91,80,60,5,0,0,367,10,71,176,203,214,170,26,6,0,881,24,103,303,255,257,223,44,0,0,1205,8,5,16,18,14,14,3,0,0,88,19,31,74,56,57,33,8,0,0,281
UCL513001,171,241,854,980,896,744,344,58,0,4292,0,7,12,10,10,29,19,4,0,98,0,0,14,16,8,11,0,0,0,55,0,0,14,10,7,11,3,0,0,52,0,0,5,14,4,0,0,0,0,28,0,0,12,35,27,33,11,0,0,128,0,0,11,8,8,12,4,0,0,42,67,32,62,76,73,84,30,0,0,425,56,41,163,59,52,38,16,0,0,429,5,14,47,41,31,25,6,0,0,176,0,6,8,9,11,7,0,0,0,42,0,4,15,20,10,8,3,0,0,71,0,10,18,16,19,16,10,4,0,97,0,13,34,50,50,34,11,0,0,195,10,10,35,44,27,22,14,0,0,163,6,8,91,99,81,65,7,0,0,359,16,30,144,215,165,118,35,0,0,725,29,82,340,290,238,203,37,4,0,1226,6,0,23,18,20,21,7,0,0,98,10,8,33,40,26,23,7,0,0,149
UCL513002,173,194,495,485,517,485,119,17,0,2499,3,0,18,23,20,19,13,3,0,103,0,0,6,0,5,5,0,0,0,18,5,5,3,8,7,5,0,4,0,40,0,0,0,11,0,7,0,0,0,15,0,4,18,8,9,8,0,0,0,51,0,3,5,10,16,0,0,0,0,37,50,38,58,64,51,35,5,0,0,303,41,33,34,36,35,31,8,0,0,213,0,7,21,22,17,9,4,0,0,82,3,4,0,5,0,0,0,0,0,11,0,0,15,17,10,3,0,0,0,49,0,4,5,7,5,6,0,0,0,37,0,7,25,14,11,10,4,0,0,80,0,6,15,18,20,16,4,0,0,74,4,11,15,28,39,25,4,0,0,120,4,12,70,76,100,68,19,0,0,354,9,38,76,84,99,116,24,4,0,444,6,0,8,3,6,0,0,0,0,19,8,11,26,19,22,14,6,0,0,98
UCL513003,262,378,1380,1617,1220,776,160,11,0,5801,0,0,0,0,0,0,7,0,0,13,4,37,145,139,73,15,9,0,0,421,10,3,13,11,10,7,0,0,0,58,0,0,24,25,9,0,0,0,0,70,7,10,65,48,25,16,0,0,0,173,6,6,20,9,7,5,0,0,0,53,63,24,92,88,77,34,3,0,0,390,52,25,82,57,47,32,15,0,0,300,6,16,34,33,39,25,0,0,0,159,3,0,11,5,5,9,0,0,0,28,3,0,14,12,7,0,0,0,0,36,3,15,24,30,22,13,4,0,0,107,4,5,37,35,19,20,5,0,0,119,5,19,57,64,52,27,4,0,0,231,9,9,72,88,64,33,7,0,0,293,0,31,152,198,168,53,12,0,0,621,21,55,166,172,111,74,10,0,0,606,4,4,9,21,11,4,0,0,0,59,3,11,55,45,27,7,7,0,0,156
UCL513004,196,274,1318,1431,1082,813,150,3,0,5273,0,0,0,0,0,0,0,0,0,9,14,55,224,153,81,28,0,0,0,551,5,4,22,9,11,0,0,0,0,63,0,3,11,10,6,0,0,0,0,33,6,13,33,29,27,9,0,0,0,118,0,7,20,19,8,5,0,0,0,62,46,19,70,63,53,47,13,0,0,308,39,30,59,45,38,14,6,0,0,226,4,9,56,55,33,22,7,0,0,187,0,0,6,0,0,0,0,0,0,11,0,0,15,8,0,3,0,0,0,29,3,11,39,14,5,6,0,0,0,82,5,3,26,30,12,6,0,0,0,79,0,8,43,39,18,20,0,0,0,127,9,14,76,51,42,32,8,0,0,235,5,33,131,134,91,60,14,0,0,460,17,48,174,167,108,91,21,0,0,618,0,4,8,11,10,3,0,0,0,44,8,5,42,28,18,17,0,0,0,122
