UCL_CODE_2021,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Com_hs_pr_DS_Sep_hse,R_Com_hs_pr_DS_Sd_ro_ter_h_t,R_Com_hs_pr_DS_Flt_apt,R_Com_hs_pr_DS_Oth_dwel,R_Com_hs_pr_DS_NS,R_Com_hs_pr_Total,R_Psn_ns_HH_DS_Sep_hse,R_Psn_ns_HH_DS_Sd_r_te_h_t,R_Psn_ns_HH_DS_Flt_apt,R_Psn_ns_HH_DS_Oth_dwe,R_Psn_ns_HH_DS_NS,R_Psn_ns_HH_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
UCL501001,180964,24321,8558,1514,164,215520,276766,28235,10926,109,159,316201,69612,28449,26676,105,145,124981,7088,8757,2836,7,26,18710,1194,1996,1010,6,21,4229,33778,10567,6452,121,88,51005,3957,1318,824,458,74,6632,601,379,180,6,5,1168,116224,51468,37979,698,347,206721,6109,5095,2170,74,44,13494,19759,6508,4671,1704,298,32943,599829,115629,64306,4103,1012,784879
UCL511001,7223,653,91,164,6,8136,10958,403,54,10,15,11442,3073,803,269,9,5,4166,373,498,39,0,4,912,54,165,75,0,0,299,1670,305,63,3,4,2045,165,64,9,97,4,332,33,15,3,0,0,49,5361,1856,453,112,15,7799,291,249,27,19,6,590,923,312,78,181,12,1509,24764,3480,700,483,60,29481
UCL512001,4089,159,12,99,8,4373,3817,69,3,3,11,3908,1244,204,12,0,0,1459,424,168,7,0,3,598,96,158,10,0,0,270,843,86,3,5,0,938,116,40,9,36,8,210,14,16,0,0,0,25,2733,663,44,45,10,3495,190,93,8,8,4,297,461,96,0,46,4,611,11292,1085,69,203,31,12681
UCL512002,3344,267,22,107,3,3744,3518,123,11,10,0,3655,1154,195,4,0,4,1355,252,206,0,0,0,461,21,66,0,0,0,88,629,60,4,3,6,708,79,17,3,55,5,156,10,0,0,0,0,10,2140,544,13,60,17,2772,121,156,7,16,0,297,354,112,0,81,7,561,9473,1207,51,271,29,11031
UCL512003,3383,305,21,127,6,3846,3922,182,20,9,9,4143,1263,463,103,4,7,1845,274,186,41,0,0,507,60,44,0,0,0,106,945,164,29,0,8,1142,155,58,5,27,4,242,17,13,0,0,0,28,2714,925,186,35,18,3875,157,102,11,7,0,276,791,227,52,70,14,1144,10967,1741,286,247,44,13285
UCL512004,1672,118,10,94,0,1900,3898,242,10,14,0,4162,1238,654,78,5,0,1971,282,235,12,0,5,537,9,61,0,0,0,68,587,119,10,10,5,728,254,121,11,132,11,522,8,16,0,3,0,27,2379,1204,105,147,17,3855,126,41,4,18,0,193,693,229,10,412,10,1347,8768,1837,141,686,30,11451
UCL513001,597,52,7,931,22,1614,1219,71,14,47,0,1350,535,217,62,17,11,833,485,226,6,7,3,725,40,30,0,0,0,81,300,49,20,32,20,413,284,51,6,278,33,653,12,3,0,4,0,25,1656,575,98,338,65,2734,88,15,0,52,15,173,534,153,21,76,24,810,4095,877,147,1430,137,6679
UCL513002,1158,90,19,57,4,1334,1140,36,0,4,0,1180,325,111,22,0,0,457,117,68,5,0,0,191,7,17,26,0,0,52,399,65,11,7,6,490,74,12,0,26,5,117,10,7,0,0,0,17,940,270,66,30,8,1323,58,10,3,0,6,84,294,68,26,44,3,433,3590,473,115,141,28,4350
UCL513003,276,33,6,105,7,431,1159,126,9,8,5,1309,745,223,171,0,9,1142,314,81,37,0,0,427,16,5,0,0,0,23,117,49,18,3,0,193,1138,127,77,95,19,1456,4,4,0,0,0,5,2334,487,308,99,29,3258,278,34,51,9,14,383,598,216,67,103,12,998,4647,889,441,318,69,6372
UCL513004,259,57,25,128,22,496,726,81,12,15,0,833,573,273,222,8,3,1079,423,114,28,0,5,569,66,10,7,0,4,83,113,33,23,6,0,178,990,290,193,91,14,1574,12,8,0,0,0,15,2183,728,467,108,32,3508,244,62,39,23,8,372,448,193,153,208,18,1026,3854,1121,695,482,78,6239
